kx/k0,Exact,CI0,CI3,CI3+CSU,CI3*+CSU
0,-2.6020301,-2.6020301,-2.630068961,-5.1039353,-2.6298971
0.01,-2.60230663,-2.6020301,-2.630333843,-5.10357106,-2.63016861
0.02,-2.6031366,-2.6020301,-2.631128879,-5.10247843,-2.63098352
0.03,-2.60452123,-2.6020301,-2.63245524,-5.10065764,-2.63234303
0.04,-2.6064625,-2.6020301,-2.63431488,-5.09810904,-2.63424916
0.05,-2.60896324,-2.6020301,-2.636710548,-5.09483318,-2.63670472
0.06,-2.61202709,-2.6020301,-2.639645795,-5.09083072,-2.63971334
0.07,-2.61565853,-2.6020301,-2.643124985,-5.08610249,-2.64327951
0.08,-2.61986287,-2.6020301,-2.647153318,-5.08064945,-2.64740854
0.09,-2.62464631,-2.6020301,-2.651736842,-5.07447273,-2.65210665
0.1,-2.63001597,-2.6020301,-2.656882482,-5.06757359,-2.65738092
0.11,-2.63597984,-2.6020301,-2.662598062,-5.05995345,-2.66323939
0.12,-2.64254691,-2.6020301,-2.66889234,-5.05161386,-2.66969101
0.13,-2.64972714,-2.6020301,-2.675775036,-5.04255654,-2.67674577
0.14,-2.65753153,-2.6020301,-2.683256875,-5.03278332,-2.68441465
0.15,-2.66597212,-2.6020301,-2.69134963,-5.02229621,-2.69270971
0.16,-2.67506212,-2.6020301,-2.700066165,-5.01109734,-2.70164415
0.17,-2.68481588,-2.6020301,-2.709420495,-4.99918898,-2.71123234
0.18,-2.695249,-2.6020301,-2.719427836,-4.98657355,-2.72148985
0.19,-2.70637838,-2.6020301,-2.730104677,-4.97325362,-2.73243361
0.2,-2.71822228,-2.6020301,-2.741468848,-4.95923186,-2.74408188
0.21,-2.73080044,-2.6020301,-2.753539597,-4.94451112,-2.7564544
0.22,-2.74413414,-2.6020301,-2.766337678,-4.92909435,-2.76957243
0.23,-2.75824627,-2.6020301,-2.779885447,-4.91298466,-2.78345889
0.24,-2.7731615,-2.6020301,-2.794206961,-4.89618528,-2.79813845
0.25,-2.78890635,-2.6020301,-2.809328101,-4.87869957,-2.81363762
0.26,-2.80550934,-2.6020301,-2.825276691,-4.86053102,-2.82998494
0.27,-2.82300113,-2.6020301,-2.84208264,-4.84168324,-2.84721105
0.28,-2.84141466,-2.6020301,-2.859778095,-4.82215998,-2.86534891
0.29,-2.86078536,-2.6020301,-2.878397612,-4.8019651,-2.88443394
