s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,-7.42933145E-01,+6.69365626E-01,+1.00000000E+00,+2.40823807E+00,-7.42933145E-01,+6.69365626E-01,+1.00000000E+00,+2.40823807E+00
+1.00000000E-03,+0.00000000E+00,-7.42933846E-01,+6.69364849E-01,+1.00000000E+00,+2.40823912E+00,-7.42933510E-01,+6.69365222E-01,+1.00000000E+00,+2.40823862E+00
+2.00000000E-03,+0.00000000E+00,-7.42935947E-01,+6.69362516E-01,+1.00000000E+00,+2.40824226E+00,-7.42934603E-01,+6.69364008E-01,+1.00000000E+00,+2.40824025E+00
+3.00000000E-03,+0.00000000E+00,-7.42939449E-01,+6.69358629E-01,+1.00000000E+00,+2.40824749E+00,-7.42936425E-01,+6.69361986E-01,+1.00000000E+00,+2.40824297E+00
+4.00000000E-03,+0.00000000E+00,-7.42944352E-01,+6.69353187E-01,+1.00000000E+00,+2.40825482E+00,-7.42938976E-01,+6.69359155E-01,+1.00000000E+00,+2.40824678E+00
+5.00000000E-03,+0.00000000E+00,-7.42950656E-01,+6.69346191E-01,+1.00000000E+00,+2.40826423E+00,-7.42942255E-01,+6.69355515E-01,+1.00000000E+00,+2.40825168E+00
+6.00000000E-03,+0.00000000E+00,-7.42958360E-01,+6.69337639E-01,+1.00000000E+00,+2.40827574E+00,-7.42946264E-01,+6.69351066E-01,+1.00000000E+00,+2.40825767E+00
+7.00000000E-03,+0.00000000E+00,-7.42967466E-01,+6.69327532E-01,+1.00000000E+00,+2.40828935E+00,-7.42951001E-01,+6.69345808E-01,+1.00000000E+00,+2.40826475E+00
+8.00000000E-03,+0.00000000E+00,-7.42977971E-01,+6.69315870E-01,+1.00000000E+00,+2.40830504E+00,-7.42956467E-01,+6.69339741E-01,+1.00000000E+00,+2.40827291E+00
+9.00000000E-03,+0.00000000E+00,-7.42989878E-01,+6.69302653E-01,+1.00000000E+00,+2.40832283E+00,-7.42962661E-01,+6.69332865E-01,+1.00000000E+00,+2.40828217E+00
+1.00000000E-02,+0.00000000E+00,-7.43003185E-01,+6.69287881E-01,+1.00000000E+00,+2.40834271E+00,-7.42969585E-01,+6.69325180E-01,+1.00000000E+00,+2.40829251E+00
+1.10000000E-02,+0.00000000E+00,-7.43017892E-01,+6.69271553E-01,+1.00000000E+00,+2.40836469E+00,-7.42977237E-01,+6.69316685E-01,+1.00000000E+00,+2.40830395E+00
+1.20000000E-02,+0.00000000E+00,-7.43034000E-01,+6.69253670E-01,+1.00000000E+00,+2.40838876E+00,-7.42985618E-01,+6.69307382E-01,+1.00000000E+00,+2.40831647E+00
+1.30000000E-02,+0.00000000E+00,-7.43051507E-01,+6.69234232E-01,+1.00000000E+00,+2.40841492E+00,-7.42994728E-01,+6.69297269E-01,+1.00000000E+00,+2.40833008E+00
+1.40000000E-02,+0.00000000E+00,-7.43070415E-01,+6.69213238E-01,+1.00000000E+00,+2.40844317E+00,-7.43004567E-01,+6.69286347E-01,+1.00000000E+00,+2.40834478E+00
+1.50000000E-02,+0.00000000E+00,-7.43090723E-01,+6.69190688E-01,+1.00000000E+00,+2.40847352E+00,-7.43015134E-01,+6.69274615E-01,+1.00000000E+00,+2.40836057E+00
+1.60000000E-02,+0.00000000E+00,-7.43112431E-01,+6.69166583E-01,+1.00000000E+00,+2.40850596E+00,-7.43026430E-01,+6.69262074E-01,+1.00000000E+00,+2.40837745E+00
+1.70000000E-02,+0.00000000E+00,-7.43135538E-01,+6.69140921E-01,+1.00000000E+00,+2.40854049E+00,-7.43038455E-01,+6.69248724E-01,+1.00000000E+00,+2.40839541E+00
+1.80000000E-02,+0.00000000E+00,-7.43160045E-01,+6.69113703E-01,+1.00000000E+00,+2.40857711E+00,-7.43051209E-01,+6.69234563E-01,+1.00000000E+00,+2.40841447E+00
