s1,s2,Re(r_ibc0.tm),Im(r_ibc0.tm),Abs(r_ibc0.tm),Arg(r_ibc0.tm),Re(r_ibc0.te),Im(r_ibc0.te),Abs(r_ibc0.te),Arg(r_ibc0.te)
+0.00000000E+00,+0.00000000E+00,-7.42933145E-01,+6.69365626E-01,+1.00000000E+00,+2.40823807E+00,-7.42933145E-01,+6.69365626E-01,+1.00000000E+00,+2.40823807E+00
+1.00000000E-02,+0.00000000E+00,-7.42955548E-01,+6.69340760E-01,+1.00000000E+00,+2.40827154E+00,-7.42910741E-01,+6.69390492E-01,+1.00000000E+00,+2.40820460E+00
+2.00000000E-02,+0.00000000E+00,-7.43022760E-01,+6.69266149E-01,+1.00000000E+00,+2.40837196E+00,-7.42843504E-01,+6.69465106E-01,+1.00000000E+00,+2.40810416E+00
+3.00000000E-02,+0.00000000E+00,-7.43134791E-01,+6.69141750E-01,+1.00000000E+00,+2.40853937E+00,-7.42731365E-01,+6.69589516E-01,+1.00000000E+00,+2.40793667E+00
+4.00000000E-02,+0.00000000E+00,-7.43291659E-01,+6.68967495E-01,+1.00000000E+00,+2.40877383E+00,-7.42574205E-01,+6.69763802E-01,+1.00000000E+00,+2.40770199E+00
+5.00000000E-02,+0.00000000E+00,-7.43493388E-01,+6.68743285E-01,+1.00000000E+00,+2.40907544E+00,-7.42371860E-01,+6.69988076E-01,+1.00000000E+00,+2.40739993E+00
+6.00000000E-02,+0.00000000E+00,-7.43740009E-01,+6.68468996E-01,+1.00000000E+00,+2.40944430E+00,-7.42124117E-01,+6.70262482E-01,+1.00000000E+00,+2.40703023E+00
+7.00000000E-02,+0.00000000E+00,-7.44031561E-01,+6.68144473E-01,+1.00000000E+00,+2.40988055E+00,-7.41830715E-01,+6.70587199E-01,+1.00000000E+00,+2.40659260E+00
+8.00000000E-02,+0.00000000E+00,-7.44368087E-01,+6.67769534E-01,+1.00000000E+00,+2.41038436E+00,-7.41491343E-01,+6.70962434E-01,+1.00000000E+00,+2.40608666E+00
+9.00000000E-02,+0.00000000E+00,-7.44749641E-01,+6.67343969E-01,+1.00000000E+00,+2.41095593E+00,-7.41105641E-01,+6.71388433E-01,+1.00000000E+00,+2.40551199E+00
+1.00000000E-01,+0.00000000E+00,-7.45176280E-01,+6.66867536E-01,+1.00000000E+00,+2.41159547E+00,-7.40673199E-01,+6.71865472E-01,+1.00000000E+00,+2.40486812E+00
+1.10000000E-01,+0.00000000E+00,-7.45648072E-01,+6.66339967E-01,+1.00000000E+00,+2.41230322E+00,-7.40193553E-01,+6.72393861E-01,+1.00000000E+00,+2.40415450E+00
+1.20000000E-01,+0.00000000E+00,-7.46165090E-01,+6.65760962E-01,+1.00000000E+00,+2.41307947E+00,-7.39666186E-01,+6.72973947E-01,+1.00000000E+00,+2.40337052E+00
+1.30000000E-01,+0.00000000E+00,-7.46727413E-01,+6.65130191E-01,+1.00000000E+00,+2.41392450E+00,-7.39090527E-01,+6.73606111E-01,+1.00000000E+00,+2.40251553E+00
+1.40000000E-01,+0.00000000E+00,-7.47335129E-01,+6.64447293E-01,+1.00000000E+00,+2.41483865E+00,-7.38465949E-01,+6.74290770E-01,+1.00000000E+00,+2.40158878E+00
+1.50000000E-01,+0.00000000E+00,-7.47988331E-01,+6.63711877E-01,+1.00000000E+00,+2.41582227E+00,-7.37791767E-01,+6.75028376E-01,+1.00000000E+00,+2.40058949E+00
+1.60000000E-01,+0.00000000E+00,-7.48687123E-01,+6.62923519E-01,+1.00000000E+00,+2.41687575E+00,-7.37067235E-01,+6.75819422E-01,+1.00000000E+00,+2.39951678E+00
+1.70000000E-01,+0.00000000E+00,-7.49431612E-01,+6.62081761E-01,+1.00000000E+00,+2.41799950E+00,-7.36291547E-01,+6.76664435E-01,+1.00000000E+00,+2.39836973E+00
+1.80000000E-01,+0.00000000E+00,-7.50221915E-01,+6.61186115E-01,+1.00000000E+00,+2.41919397E+00,-7.35463830E-01,+6.77563986E-01,+1.00000000E+00,+2.39714731E+00
+1.90000000E-01,+0.00000000E+00,-7.51058155E-01,+6.60236055E-01,+1.00000000E+00,+2.42045964E+00,-7.34583146E-01,+6.78518682E-01,+1.00000000E+00,+2.39584844E+00
+2.00000000E-01,+0.00000000E+00,-7.51940462E-01,+6.59231023E-01,+1.00000000E+00,+2.42179701E+00,-7.33648488E-01,+6.79529172E-01,+1.00000000E+00,+2.39447197E+00
+2.10000000E-01,+0.00000000E+00,-7.52868975E-01,+6.58170424E-01,+1.00000000E+00,+2.42320662E+00,-7.32658774E-01,+6.80596151E-01,+1.00000000E+00,+2.39301664E+00
+2.20000000E-01,+0.00000000E+00,-7.53843839E-01,+6.57053625E-01,+1.00000000E+00,+2.42468905E+00,-7.31612849E-01,+6.81720353E-01,+1.00000000E+00,+2.39148113E+00
+2.30000000E-01,+0.00000000E+00,-7.54865208E-01,+6.55879957E-01,+1.00000000E+00,+2.42624491E+00,-7.30509476E-01,+6.82902560E-01,+1.00000000E+00,+2.38986402E+00
+2.40000000E-01,+0.00000000E+00,-7.55933242E-01,+6.54648710E-01,+1.00000000E+00,+2.42787484E+00,-7.29347336E-01,+6.84143599E-01,+1.00000000E+00,+2.38816380E+00
+2.50000000E-01,+0.00000000E+00,-7.57048109E-01,+6.53359136E-01,+1.00000000E+00,+2.42957952E+00,-7.28125023E-01,+6.85444345E-01,+1.00000000E+00,+2.38637887E+00
+2.60000000E-01,+0.00000000E+00,-7.58209985E-01,+6.52010443E-01,+1.00000000E+00,+2.43135966E+00,-7.26841040E-01,+6.86805724E-01,+1.00000000E+00,+2.38450752E+00
+2.70000000E-01,+0.00000000E+00,-7.59419055E-01,+6.50601798E-01,+1.00000000E+00,+2.43321604E+00,-7.25493790E-01,+6.88228713E-01,+1.00000000E+00,+2.38254793E+00
