s1,s2,Re(r_ibc3.11),Im(r_ibc3.11),Abs(r_ibc3.11),Arg(r_ibc3.11),Re(r_ibc3.21),Im(r_ibc3.21),Abs(r_ibc3.21),Arg(r_ibc3.21),Re(r_ibc3.12),Im(r_ibc3.12),Abs(r_ibc3.12),Arg(r_ibc3.12),Re(r_ibc3.22),Im(r_ibc3.22),Abs(r_ibc3.22),Arg(r_ibc3.22)
+0.00000000E+00,+0.00000000E+00,-7.49879361E-01,+6.61574594E-01,+1.00000000E+00,+2.41867604E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.49879361E-01,+6.61574594E-01,+1.00000000E+00,+2.41867604E+00
+1.00000000E-02,+0.00000000E+00,-7.49944878E-01,+6.61500325E-01,+1.00000000E+00,+2.41877507E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.49914380E-01,+6.61534900E-01,+1.00000000E+00,+2.41872897E+00
+2.00000000E-02,+0.00000000E+00,-7.50141391E-01,+6.61277471E-01,+1.00000000E+00,+2.41907219E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.50019436E-01,+6.61415788E-01,+1.00000000E+00,+2.41888779E+00
+3.00000000E-02,+0.00000000E+00,-7.50468789E-01,+6.60905891E-01,+1.00000000E+00,+2.41956743E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.50194534E-01,+6.61217181E-01,+1.00000000E+00,+2.41915256E+00
+4.00000000E-02,+0.00000000E+00,-7.50926886E-01,+6.60385351E-01,+1.00000000E+00,+2.42026084E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.50439678E-01,+6.60938945E-01,+1.00000000E+00,+2.41952339E+00
+5.00000000E-02,+0.00000000E+00,-7.51515422E-01,+6.59715522E-01,+1.00000000E+00,+2.42115249E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.50754875E-01,+6.60580894E-01,+1.00000000E+00,+2.42000041E+00
+6.00000000E-02,+0.00000000E+00,-7.52234060E-01,+6.58895985E-01,+1.00000000E+00,+2.42224249E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.51140134E-01,+6.60142787E-01,+1.00000000E+00,+2.42058381E+00
+7.00000000E-02,+0.00000000E+00,-7.53082387E-01,+6.57926225E-01,+1.00000000E+00,+2.42353093E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.51595464E-01,+6.59624331E-01,+1.00000000E+00,+2.42127383E+00
+8.00000000E-02,+0.00000000E+00,-7.54059912E-01,+6.56805640E-01,+1.00000000E+00,+2.42501796E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.52120879E-01,+6.59025176E-01,+1.00000000E+00,+2.42207073E+00
+9.00000000E-02,+0.00000000E+00,-7.55166065E-01,+6.55533534E-01,+1.00000000E+00,+2.42670374E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.52716393E-01,+6.58344919E-01,+1.00000000E+00,+2.42297482E+00
+1.00000000E-01,+0.00000000E+00,-7.56400195E-01,+6.54109123E-01,+1.00000000E+00,+2.42858842E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.53382020E-01,+6.57583098E-01,+1.00000000E+00,+2.42398647E+00
+1.10000000E-01,+0.00000000E+00,-7.57761570E-01,+6.52531534E-01,+1.00000000E+00,+2.43067220E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.54117779E-01,+6.56739199E-01,+1.00000000E+00,+2.42510607E+00
+1.20000000E-01,+0.00000000E+00,-7.59249373E-01,+6.50799807E-01,+1.00000000E+00,+2.43295527E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.54923687E-01,+6.55812646E-01,+1.00000000E+00,+2.42633408E+00
+1.30000000E-01,+0.00000000E+00,-7.60862701E-01,+6.48912899E-01,+1.00000000E+00,+2.43543786E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.55799765E-01,+6.54802806E-01,+1.00000000E+00,+2.42767097E+00
+1.40000000E-01,+0.00000000E+00,-7.62600561E-01,+6.46869681E-01,+1.00000000E+00,+2.43812019E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.56746034E-01,+6.53708987E-01,+1.00000000E+00,+2.42911730E+00
+1.50000000E-01,+0.00000000E+00,-7.64461871E-01,+6.44668944E-01,+1.00000000E+00,+2.44100251E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.57762515E-01,+6.52530436E-01,+1.00000000E+00,+2.43067365E+00
+1.60000000E-01,+0.00000000E+00,-7.66445456E-01,+6.42309398E-01,+1.00000000E+00,+2.44408505E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.58849232E-01,+6.51266338E-01,+1.00000000E+00,+2.43234065E+00
