s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-9.28602663E-01,+3.71075592E-01,+1.00000000E+00,+2.76142561E+00,-9.28602663E-01,+3.71075592E-01,+1.00000000E+00,+2.76142561E+00
+1.00000000E-02,+0.00000000E+00,-9.28599753E-01,+3.71082874E-01,+1.00000000E+00,+2.76141777E+00,-9.28585584E-01,+3.71118327E-01,+1.00000000E+00,+2.76137959E+00
+2.00000000E-02,+0.00000000E+00,-9.28591025E-01,+3.71104713E-01,+1.00000000E+00,+2.76139425E+00,-9.28534320E-01,+3.71246571E-01,+1.00000000E+00,+2.76124148E+00
+3.00000000E-02,+0.00000000E+00,-9.28576487E-01,+3.71141088E-01,+1.00000000E+00,+2.76135508E+00,-9.28448780E-01,+3.71460447E-01,+1.00000000E+00,+2.76101113E+00
+4.00000000E-02,+0.00000000E+00,-9.28556151E-01,+3.71191965E-01,+1.00000000E+00,+2.76130029E+00,-9.28328814E-01,+3.71760155E-01,+1.00000000E+00,+2.76068830E+00
+5.00000000E-02,+0.00000000E+00,-9.28530032E-01,+3.71257296E-01,+1.00000000E+00,+2.76122993E+00,-9.28174212E-01,+3.72145981E-01,+1.00000000E+00,+2.76027266E+00
+6.00000000E-02,+0.00000000E+00,-9.28498151E-01,+3.71337020E-01,+1.00000000E+00,+2.76114407E+00,-9.27984703E-01,+3.72618290E-01,+1.00000000E+00,+2.75976375E+00
+7.00000000E-02,+0.00000000E+00,-9.28460536E-01,+3.71431060E-01,+1.00000000E+00,+2.76104278E+00,-9.27759953E-01,+3.73177531E-01,+1.00000000E+00,+2.75916103E+00
+8.00000000E-02,+0.00000000E+00,-9.28417217E-01,+3.71539327E-01,+1.00000000E+00,+2.76092617E+00,-9.27499564E-01,+3.73824236E-01,+1.00000000E+00,+2.75846387E+00
+9.00000000E-02,+0.00000000E+00,-9.28368230E-01,+3.71661713E-01,+1.00000000E+00,+2.76079434E+00,-9.27203073E-01,+3.74559022E-01,+1.00000000E+00,+2.75767153E+00
