s1,s2,Re(r_ibc3_reduced.11),Im(r_ibc3_reduced.11),Abs(r_ibc3_reduced.11),Arg(r_ibc3_reduced.11),Re(r_ibc3_reduced.21),Im(r_ibc3_reduced.21),Abs(r_ibc3_reduced.21),Arg(r_ibc3_reduced.21),Re(r_ibc3_reduced.12),Im(r_ibc3_reduced.12),Abs(r_ibc3_reduced.12),Arg(r_ibc3_reduced.12),Re(r_ibc3_reduced.22),Im(r_ibc3_reduced.22),Abs(r_ibc3_reduced.22),Arg(r_ibc3_reduced.22)
+0.00000000E+00,+0.00000000E+00,-7.48642426E-01,+6.62973995E-01,+1.00000000E+00,+2.41680833E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.48642426E-01,+6.62973995E-01,+1.00000000E+00,+2.41680833E+00
+1.00000000E-02,+0.00000000E+00,-7.48709699E-01,+6.62898021E-01,+1.00000000E+00,+2.41690981E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.48677364E-01,+6.62934540E-01,+1.00000000E+00,+2.41686103E+00
+2.00000000E-02,+0.00000000E+00,-7.48911478E-01,+6.62670052E-01,+1.00000000E+00,+2.41721425E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.48782179E-01,+6.62816150E-01,+1.00000000E+00,+2.41701915E+00
+3.00000000E-02,+0.00000000E+00,-7.49247640E-01,+6.62289947E-01,+1.00000000E+00,+2.41772168E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.48956875E-01,+6.62618744E-01,+1.00000000E+00,+2.41728276E+00
+4.00000000E-02,+0.00000000E+00,-7.49717981E-01,+6.61757470E-01,+1.00000000E+00,+2.41843214E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.49201459E-01,+6.62342187E-01,+1.00000000E+00,+2.41765195E+00
+5.00000000E-02,+0.00000000E+00,-7.50322216E-01,+6.61072290E-01,+1.00000000E+00,+2.41934568E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.49515941E-01,+6.61986294E-01,+1.00000000E+00,+2.41812688E+00
+6.00000000E-02,+0.00000000E+00,-7.51059973E-01,+6.60233986E-01,+1.00000000E+00,+2.42046239E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.49900333E-01,+6.61550822E-01,+1.00000000E+00,+2.41870774E+00
+7.00000000E-02,+0.00000000E+00,-7.51930801E-01,+6.59242043E-01,+1.00000000E+00,+2.42178235E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.50354650E-01,+6.61035475E-01,+1.00000000E+00,+2.41939475E+00
+8.00000000E-02,+0.00000000E+00,-7.52934160E-01,+6.58095853E-01,+1.00000000E+00,+2.42330567E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.50878910E-01,+6.60439901E-01,+1.00000000E+00,+2.42018820E+00
+9.00000000E-02,+0.00000000E+00,-7.54069425E-01,+6.56794719E-01,+1.00000000E+00,+2.42503245E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.51473131E-01,+6.59763695E-01,+1.00000000E+00,+2.42108839E+00
