s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+1.38256759E-17,-2.64478990E+00,+2.64478990E+00,-1.57079633E+00,+1.38256759E-17,-2.64478990E+00,+2.64478990E+00,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,+1.38256709E-17,-2.64479253E+00,+2.64479253E+00,-1.57079633E+00,+1.38256889E-17,-2.64479334E+00,+2.64479334E+00,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,+1.38256558E-17,-2.64480045E+00,+2.64480045E+00,-1.57079633E+00,+1.38257279E-17,-2.64480365E+00,+2.64480365E+00,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,+1.38256307E-17,-2.64481364E+00,+2.64481364E+00,-1.57079633E+00,+1.38257930E-17,-2.64482085E+00,+2.64482085E+00,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,+1.38255955E-17,-2.64483210E+00,+2.64483210E+00,-1.57079633E+00,+1.38258840E-17,-2.64484492E+00,+2.64484492E+00,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+1.38255503E-17,-2.64485584E+00,+2.64485584E+00,-1.57079633E+00,+1.38260010E-17,-2.64487587E+00,+2.64487587E+00,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,+1.38254950E-17,-2.64488486E+00,+2.64488486E+00,-1.57079633E+00,+1.38261440E-17,-2.64491370E+00,+2.64491370E+00,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,+1.38254297E-17,-2.64491915E+00,+2.64491915E+00,-1.57079633E+00,+1.38263131E-17,-2.64495840E+00,+2.64495840E+00,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,+1.38253543E-17,-2.64495872E+00,+2.64495872E+00,-1.57079633E+00,+1.38265082E-17,-2.64500999E+00,+2.64500999E+00,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,+1.38252688E-17,-2.64500357E+00,+2.64500357E+00,-1.57079633E+00,+1.38267293E-17,-2.64506846E+00,+2.64506846E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+1.38251733E-17,-2.64505370E+00,+2.64505370E+00,-1.57079633E+00,+1.38269764E-17,-2.64513381E+00,+2.64513381E+00,-1.57079633E+00
+1.10000000E-02,+0.00000000E+00,+1.38250677E-17,-2.64510910E+00,+2.64510910E+00,-1.57079633E+00,+1.38272495E-17,-2.64520605E+00,+2.64520605E+00,-1.57079633E+00
+1.20000000E-02,+0.00000000E+00,+1.38249520E-17,-2.64516979E+00,+2.64516979E+00,-1.57079633E+00,+1.38275487E-17,-2.64528516E+00,+2.64528516E+00,-1.57079633E+00
+1.30000000E-02,+0.00000000E+00,+1.38248262E-17,-2.64523575E+00,+2.64523575E+00,-1.57079633E+00,+1.38278739E-17,-2.64537116E+00,+2.64537116E+00,-1.57079633E+00
+1.40000000E-02,+0.00000000E+00,+1.38246904E-17,-2.64530700E+00,+2.64530700E+00,-1.57079633E+00,+1.38282251E-17,-2.64546405E+00,+2.64546405E+00,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,+1.38245444E-17,-2.64538353E+00,+2.64538353E+00,-1.57079633E+00,+1.38286024E-17,-2.64556383E+00,+2.64556383E+00,-1.57079633E+00
+1.60000000E-02,+0.00000000E+00,+1.38243883E-17,-2.64546535E+00,+2.64546535E+00,-1.57079633E+00,+1.38290058E-17,-2.64567049E+00,+2.64567049E+00,-1.57079633E+00
+1.70000000E-02,+0.00000000E+00,+1.38242221E-17,-2.64555245E+00,+2.64555245E+00,-1.57079633E+00,+1.38294352E-17,-2.64578404E+00,+2.64578404E+00,-1.57079633E+00
+1.80000000E-02,+0.00000000E+00,+1.38240457E-17,-2.64564484E+00,+2.64564484E+00,-1.57079633E+00,+1.38298906E-17,-2.64590449E+00,+2.64590449E+00,-1.57079633E+00
+1.90000000E-02,+0.00000000E+00,+1.38238593E-17,-2.64574251E+00,+2.64574251E+00,-1.57079633E+00,+1.38303722E-17,-2.64603183E+00,+2.64603183E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+1.38236626E-17,-2.64584548E+00,+2.64584548E+00,-1.57079633E+00,+1.38308798E-17,-2.64616606E+00,+2.64616606E+00,-1.57079633E+00
+2.10000000E-02,+0.00000000E+00,+1.38234558E-17,-2.64595373E+00,+2.64595373E+00,-1.57079633E+00,+1.38314135E-17,-2.64630720E+00,+2.64630720E+00,-1.57079633E+00
+2.20000000E-02,+0.00000000E+00,+1.38232389E-17,-2.64606728E+00,+2.64606728E+00,-1.57079633E+00,+1.38319734E-17,-2.64645523E+00,+2.64645523E+00,-1.57079633E+00
+2.30000000E-02,+0.00000000E+00,+1.38230117E-17,-2.64618612E+00,+2.64618612E+00,-1.57079633E+00,+1.38325593E-17,-2.64661017E+00,+2.64661017E+00,-1.57079633E+00
+2.40000000E-02,+0.00000000E+00,+1.38227744E-17,-2.64631026E+00,+2.64631026E+00,-1.57079633E+00,+1.38331714E-17,-2.64677201E+00,+2.64677201E+00,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,+1.38225268E-17,-2.64643970E+00,+2.64643970E+00,-1.57079633E+00,+1.38338095E-17,-2.64694075E+00,+2.64694075E+00,-1.57079633E+00
+2.60000000E-02,+0.00000000E+00,+1.38222690E-17,-2.64657443E+00,+2.64657443E+00,-1.57079633E+00,+1.38344739E-17,-2.64711641E+00,+2.64711641E+00,-1.57079633E+00
+2.70000000E-02,+0.00000000E+00,+1.38220010E-17,-2.64671447E+00,+2.64671447E+00,-1.57079633E+00,+1.38351643E-17,-2.64729897E+00,+2.64729897E+00,-1.57079633E+00
+2.80000000E-02,+0.00000000E+00,+1.38217227E-17,-2.64685981E+00,+2.64685981E+00,-1.57079633E+00,+1.38358810E-17,-2.64748846E+00,+2.64748846E+00,-1.57079633E+00
+2.90000000E-02,+0.00000000E+00,+1.38214342E-17,-2.64701046E+00,+2.64701046E+00,-1.57079633E+00,+1.38366238E-17,-2.64768486E+00,+2.64768486E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+1.38211353E-17,-2.64716641E+00,+2.64716641E+00,-1.57079633E+00,+1.38373928E-17,-2.64788817E+00,+2.64788817E+00,-1.57079633E+00
+3.10000000E-02,+0.00000000E+00,+1.38208262E-17,-2.64732768E+00,+2.64732768E+00,-1.57079633E+00,+1.38381880E-17,-2.64809842E+00,+2.64809842E+00,-1.57079633E+00
+3.20000000E-02,+0.00000000E+00,+1.38205067E-17,-2.64749425E+00,+2.64749425E+00,-1.57079633E+00,+1.38390094E-17,-2.64831558E+00,+2.64831558E+00,-1.57079633E+00
+3.30000000E-02,+0.00000000E+00,+1.38201769E-17,-2.64766615E+00,+2.64766615E+00,-1.57079633E+00,+1.38398570E-17,-2.64853968E+00,+2.64853968E+00,-1.57079633E+00
+3.40000000E-02,+0.00000000E+00,+1.38198368E-17,-2.64784336E+00,+2.64784336E+00,-1.57079633E+00,+1.38407309E-17,-2.64877071E+00,+2.64877071E+00,-1.57079633E+00
+3.50000000E-02,+0.00000000E+00,+1.38194862E-17,-2.64802589E+00,+2.64802589E+00,-1.57079633E+00,+1.38416310E-17,-2.64900868E+00,+2.64900868E+00,-1.57079633E+00
+3.60000000E-02,+0.00000000E+00,+1.38191253E-17,-2.64821374E+00,+2.64821374E+00,-1.57079633E+00,+1.38425574E-17,-2.64925359E+00,+2.64925359E+00,-1.57079633E+00
