s1,s2,Re(z_ibc3.11),Im(z_ibc3.11),Abs(z_ibc3.11),Arg(z_ibc3.11),Re(z_ibc3.21),Im(z_ibc3.21),Abs(z_ibc3.21),Arg(z_ibc3.21),Re(z_ibc3.12),Im(z_ibc3.12),Abs(z_ibc3.12),Arg(z_ibc3.12),Re(z_ibc3.22),Im(z_ibc3.22),Abs(z_ibc3.22),Arg(z_ibc3.22)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.19733096E+00,+5.19733096E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.19733096E+00,+5.19733096E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.19696126E+00,+5.19696126E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.19694631E+00,+5.19694631E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.19585228E+00,+5.19585228E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.19579248E+00,+5.19579248E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.19400437E+00,+5.19400437E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.19386972E+00,+5.19386972E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.19141811E+00,+5.19141811E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.19117851E+00,+5.19117851E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.18809429E+00,+5.18809429E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.18771949E+00,+5.18771949E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.18403396E+00,+5.18403396E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.18349347E+00,+5.18349347E+00,-1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.17923839E+00,+5.17923839E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.17850147E+00,+5.17850147E+00,-1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.17370905E+00,+5.17370905E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.17274468E+00,+5.17274468E+00,-1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,-5.16744768E+00,+5.16744768E+00,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.16622447E+00,+5.16622447E+00,-1.57079633E+00
