s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.63757318E+00,+2.63757318E+00,-1.57079633E+00,+0.00000000E+00,-2.63757318E+00,+2.63757318E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63784505E+00,+2.63784505E+00,-1.57079633E+00,+0.00000000E+00,-2.63791475E+00,+2.63791475E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63866106E+00,+2.63866106E+00,-1.57079633E+00,+0.00000000E+00,-2.63893998E+00,+2.63893998E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.64002241E+00,+2.64002241E+00,-1.57079633E+00,+0.00000000E+00,-2.64065038E+00,+2.64065038E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.64193111E+00,+2.64193111E+00,-1.57079633E+00,+0.00000000E+00,-2.64304847E+00,+2.64304847E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.64438999E+00,+2.64438999E+00,-1.57079633E+00,+0.00000000E+00,-2.64613778E+00,+2.64613778E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.64740268E+00,+2.64740268E+00,-1.57079633E+00,+0.00000000E+00,-2.64992292E+00,+2.64992292E+00,-1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.65097367E+00,+2.65097367E+00,-1.57079633E+00,+0.00000000E+00,-2.65440950E+00,+2.65440950E+00,-1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.65510831E+00,+2.65510831E+00,-1.57079633E+00,+0.00000000E+00,-2.65960424E+00,+2.65960424E+00,-1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.65981280E+00,+2.65981280E+00,-1.57079633E+00,+0.00000000E+00,-2.66551494E+00,+2.66551494E+00,-1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+0.00000000E+00,-2.66509425E+00,+2.66509425E+00,-1.57079633E+00,+0.00000000E+00,-2.67215053E+00,+2.67215053E+00,-1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+0.00000000E+00,-2.67096071E+00,+2.67096071E+00,-1.57079633E+00,+0.00000000E+00,-2.67952112E+00,+2.67952112E+00,-1.57079633E+00
