kx/k0,Exact,CI0,CI3,CI3+CSU
0,0.212691168,0.212691168,0.212689444,0.21166468
0.010055866,0.212690846,0.212691168,0.212689123,0.211664014
0.020111732,0.212689882,0.212691168,0.212688159,0.211662016
0.030167598,0.212688275,0.212691168,0.212686553,0.211658689
0.040223464,0.212686025,0.212691168,0.212684306,0.211654041
0.05027933,0.212683133,0.212691168,0.212681415,0.211648077
0.060335196,0.212679598,0.212691168,0.212677883,0.211640809
0.070391061,0.21267542,0.212691168,0.212673709,0.211632248
0.080446927,0.2126706,0.212691168,0.212668893,0.21162241
0.090502793,0.212665137,0.212691168,0.212663435,0.211611309
0.100558659,0.212659032,0.212691168,0.212657335,0.211598965
0.110614525,0.212652286,0.212691168,0.212650594,0.211585397
0.120670391,0.212644897,0.212691168,0.212643211,0.211570628
0.130726257,0.212636866,0.212691168,0.212635187,0.211554681
0.140782123,0.212628194,0.212691168,0.212626521,0.211537582
0.150837989,0.21261888,0.212691168,0.212617215,0.211519358
0.160893855,0.212608925,0.212691168,0.212607268,0.211500036
0.170949721,0.212598329,0.212691168,0.212596681,0.211479648
0.181005587,0.212587092,0.212691168,0.212585453,0.211458222
0.191061453,0.212575215,0.212691168,0.212573585,0.211435793
0.201117318,0.212562697,0.212691168,0.212561077,0.211412391
0.211173184,0.212549539,0.212691168,0.21254793,0.211388052
0.22122905,0.212535742,0.212691168,0.212534143,0.21136281
0.231284916,0.212521305,0.212691168,0.212519718,0.211336701
0.241340782,0.212506229,0.212691168,0.212504654,0.211309759
0.251396648,0.212490514,0.212691168,0.212488951,0.211282023
0.261452514,0.212474161,0.212691168,0.212472611,0.211253527
0.27150838,0.212457169,0.212691168,0.212455633,0.211224309
0.281564246,0.21243954,0.212691168,0.212438017,0.211194406
0.291620112,0.212421274,0.212691168,0.212419765,0.211163856
0.301675978,0.21240237,0.212691168,0.212400876,0.211132694
0.311731844,0.21238283,0.212691168,0.212381351,0.211100958
0.32178771,0.212362654,0.212691168,0.212361191,0.211068685
0.331843575,0.212341842,0.212691168,0.212340395,0.21103591
0.341899441,0.212320395,0.212691168,0.212318964,0.211002669
0.351955307,0.212298313,0.212691168,0.212296899,0.210968998
0.362011173,0.212275596,0.212691168,0.212274199,0.210934932
0.372067039,0.212252246,0.212691168,0.212250867,0.210900505
0.382122905,0.212228263,0.212691168,0.212226901,0.21086575
0.392178771,0.212203646,0.212691168,0.212202304,0.210830701
0.402234637,0.212178398,0.212691168,0.212177074,0.210795389
0.412290503,0.212152518,0.212691168,0.212151213,0.210759847
0.422346369,0.212126006,0.212691168,0.212124721,0.210724103
0.432402235,0.212098864,0.212691168,0.212097598,0.210688189
0.442458101,0.212071092,0.212691168,0.212069846,0.210652133
0.452513967,0.212042691,0.212691168,0.212041465,0.210615962
0.462569832,0.21201366,0.212691168,0.212012456,0.210579705
0.472625698,0.211984002,0.212691168,0.211982818,0.210543386
0.482681564,0.211953716,0.212691168,0.211952554,0.210507032
0.49273743,0.211922803,0.212691168,0.211921662,0.210470665
0.502793296,0.211891263,0.212691168,0.211890145,0.21043431
0.512849162,0.211859099,0.212691168,0.211858003,0.210397988
0.522905028,0.211826309,0.212691168,0.211825235,0.210361721
0.532960894,0.211792895,0.212691168,0.211791844,0.21032553
0.54301676,0.211758858,0.212691168,0.21175783,0.210289433
0.553072626,0.211724198,0.212691168,0.211723193,0.210253449
0.563128492,0.211688916,0.212691168,0.211687935,0.210217595
0.573184358,0.211653012,0.212691168,0.211652055,0.210181889
0.583240224,0.211616488,0.212691168,0.211615555,0.210146346
0.593296089,0.211579345,0.212691168,0.211578436,0.210110981
0.603351955,0.211541583,0.212691168,0.211540698,0.210075808
0.613407821,0.211503202,0.212691168,0.211502342,0.21004084
0.623463687,0.211464204,0.212691168,0.211463369,0.21000609
0.633519553,0.21142459,0.212691168,0.211423779,0.209971569
0.643575419,0.21138436,0.212691168,0.211383574,0.209937288
0.653631285,0.211343515,0.212691168,0.211342755,0.209903257
0.663687151,0.211302057,0.212691168,0.211301321,0.209869486
0.673743017,0.211259985,0.212691168,0.211259275,0.209835983
0.683798883,0.211217301,0.212691168,0.211216616,0.209802757
0.693854749,0.211174006,0.212691168,0.211173347,0.209769815
0.703910615,0.211130101,0.212691168,0.211129467,0.209737163
0.71396648,0.211085587,0.212691168,0.211084978,0.209704808
0.724022346,0.211040463,0.212691168,0.211039881,0.209672755
0.734078212,0.210994733,0.212691168,0.210994176,0.20964101
0.744134078,0.210948396,0.212691168,0.210947864,0.209609576
0.754189944,0.210901453,0.212691168,0.210900947,0.209578459
0.76424581,0.210853906,0.212691168,0.210853426,0.209547661
