kx/k0,Exact,CI0,CI3,CI3+CSU
0,0.212691168,0.212691168,0.212689444,0.21166468
0.010055866,0.212680093,0.212691168,0.212678371,0.211653894
0.020111732,0.212646872,0.212691168,0.212645156,0.211621541
0.030167598,0.212591515,0.212691168,0.21258981,0.211567631
0.040223464,0.21251404,0.212691168,0.21251235,0.211492181
0.05027933,0.21241447,0.212691168,0.212412799,0.211395216
0.060335196,0.212292838,0.212691168,0.21229119,0.211276766
0.070391061,0.212149181,0.212691168,0.212147561,0.211136871
0.080446927,0.211983546,0.212691168,0.211981957,0.210975576
0.090502793,0.211795984,0.212691168,0.21179443,0.210792933
0.100558659,0.211586556,0.212691168,0.211585042,0.210589003
0.110614525,0.211355328,0.212691168,0.211353857,0.210363853
0.120670391,0.211102376,0.212691168,0.211100952,0.210117557
0.130726257,0.210827782,0.212691168,0.210826409,0.209850199
0.140782123,0.210531635,0.212691168,0.210530316,0.209561867
0.150837989,0.210214033,0.212691168,0.210212772,0.209252659
0.160893855,0.209875081,0.212691168,0.209873882,0.208922681
0.170949721,0.209514894,0.212691168,0.209513759,0.208572047
0.181005587,0.209133592,0.212691168,0.209132525,0.208200878
0.191061453,0.208731305,0.212691168,0.20873031,0.207809305
0.201117318,0.208308174,0.212691168,0.208307252,0.207397466
0.211173184,0.207864344,0.212691168,0.207863499,0.206965508
0.22122905,0.207399972,0.212691168,0.207399207,0.206513589
0.231284916,0.206915224,0.212691168,0.206914541,0.206041873
0.241340782,0.206410275,0.212691168,0.206409677,0.205550536
0.251396648,0.205885311,0.212691168,0.205884799,0.205039763
0.261452514,0.205340524,0.212691168,0.205340102,0.204509748
0.27150838,0.204776122,0.212691168,0.20477579,0.203960696
0.281564246,0.204192319,0.212691168,0.204192079,0.203392822
0.291620112,0.203589341,0.212691168,0.203589195,0.202806353
0.301675978,0.202967427,0.212691168,0.202967376,0.202201526
0.311731844,0.202326826,0.212691168,0.202326871,0.20157859
0.32178771,0.201667798,0.212691168,0.201667941,0.200937806
0.331843575,0.200990618,0.212691168,0.20099086,0.200279446
0.341899441,0.200295572,0.212691168,0.200295912,0.199603797
0.351955307,0.19958296,0.212691168,0.199583399,0.198911156
0.362011173,0.198853093,0.212691168,0.198853632,0.198201837
0.372067039,0.198106301,0.212691168,0.198106939,0.197476165
0.382122905,0.197342924,0.212691168,0.197343661,0.196734481
0.392178771,0.19656332,0.212691168,0.196564155,0.19597714
0.402234637,0.195767861,0.212691168,0.195768794,0.195204514
0.412290503,0.194956936,0.212691168,0.194957966,0.19441699
0.422346369,0.194130951,0.212691168,0.194132077,0.193614972
0.432402235,0.193290329,0.212691168,0.193291549,0.192798879
0.442458101,0.192435512,0.212691168,0.192436825,0.191969152
0.452513967,0.19156696,0.212691168,0.191568363,0.191126247
0.462569832,0.190685151,0.212691168,0.190686644,0.190270641
0.472625698,0.189790587,0.212691168,0.189792166,0.18940283
0.482681564,0.188883787,0.212691168,0.188885451,0.18852333
0.49273743,0.187965295,0.212691168,0.18796704,0.187632681
0.502793296,0.187035675,0.212691168,0.187037499,0.186731441
0.512849162,0.186095516,0.212691168,0.186097415,0.185820194
0.522905028,0.185145431,0.212691168,0.185147402,0.184899547
0.532960894,0.184186057,0.212691168,0.184188096,0.183970131
0.54301676,0.183218058,0.212691168,0.183220162,0.183032603
0.553072626,0.182242126,0.212691168,0.182244291,0.182087645
0.563128492,0.181258979,0.212691168,0.1812612,0.181135969
0.573184358,0.180269365,0.212691168,0.180271638,0.180178311
0.583240224,0.179274062,0.212691168,0.179276383,0.17921544
0.593296089,0.178273878,0.212691168,0.178276242,0.178248153
0.603351955,0.177269655,0.212691168,0.177272057,0.177277278
0.613407821,0.176262267,0.212691168,0.176264702,0.176303676
0.623463687,0.175252621,0.212691168,0.175255083,0.175328239
0.633519553,0.17424166,0.212691168,0.174244145,0.174351895
0.643575419,0.173230363,0.212691168,0.173232866,0.173375605
0.653631285,0.172219748,0.212691168,0.172222262,0.172400366
0.663687151,0.171210868,0.212691168,0.171213388,0.171427214
0.673743017,0.170204818,0.212691168,0.170207337,0.170457218
0.683798883,0.169202731,0.212691168,0.169205244,0.16949149
0.693854749,0.168205781,0.212691168,0.168208282,0.168531178
0.703910615,0.167215186,0.212691168,0.167217669,0.16757747
0.71396648,0.166232204,0.212691168,0.166234664,0.166631597
0.724022346,0.165258138,0.212691168,0.165260568,0.165694827
0.734078212,0.164294333,0.212691168,0.164296727,0.164768471
0.744134078,0.163342179,0.212691168,0.163344532,0.163853884
0.754189944,0.16240311,0.212691168,0.162405416,0.16295246
0.76424581,0.161478605,0.212691168,0.161480859,0.162065635
0.774301676,0.160570187,0.212691168,0.160572383,0.161194888
0.784357542,0.159679424,0.212691168,0.159681555,0.160341738
0.794413408,0.158807924,0.212691168,0.158809987,0.159507745
0.804469274,0.157957343,0.212691168,0.157959332,0.15869451
0.81452514,0.157129375,0.212691168,0.157131285,0.157903671
0.824581006,0.156325755,0.212691168,0.156327582,0.157136905
0.834636872,0.155548258,0.212691168,0.155549997,0.156395924
0.844692737,0.154798694,0.212691168,0.154800343,0.155682474
0.854748603,0.154078909,0.212691168,0.154080464,0.154998333
0.864804469,0.153390781,0.212691168,0.153392237,0.154345306
0.874860335,0.152736213,0.212691168,0.152737569,0.153725225
0.884916201,0.152117136,0.212691168,0.152118391,0.153139946
0.894972067,0.151535502,0.212691168,0.151536652,0.152591342
0.905027933,0.150993277,0.212691168,0.150994323,0.152081299
0.915083799,0.150492441,0.212691168,0.150493382,0.151611716
0.925139665,0.15003498,0.212691168,0.150035815,0.151184495
0.935195531,0.149622879,0.212691168,0.14962361,0.150801539
0.945251397,0.14925812,0.212691168,0.149258747,0.150464742
0.955307263,0.148942672,0.212691168,0.148943198,0.150175991
0.965363129,0.148678485,0.212691168,0.148678913,0.149937152
0.975418994,0.148467486,0.212691168,0.148467818,0.149750067
0.98547486,0.148311567,0.212691168,0.148311808,0.149616547
0.995530726,0.148212582,0.212691168,0.148212738,0.149538365
1.005586592,0.148172338,0.212691168,0.148172413,0.149517252
1.015642458,0.148192586,0.212691168,0.148192586,0.149554884
1.025698324,0.148275018,0.212691168,0.14827495,0.149652883
1.03575419,0.148421254,0.212691168,0.148421126,0.149812803
1.045810056,0.148632841,0.212691168,0.14863266,0.150036131
1.055865922,0.148911243,0.212691168,0.148911018,0.150324274
1.065921788,0.149257835,0.212691168,0.149257577,0.15067856
1.075977654,0.149673901,0.212691168,0.149673618,0.151100227
1.08603352,0.150160624,0.212691168,0.150160326,0.151590424
1.096089385,0.150719085,0.212691168,0.150718784,0.152150202
1.106145251,0.15135026,0.212691168,0.151349966,0.152780514
1.116201117,0.152055013,0.212691168,0.152054737,0.153482211
1.126256983,0.152834098,0.212691168,0.152833853,0.15425604
1.136312849,0.153688158,0.212691168,0.153687955,0.155102643
1.146368715,0.154617722,0.212691168,0.154617572,0.156022557
1.156424581,0.155623207,0.212691168,0.155623122,0.157016213
1.166480447,0.156704917,0.212691168,0.156704909,0.158083938
1.176536313,0.157863048,0.212691168,0.157863129,0.159225957
1.186592179,0.15909769,0.212691168,0.159097872,0.160442393
1.196648045,0.160408829,0.212691168,0.160409123,0.161733272
1.206703911,0.161796351,0.212691168,0.161796767,0.163098525
1.216759777,0.163260048,0.212691168,0.163260597,0.164537994
1.226815642,0.16479962,0.212691168,0.164800311,0.166051433
1.236871508,0.166414683,0.212691168,0.166415526,0.167638518
1.246927374,0.168104773,0.212691168,0.168105778,0.169298843
1.25698324,0.169869354,0.212691168,0.169870527,0.171031936
1.267039106,0.171707818,0.212691168,0.171709167,0.172837255
1.277094972,0.173619498,0.212691168,0.17362103,0.1747142
1.287150838,0.175603671,0.212691168,0.175605391,0.176662113
1.297206704,0.177659561,0.212691168,0.177661475,0.178680289
1.30726257,0.17978635,0.212691168,0.17978846,0.180767977
1.317318436,0.181983179,0.212691168,0.181985489,0.182924385
1.327374302,0.184249158,0.212691168,0.184251669,0.18514869
1.337430168,0.186583365,0.212691168,0.186586078,0.187440038
1.347486034,0.188984858,0.212691168,0.188987773,0.189797549
1.357541899,0.191452674,0.212691168,0.191455788,0.192220323
1.367597765,0.193985837,0.212691168,0.193989148,0.194707446
1.377653631,0.196583359,0.212691168,0.196586862,0.197257989
1.387709497,0.199244246,0.212691168,0.199247936,0.199871016
1.397765363,0.201967501,0.212691168,0.201971372,0.202545583
1.407821229,0.204752128,0.212691168,0.20475617,0.205280746
1.417877095,0.207597132,0.212691168,0.207601337,0.208075562
1.427932961,0.210501524,0.212691168,0.21050588,0.210929089
1.437988827,0.213464323,0.212691168,0.213468819,0.213840391
1.448044693,0.216484557,0.212691168,0.216489179,0.21680854
1.458100559,0.219561268,0.212691168,0.219566,0.219832617
1.468156425,0.222693508,0.212691168,0.222698333,0.222911712
1.478212291,0.225880345,0.212691168,0.225885246,0.226044931
1.488268156,0.229120863,0.212691168,0.229125818,0.229231389
1.498324022,0.232414162,0.212691168,0.232419151,0.232470219
1.508379888,0.235759358,0.212691168,0.235764358,0.235760567
1.518435754,0.239155588,0.212691168,0.239160573,0.239101597
1.52849162,0.242602006,0.212691168,0.24260695,0.242492488
1.538547486,0.246097784,0.212691168,0.246102659,0.245932436
1.548603352,0.249642115,0.212691168,0.249646891,0.249420656
1.558659218,0.25323421,0.212691168,0.253238855,0.252956379
1.568715084,0.2568733,0.212691168,0.25687778,0.256538855
1.57877095,0.260558634,0.212691168,0.260562915,0.260167351
1.588826816,0.264289483,0.212691168,0.264293526,0.263841152
1.598882682,0.268065134,0.212691168,0.2680689,0.26755956
1.608938547,0.271884894,0.212691168,0.271888344,0.271321897
1.618994413,0.275748091,0.212691168,0.275751179,0.2751275
1.629050279,0.279654067,0.212691168,0.27965675,0.278975725
1.639106145,0.283602186,0.212691168,0.283604415,0.282865943
1.649162011,0.287591826,0.212691168,0.287593553,0.286797542
1.659217877,0.291622386,0.212691168,0.291623559,0.290769929
