theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01
+5.72957891E-02,+0.00000000E+00,+9.07931192E-01,-4.04438366E-01,+9.93936336E-01,-4.19064090E-01,+9.07931460E-01,-4.04438267E-01,+9.93936541E-01,-4.19063889E-01
+1.14591635E-01,+0.00000000E+00,+9.07930649E-01,-4.04438095E-01,+9.93935730E-01,-4.19064063E-01,+9.07931722E-01,-4.04437700E-01,+9.93936550E-01,-4.19063261E-01
+1.71887596E-01,+0.00000000E+00,+9.07929744E-01,-4.04437644E-01,+9.93934720E-01,-4.19064019E-01,+9.07932160E-01,-4.04436755E-01,+9.93936565E-01,-4.19062213E-01
+2.29183729E-01,+0.00000000E+00,+9.07928477E-01,-4.04437012E-01,+9.93933306E-01,-4.19063957E-01,+9.07932772E-01,-4.04435432E-01,+9.93936586E-01,-4.19060746E-01
+2.86480091E-01,+0.00000000E+00,+9.07926849E-01,-4.04436200E-01,+9.93931488E-01,-4.19063877E-01,+9.07933559E-01,-4.04433730E-01,+9.93936612E-01,-4.19058860E-01
+3.43776740E-01,+0.00000000E+00,+9.07924858E-01,-4.04435208E-01,+9.93929266E-01,-4.19063780E-01,+9.07934521E-01,-4.04431651E-01,+9.93936645E-01,-4.19056555E-01
+4.01073732E-01,+0.00000000E+00,+9.07922506E-01,-4.04434034E-01,+9.93926639E-01,-4.19063665E-01,+9.07935658E-01,-4.04429193E-01,+9.93936684E-01,-4.19053831E-01
+4.58371125E-01,+0.00000000E+00,+9.07919791E-01,-4.04432681E-01,+9.93923609E-01,-4.19063532E-01,+9.07936970E-01,-4.04426358E-01,+9.93936728E-01,-4.19050688E-01
+5.15668977E-01,+0.00000000E+00,+9.07916715E-01,-4.04431147E-01,+9.93920175E-01,-4.19063382E-01,+9.07938456E-01,-4.04423144E-01,+9.93936779E-01,-4.19047126E-01
+5.72967345E-01,+0.00000000E+00,+9.07913276E-01,-4.04429432E-01,+9.93916336E-01,-4.19063214E-01,+9.07940118E-01,-4.04419552E-01,+9.93936835E-01,-4.19043145E-01
+6.30266285E-01,+0.00000000E+00,+9.07909476E-01,-4.04427537E-01,+9.93912093E-01,-4.19063028E-01,+9.07941955E-01,-4.04415582E-01,+9.93936898E-01,-4.19038744E-01
+6.87565856E-01,+0.00000000E+00,+9.07905313E-01,-4.04425462E-01,+9.93907447E-01,-4.19062825E-01,+9.07943966E-01,-4.04411234E-01,+9.93936966E-01,-4.19033925E-01
+7.44866115E-01,+0.00000000E+00,+9.07900789E-01,-4.04423206E-01,+9.93902396E-01,-4.19062604E-01,+9.07946153E-01,-4.04406508E-01,+9.93937040E-01,-4.19028686E-01
+8.02167119E-01,+0.00000000E+00,+9.07895902E-01,-4.04420770E-01,+9.93896940E-01,-4.19062365E-01,+9.07948514E-01,-4.04401403E-01,+9.93937120E-01,-4.19023028E-01
+8.59468925E-01,+0.00000000E+00,+9.07890653E-01,-4.04418153E-01,+9.93891081E-01,-4.19062109E-01,+9.07951050E-01,-4.04395921E-01,+9.93937206E-01,-4.19016951E-01
+9.16771591E-01,+0.00000000E+00,+9.07885042E-01,-4.04415356E-01,+9.93884817E-01,-4.19061835E-01,+9.07953761E-01,-4.04390060E-01,+9.93937298E-01,-4.19010454E-01
+9.74075174E-01,+0.00000000E+00,+9.07879069E-01,-4.04412378E-01,+9.93878149E-01,-4.19061544E-01,+9.07956648E-01,-4.04383820E-01,+9.93937396E-01,-4.19003539E-01
+1.03137973E+00,+0.00000000E+00,+9.07872734E-01,-4.04409220E-01,+9.93871077E-01,-4.19061235E-01,+9.07959709E-01,-4.04377203E-01,+9.93937500E-01,-4.18996204E-01
+1.08868532E+00,+0.00000000E+00,+9.07866036E-01,-4.04405881E-01,+9.93863601E-01,-4.19060909E-01,+9.07962945E-01,-4.04370207E-01,+9.93937610E-01,-4.18988450E-01
+1.14599200E+00,+0.00000000E+00,+9.07858976E-01,-4.04402363E-01,+9.93855720E-01,-4.19060565E-01,+9.07966355E-01,-4.04362833E-01,+9.93937726E-01,-4.18980276E-01
+1.20329982E+00,+0.00000000E+00,+9.07851554E-01,-4.04398663E-01,+9.93847435E-01,-4.19060204E-01,+9.07969941E-01,-4.04355081E-01,+9.93937848E-01,-4.18971684E-01
+1.26060885E+00,+0.00000000E+00,+9.07843769E-01,-4.04394784E-01,+9.93838745E-01,-4.19059825E-01,+9.07973702E-01,-4.04346950E-01,+9.93937976E-01,-4.18962672E-01
+1.31791914E+00,+0.00000000E+00,+9.07835622E-01,-4.04390724E-01,+9.93829651E-01,-4.19059429E-01,+9.07977638E-01,-4.04338441E-01,+9.93938109E-01,-4.18953240E-01
+1.37523075E+00,+0.00000000E+00,+9.07827112E-01,-4.04386483E-01,+9.93820152E-01,-4.19059016E-01,+9.07981748E-01,-4.04329553E-01,+9.93938249E-01,-4.18943389E-01
+1.43254374E+00,+0.00000000E+00,+9.07818240E-01,-4.04382063E-01,+9.93810248E-01,-4.19058585E-01,+9.07986034E-01,-4.04320287E-01,+9.93938394E-01,-4.18933119E-01
+1.48985816E+00,+0.00000000E+00,+9.07809005E-01,-4.04377461E-01,+9.93799940E-01,-4.19058137E-01,+9.07990494E-01,-4.04310643E-01,+9.93938546E-01,-4.18922429E-01
+1.54717407E+00,+0.00000000E+00,+9.07799408E-01,-4.04372680E-01,+9.93789228E-01,-4.19057671E-01,+9.07995129E-01,-4.04300620E-01,+9.93938703E-01,-4.18911320E-01
+1.60449153E+00,+0.00000000E+00,+9.07789448E-01,-4.04367718E-01,+9.93778110E-01,-4.19057189E-01,+9.07999940E-01,-4.04290218E-01,+9.93938867E-01,-4.18899791E-01
+1.66181059E+00,+0.00000000E+00,+9.07779125E-01,-4.04362576E-01,+9.93766588E-01,-4.19056689E-01,+9.08004925E-01,-4.04279438E-01,+9.93939036E-01,-4.18887843E-01
+1.71913132E+00,+0.00000000E+00,+9.07768439E-01,-4.04357254E-01,+9.93754661E-01,-4.19056172E-01,+9.08010085E-01,-4.04268279E-01,+9.93939211E-01,-4.18875475E-01
+1.77645377E+00,+0.00000000E+00,+9.07757390E-01,-4.04351751E-01,+9.93742330E-01,-4.19055638E-01,+9.08015420E-01,-4.04256741E-01,+9.93939393E-01,-4.18862687E-01
+1.83377800E+00,+0.00000000E+00,+9.07745978E-01,-4.04346068E-01,+9.93729593E-01,-4.19055087E-01,+9.08020930E-01,-4.04244825E-01,+9.93939580E-01,-4.18849480E-01
+1.89110407E+00,+0.00000000E+00,+9.07734203E-01,-4.04340205E-01,+9.93716451E-01,-4.19054519E-01,+9.08026615E-01,-4.04232530E-01,+9.93939773E-01,-4.18835853E-01
+1.94843202E+00,+0.00000000E+00,+9.07722065E-01,-4.04334162E-01,+9.93702904E-01,-4.19053933E-01,+9.08032475E-01,-4.04219856E-01,+9.93939972E-01,-4.18821806E-01
