theta_1,theta_2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+0.00000000E+00,+0.00000000E+00,+9.07876867E-01,-4.04260429E-01,+9.93814319E-01,-4.18922781E-01,+9.07876867E-01,-4.04260429E-01,+9.93814319E-01,-4.18922781E-01
+5.72957891E-02,+0.00000000E+00,+9.07876736E-01,-4.04260475E-01,+9.93814218E-01,-4.18922876E-01,+9.07876905E-01,-4.04260108E-01,+9.93814223E-01,-4.18922470E-01
+1.14591635E-01,+0.00000000E+00,+9.07876343E-01,-4.04260612E-01,+9.93813914E-01,-4.18923163E-01,+9.07877021E-01,-4.04259144E-01,+9.93813937E-01,-4.18921536E-01
+1.71887596E-01,+0.00000000E+00,+9.07875688E-01,-4.04260840E-01,+9.93813409E-01,-4.18923641E-01,+9.07877214E-01,-4.04257537E-01,+9.93813459E-01,-4.18919980E-01
+2.29183729E-01,+0.00000000E+00,+9.07874771E-01,-4.04261160E-01,+9.93812701E-01,-4.18924311E-01,+9.07877484E-01,-4.04255288E-01,+9.93812791E-01,-4.18917802E-01
+2.86480091E-01,+0.00000000E+00,+9.07873591E-01,-4.04261571E-01,+9.93811791E-01,-4.18925171E-01,+9.07877831E-01,-4.04252396E-01,+9.93811932E-01,-4.18915002E-01
+3.43776740E-01,+0.00000000E+00,+9.07872150E-01,-4.04262074E-01,+9.93810679E-01,-4.18926223E-01,+9.07878256E-01,-4.04248861E-01,+9.93810882E-01,-4.18911579E-01
+4.01073732E-01,+0.00000000E+00,+9.07870447E-01,-4.04262668E-01,+9.93809364E-01,-4.18927466E-01,+9.07878757E-01,-4.04244684E-01,+9.93809641E-01,-4.18907534E-01
+4.58371125E-01,+0.00000000E+00,+9.07868481E-01,-4.04263353E-01,+9.93807848E-01,-4.18928901E-01,+9.07879336E-01,-4.04239864E-01,+9.93808209E-01,-4.18902866E-01
+5.15668977E-01,+0.00000000E+00,+9.07866254E-01,-4.04264130E-01,+9.93806129E-01,-4.18930526E-01,+9.07879992E-01,-4.04234401E-01,+9.93806586E-01,-4.18897576E-01
+5.72967345E-01,+0.00000000E+00,+9.07863764E-01,-4.04264998E-01,+9.93804208E-01,-4.18932343E-01,+9.07880724E-01,-4.04228296E-01,+9.93804772E-01,-4.18891664E-01
+6.30266285E-01,+0.00000000E+00,+9.07861013E-01,-4.04265957E-01,+9.93802084E-01,-4.18934352E-01,+9.07881535E-01,-4.04221548E-01,+9.93802767E-01,-4.18885129E-01
+6.87565856E-01,+0.00000000E+00,+9.07857999E-01,-4.04267009E-01,+9.93799759E-01,-4.18936552E-01,+9.07882422E-01,-4.04214157E-01,+9.93800572E-01,-4.18877972E-01
+7.44866115E-01,+0.00000000E+00,+9.07854723E-01,-4.04268151E-01,+9.93797231E-01,-4.18938943E-01,+9.07883386E-01,-4.04206124E-01,+9.93798185E-01,-4.18870193E-01
+8.02167119E-01,+0.00000000E+00,+9.07851185E-01,-4.04269385E-01,+9.93794500E-01,-4.18941525E-01,+9.07884428E-01,-4.04197448E-01,+9.93795608E-01,-4.18861792E-01
+8.59468925E-01,+0.00000000E+00,+9.07847384E-01,-4.04270710E-01,+9.93791568E-01,-4.18944299E-01,+9.07885546E-01,-4.04188129E-01,+9.93792840E-01,-4.18852768E-01
+9.16771591E-01,+0.00000000E+00,+9.07843322E-01,-4.04272127E-01,+9.93788433E-01,-4.18947265E-01,+9.07886742E-01,-4.04178168E-01,+9.93789881E-01,-4.18843121E-01
+9.74075174E-01,+0.00000000E+00,+9.07838997E-01,-4.04273636E-01,+9.93785096E-01,-4.18950422E-01,+9.07888015E-01,-4.04167564E-01,+9.93786731E-01,-4.18832853E-01
+1.03137973E+00,+0.00000000E+00,+9.07834409E-01,-4.04275236E-01,+9.93781556E-01,-4.18953771E-01,+9.07889365E-01,-4.04156318E-01,+9.93783391E-01,-4.18821962E-01
+1.08868532E+00,+0.00000000E+00,+9.07829560E-01,-4.04276928E-01,+9.93777814E-01,-4.18957311E-01,+9.07890792E-01,-4.04144429E-01,+9.93779860E-01,-4.18810448E-01
+1.14599200E+00,+0.00000000E+00,+9.07824448E-01,-4.04278711E-01,+9.93773870E-01,-4.18961043E-01,+9.07892296E-01,-4.04131897E-01,+9.93776138E-01,-4.18798313E-01
+1.20329982E+00,+0.00000000E+00,+9.07819073E-01,-4.04280586E-01,+9.93769723E-01,-4.18964967E-01,+9.07893878E-01,-4.04118723E-01,+9.93772225E-01,-4.18785554E-01
+1.26060885E+00,+0.00000000E+00,+9.07813436E-01,-4.04282553E-01,+9.93765374E-01,-4.18969082E-01,+9.07895536E-01,-4.04104907E-01,+9.93768122E-01,-4.18772174E-01
+1.31791914E+00,+0.00000000E+00,+9.07807537E-01,-4.04284611E-01,+9.93760822E-01,-4.18973389E-01,+9.07897272E-01,-4.04090447E-01,+9.93763828E-01,-4.18758171E-01
+1.37523075E+00,+0.00000000E+00,+9.07801375E-01,-4.04286762E-01,+9.93756068E-01,-4.18977889E-01,+9.07899084E-01,-4.04075346E-01,+9.93759343E-01,-4.18743546E-01
+1.43254374E+00,+0.00000000E+00,+9.07794951E-01,-4.04289004E-01,+9.93751111E-01,-4.18982580E-01,+9.07900974E-01,-4.04059601E-01,+9.93754668E-01,-4.18728298E-01
+1.48985816E+00,+0.00000000E+00,+9.07788263E-01,-4.04291337E-01,+9.93745952E-01,-4.18987463E-01,+9.07902941E-01,-4.04043215E-01,+9.93749802E-01,-4.18712428E-01
+1.54717407E+00,+0.00000000E+00,+9.07781314E-01,-4.04293763E-01,+9.93740590E-01,-4.18992538E-01,+9.07904985E-01,-4.04026185E-01,+9.93744746E-01,-4.18695936E-01
+1.60449153E+00,+0.00000000E+00,+9.07774101E-01,-4.04296280E-01,+9.93735025E-01,-4.18997805E-01,+9.07907106E-01,-4.04008513E-01,+9.93739499E-01,-4.18678821E-01
+1.66181059E+00,+0.00000000E+00,+9.07766626E-01,-4.04298890E-01,+9.93729258E-01,-4.19003264E-01,+9.07909304E-01,-4.03990199E-01,+9.93734061E-01,-4.18661084E-01
+1.71913132E+00,+0.00000000E+00,+9.07758887E-01,-4.04301591E-01,+9.93723289E-01,-4.19008916E-01,+9.07911579E-01,-4.03971242E-01,+9.93728433E-01,-4.18642724E-01
+1.77645377E+00,+0.00000000E+00,+9.07750886E-01,-4.04304385E-01,+9.93717116E-01,-4.19014759E-01,+9.07913931E-01,-4.03951643E-01,+9.93722615E-01,-4.18623742E-01
+1.83377800E+00,+0.00000000E+00,+9.07742622E-01,-4.04307270E-01,+9.93710741E-01,-4.19020796E-01,+9.07916360E-01,-4.03931402E-01,+9.93716607E-01,-4.18604138E-01
+1.89110407E+00,+0.00000000E+00,+9.07734095E-01,-4.04310248E-01,+9.93704163E-01,-4.19027024E-01,+9.07918866E-01,-4.03910518E-01,+9.93710408E-01,-4.18583911E-01
+1.94843202E+00,+0.00000000E+00,+9.07725305E-01,-4.04313318E-01,+9.93697383E-01,-4.19033445E-01,+9.07921450E-01,-4.03888991E-01,+9.93704018E-01,-4.18563062E-01
+2.00576193E+00,+0.00000000E+00,+9.07716252E-01,-4.04316480E-01,+9.93690399E-01,-4.19040059E-01,+9.07924110E-01,-4.03866822E-01,+9.93697439E-01,-4.18541590E-01
+2.06309385E+00,+0.00000000E+00,+9.07706935E-01,-4.04319734E-01,+9.93683213E-01,-4.19046866E-01,+9.07926847E-01,-4.03844011E-01,+9.93690669E-01,-4.18519496E-01
+2.12042784E+00,+0.00000000E+00,+9.07697355E-01,-4.04323081E-01,+9.93675824E-01,-4.19053865E-01,+9.07929662E-01,-4.03820558E-01,+9.93683709E-01,-4.18496780E-01
+2.17776395E+00,+0.00000000E+00,+9.07687512E-01,-4.04326520E-01,+9.93668231E-01,-4.19061057E-01,+9.07932553E-01,-4.03796462E-01,+9.93676559E-01,-4.18473441E-01
+2.23510224E+00,+0.00000000E+00,+9.07677406E-01,-4.04330051E-01,+9.93660436E-01,-4.19068442E-01,+9.07935521E-01,-4.03771724E-01,+9.93669218E-01,-4.18449479E-01
+2.29244278E+00,+0.00000000E+00,+9.07667035E-01,-4.04333675E-01,+9.93652438E-01,-4.19076020E-01,+9.07938567E-01,-4.03746343E-01,+9.93661688E-01,-4.18424895E-01
+2.34978561E+00,+0.00000000E+00,+9.07656402E-01,-4.04337391E-01,+9.93644237E-01,-4.19083791E-01,+9.07941689E-01,-4.03720320E-01,+9.93653968E-01,-4.18399689E-01
+2.40713079E+00,+0.00000000E+00,+9.07645504E-01,-4.04341200E-01,+9.93635833E-01,-4.19091756E-01,+9.07944888E-01,-4.03693656E-01,+9.93646057E-01,-4.18373860E-01
