theta1,theta_2,Re(r_ibc01p.11),Im(r_ibc01p.11),Abs(r_ibc01p.11),Arg(r_ibc01p.11),Re(r_ibc01p.21),Im(r_ibc01p.21),Abs(r_ibc01p.21),Arg(r_ibc01p.21),Re(r_ibc01p.12),Im(r_ibc01p.12),Abs(r_ibc01p.12),Arg(r_ibc01p.12),Re(r_ibc01p.22),Im(r_ibc01p.22),Abs(r_ibc01p.22),Arg(r_ibc01p.22)
+0.00000000E+00,+0.00000000E+00,+8.90785093E-01,-3.60630343E-01,+9.61016299E-01,-3.84676547E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23557532E-01,-4.49718308E-01,+1.02723175E+00,-4.53146181E-01
+5.72967345E-01,+0.00000000E+00,+8.90771634E-01,-3.60633174E-01,+9.61004886E-01,-3.84684533E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23562117E-01,-4.49683216E-01,+1.02722051E+00,-4.53113513E-01
+1.14599200E+00,+0.00000000E+00,+8.90731248E-01,-3.60641675E-01,+9.60970641E-01,-3.84708503E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23575868E-01,-4.49577941E-01,+1.02718679E+00,-4.53015506E-01
+1.71913132E+00,+0.00000000E+00,+8.90663905E-01,-3.60655861E-01,+9.60913545E-01,-3.84748489E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23598777E-01,-4.49402490E-01,+1.02713061E+00,-4.52852158E-01
+2.29244278E+00,+0.00000000E+00,+8.90569557E-01,-3.60675763E-01,+9.60833566E-01,-3.84804542E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23630833E-01,-4.49156873E-01,+1.02705200E+00,-4.52623460E-01
+2.86598398E+00,+0.00000000E+00,+8.90448137E-01,-3.60701422E-01,+9.60730660E-01,-3.84876738E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23672018E-01,-4.48841106E-01,+1.02695099E+00,-4.52329403E-01
+3.43981277E+00,+0.00000000E+00,+8.90299557E-01,-3.60732890E-01,+9.60604768E-01,-3.84965172E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23722309E-01,-4.48455207E-01,+1.02682763E+00,-4.51969976E-01
+4.01398722E+00,+0.00000000E+00,+8.90123710E-01,-3.60770234E-01,+9.60455820E-01,-3.85069962E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23781681E-01,-4.47999200E-01,+1.02668197E+00,-4.51545162E-01
+4.58856574E+00,+0.00000000E+00,+8.89920469E-01,-3.60813530E-01,+9.60283731E-01,-3.85191247E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23850100E-01,-4.47473112E-01,+1.02651410E+00,-4.51054945E-01
+5.16360709E+00,+0.00000000E+00,+8.89689686E-01,-3.60862868E-01,+9.60088406E-01,-3.85329189E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.23927531E-01,-4.46876975E-01,+1.02632408E+00,-4.50499301E-01
+5.73917048E+00,+0.00000000E+00,+8.89431192E-01,-3.60918351E-01,+9.59869731E-01,-3.85483973E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24013933E-01,-4.46210823E-01,+1.02611201E+00,-4.49878209E-01
+6.31531557E+00,+0.00000000E+00,+8.89144798E-01,-3.60980093E-01,+9.59627584E-01,-3.85655808E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24109261E-01,-4.45474696E-01,+1.02587798E+00,-4.49191640E-01
+6.89210258E+00,+0.00000000E+00,+8.88830293E-01,-3.61048224E-01,+9.59361824E-01,-3.85844927E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24213466E-01,-4.44668638E-01,+1.02562212E+00,-4.48439563E-01
+7.46959232E+00,+0.00000000E+00,+8.88487443E-01,-3.61122885E-01,+9.59072298E-01,-3.86051586E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24326494E-01,-4.43792694E-01,+1.02534454E+00,-4.47621946E-01
+8.04784625E+00,+0.00000000E+00,+8.88115991E-01,-3.61204232E-01,+9.58758839E-01,-3.86276068E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24448289E-01,-4.42846915E-01,+1.02504538E+00,-4.46738751E-01
+8.62692656E+00,+0.00000000E+00,+8.87715659E-01,-3.61292435E-01,+9.58421262E-01,-3.86518681E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24578788E-01,-4.41831355E-01,+1.02472478E+00,-4.45789937E-01
+9.20689622E+00,+0.00000000E+00,+8.87286143E-01,-3.61387679E-01,+9.58059369E-01,-3.86779761E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24717930E-01,-4.40746070E-01,+1.02438291E+00,-4.44775459E-01
+9.78781906E+00,+0.00000000E+00,+8.86827115E-01,-3.61490163E-01,+9.57672945E-01,-3.87059673E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.24865645E-01,-4.39591122E-01,+1.02401993E+00,-4.43695269E-01
+1.03697598E+01,+0.00000000E+00,+8.86338219E-01,-3.61600105E-01,+9.57261758E-01,-3.87358807E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25021865E-01,-4.38366572E-01,+1.02363602E+00,-4.42549314E-01
+1.09527842E+01,+0.00000000E+00,+8.85819075E-01,-3.61717734E-01,+9.56825560E-01,-3.87677589E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25186516E-01,-4.37072488E-01,+1.02323138E+00,-4.41337538E-01
+1.15369590E+01,+0.00000000E+00,+8.85269275E-01,-3.61843301E-01,+9.56364085E-01,-3.88016471E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25359523E-01,-4.35708936E-01,+1.02280620E+00,-4.40059879E-01
+1.21223522E+01,+0.00000000E+00,+8.84688380E-01,-3.61977072E-01,+9.55877048E-01,-3.88375941E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25540810E-01,-4.34275989E-01,+1.02236071E+00,-4.38716270E-01
+1.27090330E+01,+0.00000000E+00,+8.84075925E-01,-3.62119331E-01,+9.55364146E-01,-3.88756521E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25730298E-01,-4.32773718E-01,+1.02189514E+00,-4.37306642E-01
+1.32970717E+01,+0.00000000E+00,+8.83431409E-01,-3.62270383E-01,+9.54825055E-01,-3.89158769E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.25927907E-01,-4.31202199E-01,+1.02140972E+00,-4.35830916E-01
+1.38865404E+01,+0.00000000E+00,+8.82754302E-01,-3.62430550E-01,+9.54259431E-01,-3.89583280E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.26133557E-01,-4.29561507E-01,+1.02090472E+00,-4.34289011E-01
+1.44775122E+01,+0.00000000E+00,+8.82044037E-01,-3.62600179E-01,+9.53666909E-01,-3.90030688E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.26347165E-01,-4.27851720E-01,+1.02038040E+00,-4.32680840E-01
+1.50700621E+01,+0.00000000E+00,+8.81300014E-01,-3.62779635E-01,+9.53047102E-01,-3.90501671E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.26568651E-01,-4.26072916E-01,+1.01983704E+00,-4.31006308E-01
+1.56642669E+01,+0.00000000E+00,+8.80521593E-01,-3.62969309E-01,+9.52399598E-01,-3.90996949E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.26797934E-01,-4.24225172E-01,+1.01927494E+00,-4.29265314E-01
+1.62602047E+01,+0.00000000E+00,+8.79708095E-01,-3.63169614E-01,+9.51723962E-01,-3.91517289E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.27034934E-01,-4.22308569E-01,+1.01869441E+00,-4.27457751E-01
+1.68579560E+01,+0.00000000E+00,+8.78858798E-01,-3.63380990E-01,+9.51019732E-01,-3.92063509E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.27279572E-01,-4.20323183E-01,+1.01809576E+00,-4.25583503E-01
+1.74576031E+01,+0.00000000E+00,+8.77972939E-01,-3.63603904E-01,+9.50286420E-01,-3.92636476E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.27531771E-01,-4.18269092E-01,+1.01747935E+00,-4.23642448E-01
+1.80592305E+01,+0.00000000E+00,+8.77049706E-01,-3.63838849E-01,+9.49523509E-01,-3.93237113E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.27791456E-01,-4.16146372E-01,+1.01684551E+00,-4.21634453E-01
+1.86629249E+01,+0.00000000E+00,+8.76088237E-01,-3.64086351E-01,+9.48730452E-01,-3.93866404E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.28058558E-01,-4.13955097E-01,+1.01619462E+00,-4.19559379E-01
+1.92687755E+01,+0.00000000E+00,+8.75087621E-01,-3.64346966E-01,+9.47906671E-01,-3.94525391E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.28333006E-01,-4.11695337E-01,+1.01552707E+00,-4.17417074E-01
+1.98768741E+01,+0.00000000E+00,+8.74046888E-01,-3.64621284E-01,+9.47051553E-01,-3.95215186E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.28614739E-01,-4.09367161E-01,+1.01484324E+00,-4.15207380E-01
+2.04873151E+01,+0.00000000E+00,+8.72965012E-01,-3.64909932E-01,+9.46164452E-01,-3.95936970E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.28903698E-01,-4.06970633E-01,+1.01414357E+00,-4.12930125E-01
+2.11001960E+01,+0.00000000E+00,+8.71840903E-01,-3.65213572E-01,+9.45244684E-01,-3.96692000E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.29199829E-01,-4.04505811E-01,+1.01342847E+00,-4.10585126E-01
+2.17156173E+01,+0.00000000E+00,+8.70673404E-01,-3.65532909E-01,+9.44291525E-01,-3.97481613E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.29503086E-01,-4.01972750E-01,+1.01269841E+00,-4.08172188E-01
