theta1,theta_2,Re(r_ibc1.tm),Im(r_ibc1.tm),Abs(r_ibc1.tm),Arg(r_ibc1.tm),Re(r_ibc1.te),Im(r_ibc1.te),Abs(r_ibc1.te),Arg(r_ibc1.te)
+0.00000000E+00,+0.00000000E+00,+9.02992307E-01,-3.90015093E-01,+9.83619276E-01,-4.07712331E-01,+9.02992307E-01,-3.90015093E-01,+9.83619276E-01,-4.07712331E-01
+5.72967345E-01,+0.00000000E+00,+9.02983492E-01,-3.90031569E-01,+9.83617716E-01,-4.07731262E-01,+9.03000328E-01,-3.89996349E-01,+9.83619207E-01,-4.07691603E-01
+1.14599200E+00,+0.00000000E+00,+9.02957035E-01,-3.90081008E-01,+9.83613034E-01,-4.07788069E-01,+9.03024392E-01,-3.89940109E-01,+9.83619002E-01,-4.07629413E-01
+1.71913132E+00,+0.00000000E+00,+9.02912908E-01,-3.90163446E-01,+9.83605222E-01,-4.07882800E-01,+9.03064498E-01,-3.89846350E-01,+9.83618658E-01,-4.07525739E-01
+2.29244278E+00,+0.00000000E+00,+9.02851060E-01,-3.90278943E-01,+9.83594271E-01,-4.08015533E-01,+9.03120647E-01,-3.89715033E-01,+9.83618173E-01,-4.07380543E-01
+2.86598398E+00,+0.00000000E+00,+9.02771421E-01,-3.90427585E-01,+9.83580163E-01,-4.08186378E-01,+9.03192839E-01,-3.89546105E-01,+9.83617544E-01,-4.07193777E-01
+3.43981277E+00,+0.00000000E+00,+9.02673902E-01,-3.90609478E-01,+9.83562880E-01,-4.08395474E-01,+9.03281076E-01,-3.89339494E-01,+9.83616767E-01,-4.06965373E-01
+4.01398722E+00,+0.00000000E+00,+9.02558392E-01,-3.90824758E-01,+9.83542395E-01,-4.08642996E-01,+9.03385357E-01,-3.89095117E-01,+9.83615836E-01,-4.06695252E-01
+4.58856574E+00,+0.00000000E+00,+9.02424758E-01,-3.91073582E-01,+9.83518679E-01,-4.08929150E-01,+9.03505685E-01,-3.88812871E-01,+9.83614747E-01,-4.06383318E-01
+5.16360709E+00,+0.00000000E+00,+9.02272849E-01,-3.91356134E-01,+9.83491697E-01,-4.09254173E-01,+9.03642059E-01,-3.88492639E-01,+9.83613492E-01,-4.06029461E-01
+5.73917048E+00,+0.00000000E+00,+9.02102489E-01,-3.91672621E-01,+9.83461409E-01,-4.09618337E-01,+9.03794481E-01,-3.88134287E-01,+9.83612062E-01,-4.05633556E-01
