s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+0.00000000E+00,+3.17846498E-03,+2.12651228E-01,+2.12674981E-01,+1.55585059E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17846498E-03,+2.12651228E-01,+2.12674981E-01,+1.55585059E+00
+1.00000000E-02,+0.00000000E+00,+3.18892723E-03,+2.12640119E-01,+2.12664030E-01,+1.55580062E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17845361E-03,+2.12650911E-01,+2.12674663E-01,+1.55585063E+00
+2.00000000E-02,+0.00000000E+00,+3.22031380E-03,+2.12606792E-01,+2.12631179E-01,+1.55565068E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17841949E-03,+2.12649958E-01,+2.12673710E-01,+1.55585072E+00
+3.00000000E-02,+0.00000000E+00,+3.27262413E-03,+2.12551247E-01,+2.12576440E-01,+1.55540067E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17836263E-03,+2.12648370E-01,+2.12672121E-01,+1.55585087E+00
+4.00000000E-02,+0.00000000E+00,+3.34585732E-03,+2.12473487E-01,+2.12499829E-01,+1.55505045E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17828303E-03,+2.12646146E-01,+2.12669897E-01,+1.55585109E+00
+5.00000000E-02,+0.00000000E+00,+3.44001207E-03,+2.12373511E-01,+2.12401369E-01,+1.55459981E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17818069E-03,+2.12643288E-01,+2.12667037E-01,+1.55585137E+00
+6.00000000E-02,+0.00000000E+00,+3.55508674E-03,+2.12251322E-01,+2.12281093E-01,+1.55404847E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17805561E-03,+2.12639794E-01,+2.12663542E-01,+1.55585172E+00
+7.00000000E-02,+0.00000000E+00,+3.69107931E-03,+2.12106922E-01,+2.12139036E-01,+1.55339611E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17790781E-03,+2.12635665E-01,+2.12659411E-01,+1.55585212E+00
+8.00000000E-02,+0.00000000E+00,+3.84798740E-03,+2.11940314E-01,+2.11975243E-01,+1.55264233E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17773727E-03,+2.12630902E-01,+2.12654646E-01,+1.55585259E+00
+9.00000000E-02,+0.00000000E+00,+4.02580825E-03,+2.11751501E-01,+2.11789766E-01,+1.55178667E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17754402E-03,+2.12625503E-01,+2.12649245E-01,+1.55585312E+00
+1.00000000E-01,+0.00000000E+00,+4.22453875E-03,+2.11540486E-01,+2.11582664E-01,+1.55082863E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17732805E-03,+2.12619470E-01,+2.12643209E-01,+1.55585371E+00
+1.10000000E-01,+0.00000000E+00,+4.44417543E-03,+2.11307273E-01,+2.11354003E-01,+1.54976761E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17708937E-03,+2.12612802E-01,+2.12636538E-01,+1.55585436E+00
+1.20000000E-01,+0.00000000E+00,+4.68471443E-03,+2.11051867E-01,+2.11103854E-01,+1.54860299E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17682799E-03,+2.12605500E-01,+2.12629233E-01,+1.55585508E+00
+1.30000000E-01,+0.00000000E+00,+4.94615153E-03,+2.10774272E-01,+2.10832299E-01,+1.54733405E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17654392E-03,+2.12597563E-01,+2.12621293E-01,+1.55585586E+00
+1.40000000E-01,+0.00000000E+00,+5.22848217E-03,+2.10474493E-01,+2.10539425E-01,+1.54596003E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17623717E-03,+2.12588992E-01,+2.12612719E-01,+1.55585670E+00
+1.50000000E-01,+0.00000000E+00,+5.53170140E-03,+2.10152536E-01,+2.10225327E-01,+1.54448009E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17590774E-03,+2.12579788E-01,+2.12603510E-01,+1.55585760E+00
+1.60000000E-01,+0.00000000E+00,+5.85580390E-03,+2.09808407E-01,+2.09890110E-01,+1.54289333E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17555566E-03,+2.12569949E-01,+2.12593668E-01,+1.55585856E+00
