s1,s2,Re(z_ibc01.11),Im(z_ibc01.11),Abs(z_ibc01.11),Arg(z_ibc01.11),Re(z_ibc01.21),Im(z_ibc01.21),Abs(z_ibc01.21),Arg(z_ibc01.21),Re(z_ibc01.12),Im(z_ibc01.12),Abs(z_ibc01.12),Arg(z_ibc01.12),Re(z_ibc01.22),Im(z_ibc01.22),Abs(z_ibc01.22),Arg(z_ibc01.22)
+0.00000000E+00,+0.00000000E+00,+3.24311857E-03,+2.12576734E-01,+2.12601471E-01,+1.55554128E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.24311857E-03,+2.12576734E-01,+2.12601471E-01,+1.55554128E+00
+1.00000000E-02,+0.00000000E+00,+3.24827909E-03,+2.12571095E-01,+2.12595912E-01,+1.55551661E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.24827909E-03,+2.12571095E-01,+2.12595912E-01,+1.55551661E+00
+2.00000000E-02,+0.00000000E+00,+3.26376062E-03,+2.12554180E-01,+2.12579236E-01,+1.55544257E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.26376062E-03,+2.12554180E-01,+2.12579236E-01,+1.55544257E+00
+3.00000000E-02,+0.00000000E+00,+3.28956318E-03,+2.12525987E-01,+2.12551444E-01,+1.55531916E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.28956318E-03,+2.12525987E-01,+2.12551444E-01,+1.55531916E+00
+4.00000000E-02,+0.00000000E+00,+3.32568676E-03,+2.12486517E-01,+2.12512541E-01,+1.55514632E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.32568676E-03,+2.12486517E-01,+2.12512541E-01,+1.55514632E+00
+5.00000000E-02,+0.00000000E+00,+3.37213136E-03,+2.12435770E-01,+2.12462532E-01,+1.55492401E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.37213136E-03,+2.12435770E-01,+2.12462532E-01,+1.55492401E+00
+6.00000000E-02,+0.00000000E+00,+3.42889699E-03,+2.12373746E-01,+2.12401425E-01,+1.55465215E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.42889699E-03,+2.12373746E-01,+2.12401425E-01,+1.55465215E+00
+7.00000000E-02,+0.00000000E+00,+3.49598364E-03,+2.12300445E-01,+2.12329227E-01,+1.55433066E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.49598364E-03,+2.12300445E-01,+2.12329227E-01,+1.55433066E+00
+8.00000000E-02,+0.00000000E+00,+3.57339132E-03,+2.12215867E-01,+2.12245950E-01,+1.55395944E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.57339132E-03,+2.12215867E-01,+2.12245950E-01,+1.55395944E+00
+9.00000000E-02,+0.00000000E+00,+3.66112002E-03,+2.12120011E-01,+2.12151604E-01,+1.55353838E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.66112002E-03,+2.12120011E-01,+2.12151604E-01,+1.55353838E+00
+1.00000000E-01,+0.00000000E+00,+3.75916974E-03,+2.12012879E-01,+2.12046203E-01,+1.55306733E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.75916974E-03,+2.12012879E-01,+2.12046203E-01,+1.55306733E+00
+1.10000000E-01,+0.00000000E+00,+3.86754048E-03,+2.11894469E-01,+2.11929762E-01,+1.55254615E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.86754048E-03,+2.11894469E-01,+2.11929762E-01,+1.55254615E+00
+1.20000000E-01,+0.00000000E+00,+3.98623225E-03,+2.11764783E-01,+2.11802297E-01,+1.55197468E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.98623225E-03,+2.11764783E-01,+2.11802297E-01,+1.55197468E+00
+1.30000000E-01,+0.00000000E+00,+4.11524504E-03,+2.11623819E-01,+2.11663828E-01,+1.55135274E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.11524504E-03,+2.11623819E-01,+2.11663828E-01,+1.55135274E+00
+1.40000000E-01,+0.00000000E+00,+4.25457885E-03,+2.11471578E-01,+2.11514372E-01,+1.55068012E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.25457885E-03,+2.11471578E-01,+2.11514372E-01,+1.55068012E+00
+1.50000000E-01,+0.00000000E+00,+4.40423369E-03,+2.11308060E-01,+2.11353953E-01,+1.54995663E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.40423369E-03,+2.11308060E-01,+2.11353953E-01,+1.54995663E+00
+1.60000000E-01,+0.00000000E+00,+4.56420955E-03,+2.11133265E-01,+2.11182593E-01,+1.54918202E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.56420955E-03,+2.11133265E-01,+2.11182593E-01,+1.54918202E+00
+1.70000000E-01,+0.00000000E+00,+4.73450644E-03,+2.10947193E-01,+2.11000317E-01,+1.54835606E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.73450644E-03,+2.10947193E-01,+2.11000317E-01,+1.54835606E+00
+1.80000000E-01,+0.00000000E+00,+4.91512434E-03,+2.10749844E-01,+2.10807151E-01,+1.54747848E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+4.91512434E-03,+2.10749844E-01,+2.10807151E-01,+1.54747848E+00
+1.90000000E-01,+0.00000000E+00,+5.10606327E-03,+2.10541217E-01,+2.10603124E-01,+1.54654900E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.10606327E-03,+2.10541217E-01,+2.10603124E-01,+1.54654900E+00
+2.00000000E-01,+0.00000000E+00,+5.30732323E-03,+2.10321314E-01,+2.10388267E-01,+1.54556732E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.30732323E-03,+2.10321314E-01,+2.10388267E-01,+1.54556732E+00
+2.10000000E-01,+0.00000000E+00,+5.51890420E-03,+2.10090133E-01,+2.10162609E-01,+1.54453315E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.51890420E-03,+2.10090133E-01,+2.10162609E-01,+1.54453315E+00
+2.20000000E-01,+0.00000000E+00,+5.74080620E-03,+2.09847676E-01,+2.09926187E-01,+1.54344613E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.74080620E-03,+2.09847676E-01,+2.09926187E-01,+1.54344613E+00
+2.30000000E-01,+0.00000000E+00,+5.97302923E-03,+2.09593941E-01,+2.09679034E-01,+1.54230594E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+5.97302923E-03,+2.09593941E-01,+2.09679034E-01,+1.54230594E+00
+2.40000000E-01,+0.00000000E+00,+6.21557327E-03,+2.09328929E-01,+2.09421188E-01,+1.54111219E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.21557327E-03,+2.09328929E-01,+2.09421188E-01,+1.54111219E+00
+2.50000000E-01,+0.00000000E+00,+6.46843834E-03,+2.09052640E-01,+2.09152688E-01,+1.53986452E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.46843834E-03,+2.09052640E-01,+2.09152688E-01,+1.53986452E+00
+2.60000000E-01,+0.00000000E+00,+6.73162444E-03,+2.08765074E-01,+2.08873576E-01,+1.53856252E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.73162444E-03,+2.08765074E-01,+2.08873576E-01,+1.53856252E+00
+2.70000000E-01,+0.00000000E+00,+7.00513155E-03,+2.08466231E-01,+2.08583895E-01,+1.53720577E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.00513155E-03,+2.08466231E-01,+2.08583895E-01,+1.53720577E+00
+2.80000000E-01,+0.00000000E+00,+7.28895969E-03,+2.08156111E-01,+2.08283689E-01,+1.53579383E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.28895969E-03,+2.08156111E-01,+2.08283689E-01,+1.53579383E+00
+2.90000000E-01,+0.00000000E+00,+7.58310886E-03,+2.07834713E-01,+2.07973007E-01,+1.53432626E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.58310886E-03,+2.07834713E-01,+2.07973007E-01,+1.53432626E+00
+3.00000000E-01,+0.00000000E+00,+7.88757904E-03,+2.07502039E-01,+2.07651896E-01,+1.53280256E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.88757904E-03,+2.07502039E-01,+2.07651896E-01,+1.53280256E+00
+3.10000000E-01,+0.00000000E+00,+8.20237025E-03,+2.07158087E-01,+2.07320409E-01,+1.53122226E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.20237025E-03,+2.07158087E-01,+2.07320409E-01,+1.53122226E+00
+3.20000000E-01,+0.00000000E+00,+8.52748248E-03,+2.06802859E-01,+2.06978599E-01,+1.52958484E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.52748248E-03,+2.06802859E-01,+2.06978599E-01,+1.52958484E+00
