s1,s2,Re(z_ibc01p.11),Im(z_ibc01p.11),Abs(z_ibc01p.11),Arg(z_ibc01p.11),Re(z_ibc01p.21),Im(z_ibc01p.21),Abs(z_ibc01p.21),Arg(z_ibc01p.21),Re(z_ibc01p.12),Im(z_ibc01p.12),Abs(z_ibc01p.12),Arg(z_ibc01p.12),Re(z_ibc01p.22),Im(z_ibc01p.22),Abs(z_ibc01p.22),Arg(z_ibc01p.22)
+0.00000000E+00,+0.00000000E+00,+2.06329679E-02,+1.94665813E-01,+1.95756221E-01,+1.46519885E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.41467308E-02,+2.30487655E-01,+2.30921391E-01,+1.63209682E+00
+1.00000000E-02,+0.00000000E+00,+2.06381284E-02,+1.94660174E-01,+1.95751158E-01,+1.46516960E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.41415702E-02,+2.30482016E-01,+2.30915447E-01,+1.63207601E+00
+2.00000000E-02,+0.00000000E+00,+2.06536100E-02,+1.94643259E-01,+1.95735970E-01,+1.46508183E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.41260887E-02,+2.30465100E-01,+2.30897616E-01,+1.63201357E+00
+3.00000000E-02,+0.00000000E+00,+2.06794125E-02,+1.94615066E-01,+1.95710659E-01,+1.46493553E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.41002862E-02,+2.30436908E-01,+2.30867898E-01,+1.63190949E+00
+4.00000000E-02,+0.00000000E+00,+2.07155361E-02,+1.94575596E-01,+1.95675231E-01,+1.46473064E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.40641626E-02,+2.30397438E-01,+2.30826298E-01,+1.63176373E+00
+5.00000000E-02,+0.00000000E+00,+2.07619807E-02,+1.94524849E-01,+1.95629693E-01,+1.46446710E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.40177180E-02,+2.30346691E-01,+2.30772820E-01,+1.63157624E+00
+6.00000000E-02,+0.00000000E+00,+2.08187463E-02,+1.94462825E-01,+1.95574054E-01,+1.46414483E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.39609523E-02,+2.30284667E-01,+2.30707468E-01,+1.63134698E+00
+7.00000000E-02,+0.00000000E+00,+2.08858330E-02,+1.94389524E-01,+1.95508325E-01,+1.46376373E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.38938657E-02,+2.30211366E-01,+2.30630250E-01,+1.63107586E+00
+8.00000000E-02,+0.00000000E+00,+2.09632406E-02,+1.94304946E-01,+1.95432519E-01,+1.46332368E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.38164580E-02,+2.30126787E-01,+2.30541174E-01,+1.63076280E+00
+9.00000000E-02,+0.00000000E+00,+2.10509693E-02,+1.94209090E-01,+1.95346651E-01,+1.46282454E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.37287293E-02,+2.30030932E-01,+2.30440248E-01,+1.63040772E+00
+1.00000000E-01,+0.00000000E+00,+2.11490191E-02,+1.94101958E-01,+1.95250739E-01,+1.46226616E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.36306796E-02,+2.29923800E-01,+2.30327482E-01,+1.63001049E+00
+1.10000000E-01,+0.00000000E+00,+2.12573898E-02,+1.93983548E-01,+1.95144802E-01,+1.46164837E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.35223088E-02,+2.29805390E-01,+2.30202889E-01,+1.62957099E+00
+1.20000000E-01,+0.00000000E+00,+2.13760816E-02,+1.93853862E-01,+1.95028861E-01,+1.46097097E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.34036171E-02,+2.29675703E-01,+2.30066481E-01,+1.62908909E+00
+1.30000000E-01,+0.00000000E+00,+2.15050944E-02,+1.93712898E-01,+1.94902940E-01,+1.46023376E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.32746043E-02,+2.29534740E-01,+2.29918272E-01,+1.62856464E+00
+1.40000000E-01,+0.00000000E+00,+2.16444282E-02,+1.93560657E-01,+1.94767064E-01,+1.45943649E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.31352705E-02,+2.29382499E-01,+2.29758278E-01,+1.62799747E+00
+1.50000000E-01,+0.00000000E+00,+2.17940830E-02,+1.93397139E-01,+1.94621262E-01,+1.45857893E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.29856156E-02,+2.29218981E-01,+2.29586514E-01,+1.62738741E+00
+1.60000000E-01,+0.00000000E+00,+2.19540589E-02,+1.93222344E-01,+1.94465562E-01,+1.45766080E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.28256398E-02,+2.29044186E-01,+2.29402999E-01,+1.62673427E+00
+1.70000000E-01,+0.00000000E+00,+2.21243558E-02,+1.93036272E-01,+1.94299999E-01,+1.45668183E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.26553429E-02,+2.28858114E-01,+2.29207753E-01,+1.62603783E+00
+1.80000000E-01,+0.00000000E+00,+2.23049737E-02,+1.92838923E-01,+1.94124604E-01,+1.45564170E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.24747250E-02,+2.28660764E-01,+2.29000795E-01,+1.62529790E+00
+1.90000000E-01,+0.00000000E+00,+2.24959126E-02,+1.92630296E-01,+1.93939416E-01,+1.45454009E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.22837861E-02,+2.28452138E-01,+2.28782147E-01,+1.62451422E+00
+2.00000000E-01,+0.00000000E+00,+2.26971726E-02,+1.92410393E-01,+1.93744473E-01,+1.45337666E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.20825261E-02,+2.28232235E-01,+2.28551833E-01,+1.62368657E+00
+2.10000000E-01,+0.00000000E+00,+2.29087535E-02,+1.92179212E-01,+1.93539817E-01,+1.45215103E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.18709451E-02,+2.28001054E-01,+2.28309877E-01,+1.62281467E+00
+2.20000000E-01,+0.00000000E+00,+2.31306555E-02,+1.91936755E-01,+1.93325490E-01,+1.45086284E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.16490431E-02,+2.27758596E-01,+2.28056305E-01,+1.62189825E+00
+2.30000000E-01,+0.00000000E+00,+2.33628786E-02,+1.91683020E-01,+1.93101539E-01,+1.44951166E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.14168201E-02,+2.27504862E-01,+2.27791145E-01,+1.62093702E+00
+2.40000000E-01,+0.00000000E+00,+2.36054226E-02,+1.91418008E-01,+1.92868011E-01,+1.44809709E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.11742761E-02,+2.27239850E-01,+2.27514425E-01,+1.61993068E+00
+2.50000000E-01,+0.00000000E+00,+2.38582877E-02,+1.91141719E-01,+1.92624959E-01,+1.44661868E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.09214110E-02,+2.26963561E-01,+2.27226176E-01,+1.61887890E+00
+2.60000000E-01,+0.00000000E+00,+2.41214738E-02,+1.90854153E-01,+1.92372434E-01,+1.44507596E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.06582249E-02,+2.26675995E-01,+2.26926429E-01,+1.61778137E+00
+2.70000000E-01,+0.00000000E+00,+2.43949809E-02,+1.90555310E-01,+1.92110492E-01,+1.44346844E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.03847178E-02,+2.26377152E-01,+2.26615218E-01,+1.61663771E+00
+2.80000000E-01,+0.00000000E+00,+2.46788090E-02,+1.90245190E-01,+1.91839193E-01,+1.44179563E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.01008896E-02,+2.26067031E-01,+2.26292578E-01,+1.61544758E+00
+2.90000000E-01,+0.00000000E+00,+2.49729582E-02,+1.89923792E-01,+1.91558596E-01,+1.44005699E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-9.80674048E-03,+2.25745634E-01,+2.25958544E-01,+1.61421058E+00
+3.00000000E-01,+0.00000000E+00,+2.52774284E-02,+1.89591118E-01,+1.91268765E-01,+1.43825198E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-9.50227029E-03,+2.25412960E-01,+2.25613154E-01,+1.61292633E+00
+3.10000000E-01,+0.00000000E+00,+2.55922196E-02,+1.89247166E-01,+1.90969766E-01,+1.43638003E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-9.18747908E-03,+2.25069008E-01,+2.25256450E-01,+1.61159440E+00
+3.20000000E-01,+0.00000000E+00,+2.59173318E-02,+1.88891938E-01,+1.90661670E-01,+1.43444055E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.86236685E-03,+2.24713779E-01,+2.24888471E-01,+1.61021436E+00
+3.30000000E-01,+0.00000000E+00,+2.62527651E-02,+1.88525432E-01,+1.90344546E-01,+1.43243293E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.52693359E-03,+2.24347274E-01,+2.24509260E-01,+1.60878578E+00
+3.40000000E-01,+0.00000000E+00,+2.65985193E-02,+1.88147649E-01,+1.90018470E-01,+1.43035653E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.18117931E-03,+2.23969491E-01,+2.24118862E-01,+1.60730819E+00
+3.50000000E-01,+0.00000000E+00,+2.69545947E-02,+1.87758589E-01,+1.89683521E-01,+1.42821069E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.82510401E-03,+2.23580431E-01,+2.23717325E-01,+1.60578110E+00
+3.60000000E-01,+0.00000000E+00,+2.73209910E-02,+1.87358252E-01,+1.89339777E-01,+1.42599474E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.45870768E-03,+2.23180094E-01,+2.23304694E-01,+1.60420402E+00
+3.70000000E-01,+0.00000000E+00,+2.76977083E-02,+1.86946638E-01,+1.88987324E-01,+1.42370797E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.08199033E-03,+2.22768480E-01,+2.22881022E-01,+1.60257643E+00
+3.80000000E-01,+0.00000000E+00,+2.80847467E-02,+1.86523747E-01,+1.88626247E-01,+1.42134967E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.69495196E-03,+2.22345588E-01,+2.22446360E-01,+1.60089780E+00
+3.90000000E-01,+0.00000000E+00,+2.84821061E-02,+1.86089578E-01,+1.88256637E-01,+1.41891908E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-6.29759257E-03,+2.21911420E-01,+2.22000761E-01,+1.59916757E+00
+4.00000000E-01,+0.00000000E+00,+2.88897865E-02,+1.85644133E-01,+1.87878588E-01,+1.41641544E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.88991215E-03,+2.21465975E-01,+2.21544282E-01,+1.59738517E+00
+4.10000000E-01,+0.00000000E+00,+2.93077880E-02,+1.85187410E-01,+1.87492196E-01,+1.41383794E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.47191071E-03,+2.21009252E-01,+2.21076980E-01,+1.59555001E+00
+4.20000000E-01,+0.00000000E+00,+2.97361104E-02,+1.84719411E-01,+1.87097560E-01,+1.41118578E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-5.04358824E-03,+2.20541252E-01,+2.20598916E-01,+1.59366148E+00
+4.30000000E-01,+0.00000000E+00,+3.01747539E-02,+1.84240134E-01,+1.86694785E-01,+1.40845811E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.60494475E-03,+2.20061976E-01,+2.20110151E-01,+1.59171895E+00
+4.40000000E-01,+0.00000000E+00,+3.06237184E-02,+1.83749580E-01,+1.86283978E-01,+1.40565406E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.15598024E-03,+2.19571422E-01,+2.19610750E-01,+1.58972176E+00
+4.50000000E-01,+0.00000000E+00,+3.10830040E-02,+1.83247749E-01,+1.85865249E-01,+1.40277276E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.69669470E-03,+2.19069591E-01,+2.19100779E-01,+1.58766925E+00
+4.60000000E-01,+0.00000000E+00,+3.15526105E-02,+1.82734641E-01,+1.85438713E-01,+1.39981327E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-3.22708815E-03,+2.18556483E-01,+2.18580306E-01,+1.58556072E+00
+4.70000000E-01,+0.00000000E+00,+3.20325381E-02,+1.82210256E-01,+1.85004489E-01,+1.39677467E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.74716056E-03,+2.18032098E-01,+2.18049404E-01,+1.58339546E+00
+4.80000000E-01,+0.00000000E+00,+3.25227867E-02,+1.81674594E-01,+1.84562698E-01,+1.39365599E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.25691196E-03,+2.17496435E-01,+2.17508145E-01,+1.58117273E+00
+4.90000000E-01,+0.00000000E+00,+3.30233563E-02,+1.81127654E-01,+1.84113468E-01,+1.39045624E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.75634233E-03,+2.16949496E-01,+2.16956605E-01,+1.57889178E+00
+5.00000000E-01,+0.00000000E+00,+3.35342470E-02,+1.80569438E-01,+1.83656929E-01,+1.38717441E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.24545168E-03,+2.16391280E-01,+2.16394864E-01,+1.57655182E+00
+5.10000000E-01,+0.00000000E+00,+3.40554587E-02,+1.79999944E-01,+1.83193216E-01,+1.38380947E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-7.24240004E-04,+2.15821786E-01,+2.15823001E-01,+1.57415205E+00
+5.20000000E-01,+0.00000000E+00,+3.45869914E-02,+1.79419174E-01,+1.82722467E-01,+1.38036034E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.92707306E-04,+2.15241015E-01,+2.15241102E-01,+1.57169164E+00
+5.30000000E-01,+0.00000000E+00,+3.51288451E-02,+1.78827126E-01,+1.82244826E-01,+1.37682594E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.49146415E-04,+2.14648968E-01,+2.14649251E-01,+1.56916974E+00
+5.40000000E-01,+0.00000000E+00,+3.56810198E-02,+1.78223801E-01,+1.81760442E-01,+1.37320515E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.01321159E-04,+2.14045643E-01,+2.14047540E-01,+1.56658547E+00
+5.50000000E-01,+0.00000000E+00,+3.62435156E-02,+1.77609199E-01,+1.81269468E-01,+1.36949684E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.46381693E-03,+2.13431041E-01,+2.13436060E-01,+1.56393793E+00
+5.60000000E-01,+0.00000000E+00,+3.68163324E-02,+1.76983320E-01,+1.80772061E-01,+1.36569984E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.03663372E-03,+2.12805162E-01,+2.12814907E-01,+1.56122620E+00
