s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+3.17851335E-03,+2.12651175E-01,+2.12674928E-01,+1.55585036E+00,+3.17851335E-03,+2.12651175E-01,+2.12674928E-01,+1.55585036E+00
+1.00000000E-02,+0.00000000E+00,+3.18897541E-03,+2.12640066E-01,+2.12663977E-01,+1.55580039E+00,+3.17850195E-03,+2.12650857E-01,+2.12674611E-01,+1.55585039E+00
+2.00000000E-02,+0.00000000E+00,+3.22036143E-03,+2.12606740E-01,+2.12631128E-01,+1.55565045E+00,+3.17846777E-03,+2.12649905E-01,+2.12673657E-01,+1.55585049E+00
+3.00000000E-02,+0.00000000E+00,+3.27267086E-03,+2.12551196E-01,+2.12576389E-01,+1.55540045E+00,+3.17841079E-03,+2.12648317E-01,+2.12672069E-01,+1.55585064E+00
+4.00000000E-02,+0.00000000E+00,+3.34590278E-03,+2.12473437E-01,+2.12499780E-01,+1.55505023E+00,+3.17833103E-03,+2.12646093E-01,+2.12669845E-01,+1.55585086E+00
+5.00000000E-02,+0.00000000E+00,+3.44005591E-03,+2.12373462E-01,+2.12401322E-01,+1.55459960E+00,+3.17822849E-03,+2.12643235E-01,+2.12666985E-01,+1.55585114E+00
+6.00000000E-02,+0.00000000E+00,+3.55512861E-03,+2.12251276E-01,+2.12281047E-01,+1.55404827E+00,+3.17810317E-03,+2.12639742E-01,+2.12663490E-01,+1.55585149E+00
+7.00000000E-02,+0.00000000E+00,+3.69111887E-03,+2.12106878E-01,+2.12138993E-01,+1.55339592E+00,+3.17795507E-03,+2.12635613E-01,+2.12659360E-01,+1.55585189E+00
+8.00000000E-02,+0.00000000E+00,+3.84802432E-03,+2.11940273E-01,+2.11975203E-01,+1.55264215E+00,+3.17778420E-03,+2.12630850E-01,+2.12654595E-01,+1.55585236E+00
+9.00000000E-02,+0.00000000E+00,+4.02584222E-03,+2.11751463E-01,+2.11789730E-01,+1.55178651E+00,+3.17759056E-03,+2.12625452E-01,+2.12649194E-01,+1.55585289E+00
+1.00000000E-01,+0.00000000E+00,+4.22456945E-03,+2.11540452E-01,+2.11582631E-01,+1.55082848E+00,+3.17737417E-03,+2.12619419E-01,+2.12643159E-01,+1.55585349E+00
+1.10000000E-01,+0.00000000E+00,+4.44420257E-03,+2.11307243E-01,+2.11353973E-01,+1.54976748E+00,+3.17713503E-03,+2.12612752E-01,+2.12636489E-01,+1.55585414E+00
+1.20000000E-01,+0.00000000E+00,+4.68473772E-03,+2.11051841E-01,+2.11103829E-01,+1.54860288E+00,+3.17687315E-03,+2.12605450E-01,+2.12629184E-01,+1.55585486E+00
+1.30000000E-01,+0.00000000E+00,+4.94617073E-03,+2.10774251E-01,+2.10832278E-01,+1.54733396E+00,+3.17658853E-03,+2.12597514E-01,+2.12621245E-01,+1.55585564E+00
+1.40000000E-01,+0.00000000E+00,+5.22849701E-03,+2.10474477E-01,+2.10539409E-01,+1.54595996E+00,+3.17628119E-03,+2.12588944E-01,+2.12612671E-01,+1.55585649E+00
+1.50000000E-01,+0.00000000E+00,+5.53171165E-03,+2.10152525E-01,+2.10225316E-01,+1.54448004E+00,+3.17595113E-03,+2.12579740E-01,+2.12603463E-01,+1.55585739E+00
+1.60000000E-01,+0.00000000E+00,+5.85580936E-03,+2.09808401E-01,+2.09890104E-01,+1.54289330E+00,+3.17559838E-03,+2.12569903E-01,+2.12593621E-01,+1.55585836E+00
+1.70000000E-01,+0.00000000E+00,+6.20078449E-03,+2.09442111E-01,+2.09533882E-01,+1.54119878E+00,+3.17522293E-03,+2.12559431E-01,+2.12583146E-01,+1.55585939E+00
+1.80000000E-01,+0.00000000E+00,+6.56663101E-03,+2.09053662E-01,+2.09156770E-01,+1.53939543E+00,+3.17482481E-03,+2.12548327E-01,+2.12572037E-01,+1.55586048E+00
+1.90000000E-01,+0.00000000E+00,+6.95334255E-03,+2.08643061E-01,+2.08758894E-01,+1.53748216E+00,+3.17440403E-03,+2.12536590E-01,+2.12560294E-01,+1.55586164E+00
+2.00000000E-01,+0.00000000E+00,+7.36091238E-03,+2.08210316E-01,+2.08340391E-01,+1.53545779E+00,+3.17396060E-03,+2.12524219E-01,+2.12547919E-01,+1.55586285E+00
+2.10000000E-01,+0.00000000E+00,+7.78933337E-03,+2.07755434E-01,+2.07901405E-01,+1.53332108E+00,+3.17349454E-03,+2.12511217E-01,+2.12534911E-01,+1.55586413E+00
+2.20000000E-01,+0.00000000E+00,+8.23859807E-03,+2.07278424E-01,+2.07442087E-01,+1.53107071E+00,+3.17300586E-03,+2.12497582E-01,+2.12521270E-01,+1.55586547E+00
+2.30000000E-01,+0.00000000E+00,+8.70869865E-03,+2.06779294E-01,+2.06962600E-01,+1.52870529E+00,+3.17249459E-03,+2.12483315E-01,+2.12506997E-01,+1.55586688E+00
+2.40000000E-01,+0.00000000E+00,+9.19962691E-03,+2.06258054E-01,+2.06463115E-01,+1.52622336E+00,+3.17196073E-03,+2.12468416E-01,+2.12492092E-01,+1.55586834E+00
+2.50000000E-01,+0.00000000E+00,+9.71137431E-03,+2.05714713E-01,+2.05943813E-01,+1.52362338E+00,+3.17140431E-03,+2.12452886E-01,+2.12476555E-01,+1.55586987E+00
+2.60000000E-01,+0.00000000E+00,+1.02439319E-02,+2.05149281E-01,+2.05404882E-01,+1.52090373E+00,+3.17082534E-03,+2.12436725E-01,+2.12460388E-01,+1.55587146E+00
+2.70000000E-01,+0.00000000E+00,+1.07972905E-02,+2.04561768E-01,+2.04846524E-01,+1.51806272E+00,+3.17022385E-03,+2.12419934E-01,+2.12443589E-01,+1.55587311E+00
+2.80000000E-01,+0.00000000E+00,+1.13714404E-02,+2.03952186E-01,+2.04268949E-01,+1.51509857E+00,+3.16959986E-03,+2.12402512E-01,+2.12426160E-01,+1.55587482E+00
+2.90000000E-01,+0.00000000E+00,+1.19663716E-02,+2.03320544E-01,+2.03672379E-01,+1.51200943E+00,+3.16895338E-03,+2.12384460E-01,+2.12408100E-01,+1.55587660E+00
+3.00000000E-01,+0.00000000E+00,+1.25820738E-02,+2.02666856E-01,+2.03057044E-01,+1.50879336E+00,+3.16828445E-03,+2.12365778E-01,+2.12389411E-01,+1.55587844E+00
+3.10000000E-01,+0.00000000E+00,+1.32185363E-02,+2.01991132E-01,+2.02423188E-01,+1.50544833E+00,+3.16759308E-03,+2.12346468E-01,+2.12370092E-01,+1.55588034E+00
+3.20000000E-01,+0.00000000E+00,+1.38757480E-02,+2.01293385E-01,+2.01771066E-01,+1.50197224E+00,+3.16687930E-03,+2.12326529E-01,+2.12350145E-01,+1.55588230E+00
+3.30000000E-01,+0.00000000E+00,+1.45536974E-02,+2.00573627E-01,+2.01100945E-01,+1.49836290E+00,+3.16614313E-03,+2.12305961E-01,+2.12329568E-01,+1.55588432E+00
+3.40000000E-01,+0.00000000E+00,+1.52523729E-02,+1.99831873E-01,+2.00413104E-01,+1.49461800E+00,+3.16538460E-03,+2.12284766E-01,+2.12308364E-01,+1.55588640E+00
+3.50000000E-01,+0.00000000E+00,+1.59717621E-02,+1.99068135E-01,+1.99707835E-01,+1.49073518E+00,+3.16460373E-03,+2.12262943E-01,+2.12286532E-01,+1.55588855E+00
+3.60000000E-01,+0.00000000E+00,+1.67118528E-02,+1.98282427E-01,+1.98985444E-01,+1.48671198E+00,+3.16380055E-03,+2.12240493E-01,+2.12264073E-01,+1.55589075E+00
+3.70000000E-01,+0.00000000E+00,+1.74726319E-02,+1.97474763E-01,+1.98246248E-01,+1.48254582E+00,+3.16297509E-03,+2.12217417E-01,+2.12240987E-01,+1.55589302E+00
+3.80000000E-01,+0.00000000E+00,+1.82540864E-02,+1.96645159E-01,+1.97490583E-01,+1.47823405E+00,+3.16212738E-03,+2.12193714E-01,+2.12217274E-01,+1.55589535E+00
+3.90000000E-01,+0.00000000E+00,+1.90562025E-02,+1.95793629E-01,+1.96718794E-01,+1.47377391E+00,+3.16125744E-03,+2.12169387E-01,+2.12192936E-01,+1.55589774E+00
+4.00000000E-01,+0.00000000E+00,+1.98789665E-02,+1.94920189E-01,+1.95931247E-01,+1.46916256E+00,+3.16036531E-03,+2.12144434E-01,+2.12167973E-01,+1.55590019E+00
+4.10000000E-01,+0.00000000E+00,+2.07223641E-02,+1.94024855E-01,+1.95128318E-01,+1.46439704E+00,+3.15945102E-03,+2.12118857E-01,+2.12142385E-01,+1.55590271E+00
+4.20000000E-01,+0.00000000E+00,+2.15863805E-02,+1.93107642E-01,+1.94310405E-01,+1.45947429E+00,+3.15851459E-03,+2.12092656E-01,+2.12116173E-01,+1.55590528E+00
+4.30000000E-01,+0.00000000E+00,+2.24710010E-02,+1.92168569E-01,+1.93477918E-01,+1.45439116E+00,+3.15755606E-03,+2.12065831E-01,+2.12089337E-01,+1.55590792E+00
+4.40000000E-01,+0.00000000E+00,+2.33762100E-02,+1.91207651E-01,+1.92631287E-01,+1.44914440E+00,+3.15657547E-03,+2.12038384E-01,+2.12061878E-01,+1.55591061E+00
+4.50000000E-01,+0.00000000E+00,+2.43019920E-02,+1.90224906E-01,+1.91770961E-01,+1.44373063E+00,+3.15557284E-03,+2.12010314E-01,+2.12033797E-01,+1.55591337E+00
+4.60000000E-01,+0.00000000E+00,+2.52483310E-02,+1.89220352E-01,+1.90897406E-01,+1.43814639E+00,+3.15454821E-03,+2.11981623E-01,+2.12005094E-01,+1.55591619E+00
+4.70000000E-01,+0.00000000E+00,+2.62152105E-02,+1.88194007E-01,+1.90011109E-01,+1.43238811E+00,+3.15350162E-03,+2.11952311E-01,+2.11975769E-01,+1.55591907E+00
+4.80000000E-01,+0.00000000E+00,+2.72026138E-02,+1.87145890E-01,+1.89112576E-01,+1.42645211E+00,+3.15243310E-03,+2.11922379E-01,+2.11945824E-01,+1.55592201E+00
+4.90000000E-01,+0.00000000E+00,+2.82105239E-02,+1.86076020E-01,+1.88202335E-01,+1.42033460E+00,+3.15134269E-03,+2.11891826E-01,+2.11915259E-01,+1.55592501E+00
+5.00000000E-01,+0.00000000E+00,+2.92389234E-02,+1.84984416E-01,+1.87280936E-01,+1.41403170E+00,+3.15023042E-03,+2.11860655E-01,+2.11884075E-01,+1.55592807E+00
+5.10000000E-01,+0.00000000E+00,+3.02877944E-02,+1.83871098E-01,+1.86348950E-01,+1.40753940E+00,+3.14909634E-03,+2.11828865E-01,+2.11852271E-01,+1.55593119E+00
+5.20000000E-01,+0.00000000E+00,+3.13571189E-02,+1.82736086E-01,+1.85406974E-01,+1.40085362E+00,+3.14794048E-03,+2.11796458E-01,+2.11819850E-01,+1.55593438E+00
+5.30000000E-01,+0.00000000E+00,+3.24468783E-02,+1.81579401E-01,+1.84455628E-01,+1.39397014E+00,+3.14676288E-03,+2.11763433E-01,+2.11786812E-01,+1.55593762E+00
+5.40000000E-01,+0.00000000E+00,+3.35570540E-02,+1.80401064E-01,+1.83495557E-01,+1.38688467E+00,+3.14556358E-03,+2.11729792E-01,+2.11753157E-01,+1.55594092E+00
+5.50000000E-01,+0.00000000E+00,+3.46876268E-02,+1.79201095E-01,+1.82527433E-01,+1.37959281E+00,+3.14434262E-03,+2.11695535E-01,+2.11718885E-01,+1.55594428E+00
+5.60000000E-01,+0.00000000E+00,+3.58385771E-02,+1.77979516E-01,+1.81551954E-01,+1.37209006E+00,+3.14310005E-03,+2.11660663E-01,+2.11683999E-01,+1.55594771E+00
+5.70000000E-01,+0.00000000E+00,+3.70098852E-02,+1.76736351E-01,+1.80569846E-01,+1.36437185E+00,+3.14183590E-03,+2.11625177E-01,+2.11648498E-01,+1.55595119E+00
+5.80000000E-01,+0.00000000E+00,+3.82015308E-02,+1.75471620E-01,+1.79581866E-01,+1.35643350E+00,+3.14055022E-03,+2.11589078E-01,+2.11612383E-01,+1.55595473E+00
+5.90000000E-01,+0.00000000E+00,+3.94134935E-02,+1.74185347E-01,+1.78588798E-01,+1.34827027E+00,+3.13924306E-03,+2.11552365E-01,+2.11575656E-01,+1.55595833E+00
+6.00000000E-01,+0.00000000E+00,+4.06457525E-02,+1.72877556E-01,+1.77591459E-01,+1.33987733E+00,+3.13791445E-03,+2.11515041E-01,+2.11538316E-01,+1.55596200E+00
+6.10000000E-01,+0.00000000E+00,+4.18982865E-02,+1.71548269E-01,+1.76590699E-01,+1.33124979E+00,+3.13656444E-03,+2.11477106E-01,+2.11500365E-01,+1.55596572E+00
+6.20000000E-01,+0.00000000E+00,+4.31710739E-02,+1.70197510E-01,+1.75587397E-01,+1.32238271E+00,+3.13519309E-03,+2.11438560E-01,+2.11461803E-01,+1.55596950E+00
+6.30000000E-01,+0.00000000E+00,+4.44640931E-02,+1.68825304E-01,+1.74582470E-01,+1.31327108E+00,+3.13380042E-03,+2.11399405E-01,+2.11422631E-01,+1.55597334E+00
+6.40000000E-01,+0.00000000E+00,+4.57773216E-02,+1.67431676E-01,+1.73576868E-01,+1.30390989E+00,+3.13238650E-03,+2.11359640E-01,+2.11382850E-01,+1.55597724E+00
+6.50000000E-01,+0.00000000E+00,+4.71107371E-02,+1.66016650E-01,+1.72571579E-01,+1.29429406E+00,+3.13095136E-03,+2.11319268E-01,+2.11342461E-01,+1.55598120E+00
+6.60000000E-01,+0.00000000E+00,+4.84643167E-02,+1.64580253E-01,+1.71567624E-01,+1.28441855E+00,+3.12949507E-03,+2.11278289E-01,+2.11301465E-01,+1.55598522E+00
+6.70000000E-01,+0.00000000E+00,+4.98380371E-02,+1.63122509E-01,+1.70566066E-01,+1.27427828E+00,+3.12801766E-03,+2.11236704E-01,+2.11259862E-01,+1.55598929E+00
+6.80000000E-01,+0.00000000E+00,+5.12318749E-02,+1.61643445E-01,+1.69568005E-01,+1.26386822E+00,+3.12651919E-03,+2.11194513E-01,+2.11217654E-01,+1.55599343E+00
+6.90000000E-01,+0.00000000E+00,+5.26458061E-02,+1.60143088E-01,+1.68574581E-01,+1.25318338E+00,+3.12499970E-03,+2.11151717E-01,+2.11174841E-01,+1.55599762E+00
+7.00000000E-01,+0.00000000E+00,+5.40798066E-02,+1.58621464E-01,+1.67586975E-01,+1.24221883E+00,+3.12345925E-03,+2.11108319E-01,+2.11131424E-01,+1.55600188E+00
+7.10000000E-01,+0.00000000E+00,+5.55338519E-02,+1.57078600E-01,+1.66606409E-01,+1.23096972E+00,+3.12189789E-03,+2.11064317E-01,+2.11087404E-01,+1.55600619E+00
+7.20000000E-01,+0.00000000E+00,+5.70079171E-02,+1.55514525E-01,+1.65634146E-01,+1.21943132E+00,+3.12031568E-03,+2.11019714E-01,+2.11042782E-01,+1.55601056E+00
+7.30000000E-01,+0.00000000E+00,+5.85019770E-02,+1.53929267E-01,+1.64671492E-01,+1.20759905E+00,+3.11871265E-03,+2.10974509E-01,+2.10997559E-01,+1.55601499E+00
+7.40000000E-01,+0.00000000E+00,+6.00160062E-02,+1.52322852E-01,+1.63719798E-01,+1.19546848E+00,+3.11708888E-03,+2.10928705E-01,+2.10951736E-01,+1.55601948E+00
+7.50000000E-01,+0.00000000E+00,+6.15499788E-02,+1.50695311E-01,+1.62780456E-01,+1.18303541E+00,+3.11544441E-03,+2.10882302E-01,+2.10905314E-01,+1.55602402E+00
+7.60000000E-01,+0.00000000E+00,+6.31038687E-02,+1.49046673E-01,+1.61854901E-01,+1.17029586E+00,+3.11377930E-03,+2.10835301E-01,+2.10858293E-01,+1.55602862E+00
+7.70000000E-01,+0.00000000E+00,+6.46776495E-02,+1.47376966E-01,+1.60944613E-01,+1.15724612E+00,+3.11209361E-03,+2.10787703E-01,+2.10810675E-01,+1.55603329E+00
+7.80000000E-01,+0.00000000E+00,+6.62712942E-02,+1.45686221E-01,+1.60051115E-01,+1.14388282E+00,+3.11038738E-03,+2.10739509E-01,+2.10762461E-01,+1.55603800E+00
+7.90000000E-01,+0.00000000E+00,+6.78847759E-02,+1.43974467E-01,+1.59175972E-01,+1.13020292E+00,+3.10866068E-03,+2.10690719E-01,+2.10713652E-01,+1.55604278E+00
+8.00000000E-01,+0.00000000E+00,+6.95180671E-02,+1.42241736E-01,+1.58320792E-01,+1.11620380E+00,+3.10691357E-03,+2.10641336E-01,+2.10664248E-01,+1.55604762E+00
+8.10000000E-01,+0.00000000E+00,+7.11711400E-02,+1.40488057E-01,+1.57487223E-01,+1.10188329E+00,+3.10514610E-03,+2.10591360E-01,+2.10614251E-01,+1.55605251E+00
+8.20000000E-01,+0.00000000E+00,+7.28439666E-02,+1.38713463E-01,+1.56676955E-01,+1.08723970E+00,+3.10335833E-03,+2.10540792E-01,+2.10563662E-01,+1.55605746E+00
+8.30000000E-01,+0.00000000E+00,+7.45365186E-02,+1.36917984E-01,+1.55891716E-01,+1.07227190E+00,+3.10155032E-03,+2.10489632E-01,+2.10512482E-01,+1.55606246E+00
+8.40000000E-01,+0.00000000E+00,+7.62487671E-02,+1.35101653E-01,+1.55133269E-01,+1.05697934E+00,+3.09972213E-03,+2.10437883E-01,+2.10460711E-01,+1.55606752E+00
+8.50000000E-01,+0.00000000E+00,+7.79806833E-02,+1.33264502E-01,+1.54403415E-01,+1.04136214E+00,+3.09787383E-03,+2.10385545E-01,+2.10408352E-01,+1.55607264E+00
+8.60000000E-01,+0.00000000E+00,+7.97322378E-02,+1.31406563E-01,+1.53703984E-01,+1.02542111E+00,+3.09600546E-03,+2.10332620E-01,+2.10355404E-01,+1.55607782E+00
+8.70000000E-01,+0.00000000E+00,+8.15034010E-02,+1.29527869E-01,+1.53036836E-01,+1.00915779E+00,+3.09411710E-03,+2.10279107E-01,+2.10301870E-01,+1.55608305E+00
+8.80000000E-01,+0.00000000E+00,+8.32941429E-02,+1.27628454E-01,+1.52403860E-01,+9.92574553E-01,+3.09220881E-03,+2.10225010E-01,+2.10247750E-01,+1.55608834E+00
+8.90000000E-01,+0.00000000E+00,+8.51044333E-02,+1.25708351E-01,+1.51806963E-01,+9.75674610E-01,+3.09028065E-03,+2.10170327E-01,+2.10193045E-01,+1.55609369E+00
+9.00000000E-01,+0.00000000E+00,+8.69342416E-02,+1.23767594E-01,+1.51248073E-01,+9.58462068E-01,+3.08833268E-03,+2.10115062E-01,+2.10137757E-01,+1.55609909E+00
+9.10000000E-01,+0.00000000E+00,+8.87835371E-02,+1.21806217E-01,+1.50729131E-01,+9.40941978E-01,+3.08636497E-03,+2.10059214E-01,+2.10081886E-01,+1.55610455E+00
+9.20000000E-01,+0.00000000E+00,+9.06522884E-02,+1.19824255E-01,+1.50252086E-01,+9.23120369E-01,+3.08437759E-03,+2.10002785E-01,+2.10025434E-01,+1.55611007E+00
