s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+0.00000000E+00,+0.00000000E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01
+1.60714286E-02,+0.00000000E+00,+9.07884628E-01,-4.04415149E-01,+9.93884354E-01,-4.19061815E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07953962E-01,-4.04389626E-01,+9.93937305E-01,-4.19009974E-01
+3.21428571E-02,+0.00000000E+00,+9.07744318E-01,-4.04345242E-01,+9.93727740E-01,-4.19055007E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08021732E-01,-4.04243092E-01,+9.93939607E-01,-4.18847559E-01
+4.82142857E-02,+0.00000000E+00,+9.07510216E-01,-4.04228780E-01,+9.93466506E-01,-4.19043804E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08134687E-01,-4.03998716E-01,+9.93943445E-01,-4.18576727E-01
+6.42857143E-02,+0.00000000E+00,+9.07181940E-01,-4.04065839E-01,+9.93100334E-01,-4.19028427E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08292838E-01,-4.03656270E-01,+9.93948824E-01,-4.18197267E-01
+8.03571429E-02,+0.00000000E+00,+9.06758954E-01,-4.03856525E-01,+9.92628780E-01,-4.19009181E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08496196E-01,-4.03215435E-01,+9.93955746E-01,-4.17708884E-01
+9.64285714E-02,+0.00000000E+00,+9.06240565E-01,-4.03600977E-01,+9.92051263E-01,-4.18986468E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08744777E-01,-4.02675797E-01,+9.93964218E-01,-4.17111195E-01
+1.12500000E-01,+0.00000000E+00,+9.05625915E-01,-4.03299363E-01,+9.91367073E-01,-4.18960783E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09038601E-01,-4.02036847E-01,+9.93974247E-01,-4.16403728E-01
+1.28571429E-01,+0.00000000E+00,+9.04913980E-01,-4.02951890E-01,+9.90575357E-01,-4.18932721E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09377692E-01,-4.01297978E-01,+9.93985842E-01,-4.15585925E-01
+1.44642857E-01,+0.00000000E+00,+9.04103565E-01,-4.02558798E-01,+9.89675120E-01,-4.18902980E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09762077E-01,-4.00458487E-01,+9.93999012E-01,-4.14657131E-01
