s1,s2,Re(r_ibc0.11),Im(r_ibc0.11),Abs(r_ibc0.11),Arg(r_ibc0.11),Re(r_ibc0.21),Im(r_ibc0.21),Abs(r_ibc0.21),Arg(r_ibc0.21),Re(r_ibc0.12),Im(r_ibc0.12),Abs(r_ibc0.12),Arg(r_ibc0.12),Re(r_ibc0.22),Im(r_ibc0.22),Abs(r_ibc0.22),Arg(r_ibc0.22)
+0.00000000E+00,+0.00000000E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07931372E-01,-4.04438456E-01,+9.93936538E-01,-4.19064099E-01
+1.60714286E-02,+0.00000000E+00,+9.07909462E-01,-4.04485887E-01,+9.93935825E-01,-4.19116660E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.07953278E-01,-4.04391030E-01,+9.93937251E-01,-4.19011544E-01
+3.21428571E-02,+0.00000000E+00,+9.07843666E-01,-4.04628280E-01,+9.93933684E-01,-4.19274461E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08018998E-01,-4.04248704E-01,+9.93939392E-01,-4.18853836E-01
+4.82142857E-02,+0.00000000E+00,+9.07733792E-01,-4.04865935E-01,+9.93930110E-01,-4.19537860E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08128543E-01,-4.04011336E-01,+9.93942961E-01,-4.18590841E-01
+6.42857143E-02,+0.00000000E+00,+9.07579516E-01,-4.05199356E-01,+9.93925096E-01,-4.19907454E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08281932E-01,-4.03678692E-01,+9.93947964E-01,-4.18222337E-01
+8.03571429E-02,+0.00000000E+00,+9.07380380E-01,-4.05629252E-01,+9.93918631E-01,-4.20384085E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08479191E-01,-4.03250439E-01,+9.93954404E-01,-4.17748013E-01
+9.64285714E-02,+0.00000000E+00,+9.07135792E-01,-4.06156542E-01,+9.93910701E-01,-4.20968844E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08720352E-01,-4.02726148E-01,+9.93962288E-01,-4.17167464E-01
+1.12500000E-01,+0.00000000E+00,+9.06845018E-01,-4.06782358E-01,+9.93901290E-01,-4.21663080E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09005457E-01,-4.02105294E-01,+9.93971624E-01,-4.16480194E-01
+1.28571429E-01,+0.00000000E+00,+9.06507178E-01,-4.07508058E-01,+9.93890376E-01,-4.22468406E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09334554E-01,-4.01387248E-01,+9.93982421E-01,-4.15685612E-01
+1.44642857E-01,+0.00000000E+00,+9.06121237E-01,-4.08335226E-01,+9.93877937E-01,-4.23386712E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09707698E-01,-4.00571280E-01,+9.93994691E-01,-4.14783030E-01
+1.60714286E-01,+0.00000000E+00,+9.05686002E-01,-4.09265689E-01,+9.93863944E-01,-4.24420176E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10124952E-01,-3.99656555E-01,+9.94008446E-01,-4.13771660E-01
+1.76785714E-01,+0.00000000E+00,+9.05200107E-01,-4.10301524E-01,+9.93848365E-01,-4.25571279E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10586388E-01,-3.98642126E-01,+9.94023700E-01,-4.12650611E-01
