s1,s2,Re(r_ibc3.11),Im(r_ibc3.11),Abs(r_ibc3.11),Arg(r_ibc3.11),Re(r_ibc3.21),Im(r_ibc3.21),Abs(r_ibc3.21),Arg(r_ibc3.21),Re(r_ibc3.12),Im(r_ibc3.12),Abs(r_ibc3.12),Arg(r_ibc3.12),Re(r_ibc3.22),Im(r_ibc3.22),Abs(r_ibc3.22),Arg(r_ibc3.22)
+0.00000000E+00,+0.00000000E+00,+9.08302830E-01,-4.02787466E-01,+9.93605442E-01,-4.17394141E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08302830E-01,-4.02787466E-01,+9.93605442E-01,-4.17394141E-01
+1.60714286E-02,+0.00000000E+00,+9.08256826E-01,-4.02766651E-01,+9.93554949E-01,-4.17393760E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08325025E-01,-4.02739018E-01,+9.93606093E-01,-4.17340512E-01
+3.21428571E-02,+0.00000000E+00,+9.08118738E-01,-4.02704221E-01,+9.93403408E-01,-4.17392660E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08391611E-01,-4.02593629E-01,+9.93608046E-01,-4.17179584E-01
+4.82142857E-02,+0.00000000E+00,+9.07888338E-01,-4.02600217E-01,+9.93150628E-01,-4.17390972E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08502596E-01,-4.02351163E-01,+9.93611305E-01,-4.16911229E-01
+6.42857143E-02,+0.00000000E+00,+9.07565247E-01,-4.02454708E-01,+9.92796288E-01,-4.17388914E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08657991E-01,-4.02011391E-01,+9.93615873E-01,-4.16535235E-01
+8.03571429E-02,+0.00000000E+00,+9.07148928E-01,-4.02267792E-01,+9.92339939E-01,-4.17386794E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.08857812E-01,-4.01573994E-01,+9.93621757E-01,-4.16051304E-01
+9.64285714E-02,+0.00000000E+00,+9.06638688E-01,-4.02039596E-01,+9.91780998E-01,-4.17385011E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09102082E-01,-4.01038559E-01,+9.93628965E-01,-4.15459050E-01
+1.12500000E-01,+0.00000000E+00,+9.06033671E-01,-4.01770279E-01,+9.91118747E-01,-4.17384062E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09390825E-01,-4.00404576E-01,+9.93637507E-01,-4.14757999E-01
+1.28571429E-01,+0.00000000E+00,+9.05332855E-01,-4.01460028E-01,+9.90352328E-01,-4.17384540E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.09724072E-01,-3.99671440E-01,+9.93647395E-01,-4.13947587E-01
+1.44642857E-01,+0.00000000E+00,+9.04535044E-01,-4.01109067E-01,+9.89480737E-01,-4.17387145E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10101858E-01,-3.98838446E-01,+9.93658643E-01,-4.13027155E-01
+1.60714286E-01,+0.00000000E+00,+9.03638862E-01,-4.00717652E-01,+9.88502822E-01,-4.17392685E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10524225E-01,-3.97904788E-01,+9.93671266E-01,-4.11995950E-01
+1.76785714E-01,+0.00000000E+00,+9.02642746E-01,-4.00286079E-01,+9.87417274E-01,-4.17402085E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.10991217E-01,-3.96869553E-01,+9.93685281E-01,-4.10853121E-01
+1.92857143E-01,+0.00000000E+00,+9.01544935E-01,-3.99814682E-01,+9.86222617E-01,-4.17416395E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.11502884E-01,-3.95731720E-01,+9.93700710E-01,-4.09597714E-01
+2.08928571E-01,+0.00000000E+00,+9.00343459E-01,-3.99303839E-01,+9.84917205E-01,-4.17436799E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.12059282E-01,-3.94490155E-01,+9.93717574E-01,-4.08228669E-01
+2.25000000E-01,+0.00000000E+00,+8.99036128E-01,-3.98753971E-01,+9.83499207E-01,-4.17464624E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.12660472E-01,-3.93143607E-01,+9.93735897E-01,-4.06744814E-01
