s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+0.00000000E+00,+0.00000000E+00,+3.17846498E-03,+2.12651228E-01,+2.12674981E-01,+1.55585059E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17846498E-03,+2.12651228E-01,+2.12674981E-01,+1.55585059E+00
+1.60714286E-02,+0.00000000E+00,+3.20548795E-03,+2.12622534E-01,+2.12646696E-01,+1.55572151E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17843561E-03,+2.12650408E-01,+2.12674160E-01,+1.55585068E+00
+3.21428571E-02,+0.00000000E+00,+3.28655564E-03,+2.12536455E-01,+2.12561864E-01,+1.55533407E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17834749E-03,+2.12647947E-01,+2.12671698E-01,+1.55585092E+00
+4.82142857E-02,+0.00000000E+00,+3.42166437E-03,+2.12392993E-01,+2.12420553E-01,+1.55468766E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17820063E-03,+2.12643845E-01,+2.12667594E-01,+1.55585132E+00
+6.42857143E-02,+0.00000000E+00,+3.61080803E-03,+2.12192156E-01,+2.12222875E-01,+1.55378128E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17799505E-03,+2.12638102E-01,+2.12661849E-01,+1.55585188E+00
+8.03571429E-02,+0.00000000E+00,+3.85397805E-03,+2.11933953E-01,+2.11968992E-01,+1.55261352E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17773076E-03,+2.12630720E-01,+2.12654464E-01,+1.55585261E+00
+9.64285714E-02,+0.00000000E+00,+4.15116344E-03,+2.11618397E-01,+2.11659108E-01,+1.55118257E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17740778E-03,+2.12621697E-01,+2.12645438E-01,+1.55585349E+00
+1.12500000E-01,+0.00000000E+00,+4.50235074E-03,+2.11245502E-01,+2.11293477E-01,+1.54948620E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17702615E-03,+2.12611036E-01,+2.12634772E-01,+1.55585454E+00
+1.28571429E-01,+0.00000000E+00,+4.90752407E-03,+2.10815287E-01,+2.10872400E-01,+1.54752174E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17658589E-03,+2.12598736E-01,+2.12622466E-01,+1.55585574E+00
+1.44642857E-01,+0.00000000E+00,+5.36666509E-03,+2.10327771E-01,+2.10396227E-01,+1.54528614E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17608704E-03,+2.12584798E-01,+2.12608522E-01,+1.55585711E+00
+1.60714286E-01,+0.00000000E+00,+5.87975303E-03,+2.09782978E-01,+2.09865360E-01,+1.54277587E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17552964E-03,+2.12569222E-01,+2.12592940E-01,+1.55585864E+00
+1.76785714E-01,+0.00000000E+00,+6.44676471E-03,+2.09180934E-01,+2.09280252E-01,+1.53998699E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17491374E-03,+2.12552011E-01,+2.12575722E-01,+1.55586032E+00
+1.92857143E-01,+0.00000000E+00,+7.06767450E-03,+2.08521667E-01,+2.08641409E-01,+1.53691510E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17423940E-03,+2.12533164E-01,+2.12556867E-01,+1.55586217E+00
+2.08928571E-01,+0.00000000E+00,+7.74245433E-03,+2.07805208E-01,+2.07949393E-01,+1.53355532E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17350666E-03,+2.12512683E-01,+2.12536377E-01,+1.55586418E+00
+2.25000000E-01,+0.00000000E+00,+8.47107373E-03,+2.07031591E-01,+2.07204823E-01,+1.52990232E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17271559E-03,+2.12490568E-01,+2.12514253E-01,+1.55586635E+00
+2.41071429E-01,+0.00000000E+00,+9.25349980E-03,+2.06200854E-01,+2.06408380E-01,+1.52595027E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17186625E-03,+2.12466822E-01,+2.12490496E-01,+1.55586868E+00
+2.57142857E-01,+0.00000000E+00,+1.00896972E-02,+2.05313034E-01,+2.05560804E-01,+1.52169284E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.17095872E-03,+2.12441444E-01,+2.12465108E-01,+1.55587116E+00
+2.73214286E-01,+0.00000000E+00,+1.09796283E-02,+2.04368175E-01,+2.04662902E-01,+1.51712318E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.16999307E-03,+2.12414438E-01,+2.12438091E-01,+1.55587381E+00
+2.89285714E-01,+0.00000000E+00,+1.19232529E-02,+2.03366321E-01,+2.03715548E-01,+1.51223393E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.16896939E-03,+2.12385804E-01,+2.12409444E-01,+1.55587662E+00
+3.05357143E-01,+0.00000000E+00,+1.29205285E-02,+2.02307520E-01,+2.02719690E-01,+1.50701716E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.16788776E-03,+2.12355544E-01,+2.12379171E-01,+1.55587959E+00
+3.21428571E-01,+0.00000000E+00,+1.39714101E-02,+2.01191820E-01,+2.01676347E-01,+1.50146440E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.16674826E-03,+2.12323659E-01,+2.12347273E-01,+1.55588271E+00
+3.37500000E-01,+0.00000000E+00,+1.50758505E-02,+2.00019275E-01,+2.00586619E-01,+1.49556658E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.16555100E-03,+2.12290151E-01,+2.12313751E-01,+1.55588600E+00
+3.53571429E-01,+0.00000000E+00,+1.62338000E-02,+1.98789941E-01,+1.99451691E-01,+1.48931405E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.16429608E-03,+2.12255022E-01,+2.12278608E-01,+1.55588944E+00
