s1,s2,Re(z_ibc3.11),Im(z_ibc3.11),Abs(z_ibc3.11),Arg(z_ibc3.11),Re(z_ibc3.21),Im(z_ibc3.21),Abs(z_ibc3.21),Arg(z_ibc3.21),Re(z_ibc3.12),Im(z_ibc3.12),Abs(z_ibc3.12),Arg(z_ibc3.12),Re(z_ibc3.22),Im(z_ibc3.22),Abs(z_ibc3.22),Arg(z_ibc3.22)
+0.00000000E+00,+0.00000000E+00,+3.35139429E-03,+2.11778424E-01,+2.11804940E-01,+1.55497264E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35139429E-03,+2.11778424E-01,+2.11804940E-01,+1.55497264E+00
+1.60714286E-02,+0.00000000E+00,+3.37750643E-03,+2.11750837E-01,+2.11777771E-01,+1.55484730E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35144689E-03,+2.11777760E-01,+2.11804277E-01,+1.55497235E+00
+3.21428571E-02,+0.00000000E+00,+3.45584282E-03,+2.11668075E-01,+2.11696285E-01,+1.55447107E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35160469E-03,+2.11775767E-01,+2.11802287E-01,+1.55497145E+00
+4.82142857E-02,+0.00000000E+00,+3.58640348E-03,+2.11530139E-01,+2.11560540E-01,+1.55384338E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35186769E-03,+2.11772447E-01,+2.11798971E-01,+1.55496996E+00
+6.42857143E-02,+0.00000000E+00,+3.76918840E-03,+2.11337029E-01,+2.11370638E-01,+1.55296325E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35223590E-03,+2.11767797E-01,+2.11794328E-01,+1.55496788E+00
+8.03571429E-02,+0.00000000E+00,+4.00419758E-03,+2.11088744E-01,+2.11126719E-01,+1.55182934E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35270933E-03,+2.11761820E-01,+2.11788359E-01,+1.55496520E+00
+9.64285714E-02,+0.00000000E+00,+4.29143103E-03,+2.10785285E-01,+2.10828966E-01,+1.55043989E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35328799E-03,+2.11754514E-01,+2.11781063E-01,+1.55496192E+00
+1.12500000E-01,+0.00000000E+00,+4.63088874E-03,+2.10426652E-01,+2.10477602E-01,+1.54879274E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35397190E-03,+2.11745880E-01,+2.11772441E-01,+1.55495804E+00
+1.28571429E-01,+0.00000000E+00,+5.02257071E-03,+2.10012844E-01,+2.10072894E-01,+1.54688534E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35476107E-03,+2.11735917E-01,+2.11762492E-01,+1.55495357E+00
+1.44642857E-01,+0.00000000E+00,+5.46647695E-03,+2.09543862E-01,+2.09615153E-01,+1.54471474E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.35565553E-03,+2.11724625E-01,+2.11751216E-01,+1.55494850E+00
