            r0/d;               tm;               te; 
  1.33333333e-01;   8.87786132e-01;   2.47213295e+02; 
  3.71007920e-01;   8.28832479e-01;   1.11142323e+02; 
  1.03235158e+00;   6.84546056e-01;   8.75301424e+00; 
  2.87257959e+00;   4.49107954e-01;   7.73407432e-01; 
  7.99312334e+00;   2.26413294e-01;   2.30514674e-01; 
  2.22413405e+01;   9.48132344e-02;   7.82140666e-02; 
  6.18878511e+01;   3.62035404e-02;   2.75601459e-02; 
  1.72206622e+02;   1.33086555e-02;   9.83580813e-03; 
  4.79175155e+02;   4.82249262e-03;   3.52601266e-03; 
  1.33333333e+03;   1.73828490e-03;   1.26605172e-03; 
