s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,+1.55908472E-01,+9.87771506E-01,+1.00000000E+00,+1.41424922E+00,+1.55908472E-01,+9.87771506E-01,+1.00000000E+00,+1.41424922E+00
+1.00000000E-03,+0.00000000E+00,+1.55905761E-01,+9.87771934E-01,+1.00000000E+00,+1.41425197E+00,+1.55906493E-01,+9.87771819E-01,+1.00000000E+00,+1.41425123E+00
+2.00000000E-03,+0.00000000E+00,+1.55897626E-01,+9.87773218E-01,+1.00000000E+00,+1.41426020E+00,+1.55900553E-01,+9.87772756E-01,+1.00000000E+00,+1.41425724E+00
+3.00000000E-03,+0.00000000E+00,+1.55884068E-01,+9.87775358E-01,+1.00000000E+00,+1.41427393E+00,+1.55890654E-01,+9.87774318E-01,+1.00000000E+00,+1.41426726E+00
+4.00000000E-03,+0.00000000E+00,+1.55865086E-01,+9.87778353E-01,+1.00000000E+00,+1.41429314E+00,+1.55876795E-01,+9.87776505E-01,+1.00000000E+00,+1.41428129E+00
+5.00000000E-03,+0.00000000E+00,+1.55840681E-01,+9.87782204E-01,+1.00000000E+00,+1.41431785E+00,+1.55858976E-01,+9.87779317E-01,+1.00000000E+00,+1.41429933E+00
+6.00000000E-03,+0.00000000E+00,+1.55810852E-01,+9.87786909E-01,+1.00000000E+00,+1.41434805E+00,+1.55837197E-01,+9.87782754E-01,+1.00000000E+00,+1.41432138E+00
+7.00000000E-03,+0.00000000E+00,+1.55775598E-01,+9.87792470E-01,+1.00000000E+00,+1.41438374E+00,+1.55811457E-01,+9.87786814E-01,+1.00000000E+00,+1.41434744E+00
+8.00000000E-03,+0.00000000E+00,+1.55734919E-01,+9.87798884E-01,+1.00000000E+00,+1.41442492E+00,+1.55781757E-01,+9.87791498E-01,+1.00000000E+00,+1.41437750E+00
+9.00000000E-03,+0.00000000E+00,+1.55688815E-01,+9.87806151E-01,+1.00000000E+00,+1.41447159E+00,+1.55748095E-01,+9.87796806E-01,+1.00000000E+00,+1.41441158E+00
+1.00000000E-02,+0.00000000E+00,+1.55637285E-01,+9.87814272E-01,+1.00000000E+00,+1.41452376E+00,+1.55710472E-01,+9.87802738E-01,+1.00000000E+00,+1.41444967E+00
+1.10000000E-02,+0.00000000E+00,+1.55580328E-01,+9.87823244E-01,+1.00000000E+00,+1.41458142E+00,+1.55668887E-01,+9.87809292E-01,+1.00000000E+00,+1.41449177E+00
+1.20000000E-02,+0.00000000E+00,+1.55517944E-01,+9.87833067E-01,+1.00000000E+00,+1.41464457E+00,+1.55623340E-01,+9.87816469E-01,+1.00000000E+00,+1.41453788E+00
+1.30000000E-02,+0.00000000E+00,+1.55450131E-01,+9.87843741E-01,+1.00000000E+00,+1.41471322E+00,+1.55573829E-01,+9.87824268E-01,+1.00000000E+00,+1.41458800E+00
+1.40000000E-02,+0.00000000E+00,+1.55376890E-01,+9.87855264E-01,+1.00000000E+00,+1.41478736E+00,+1.55520355E-01,+9.87832688E-01,+1.00000000E+00,+1.41464213E+00
+1.50000000E-02,+0.00000000E+00,+1.55298218E-01,+9.87867635E-01,+1.00000000E+00,+1.41486700E+00,+1.55462917E-01,+9.87841729E-01,+1.00000000E+00,+1.41470028E+00
+1.60000000E-02,+0.00000000E+00,+1.55214115E-01,+9.87880852E-01,+1.00000000E+00,+1.41495213E+00,+1.55401514E-01,+9.87851390E-01,+1.00000000E+00,+1.41476243E+00
+1.70000000E-02,+0.00000000E+00,+1.55124581E-01,+9.87894916E-01,+1.00000000E+00,+1.41504277E+00,+1.55336146E-01,+9.87861671E-01,+1.00000000E+00,+1.41482861E+00
+1.80000000E-02,+0.00000000E+00,+1.55029612E-01,+9.87909823E-01,+1.00000000E+00,+1.41513890E+00,+1.55266811E-01,+9.87872571E-01,+1.00000000E+00,+1.41489879E+00
