s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,+1.57294490E-01,-9.87551742E-01,+1.00000000E+00,-1.41284589E+00,+1.57294490E-01,-9.87551742E-01,+1.00000000E+00,-1.41284589E+00
+1.00000000E-03,+0.00000000E+00,+1.57291781E-01,-9.87552174E-01,+1.00000000E+00,-1.41284863E+00,+1.57292512E-01,-9.87552057E-01,+1.00000000E+00,-1.41284789E+00
+2.00000000E-03,+0.00000000E+00,+1.57283654E-01,-9.87553468E-01,+1.00000000E+00,-1.41285686E+00,+1.57286580E-01,-9.87553002E-01,+1.00000000E+00,-1.41285390E+00
+3.00000000E-03,+0.00000000E+00,+1.57270109E-01,-9.87555625E-01,+1.00000000E+00,-1.41287058E+00,+1.57276692E-01,-9.87554577E-01,+1.00000000E+00,-1.41286391E+00
+4.00000000E-03,+0.00000000E+00,+1.57251146E-01,-9.87558645E-01,+1.00000000E+00,-1.41288978E+00,+1.57262850E-01,-9.87556781E-01,+1.00000000E+00,-1.41287793E+00
+5.00000000E-03,+0.00000000E+00,+1.57226765E-01,-9.87562527E-01,+1.00000000E+00,-1.41291447E+00,+1.57245052E-01,-9.87559615E-01,+1.00000000E+00,-1.41289595E+00
+6.00000000E-03,+0.00000000E+00,+1.57196965E-01,-9.87567271E-01,+1.00000000E+00,-1.41294464E+00,+1.57223298E-01,-9.87563079E-01,+1.00000000E+00,-1.41291798E+00
+7.00000000E-03,+0.00000000E+00,+1.57161746E-01,-9.87572876E-01,+1.00000000E+00,-1.41298030E+00,+1.57197589E-01,-9.87567171E-01,+1.00000000E+00,-1.41294401E+00
+8.00000000E-03,+0.00000000E+00,+1.57121107E-01,-9.87579342E-01,+1.00000000E+00,-1.41302145E+00,+1.57167924E-01,-9.87571893E-01,+1.00000000E+00,-1.41297405E+00
+9.00000000E-03,+0.00000000E+00,+1.57075048E-01,-9.87586669E-01,+1.00000000E+00,-1.41306809E+00,+1.57134302E-01,-9.87577243E-01,+1.00000000E+00,-1.41300809E+00
+1.00000000E-02,+0.00000000E+00,+1.57023569E-01,-9.87594856E-01,+1.00000000E+00,-1.41312022E+00,+1.57096723E-01,-9.87583222E-01,+1.00000000E+00,-1.41304615E+00
+1.10000000E-02,+0.00000000E+00,+1.56966668E-01,-9.87603901E-01,+1.00000000E+00,-1.41317783E+00,+1.57055187E-01,-9.87589828E-01,+1.00000000E+00,-1.41308820E+00
+1.20000000E-02,+0.00000000E+00,+1.56904345E-01,-9.87613804E-01,+1.00000000E+00,-1.41324094E+00,+1.57009694E-01,-9.87597062E-01,+1.00000000E+00,-1.41313427E+00
+1.30000000E-02,+0.00000000E+00,+1.56836599E-01,-9.87624565E-01,+1.00000000E+00,-1.41330953E+00,+1.56960242E-01,-9.87604922E-01,+1.00000000E+00,-1.41318434E+00
+1.40000000E-02,+0.00000000E+00,+1.56763429E-01,-9.87636182E-01,+1.00000000E+00,-1.41338362E+00,+1.56906831E-01,-9.87613409E-01,+1.00000000E+00,-1.41323842E+00
+1.50000000E-02,+0.00000000E+00,+1.56684835E-01,-9.87648653E-01,+1.00000000E+00,-1.41346320E+00,+1.56849461E-01,-9.87622522E-01,+1.00000000E+00,-1.41329651E+00
+1.60000000E-02,+0.00000000E+00,+1.56600814E-01,-9.87661979E-01,+1.00000000E+00,-1.41354827E+00,+1.56788130E-01,-9.87632261E-01,+1.00000000E+00,-1.41335861E+00
+1.70000000E-02,+0.00000000E+00,+1.56511367E-01,-9.87676157E-01,+1.00000000E+00,-1.41363883E+00,+1.56722839E-01,-9.87642623E-01,+1.00000000E+00,-1.41342472E+00
+1.80000000E-02,+0.00000000E+00,+1.56416492E-01,-9.87691187E-01,+1.00000000E+00,-1.41373489E+00,+1.56653586E-01,-9.87653610E-01,+1.00000000E+00,-1.41349484E+00
+1.90000000E-02,+0.00000000E+00,+1.56316188E-01,-9.87707067E-01,+1.00000000E+00,-1.41383644E+00,+1.56580371E-01,-9.87665220E-01,+1.00000000E+00,-1.41356897E+00
+2.00000000E-02,+0.00000000E+00,+1.56210453E-01,-9.87723795E-01,+1.00000000E+00,-1.41394349E+00,+1.56503192E-01,-9.87677453E-01,+1.00000000E+00,-1.41364711E+00
+2.10000000E-02,+0.00000000E+00,+1.56099286E-01,-9.87741369E-01,+1.00000000E+00,-1.41405604E+00,+1.56422049E-01,-9.87690307E-01,+1.00000000E+00,-1.41372926E+00
+2.20000000E-02,+0.00000000E+00,+1.55982686E-01,-9.87759789E-01,+1.00000000E+00,-1.41417409E+00,+1.56336941E-01,-9.87703782E-01,+1.00000000E+00,-1.41381543E+00
+2.30000000E-02,+0.00000000E+00,+1.55860651E-01,-9.87779053E-01,+1.00000000E+00,-1.41429763E+00,+1.56247867E-01,-9.87717877E-01,+1.00000000E+00,-1.41390562E+00
+2.40000000E-02,+0.00000000E+00,+1.55733180E-01,-9.87799158E-01,+1.00000000E+00,-1.41442668E+00,+1.56154826E-01,-9.87732591E-01,+1.00000000E+00,-1.41399981E+00
+2.50000000E-02,+0.00000000E+00,+1.55600270E-01,-9.87820103E-01,+1.00000000E+00,-1.41456123E+00,+1.56057816E-01,-9.87747922E-01,+1.00000000E+00,-1.41409803E+00
+2.60000000E-02,+0.00000000E+00,+1.55461920E-01,-9.87841886E-01,+1.00000000E+00,-1.41470128E+00,+1.55956837E-01,-9.87763871E-01,+1.00000000E+00,-1.41420026E+00
+2.70000000E-02,+0.00000000E+00,+1.55318129E-01,-9.87864504E-01,+1.00000000E+00,-1.41484684E+00,+1.55851888E-01,-9.87780436E-01,+1.00000000E+00,-1.41430651E+00
+2.80000000E-02,+0.00000000E+00,+1.55168895E-01,-9.87887956E-01,+1.00000000E+00,-1.41499791E+00,+1.55742966E-01,-9.87797615E-01,+1.00000000E+00,-1.41441677E+00
+2.90000000E-02,+0.00000000E+00,+1.55014215E-01,-9.87912240E-01,+1.00000000E+00,-1.41515448E+00,+1.55630072E-01,-9.87815408E-01,+1.00000000E+00,-1.41453106E+00
+3.00000000E-02,+0.00000000E+00,+1.54854088E-01,-9.87937352E-01,+1.00000000E+00,-1.41531657E+00,+1.55513203E-01,-9.87833814E-01,+1.00000000E+00,-1.41464937E+00
+3.10000000E-02,+0.00000000E+00,+1.54688511E-01,-9.87963291E-01,+1.00000000E+00,-1.41548417E+00,+1.55392358E-01,-9.87852831E-01,+1.00000000E+00,-1.41477170E+00
+3.20000000E-02,+0.00000000E+00,+1.54517482E-01,-9.87990054E-01,+1.00000000E+00,-1.41565728E+00,+1.55267537E-01,-9.87872457E-01,+1.00000000E+00,-1.41489806E+00
+3.30000000E-02,+0.00000000E+00,+1.54341000E-01,-9.88017639E-01,+1.00000000E+00,-1.41583590E+00,+1.55138736E-01,-9.87892693E-01,+1.00000000E+00,-1.41502844E+00
+3.40000000E-02,+0.00000000E+00,+1.54159061E-01,-9.88046043E-01,+1.00000000E+00,-1.41602004E+00,+1.55005956E-01,-9.87913536E-01,+1.00000000E+00,-1.41516285E+00
+3.50000000E-02,+0.00000000E+00,+1.53971664E-01,-9.88075264E-01,+1.00000000E+00,-1.41620970E+00,+1.54869193E-01,-9.87934984E-01,+1.00000000E+00,-1.41530128E+00
+3.60000000E-02,+0.00000000E+00,+1.53778806E-01,-9.88105297E-01,+1.00000000E+00,-1.41640489E+00,+1.54728448E-01,-9.87957037E-01,+1.00000000E+00,-1.41544374E+00
+3.70000000E-02,+0.00000000E+00,+1.53580485E-01,-9.88136142E-01,+1.00000000E+00,-1.41660559E+00,+1.54583717E-01,-9.87979693E-01,+1.00000000E+00,-1.41559023E+00
+3.80000000E-02,+0.00000000E+00,+1.53376698E-01,-9.88167794E-01,+1.00000000E+00,-1.41681182E+00,+1.54435000E-01,-9.88002951E-01,+1.00000000E+00,-1.41574076E+00
+3.90000000E-02,+0.00000000E+00,+1.53167442E-01,-9.88200250E-01,+1.00000000E+00,-1.41702358E+00,+1.54282294E-01,-9.88026808E-01,+1.00000000E+00,-1.41589532E+00
+4.00000000E-02,+0.00000000E+00,+1.52952715E-01,-9.88233508E-01,+1.00000000E+00,-1.41724087E+00,+1.54125599E-01,-9.88051264E-01,+1.00000000E+00,-1.41605391E+00
+4.10000000E-02,+0.00000000E+00,+1.52732514E-01,-9.88267565E-01,+1.00000000E+00,-1.41746369E+00,+1.53964911E-01,-9.88076316E-01,+1.00000000E+00,-1.41621654E+00
+4.20000000E-02,+0.00000000E+00,+1.52506836E-01,-9.88302416E-01,+1.00000000E+00,-1.41769204E+00,+1.53800230E-01,-9.88101963E-01,+1.00000000E+00,-1.41638321E+00
+4.30000000E-02,+0.00000000E+00,+1.52275678E-01,-9.88338058E-01,+1.00000000E+00,-1.41792593E+00,+1.53631552E-01,-9.88128203E-01,+1.00000000E+00,-1.41655391E+00
+4.40000000E-02,+0.00000000E+00,+1.52039037E-01,-9.88374489E-01,+1.00000000E+00,-1.41816536E+00,+1.53458877E-01,-9.88155035E-01,+1.00000000E+00,-1.41672866E+00
+4.50000000E-02,+0.00000000E+00,+1.51796911E-01,-9.88411705E-01,+1.00000000E+00,-1.41841033E+00,+1.53282202E-01,-9.88182456E-01,+1.00000000E+00,-1.41690745E+00
+4.60000000E-02,+0.00000000E+00,+1.51549296E-01,-9.88449701E-01,+1.00000000E+00,-1.41866084E+00,+1.53101525E-01,-9.88210465E-01,+1.00000000E+00,-1.41709028E+00
+4.70000000E-02,+0.00000000E+00,+1.51296188E-01,-9.88488474E-01,+1.00000000E+00,-1.41891690E+00,+1.52916845E-01,-9.88239059E-01,+1.00000000E+00,-1.41727717E+00
+4.80000000E-02,+0.00000000E+00,+1.51037586E-01,-9.88528021E-01,+1.00000000E+00,-1.41917851E+00,+1.52728158E-01,-9.88268238E-01,+1.00000000E+00,-1.41746810E+00
+4.90000000E-02,+0.00000000E+00,+1.50773484E-01,-9.88568337E-01,+1.00000000E+00,-1.41944567E+00,+1.52535462E-01,-9.88297998E-01,+1.00000000E+00,-1.41766308E+00
+5.00000000E-02,+0.00000000E+00,+1.50503880E-01,-9.88609418E-01,+1.00000000E+00,-1.41971839E+00,+1.52338757E-01,-9.88328338E-01,+1.00000000E+00,-1.41786211E+00
+5.10000000E-02,+0.00000000E+00,+1.50228771E-01,-9.88651261E-01,+1.00000000E+00,-1.41999666E+00,+1.52138038E-01,-9.88359255E-01,+1.00000000E+00,-1.41806519E+00
+5.20000000E-02,+0.00000000E+00,+1.49948153E-01,-9.88693861E-01,+1.00000000E+00,-1.42028049E+00,+1.51933304E-01,-9.88390748E-01,+1.00000000E+00,-1.41827234E+00
