s1,s2,Re(r_ibc0.11),Im(r_ibc0.11),Abs(r_ibc0.11),Arg(r_ibc0.11),Re(r_ibc0.21),Im(r_ibc0.21),Abs(r_ibc0.21),Arg(r_ibc0.21),Re(r_ibc0.12),Im(r_ibc0.12),Abs(r_ibc0.12),Arg(r_ibc0.12),Re(r_ibc0.22),Im(r_ibc0.22),Abs(r_ibc0.22),Arg(r_ibc0.22)
+0.00000000E+00,+0.00000000E+00,+1.55908472E-01,+9.87771506E-01,+1.00000000E+00,+1.41424922E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55908472E-01,+9.87771506E-01,+1.00000000E+00,+1.41424922E+00
+1.00000000E-03,+0.00000000E+00,+1.55907985E-01,+9.87771583E-01,+1.00000000E+00,+1.41424971E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55908960E-01,+9.87771429E-01,+1.00000000E+00,+1.41424873E+00
+2.00000000E-03,+0.00000000E+00,+1.55906521E-01,+9.87771814E-01,+1.00000000E+00,+1.41425120E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55910424E-01,+9.87771198E-01,+1.00000000E+00,+1.41424725E+00
+3.00000000E-03,+0.00000000E+00,+1.55904082E-01,+9.87772199E-01,+1.00000000E+00,+1.41425367E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55912863E-01,+9.87770813E-01,+1.00000000E+00,+1.41424478E+00
+4.00000000E-03,+0.00000000E+00,+1.55900667E-01,+9.87772738E-01,+1.00000000E+00,+1.41425712E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55916278E-01,+9.87770274E-01,+1.00000000E+00,+1.41424132E+00
+5.00000000E-03,+0.00000000E+00,+1.55896276E-01,+9.87773431E-01,+1.00000000E+00,+1.41426157E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55920669E-01,+9.87769581E-01,+1.00000000E+00,+1.41423687E+00
+6.00000000E-03,+0.00000000E+00,+1.55890910E-01,+9.87774278E-01,+1.00000000E+00,+1.41426700E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55926035E-01,+9.87768734E-01,+1.00000000E+00,+1.41423144E+00
+7.00000000E-03,+0.00000000E+00,+1.55884567E-01,+9.87775279E-01,+1.00000000E+00,+1.41427342E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55932377E-01,+9.87767733E-01,+1.00000000E+00,+1.41422502E+00
+8.00000000E-03,+0.00000000E+00,+1.55877249E-01,+9.87776434E-01,+1.00000000E+00,+1.41428083E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55939695E-01,+9.87766577E-01,+1.00000000E+00,+1.41421761E+00
+9.00000000E-03,+0.00000000E+00,+1.55868955E-01,+9.87777743E-01,+1.00000000E+00,+1.41428923E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.55947989E-01,+9.87765268E-01,+1.00000000E+00,+1.41420921E+00
