s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+2.23562226E-01,+9.74689659E-01,+1.00000000E+00,+1.34532865E+00,+2.23562226E-01,+9.74689659E-01,+1.00000000E+00,+1.34532865E+00
+1.00000000E-03,+0.00000000E+00,+2.23561668E-01,+9.74689787E-01,+1.00000000E+00,+1.34532922E+00,+2.23562701E-01,+9.74689550E-01,+1.00000000E+00,+1.34532816E+00
+2.00000000E-03,+0.00000000E+00,+2.23559995E-01,+9.74690171E-01,+1.00000000E+00,+1.34533094E+00,+2.23564127E-01,+9.74689223E-01,+1.00000000E+00,+1.34532670E+00
+3.00000000E-03,+0.00000000E+00,+2.23557206E-01,+9.74690810E-01,+1.00000000E+00,+1.34533380E+00,+2.23566503E-01,+9.74688678E-01,+1.00000000E+00,+1.34532426E+00
+4.00000000E-03,+0.00000000E+00,+2.23553301E-01,+9.74691706E-01,+1.00000000E+00,+1.34533781E+00,+2.23569829E-01,+9.74687915E-01,+1.00000000E+00,+1.34532085E+00
+5.00000000E-03,+0.00000000E+00,+2.23548280E-01,+9.74692857E-01,+1.00000000E+00,+1.34534296E+00,+2.23574105E-01,+9.74686934E-01,+1.00000000E+00,+1.34531646E+00
+6.00000000E-03,+0.00000000E+00,+2.23542144E-01,+9.74694265E-01,+1.00000000E+00,+1.34534925E+00,+2.23579332E-01,+9.74685735E-01,+1.00000000E+00,+1.34531110E+00
+7.00000000E-03,+0.00000000E+00,+2.23534892E-01,+9.74695928E-01,+1.00000000E+00,+1.34535669E+00,+2.23585509E-01,+9.74684318E-01,+1.00000000E+00,+1.34530476E+00
+8.00000000E-03,+0.00000000E+00,+2.23526523E-01,+9.74697847E-01,+1.00000000E+00,+1.34536528E+00,+2.23592637E-01,+9.74682683E-01,+1.00000000E+00,+1.34529745E+00
+9.00000000E-03,+0.00000000E+00,+2.23517039E-01,+9.74700022E-01,+1.00000000E+00,+1.34537501E+00,+2.23600715E-01,+9.74680830E-01,+1.00000000E+00,+1.34528916E+00
+1.00000000E-02,+0.00000000E+00,+2.23506439E-01,+9.74702453E-01,+1.00000000E+00,+1.34538589E+00,+2.23609744E-01,+9.74678759E-01,+1.00000000E+00,+1.34527990E+00
+1.10000000E-02,+0.00000000E+00,+2.23494723E-01,+9.74705139E-01,+1.00000000E+00,+1.34539791E+00,+2.23619723E-01,+9.74676469E-01,+1.00000000E+00,+1.34526966E+00
+1.20000000E-02,+0.00000000E+00,+2.23481891E-01,+9.74708082E-01,+1.00000000E+00,+1.34541107E+00,+2.23630652E-01,+9.74673962E-01,+1.00000000E+00,+1.34525845E+00
+1.30000000E-02,+0.00000000E+00,+2.23467942E-01,+9.74711280E-01,+1.00000000E+00,+1.34542538E+00,+2.23642533E-01,+9.74671236E-01,+1.00000000E+00,+1.34524626E+00
+1.40000000E-02,+0.00000000E+00,+2.23452877E-01,+9.74714733E-01,+1.00000000E+00,+1.34544084E+00,+2.23655364E-01,+9.74668291E-01,+1.00000000E+00,+1.34523309E+00
+1.50000000E-02,+0.00000000E+00,+2.23436696E-01,+9.74718443E-01,+1.00000000E+00,+1.34545744E+00,+2.23669145E-01,+9.74665129E-01,+1.00000000E+00,+1.34521895E+00
+1.60000000E-02,+0.00000000E+00,+2.23419398E-01,+9.74722408E-01,+1.00000000E+00,+1.34547519E+00,+2.23683878E-01,+9.74661748E-01,+1.00000000E+00,+1.34520384E+00
+1.70000000E-02,+0.00000000E+00,+2.23400983E-01,+9.74726629E-01,+1.00000000E+00,+1.34549408E+00,+2.23699561E-01,+9.74658148E-01,+1.00000000E+00,+1.34518775E+00
+1.80000000E-02,+0.00000000E+00,+2.23381451E-01,+9.74731105E-01,+1.00000000E+00,+1.34551412E+00,+2.23716196E-01,+9.74654330E-01,+1.00000000E+00,+1.34517068E+00
+1.90000000E-02,+0.00000000E+00,+2.23360802E-01,+9.74735837E-01,+1.00000000E+00,+1.34553530E+00,+2.23733781E-01,+9.74650294E-01,+1.00000000E+00,+1.34515264E+00
+2.00000000E-02,+0.00000000E+00,+2.23339036E-01,+9.74740825E-01,+1.00000000E+00,+1.34555763E+00,+2.23752318E-01,+9.74646038E-01,+1.00000000E+00,+1.34513362E+00
+2.10000000E-02,+0.00000000E+00,+2.23316152E-01,+9.74746068E-01,+1.00000000E+00,+1.34558111E+00,+2.23771805E-01,+9.74641564E-01,+1.00000000E+00,+1.34511362E+00
+2.20000000E-02,+0.00000000E+00,+2.23292151E-01,+9.74751566E-01,+1.00000000E+00,+1.34560573E+00,+2.23792244E-01,+9.74636872E-01,+1.00000000E+00,+1.34509265E+00
