s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+2.73192351E-01,+9.61959427E-01,+1.00000000E+00,+1.29408626E+00,+2.73192351E-01,+9.61959427E-01,+1.00000000E+00,+1.29408626E+00
+1.00000000E-03,+0.00000000E+00,+2.73192284E-01,+9.61959446E-01,+1.00000000E+00,+1.29408633E+00,+2.73193275E-01,+9.61959165E-01,+1.00000000E+00,+1.29408530E+00
+2.00000000E-03,+0.00000000E+00,+2.73192084E-01,+9.61959503E-01,+1.00000000E+00,+1.29408654E+00,+2.73196047E-01,+9.61958377E-01,+1.00000000E+00,+1.29408242E+00
+3.00000000E-03,+0.00000000E+00,+2.73191750E-01,+9.61959598E-01,+1.00000000E+00,+1.29408688E+00,+2.73200668E-01,+9.61957065E-01,+1.00000000E+00,+1.29407761E+00
+4.00000000E-03,+0.00000000E+00,+2.73191282E-01,+9.61959731E-01,+1.00000000E+00,+1.29408737E+00,+2.73207137E-01,+9.61955228E-01,+1.00000000E+00,+1.29407089E+00
+5.00000000E-03,+0.00000000E+00,+2.73190681E-01,+9.61959901E-01,+1.00000000E+00,+1.29408800E+00,+2.73215454E-01,+9.61952866E-01,+1.00000000E+00,+1.29406224E+00
+6.00000000E-03,+0.00000000E+00,+2.73189947E-01,+9.61960110E-01,+1.00000000E+00,+1.29408876E+00,+2.73225619E-01,+9.61949978E-01,+1.00000000E+00,+1.29405168E+00
+7.00000000E-03,+0.00000000E+00,+2.73189078E-01,+9.61960357E-01,+1.00000000E+00,+1.29408966E+00,+2.73237633E-01,+9.61946566E-01,+1.00000000E+00,+1.29403919E+00
+8.00000000E-03,+0.00000000E+00,+2.73188076E-01,+9.61960641E-01,+1.00000000E+00,+1.29409070E+00,+2.73251495E-01,+9.61942628E-01,+1.00000000E+00,+1.29402478E+00
+9.00000000E-03,+0.00000000E+00,+2.73186940E-01,+9.61960964E-01,+1.00000000E+00,+1.29409188E+00,+2.73267206E-01,+9.61938166E-01,+1.00000000E+00,+1.29400844E+00
+1.00000000E-02,+0.00000000E+00,+2.73185671E-01,+9.61961324E-01,+1.00000000E+00,+1.29409320E+00,+2.73284764E-01,+9.61933177E-01,+1.00000000E+00,+1.29399019E+00
+1.10000000E-02,+0.00000000E+00,+2.73184268E-01,+9.61961723E-01,+1.00000000E+00,+1.29409466E+00,+2.73304171E-01,+9.61927664E-01,+1.00000000E+00,+1.29397002E+00
+1.20000000E-02,+0.00000000E+00,+2.73182730E-01,+9.61962159E-01,+1.00000000E+00,+1.29409626E+00,+2.73325427E-01,+9.61921624E-01,+1.00000000E+00,+1.29394792E+00
+1.30000000E-02,+0.00000000E+00,+2.73181059E-01,+9.61962634E-01,+1.00000000E+00,+1.29409800E+00,+2.73348531E-01,+9.61915059E-01,+1.00000000E+00,+1.29392390E+00
+1.40000000E-02,+0.00000000E+00,+2.73179254E-01,+9.61963146E-01,+1.00000000E+00,+1.29409987E+00,+2.73373483E-01,+9.61907968E-01,+1.00000000E+00,+1.29389796E+00
+1.50000000E-02,+0.00000000E+00,+2.73177315E-01,+9.61963697E-01,+1.00000000E+00,+1.29410189E+00,+2.73400284E-01,+9.61900351E-01,+1.00000000E+00,+1.29387010E+00
+1.60000000E-02,+0.00000000E+00,+2.73175241E-01,+9.61964286E-01,+1.00000000E+00,+1.29410405E+00,+2.73428933E-01,+9.61892207E-01,+1.00000000E+00,+1.29384031E+00
+1.70000000E-02,+0.00000000E+00,+2.73173034E-01,+9.61964913E-01,+1.00000000E+00,+1.29410634E+00,+2.73459430E-01,+9.61883538E-01,+1.00000000E+00,+1.29380861E+00
+1.80000000E-02,+0.00000000E+00,+2.73170692E-01,+9.61965578E-01,+1.00000000E+00,+1.29410877E+00,+2.73491777E-01,+9.61874341E-01,+1.00000000E+00,+1.29377498E+00
+1.90000000E-02,+0.00000000E+00,+2.73168216E-01,+9.61966281E-01,+1.00000000E+00,+1.29411135E+00,+2.73525971E-01,+9.61864618E-01,+1.00000000E+00,+1.29373943E+00
+2.00000000E-02,+0.00000000E+00,+2.73165605E-01,+9.61967023E-01,+1.00000000E+00,+1.29411406E+00,+2.73562015E-01,+9.61854367E-01,+1.00000000E+00,+1.29370196E+00
+2.10000000E-02,+0.00000000E+00,+2.73162859E-01,+9.61967802E-01,+1.00000000E+00,+1.29411692E+00,+2.73599907E-01,+9.61843590E-01,+1.00000000E+00,+1.29366256E+00
+2.20000000E-02,+0.00000000E+00,+2.73159979E-01,+9.61968620E-01,+1.00000000E+00,+1.29411991E+00,+2.73639648E-01,+9.61832284E-01,+1.00000000E+00,+1.29362124E+00
+2.30000000E-02,+0.00000000E+00,+2.73156964E-01,+9.61969476E-01,+1.00000000E+00,+1.29412305E+00,+2.73681237E-01,+9.61820451E-01,+1.00000000E+00,+1.29357800E+00
+2.40000000E-02,+0.00000000E+00,+2.73153814E-01,+9.61970371E-01,+1.00000000E+00,+1.29412632E+00,+2.73724675E-01,+9.61808090E-01,+1.00000000E+00,+1.29353284E+00
+2.50000000E-02,+0.00000000E+00,+2.73150529E-01,+9.61971303E-01,+1.00000000E+00,+1.29412974E+00,+2.73769962E-01,+9.61795200E-01,+1.00000000E+00,+1.29348576E+00
+2.60000000E-02,+0.00000000E+00,+2.73147108E-01,+9.61972275E-01,+1.00000000E+00,+1.29413329E+00,+2.73817098E-01,+9.61781782E-01,+1.00000000E+00,+1.29343675E+00
+2.70000000E-02,+0.00000000E+00,+2.73143553E-01,+9.61973284E-01,+1.00000000E+00,+1.29413699E+00,+2.73866083E-01,+9.61767835E-01,+1.00000000E+00,+1.29338581E+00
+2.80000000E-02,+0.00000000E+00,+2.73139861E-01,+9.61974332E-01,+1.00000000E+00,+1.29414082E+00,+2.73916917E-01,+9.61753358E-01,+1.00000000E+00,+1.29333296E+00
+2.90000000E-02,+0.00000000E+00,+2.73136034E-01,+9.61975419E-01,+1.00000000E+00,+1.29414480E+00,+2.73969600E-01,+9.61738352E-01,+1.00000000E+00,+1.29327818E+00
+3.00000000E-02,+0.00000000E+00,+2.73132072E-01,+9.61976544E-01,+1.00000000E+00,+1.29414892E+00,+2.74024132E-01,+9.61722816E-01,+1.00000000E+00,+1.29322148E+00
+3.10000000E-02,+0.00000000E+00,+2.73127973E-01,+9.61977708E-01,+1.00000000E+00,+1.29415318E+00,+2.74080513E-01,+9.61706750E-01,+1.00000000E+00,+1.29316285E+00
+3.20000000E-02,+0.00000000E+00,+2.73123738E-01,+9.61978910E-01,+1.00000000E+00,+1.29415758E+00,+2.74138743E-01,+9.61690153E-01,+1.00000000E+00,+1.29310230E+00
+3.30000000E-02,+0.00000000E+00,+2.73119367E-01,+9.61980151E-01,+1.00000000E+00,+1.29416213E+00,+2.74198823E-01,+9.61673024E-01,+1.00000000E+00,+1.29303983E+00
+3.40000000E-02,+0.00000000E+00,+2.73114860E-01,+9.61981431E-01,+1.00000000E+00,+1.29416681E+00,+2.74260751E-01,+9.61655365E-01,+1.00000000E+00,+1.29297543E+00
+3.50000000E-02,+0.00000000E+00,+2.73110216E-01,+9.61982749E-01,+1.00000000E+00,+1.29417164E+00,+2.74324530E-01,+9.61637173E-01,+1.00000000E+00,+1.29290911E+00
+3.60000000E-02,+0.00000000E+00,+2.73105435E-01,+9.61984107E-01,+1.00000000E+00,+1.29417661E+00,+2.74390157E-01,+9.61618449E-01,+1.00000000E+00,+1.29284087E+00
+3.70000000E-02,+0.00000000E+00,+2.73100517E-01,+9.61985503E-01,+1.00000000E+00,+1.29418172E+00,+2.74457635E-01,+9.61599192E-01,+1.00000000E+00,+1.29277069E+00
+3.80000000E-02,+0.00000000E+00,+2.73095461E-01,+9.61986938E-01,+1.00000000E+00,+1.29418698E+00,+2.74526961E-01,+9.61579403E-01,+1.00000000E+00,+1.29269860E+00
+3.90000000E-02,+0.00000000E+00,+2.73090269E-01,+9.61988412E-01,+1.00000000E+00,+1.29419238E+00,+2.74598138E-01,+9.61559079E-01,+1.00000000E+00,+1.29262458E+00
+4.00000000E-02,+0.00000000E+00,+2.73084939E-01,+9.61989925E-01,+1.00000000E+00,+1.29419792E+00,+2.74671164E-01,+9.61538222E-01,+1.00000000E+00,+1.29254863E+00
+4.10000000E-02,+0.00000000E+00,+2.73079470E-01,+9.61991478E-01,+1.00000000E+00,+1.29420360E+00,+2.74746040E-01,+9.61516830E-01,+1.00000000E+00,+1.29247076E+00
+4.20000000E-02,+0.00000000E+00,+2.73073864E-01,+9.61993069E-01,+1.00000000E+00,+1.29420943E+00,+2.74822766E-01,+9.61494902E-01,+1.00000000E+00,+1.29239096E+00
+4.30000000E-02,+0.00000000E+00,+2.73068120E-01,+9.61994700E-01,+1.00000000E+00,+1.29421540E+00,+2.74901342E-01,+9.61472440E-01,+1.00000000E+00,+1.29230924E+00
+4.40000000E-02,+0.00000000E+00,+2.73062237E-01,+9.61996369E-01,+1.00000000E+00,+1.29422152E+00,+2.74981768E-01,+9.61449441E-01,+1.00000000E+00,+1.29222559E+00
+4.50000000E-02,+0.00000000E+00,+2.73056215E-01,+9.61998079E-01,+1.00000000E+00,+1.29422778E+00,+2.75064044E-01,+9.61425906E-01,+1.00000000E+00,+1.29214001E+00
+4.60000000E-02,+0.00000000E+00,+2.73050055E-01,+9.61999827E-01,+1.00000000E+00,+1.29423418E+00,+2.75148170E-01,+9.61401833E-01,+1.00000000E+00,+1.29205251E+00
+4.70000000E-02,+0.00000000E+00,+2.73043755E-01,+9.62001615E-01,+1.00000000E+00,+1.29424073E+00,+2.75234146E-01,+9.61377223E-01,+1.00000000E+00,+1.29196308E+00
+4.80000000E-02,+0.00000000E+00,+2.73037315E-01,+9.62003443E-01,+1.00000000E+00,+1.29424742E+00,+2.75321973E-01,+9.61352074E-01,+1.00000000E+00,+1.29187172E+00
+4.90000000E-02,+0.00000000E+00,+2.73030736E-01,+9.62005310E-01,+1.00000000E+00,+1.29425426E+00,+2.75411651E-01,+9.61326387E-01,+1.00000000E+00,+1.29177844E+00
+5.00000000E-02,+0.00000000E+00,+2.73024017E-01,+9.62007217E-01,+1.00000000E+00,+1.29426125E+00,+2.75503179E-01,+9.61300160E-01,+1.00000000E+00,+1.29168323E+00
+5.10000000E-02,+0.00000000E+00,+2.73017158E-01,+9.62009164E-01,+1.00000000E+00,+1.29426838E+00,+2.75596558E-01,+9.61273394E-01,+1.00000000E+00,+1.29158609E+00
+5.20000000E-02,+0.00000000E+00,+2.73010158E-01,+9.62011150E-01,+1.00000000E+00,+1.29427565E+00,+2.75691787E-01,+9.61246086E-01,+1.00000000E+00,+1.29148702E+00
+5.30000000E-02,+0.00000000E+00,+2.73003017E-01,+9.62013177E-01,+1.00000000E+00,+1.29428307E+00,+2.75788867E-01,+9.61218238E-01,+1.00000000E+00,+1.29138603E+00
