s1,s2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+0.00000000E+00,+0.00000000E+00,+1.26258244E-01,+9.91997407E-01,+1.00000000E+00,+1.44420020E+00,+1.26258244E-01,+9.91997407E-01,+1.00000000E+00,+1.44420020E+00
+1.00000000E-03,+0.00000000E+00,+1.26255887E-01,+9.91997707E-01,+1.00000000E+00,+1.44420258E+00,+1.26256436E-01,+9.91997637E-01,+1.00000000E+00,+1.44420203E+00
+2.00000000E-03,+0.00000000E+00,+1.26248815E-01,+9.91998607E-01,+1.00000000E+00,+1.44420971E+00,+1.26251013E-01,+9.91998327E-01,+1.00000000E+00,+1.44420749E+00
+3.00000000E-03,+0.00000000E+00,+1.26237028E-01,+9.92000107E-01,+1.00000000E+00,+1.44422159E+00,+1.26241975E-01,+9.91999478E-01,+1.00000000E+00,+1.44421660E+00
+4.00000000E-03,+0.00000000E+00,+1.26220526E-01,+9.92002207E-01,+1.00000000E+00,+1.44423822E+00,+1.26229320E-01,+9.92001088E-01,+1.00000000E+00,+1.44422936E+00
+5.00000000E-03,+0.00000000E+00,+1.26199310E-01,+9.92004906E-01,+1.00000000E+00,+1.44425961E+00,+1.26213051E-01,+9.92003158E-01,+1.00000000E+00,+1.44424576E+00
+6.00000000E-03,+0.00000000E+00,+1.26173377E-01,+9.92008205E-01,+1.00000000E+00,+1.44428575E+00,+1.26193165E-01,+9.92005688E-01,+1.00000000E+00,+1.44426581E+00
+7.00000000E-03,+0.00000000E+00,+1.26142729E-01,+9.92012103E-01,+1.00000000E+00,+1.44431665E+00,+1.26169662E-01,+9.92008678E-01,+1.00000000E+00,+1.44428950E+00
+8.00000000E-03,+0.00000000E+00,+1.26107365E-01,+9.92016599E-01,+1.00000000E+00,+1.44435230E+00,+1.26142544E-01,+9.92012126E-01,+1.00000000E+00,+1.44431684E+00
+9.00000000E-03,+0.00000000E+00,+1.26067283E-01,+9.92021693E-01,+1.00000000E+00,+1.44439270E+00,+1.26111808E-01,+9.92016034E-01,+1.00000000E+00,+1.44434782E+00
