s1,s2,Re(r_ibc7.tm),Im(r_ibc7.tm),Abs(r_ibc7.tm),Arg(r_ibc7.tm),Re(r_ibc7.te),Im(r_ibc7.te),Abs(r_ibc7.te),Arg(r_ibc7.te)
+0.00000000E+00,+0.00000000E+00,+1.27628994E-01,+9.91821980E-01,+1.00000000E+00,+1.44281827E+00,+1.27628994E-01,+9.91821980E-01,+1.00000000E+00,+1.44281827E+00
+1.00000000E-03,+0.00000000E+00,+1.27627621E-01,+9.91822157E-01,+1.00000000E+00,+1.44281966E+00,+1.27627189E-01,+9.91822212E-01,+1.00000000E+00,+1.44282009E+00
+2.00000000E-03,+0.00000000E+00,+1.27623502E-01,+9.91822687E-01,+1.00000000E+00,+1.44282381E+00,+1.27621773E-01,+9.91822909E-01,+1.00000000E+00,+1.44282555E+00
+3.00000000E-03,+0.00000000E+00,+1.27616637E-01,+9.91823570E-01,+1.00000000E+00,+1.44283073E+00,+1.27612746E-01,+9.91824071E-01,+1.00000000E+00,+1.44283465E+00
+4.00000000E-03,+0.00000000E+00,+1.27607026E-01,+9.91824807E-01,+1.00000000E+00,+1.44284042E+00,+1.27600109E-01,+9.91825697E-01,+1.00000000E+00,+1.44284740E+00
+5.00000000E-03,+0.00000000E+00,+1.27594668E-01,+9.91826396E-01,+1.00000000E+00,+1.44285288E+00,+1.27583860E-01,+9.91827787E-01,+1.00000000E+00,+1.44286378E+00
+6.00000000E-03,+0.00000000E+00,+1.27579563E-01,+9.91828339E-01,+1.00000000E+00,+1.44286811E+00,+1.27564000E-01,+9.91830341E-01,+1.00000000E+00,+1.44288380E+00
+7.00000000E-03,+0.00000000E+00,+1.27561712E-01,+9.91830636E-01,+1.00000000E+00,+1.44288611E+00,+1.27540529E-01,+9.91833360E-01,+1.00000000E+00,+1.44290747E+00
+8.00000000E-03,+0.00000000E+00,+1.27541113E-01,+9.91833285E-01,+1.00000000E+00,+1.44290688E+00,+1.27513445E-01,+9.91836842E-01,+1.00000000E+00,+1.44293477E+00
+9.00000000E-03,+0.00000000E+00,+1.27517767E-01,+9.91836286E-01,+1.00000000E+00,+1.44293042E+00,+1.27482750E-01,+9.91840788E-01,+1.00000000E+00,+1.44296572E+00
+1.00000000E-02,+0.00000000E+00,+1.27491673E-01,+9.91839641E-01,+1.00000000E+00,+1.44295673E+00,+1.27448442E-01,+9.91845197E-01,+1.00000000E+00,+1.44300031E+00
+1.10000000E-02,+0.00000000E+00,+1.27462831E-01,+9.91843348E-01,+1.00000000E+00,+1.44298580E+00,+1.27410521E-01,+9.91850069E-01,+1.00000000E+00,+1.44303854E+00
+1.20000000E-02,+0.00000000E+00,+1.27431239E-01,+9.91847407E-01,+1.00000000E+00,+1.44301766E+00,+1.27368986E-01,+9.91855403E-01,+1.00000000E+00,+1.44308042E+00
+1.30000000E-02,+0.00000000E+00,+1.27396898E-01,+9.91851819E-01,+1.00000000E+00,+1.44305228E+00,+1.27323837E-01,+9.91861200E-01,+1.00000000E+00,+1.44312594E+00
+1.40000000E-02,+0.00000000E+00,+1.27359808E-01,+9.91856582E-01,+1.00000000E+00,+1.44308967E+00,+1.27275074E-01,+9.91867459E-01,+1.00000000E+00,+1.44317510E+00
+1.50000000E-02,+0.00000000E+00,+1.27319966E-01,+9.91861697E-01,+1.00000000E+00,+1.44312984E+00,+1.27222695E-01,+9.91874178E-01,+1.00000000E+00,+1.44322791E+00
+1.60000000E-02,+0.00000000E+00,+1.27277373E-01,+9.91867164E-01,+1.00000000E+00,+1.44317279E+00,+1.27166700E-01,+9.91881359E-01,+1.00000000E+00,+1.44328436E+00
+1.70000000E-02,+0.00000000E+00,+1.27232028E-01,+9.91872981E-01,+1.00000000E+00,+1.44321850E+00,+1.27107089E-01,+9.91889000E-01,+1.00000000E+00,+1.44334446E+00
+1.80000000E-02,+0.00000000E+00,+1.27183930E-01,+9.91879150E-01,+1.00000000E+00,+1.44326699E+00,+1.27043859E-01,+9.91897100E-01,+1.00000000E+00,+1.44340821E+00
+1.90000000E-02,+0.00000000E+00,+1.27133078E-01,+9.91885669E-01,+1.00000000E+00,+1.44331826E+00,+1.26977012E-01,+9.91905660E-01,+1.00000000E+00,+1.44347560E+00
+2.00000000E-02,+0.00000000E+00,+1.27079472E-01,+9.91892538E-01,+1.00000000E+00,+1.44337231E+00,+1.26906545E-01,+9.91914678E-01,+1.00000000E+00,+1.44354665E+00
+2.10000000E-02,+0.00000000E+00,+1.27023110E-01,+9.91899758E-01,+1.00000000E+00,+1.44342913E+00,+1.26832457E-01,+9.91924154E-01,+1.00000000E+00,+1.44362134E+00
+2.20000000E-02,+0.00000000E+00,+1.26963992E-01,+9.91907327E-01,+1.00000000E+00,+1.44348873E+00,+1.26754749E-01,+9.91934087E-01,+1.00000000E+00,+1.44369968E+00
+2.30000000E-02,+0.00000000E+00,+1.26902116E-01,+9.91915245E-01,+1.00000000E+00,+1.44355111E+00,+1.26673418E-01,+9.91944477E-01,+1.00000000E+00,+1.44378167E+00
+2.40000000E-02,+0.00000000E+00,+1.26837482E-01,+9.91923512E-01,+1.00000000E+00,+1.44361627E+00,+1.26588464E-01,+9.91955322E-01,+1.00000000E+00,+1.44386731E+00
+2.50000000E-02,+0.00000000E+00,+1.26770088E-01,+9.91932127E-01,+1.00000000E+00,+1.44368421E+00,+1.26499886E-01,+9.91966622E-01,+1.00000000E+00,+1.44395661E+00
+2.60000000E-02,+0.00000000E+00,+1.26699933E-01,+9.91941091E-01,+1.00000000E+00,+1.44375494E+00,+1.26407682E-01,+9.91978376E-01,+1.00000000E+00,+1.44404956E+00
+2.70000000E-02,+0.00000000E+00,+1.26627015E-01,+9.91950401E-01,+1.00000000E+00,+1.44382845E+00,+1.26311851E-01,+9.91990583E-01,+1.00000000E+00,+1.44414616E+00
+2.80000000E-02,+0.00000000E+00,+1.26551335E-01,+9.91960059E-01,+1.00000000E+00,+1.44390474E+00,+1.26212391E-01,+9.92003242E-01,+1.00000000E+00,+1.44424643E+00
+2.90000000E-02,+0.00000000E+00,+1.26472890E-01,+9.91970064E-01,+1.00000000E+00,+1.44398382E+00,+1.26109303E-01,+9.92016353E-01,+1.00000000E+00,+1.44435034E+00
+3.00000000E-02,+0.00000000E+00,+1.26391679E-01,+9.91980415E-01,+1.00000000E+00,+1.44406569E+00,+1.26002583E-01,+9.92029913E-01,+1.00000000E+00,+1.44445792E+00
+3.10000000E-02,+0.00000000E+00,+1.26307700E-01,+9.91991111E-01,+1.00000000E+00,+1.44415035E+00,+1.25892232E-01,+9.92043923E-01,+1.00000000E+00,+1.44456916E+00
+3.20000000E-02,+0.00000000E+00,+1.26220953E-01,+9.92002153E-01,+1.00000000E+00,+1.44423780E+00,+1.25778246E-01,+9.92058382E-01,+1.00000000E+00,+1.44468406E+00
+3.30000000E-02,+0.00000000E+00,+1.26131435E-01,+9.92013539E-01,+1.00000000E+00,+1.44432803E+00,+1.25660626E-01,+9.92073287E-01,+1.00000000E+00,+1.44480262E+00
+3.40000000E-02,+0.00000000E+00,+1.26039145E-01,+9.92025269E-01,+1.00000000E+00,+1.44442107E+00,+1.25539368E-01,+9.92088639E-01,+1.00000000E+00,+1.44492484E+00
+3.50000000E-02,+0.00000000E+00,+1.25944082E-01,+9.92037342E-01,+1.00000000E+00,+1.44451689E+00,+1.25414472E-01,+9.92104435E-01,+1.00000000E+00,+1.44505074E+00
+3.60000000E-02,+0.00000000E+00,+1.25846243E-01,+9.92049758E-01,+1.00000000E+00,+1.44461552E+00,+1.25285937E-01,+9.92120675E-01,+1.00000000E+00,+1.44518029E+00
+3.70000000E-02,+0.00000000E+00,+1.25745628E-01,+9.92062517E-01,+1.00000000E+00,+1.44471694E+00,+1.25153759E-01,+9.92137358E-01,+1.00000000E+00,+1.44531352E+00
+3.80000000E-02,+0.00000000E+00,+1.25642234E-01,+9.92075617E-01,+1.00000000E+00,+1.44482116E+00,+1.25017938E-01,+9.92154482E-01,+1.00000000E+00,+1.44545042E+00
+3.90000000E-02,+0.00000000E+00,+1.25536059E-01,+9.92089057E-01,+1.00000000E+00,+1.44492818E+00,+1.24878471E-01,+9.92172045E-01,+1.00000000E+00,+1.44559098E+00
+4.00000000E-02,+0.00000000E+00,+1.25427102E-01,+9.92102838E-01,+1.00000000E+00,+1.44503801E+00,+1.24735357E-01,+9.92190048E-01,+1.00000000E+00,+1.44573523E+00
+4.10000000E-02,+0.00000000E+00,+1.25315361E-01,+9.92116959E-01,+1.00000000E+00,+1.44515063E+00,+1.24588595E-01,+9.92208487E-01,+1.00000000E+00,+1.44588314E+00
+4.20000000E-02,+0.00000000E+00,+1.25200835E-01,+9.92131418E-01,+1.00000000E+00,+1.44526607E+00,+1.24438181E-01,+9.92227363E-01,+1.00000000E+00,+1.44603474E+00
+4.30000000E-02,+0.00000000E+00,+1.25083519E-01,+9.92146216E-01,+1.00000000E+00,+1.44538432E+00,+1.24284114E-01,+9.92246672E-01,+1.00000000E+00,+1.44619001E+00
+4.40000000E-02,+0.00000000E+00,+1.24963414E-01,+9.92161350E-01,+1.00000000E+00,+1.44550537E+00,+1.24126392E-01,+9.92266415E-01,+1.00000000E+00,+1.44634896E+00
