s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.54541280E-01,+8.54541280E-01,-1.57079633E+00,+0.00000000E+00,-8.54541280E-01,+8.54541280E-01,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54543228E-01,+8.54543228E-01,-1.57079633E+00,+0.00000000E+00,-8.54543442E-01,+8.54543442E-01,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54549071E-01,+8.54549071E-01,-1.57079633E+00,+0.00000000E+00,-8.54549926E-01,+8.54549926E-01,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54558809E-01,+8.54558809E-01,-1.57079633E+00,+0.00000000E+00,-8.54560732E-01,+8.54560732E-01,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54572443E-01,+8.54572443E-01,-1.57079633E+00,+0.00000000E+00,-8.54575862E-01,+8.54575862E-01,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54589973E-01,+8.54589973E-01,-1.57079633E+00,+0.00000000E+00,-8.54595314E-01,+8.54595314E-01,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54611399E-01,+8.54611399E-01,-1.57079633E+00,+0.00000000E+00,-8.54619091E-01,+8.54619091E-01,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54636722E-01,+8.54636722E-01,-1.57079633E+00,+0.00000000E+00,-8.54647192E-01,+8.54647192E-01,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54665942E-01,+8.54665942E-01,-1.57079633E+00,+0.00000000E+00,-8.54679617E-01,+8.54679617E-01,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.54699061E-01,+8.54699061E-01,-1.57079633E+00,+0.00000000E+00,-8.54716369E-01,+8.54716369E-01,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-8.54736077E-01,+8.54736077E-01,-1.57079633E+00,+0.00000000E+00,-8.54757446E-01,+8.54757446E-01,-1.57079633E+00
+1.10000000E-02,+0.00000000E+00,+0.00000000E+00,-8.54776994E-01,+8.54776994E-01,-1.57079633E+00,+0.00000000E+00,-8.54802852E-01,+8.54802852E-01,-1.57079633E+00
+1.20000000E-02,+0.00000000E+00,+0.00000000E+00,-8.54821811E-01,+8.54821811E-01,-1.57079633E+00,+0.00000000E+00,-8.54852585E-01,+8.54852585E-01,-1.57079633E+00
