s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-8.53327957E-01,+8.53327957E-01,-1.57079633E+00,+0.00000000E+00,-8.53327957E-01,+8.53327957E-01,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53329900E-01,+8.53329900E-01,-1.57079633E+00,+0.00000000E+00,-8.53330113E-01,+8.53330113E-01,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53335731E-01,+8.53335731E-01,-1.57079633E+00,+0.00000000E+00,-8.53336584E-01,+8.53336584E-01,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53345449E-01,+8.53345449E-01,-1.57079633E+00,+0.00000000E+00,-8.53347369E-01,+8.53347369E-01,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53359055E-01,+8.53359055E-01,-1.57079633E+00,+0.00000000E+00,-8.53362468E-01,+8.53362468E-01,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53376548E-01,+8.53376548E-01,-1.57079633E+00,+0.00000000E+00,-8.53381882E-01,+8.53381882E-01,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53397930E-01,+8.53397930E-01,-1.57079633E+00,+0.00000000E+00,-8.53405610E-01,+8.53405610E-01,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53423200E-01,+8.53423200E-01,-1.57079633E+00,+0.00000000E+00,-8.53433655E-01,+8.53433655E-01,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53452360E-01,+8.53452360E-01,-1.57079633E+00,+0.00000000E+00,-8.53466015E-01,+8.53466015E-01,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,+0.00000000E+00,-8.53485409E-01,+8.53485409E-01,-1.57079633E+00,+0.00000000E+00,-8.53502693E-01,+8.53502693E-01,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-8.53522349E-01,+8.53522349E-01,-1.57079633E+00,+0.00000000E+00,-8.53543688E-01,+8.53543688E-01,-1.57079633E+00
+1.10000000E-02,+0.00000000E+00,+0.00000000E+00,-8.53563181E-01,+8.53563181E-01,-1.57079633E+00,+0.00000000E+00,-8.53589002E-01,+8.53589002E-01,-1.57079633E+00
