s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+4.19892624E-20,-7.96599991E-01,+7.96599991E-01,-1.57079633E+00,+4.19892624E-20,-7.96599991E-01,+7.96599991E-01,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,+4.19894723E-20,-7.96600061E-01,+7.96600061E-01,-1.57079633E+00,+4.19892564E-20,-7.96599991E-01,+7.96599991E-01,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,+4.19901020E-20,-7.96600269E-01,+7.96600269E-01,-1.57079633E+00,+4.19892385E-20,-7.96599991E-01,+7.96599991E-01,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,+4.19911516E-20,-7.96600616E-01,+7.96600616E-01,-1.57079633E+00,+4.19892088E-20,-7.96599990E-01,+7.96599990E-01,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,+4.19926211E-20,-7.96601103E-01,+7.96601103E-01,-1.57079633E+00,+4.19891670E-20,-7.96599989E-01,+7.96599989E-01,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+4.19945104E-20,-7.96601728E-01,+7.96601728E-01,-1.57079633E+00,+4.19891134E-20,-7.96599988E-01,+7.96599988E-01,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,+4.19968195E-20,-7.96602492E-01,+7.96602492E-01,-1.57079633E+00,+4.19890479E-20,-7.96599987E-01,+7.96599987E-01,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,+4.19995486E-20,-7.96603394E-01,+7.96603394E-01,-1.57079633E+00,+4.19889704E-20,-7.96599985E-01,+7.96599985E-01,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,+4.20026976E-20,-7.96604436E-01,+7.96604436E-01,-1.57079633E+00,+4.19888811E-20,-7.96599984E-01,+7.96599984E-01,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,+4.20062666E-20,-7.96605617E-01,+7.96605617E-01,-1.57079633E+00,+4.19887798E-20,-7.96599982E-01,+7.96599982E-01,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+4.20102556E-20,-7.96606937E-01,+7.96606937E-01,-1.57079633E+00,+4.19886666E-20,-7.96599979E-01,+7.96599979E-01,-1.57079633E+00
+1.10000000E-02,+0.00000000E+00,+4.20146646E-20,-7.96608395E-01,+7.96608395E-01,-1.57079633E+00,+4.19885415E-20,-7.96599977E-01,+7.96599977E-01,-1.57079633E+00
+1.20000000E-02,+0.00000000E+00,+4.20194937E-20,-7.96609993E-01,+7.96609993E-01,-1.57079633E+00,+4.19884044E-20,-7.96599974E-01,+7.96599974E-01,-1.57079633E+00
+1.30000000E-02,+0.00000000E+00,+4.20247429E-20,-7.96611729E-01,+7.96611729E-01,-1.57079633E+00,+4.19882555E-20,-7.96599971E-01,+7.96599971E-01,-1.57079633E+00
+1.40000000E-02,+0.00000000E+00,+4.20304123E-20,-7.96613605E-01,+7.96613605E-01,-1.57079633E+00,+4.19880946E-20,-7.96599968E-01,+7.96599968E-01,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,+4.20365019E-20,-7.96615619E-01,+7.96615619E-01,-1.57079633E+00,+4.19879218E-20,-7.96599964E-01,+7.96599964E-01,-1.57079633E+00
+1.60000000E-02,+0.00000000E+00,+4.20430118E-20,-7.96617773E-01,+7.96617773E-01,-1.57079633E+00,+4.19877371E-20,-7.96599960E-01,+7.96599960E-01,-1.57079633E+00
+1.70000000E-02,+0.00000000E+00,+4.20499421E-20,-7.96620065E-01,+7.96620065E-01,-1.57079633E+00,+4.19875404E-20,-7.96599956E-01,+7.96599956E-01,-1.57079633E+00
+1.80000000E-02,+0.00000000E+00,+4.20572928E-20,-7.96622497E-01,+7.96622497E-01,-1.57079633E+00,+4.19873319E-20,-7.96599952E-01,+7.96599952E-01,-1.57079633E+00
+1.90000000E-02,+0.00000000E+00,+4.20650639E-20,-7.96625068E-01,+7.96625068E-01,-1.57079633E+00,+4.19871114E-20,-7.96599947E-01,+7.96599947E-01,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+4.20732557E-20,-7.96627777E-01,+7.96627777E-01,-1.57079633E+00,+4.19868790E-20,-7.96599943E-01,+7.96599943E-01,-1.57079633E+00
+2.10000000E-02,+0.00000000E+00,+4.20818681E-20,-7.96630626E-01,+7.96630626E-01,-1.57079633E+00,+4.19866346E-20,-7.96599938E-01,+7.96599938E-01,-1.57079633E+00
+2.20000000E-02,+0.00000000E+00,+4.20909012E-20,-7.96633614E-01,+7.96633614E-01,-1.57079633E+00,+4.19863784E-20,-7.96599933E-01,+7.96599933E-01,-1.57079633E+00
+2.30000000E-02,+0.00000000E+00,+4.21003552E-20,-7.96636741E-01,+7.96636741E-01,-1.57079633E+00,+4.19861102E-20,-7.96599927E-01,+7.96599927E-01,-1.57079633E+00
+2.40000000E-02,+0.00000000E+00,+4.21102300E-20,-7.96640008E-01,+7.96640008E-01,-1.57079633E+00,+4.19858300E-20,-7.96599921E-01,+7.96599921E-01,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,+4.21205259E-20,-7.96643413E-01,+7.96643413E-01,-1.57079633E+00,+4.19855380E-20,-7.96599915E-01,+7.96599915E-01,-1.57079633E+00
+2.60000000E-02,+0.00000000E+00,+4.21312429E-20,-7.96646958E-01,+7.96646958E-01,-1.57079633E+00,+4.19852340E-20,-7.96599909E-01,+7.96599909E-01,-1.57079633E+00
+2.70000000E-02,+0.00000000E+00,+4.21423811E-20,-7.96650642E-01,+7.96650642E-01,-1.57079633E+00,+4.19849181E-20,-7.96599903E-01,+7.96599903E-01,-1.57079633E+00
+2.80000000E-02,+0.00000000E+00,+4.21539406E-20,-7.96654465E-01,+7.96654465E-01,-1.57079633E+00,+4.19845902E-20,-7.96599896E-01,+7.96599896E-01,-1.57079633E+00
