s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.55549173E-01,+7.55549173E-01,+1.57079633E+00,+0.00000000E+00,+7.55549173E-01,+7.55549173E-01,+1.57079633E+00
+1.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55548849E-01,+7.55548849E-01,+1.57079633E+00,+0.00000000E+00,+7.55548796E-01,+7.55548796E-01,+1.57079633E+00
+2.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55547880E-01,+7.55547880E-01,+1.57079633E+00,+0.00000000E+00,+7.55547665E-01,+7.55547665E-01,+1.57079633E+00
+3.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55546263E-01,+7.55546263E-01,+1.57079633E+00,+0.00000000E+00,+7.55545782E-01,+7.55545782E-01,+1.57079633E+00
+4.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55544001E-01,+7.55544001E-01,+1.57079633E+00,+0.00000000E+00,+7.55543144E-01,+7.55543144E-01,+1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55541091E-01,+7.55541091E-01,+1.57079633E+00,+0.00000000E+00,+7.55539753E-01,+7.55539753E-01,+1.57079633E+00
+6.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55537536E-01,+7.55537536E-01,+1.57079633E+00,+0.00000000E+00,+7.55535609E-01,+7.55535609E-01,+1.57079633E+00
+7.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55533333E-01,+7.55533333E-01,+1.57079633E+00,+0.00000000E+00,+7.55530711E-01,+7.55530711E-01,+1.57079633E+00
+8.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55528485E-01,+7.55528485E-01,+1.57079633E+00,+0.00000000E+00,+7.55525060E-01,+7.55525060E-01,+1.57079633E+00
+9.00000000E-03,+0.00000000E+00,+0.00000000E+00,+7.55522989E-01,+7.55522989E-01,+1.57079633E+00,+0.00000000E+00,+7.55518655E-01,+7.55518655E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55516848E-01,+7.55516848E-01,+1.57079633E+00,+0.00000000E+00,+7.55511496E-01,+7.55511496E-01,+1.57079633E+00
+1.10000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55510060E-01,+7.55510060E-01,+1.57079633E+00,+0.00000000E+00,+7.55503584E-01,+7.55503584E-01,+1.57079633E+00
+1.20000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55502625E-01,+7.55502625E-01,+1.57079633E+00,+0.00000000E+00,+7.55494919E-01,+7.55494919E-01,+1.57079633E+00
+1.30000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55494545E-01,+7.55494545E-01,+1.57079633E+00,+0.00000000E+00,+7.55485500E-01,+7.55485500E-01,+1.57079633E+00
+1.40000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55485817E-01,+7.55485817E-01,+1.57079633E+00,+0.00000000E+00,+7.55475327E-01,+7.55475327E-01,+1.57079633E+00
+1.50000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55476444E-01,+7.55476444E-01,+1.57079633E+00,+0.00000000E+00,+7.55464401E-01,+7.55464401E-01,+1.57079633E+00
+1.60000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55466424E-01,+7.55466424E-01,+1.57079633E+00,+0.00000000E+00,+7.55452722E-01,+7.55452722E-01,+1.57079633E+00
+1.70000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55455758E-01,+7.55455758E-01,+1.57079633E+00,+0.00000000E+00,+7.55440289E-01,+7.55440289E-01,+1.57079633E+00
+1.80000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55444445E-01,+7.55444445E-01,+1.57079633E+00,+0.00000000E+00,+7.55427102E-01,+7.55427102E-01,+1.57079633E+00
+1.90000000E-02,+0.00000000E+00,+0.00000000E+00,+7.55432486E-01,+7.55432486E-01,+1.57079633E+00,+0.00000000E+00,+7.55413162E-01,+7.55413162E-01,+1.57079633E+00
