s1,s2,Re(z_ibc7.11),Im(z_ibc7.11),Abs(z_ibc7.11),Arg(z_ibc7.11),Re(z_ibc7.21),Im(z_ibc7.21),Abs(z_ibc7.21),Arg(z_ibc7.21),Re(z_ibc7.12),Im(z_ibc7.12),Abs(z_ibc7.12),Arg(z_ibc7.12),Re(z_ibc7.22),Im(z_ibc7.22),Abs(z_ibc7.22),Arg(z_ibc7.22)
+0.00000000E+00,+0.00000000E+00,-1.23885135E-17,-8.80790363E-01,+8.80790363E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23885135E-17,-8.80790363E-01,+8.80790363E-01,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,-1.23884546E-17,-8.80792032E-01,+8.80792032E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23884676E-17,-8.80792421E-01,+8.80792421E-01,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,-1.23882778E-17,-8.80797041E-01,+8.80797041E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23883300E-17,-8.80798596E-01,+8.80798596E-01,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,-1.23879832E-17,-8.80805389E-01,+8.80805389E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23881005E-17,-8.80808888E-01,+8.80808888E-01,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,-1.23875708E-17,-8.80817076E-01,+8.80817076E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23877792E-17,-8.80823298E-01,+8.80823298E-01,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,-1.23870404E-17,-8.80832103E-01,+8.80832103E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23873662E-17,-8.80841825E-01,+8.80841825E-01,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,-1.23863922E-17,-8.80850470E-01,+8.80850470E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23868613E-17,-8.80864470E-01,+8.80864470E-01,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,-1.23856260E-17,-8.80872178E-01,+8.80872178E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23862646E-17,-8.80891233E-01,+8.80891233E-01,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,-1.23847419E-17,-8.80897226E-01,+8.80897226E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23855760E-17,-8.80922116E-01,+8.80922116E-01,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,-1.23837398E-17,-8.80925617E-01,+8.80925617E-01,-1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-1.23847956E-17,-8.80957118E-01,+8.80957118E-01,-1.57079633E+00
