s1,s2,Re(z_ibc7.tm),Im(z_ibc7.tm),Abs(z_ibc7.tm),Arg(z_ibc7.tm),Re(z_ibc7.te),Im(z_ibc7.te),Abs(z_ibc7.te),Arg(z_ibc7.te)
+0.00000000E+00,+0.00000000E+00,+1.44402632E-18,-8.79564098E-01,+8.79564098E-01,-1.57079633E+00,+1.44402632E-18,-8.79564098E-01,+8.79564098E-01,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,+1.44400014E-18,-8.79565764E-01,+8.79565764E-01,-1.57079633E+00,+1.44404173E-18,-8.79566152E-01,+8.79566152E-01,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,+1.44392161E-18,-8.79570760E-01,+8.79570760E-01,-1.57079633E+00,+1.44408798E-18,-8.79572314E-01,+8.79572314E-01,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,+1.44379072E-18,-8.79579088E-01,+8.79579088E-01,-1.57079633E+00,+1.44416505E-18,-8.79582585E-01,+8.79582585E-01,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,+1.44360748E-18,-8.79590746E-01,+8.79590746E-01,-1.57079633E+00,+1.44427296E-18,-8.79596963E-01,+8.79596963E-01,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+1.44337188E-18,-8.79605736E-01,+8.79605736E-01,-1.57079633E+00,+1.44441171E-18,-8.79615450E-01,+8.79615450E-01,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,+1.44308392E-18,-8.79624058E-01,+8.79624058E-01,-1.57079633E+00,+1.44458129E-18,-8.79638047E-01,+8.79638047E-01,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,+1.44274360E-18,-8.79645713E-01,+8.79645713E-01,-1.57079633E+00,+1.44478172E-18,-8.79664753E-01,+8.79664753E-01,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,+1.44235091E-18,-8.79670700E-01,+8.79670700E-01,-1.57079633E+00,+1.44501300E-18,-8.79695569E-01,+8.79695569E-01,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,+1.44190584E-18,-8.79699020E-01,+8.79699020E-01,-1.57079633E+00,+1.44527514E-18,-8.79730497E-01,+8.79730497E-01,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+1.44140839E-18,-8.79730675E-01,+8.79730675E-01,-1.57079633E+00,+1.44556813E-18,-8.79769536E-01,+8.79769536E-01,-1.57079633E+00
+1.10000000E-02,+0.00000000E+00,+1.44085856E-18,-8.79765665E-01,+8.79765665E-01,-1.57079633E+00,+1.44589200E-18,-8.79812688E-01,+8.79812688E-01,-1.57079633E+00
+1.20000000E-02,+0.00000000E+00,+1.44025634E-18,-8.79803990E-01,+8.79803990E-01,-1.57079633E+00,+1.44624674E-18,-8.79859954E-01,+8.79859954E-01,-1.57079633E+00
+1.30000000E-02,+0.00000000E+00,+1.43960172E-18,-8.79845652E-01,+8.79845652E-01,-1.57079633E+00,+1.44663237E-18,-8.79911335E-01,+8.79911335E-01,-1.57079633E+00
+1.40000000E-02,+0.00000000E+00,+1.43889470E-18,-8.79890652E-01,+8.79890652E-01,-1.57079633E+00,+1.44704890E-18,-8.79966832E-01,+8.79966832E-01,-1.57079633E+00
