s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.63639182E-01,+3.63639182E-01,+1.57079633E+00,+0.00000000E+00,+3.63639182E-01,+3.63639182E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63628627E-01,+3.63628627E-01,+1.57079633E+00,+0.00000000E+00,+3.63637718E-01,+3.63637718E-01,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63596965E-01,+3.63596965E-01,+1.57079633E+00,+0.00000000E+00,+3.63633329E-01,+3.63633329E-01,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63544197E-01,+3.63544197E-01,+1.57079633E+00,+0.00000000E+00,+3.63626013E-01,+3.63626013E-01,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63470325E-01,+3.63470325E-01,+1.57079633E+00,+0.00000000E+00,+3.63615772E-01,+3.63615772E-01,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63375354E-01,+3.63375354E-01,+1.57079633E+00,+0.00000000E+00,+3.63602605E-01,+3.63602605E-01,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63259287E-01,+3.63259287E-01,+1.57079633E+00,+0.00000000E+00,+3.63586515E-01,+3.63586515E-01,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.63122130E-01,+3.63122130E-01,+1.57079633E+00,+0.00000000E+00,+3.63567500E-01,+3.63567500E-01,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.62963891E-01,+3.62963891E-01,+1.57079633E+00,+0.00000000E+00,+3.63545564E-01,+3.63545564E-01,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,+3.62784577E-01,+3.62784577E-01,+1.57079633E+00,+0.00000000E+00,+3.63520706E-01,+3.63520706E-01,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+0.00000000E+00,+3.62584196E-01,+3.62584196E-01,+1.57079633E+00,+0.00000000E+00,+3.63492929E-01,+3.63492929E-01,+1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+0.00000000E+00,+3.62362760E-01,+3.62362760E-01,+1.57079633E+00,+0.00000000E+00,+3.63462233E-01,+3.63462233E-01,+1.57079633E+00
+1.20000000E-01,+0.00000000E+00,+0.00000000E+00,+3.62120278E-01,+3.62120278E-01,+1.57079633E+00,+0.00000000E+00,+3.63428621E-01,+3.63428621E-01,+1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+0.00000000E+00,+3.61856763E-01,+3.61856763E-01,+1.57079633E+00,+0.00000000E+00,+3.63392095E-01,+3.63392095E-01,+1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+0.00000000E+00,+3.61572228E-01,+3.61572228E-01,+1.57079633E+00,+0.00000000E+00,+3.63352656E-01,+3.63352656E-01,+1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+0.00000000E+00,+3.61266686E-01,+3.61266686E-01,+1.57079633E+00,+0.00000000E+00,+3.63310307E-01,+3.63310307E-01,+1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+0.00000000E+00,+3.60940153E-01,+3.60940153E-01,+1.57079633E+00,+0.00000000E+00,+3.63265050E-01,+3.63265050E-01,+1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+0.00000000E+00,+3.60592646E-01,+3.60592646E-01,+1.57079633E+00,+0.00000000E+00,+3.63216888E-01,+3.63216888E-01,+1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+0.00000000E+00,+3.60224180E-01,+3.60224180E-01,+1.57079633E+00,+0.00000000E+00,+3.63165823E-01,+3.63165823E-01,+1.57079633E+00
