s1,s2,Re(z_ibc6.tm),Im(z_ibc6.tm),Abs(z_ibc6.tm),Arg(z_ibc6.tm),Re(z_ibc6.te),Im(z_ibc6.te),Abs(z_ibc6.te),Arg(z_ibc6.te)
+0.00000000E+00,+0.00000000E+00,-3.51442507E-14,+1.80720277E-03,+1.80720277E-03,+1.57079633E+00,-2.90460289E-14,+8.08838856E-05,+8.08838856E-05,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+7.16761286E-14,+1.80636482E-03,+1.80636482E-03,+1.57079633E+00,-1.54098878E-15,+8.08446853E-05,+8.08446853E-05,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+1.64324380E-14,+1.80385187E-03,+1.80385187E-03,+1.57079633E+00,-2.18990254E-14,+8.07271281E-05,+8.07271281E-05,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,-3.07251970E-14,+1.79966654E-03,+1.79966654E-03,+1.57079633E+00,-2.91154950E-14,+8.05313460E-05,+8.05313460E-05,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+1.34702499E-13,+1.79381322E-03,+1.79381322E-03,+1.57079633E+00,-2.82405495E-14,+8.02575587E-05,+8.02575587E-05,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+1.28034636E-13,+1.78629804E-03,+1.78629804E-03,+1.57079633E+00,-2.88821705E-14,+7.99060732E-05,+7.99060732E-05,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+2.49664008E-14,+1.77712887E-03,+1.77712887E-03,+1.57079633E+00,-2.85271960E-14,+7.94772835E-05,+7.94772835E-05,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,-3.35253950E-14,+1.76631532E-03,+1.76631532E-03,+1.57079633E+00,-2.70118909E-14,+7.89716703E-05,+7.89716703E-05,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,-1.16098366E-14,+1.75386870E-03,+1.75386870E-03,+1.57079633E+00,-2.25374998E-14,+7.83897997E-05,+7.83897997E-05,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+4.62447301E-14,+1.73980204E-03,+1.73980204E-03,+1.57079633E+00,-5.47220399E-15,+7.77323232E-05,+7.77323232E-05,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+9.71318513E-14,+1.72413003E-03,+1.72413003E-03,+1.57079633E+00,+3.64915942E-14,+7.69999764E-05,+7.69999764E-05,+1.57079633E+00
