s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+8.97899913E-17,+8.63362456E-01,+8.63362456E-01,+1.57079633E+00,+2.69987144E-16,+9.94072032E-01,+9.94072032E-01,+1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+1.06908251E-13,+8.63331157E-01,+8.63331157E-01,+1.57079633E+00,+2.77766167E-14,+9.94052333E-01,+9.94052333E-01,+1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+5.16588080E-14,+8.63237268E-01,+8.63237268E-01,+1.57079633E+00,+7.42334687E-15,+9.93993241E-01,+9.93993241E-01,+1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+4.49158719E-15,+8.63080811E-01,+8.63080811E-01,+1.57079633E+00,+2.14816821E-16,+9.93894772E-01,+9.93894772E-01,+1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+1.69905868E-13,+8.62861821E-01,+8.62861821E-01,+1.57079633E+00,+1.10086706E-15,+9.93756952E-01,+9.93756952E-01,+1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+1.63220765E-13,+8.62580351E-01,+8.62580351E-01,+1.57079633E+00,+4.73505360E-16,+9.93579815E-01,+9.93579815E-01,+1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+6.01314715E-14,+8.62236464E-01,+8.62236464E-01,+1.57079633E+00,+8.45880011E-16,+9.93363410E-01,+9.93363410E-01,+1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+1.61480640E-15,+8.61830241E-01,+8.61830241E-01,+1.57079633E+00,+2.38170949E-15,+9.93107791E-01,+9.93107791E-01,+1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+2.35016934E-14,+8.61361776E-01,+8.61361776E-01,+1.57079633E+00,+6.87972949E-15,+9.92813026E-01,+9.92813026E-01,+1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+8.13237971E-14,+8.60831177E-01,+8.60831177E-01,+1.57079633E+00,+2.39717363E-14,+9.92479192E-01,+9.92479192E-01,+1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+1.32174675E-13,+8.60238567E-01,+8.60238567E-01,+1.57079633E+00,+6.59653019E-14,+9.92106376E-01,+9.92106376E-01,+1.57079633E+00
+1.10000000E-01,+0.00000000E+00,-2.26804533E-14,+8.59584083E-01,+8.59584083E-01,+1.57079633E+00,-1.41381358E-14,+9.91694674E-01,+9.91694674E-01,+1.57079633E+00
+1.20000000E-01,+0.00000000E+00,-1.80488865E-14,+8.58867876E-01,+8.58867876E-01,+1.57079633E+00,-2.11941630E-14,+9.91244193E-01,+9.91244193E-01,+1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+5.30138836E-14,+8.58090110E-01,+8.58090110E-01,+1.57079633E+00,+9.79921146E-14,+9.90755050E-01,+9.90755050E-01,+1.57079633E+00
+1.40000000E-01,+0.00000000E+00,-2.32120901E-14,+8.57250965E-01,+8.57250965E-01,+1.57079633E+00,-6.66779723E-14,+9.90227372E-01,+9.90227372E-01,+1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+4.02831541E-15,+8.56350633E-01,+8.56350633E-01,+1.57079633E+00,+4.06936115E-15,+9.89661295E-01,+9.89661295E-01,+1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+3.61478819E-16,+8.55389320E-01,+8.55389320E-01,+1.57079633E+00,+3.01370347E-14,+9.89056965E-01,+9.89056965E-01,+1.57079633E+00
+1.70000000E-01,+0.00000000E+00,-5.23548022E-16,+8.54367247E-01,+8.54367247E-01,+1.57079633E+00,-8.15526851E-15,+9.88414538E-01,+9.88414538E-01,+1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+6.40135222E-15,+8.53284647E-01,+8.53284647E-01,+1.57079633E+00,+1.59037427E-13,+9.87734179E-01,+9.87734179E-01,+1.57079633E+00
+1.90000000E-01,+0.00000000E+00,-3.36503048E-16,+8.52141766E-01,+8.52141766E-01,+1.57079633E+00,-3.60022638E-15,+9.87016061E-01,+9.87016061E-01,+1.57079633E+00
+2.00000000E-01,+0.00000000E+00,+1.48669865E-16,+8.50938864E-01,+8.50938864E-01,+1.57079633E+00,+1.61156704E-13,+9.86260369E-01,+9.86260369E-01,+1.57079633E+00
+2.10000000E-01,+0.00000000E+00,+1.64425647E-16,+8.49676214E-01,+8.49676214E-01,+1.57079633E+00,+5.74575195E-14,+9.85467296E-01,+9.85467296E-01,+1.57079633E+00
+2.20000000E-01,+0.00000000E+00,+2.91174914E-15,+8.48354102E-01,+8.48354102E-01,+1.57079633E+00,+1.32681758E-13,+9.84637043E-01,+9.84637043E-01,+1.57079633E+00
+2.30000000E-01,+0.00000000E+00,-8.88245215E-15,+8.46972825E-01,+8.46972825E-01,+1.57079633E+00,-1.23499717E-13,+9.83769821E-01,+9.83769821E-01,+1.57079633E+00
+2.40000000E-01,+0.00000000E+00,+2.46014683E-15,+8.45532695E-01,+8.45532695E-01,+1.57079633E+00,+5.06395470E-14,+9.82865849E-01,+9.82865849E-01,+1.57079633E+00
+2.50000000E-01,+0.00000000E+00,+2.88693118E-14,+8.44034034E-01,+8.44034034E-01,+1.57079633E+00,+1.31562802E-13,+9.81925355E-01,+9.81925355E-01,+1.57079633E+00
+2.60000000E-01,+0.00000000E+00,-2.00861249E-15,+8.42477178E-01,+8.42477178E-01,+1.57079633E+00,-1.41478929E-14,+9.80948577E-01,+9.80948577E-01,+1.57079633E+00
+2.70000000E-01,+0.00000000E+00,+4.35073836E-14,+8.40862474E-01,+8.40862474E-01,+1.57079633E+00,+9.37518405E-14,+9.79935757E-01,+9.79935757E-01,+1.57079633E+00
+2.80000000E-01,+0.00000000E+00,+7.38995984E-14,+8.39190280E-01,+8.39190280E-01,+1.57079633E+00,+9.87154532E-14,+9.78887150E-01,+9.78887150E-01,+1.57079633E+00
+2.90000000E-01,+0.00000000E+00,+2.72284728E-14,+8.37460967E-01,+8.37460967E-01,+1.57079633E+00,+6.50410629E-14,+9.77803017E-01,+9.77803017E-01,+1.57079633E+00
+3.00000000E-01,+0.00000000E+00,+6.88230941E-14,+8.35674916E-01,+8.35674916E-01,+1.57079633E+00,+4.02500342E-14,+9.76683625E-01,+9.76683625E-01,+1.57079633E+00
+3.10000000E-01,+0.00000000E+00,-9.01585478E-15,+8.33832521E-01,+8.33832521E-01,+1.57079633E+00,+6.99243805E-16,+9.75529253E-01,+9.75529253E-01,+1.57079633E+00
+3.20000000E-01,+0.00000000E+00,+3.46413900E-14,+8.31934184E-01,+8.31934184E-01,+1.57079633E+00,+1.03441192E-14,+9.74340183E-01,+9.74340183E-01,+1.57079633E+00
+3.30000000E-01,+0.00000000E+00,+1.53120197E-13,+8.29980319E-01,+8.29980319E-01,+1.57079633E+00,+1.85466055E-14,+9.73116708E-01,+9.73116708E-01,+1.57079633E+00
+3.40000000E-01,+0.00000000E+00,+4.42777364E-14,+8.27971353E-01,+8.27971353E-01,+1.57079633E+00,+2.30771423E-15,+9.71859126E-01,+9.71859126E-01,+1.57079633E+00
+3.50000000E-01,+0.00000000E+00,+3.02678852E-14,+8.25907718E-01,+8.25907718E-01,+1.57079633E+00,+1.63032922E-16,+9.70567741E-01,+9.70567741E-01,+1.57079633E+00
+3.60000000E-01,+0.00000000E+00,+8.11156103E-14,+8.23789860E-01,+8.23789860E-01,+1.57079633E+00,+8.39862822E-17,+9.69242868E-01,+9.69242868E-01,+1.57079633E+00
+3.70000000E-01,+0.00000000E+00,+2.13741225E-13,+8.21618234E-01,+8.21618234E-01,+1.57079633E+00,+2.38757550E-15,+9.67884825E-01,+9.67884825E-01,+1.57079633E+00
+3.80000000E-01,+0.00000000E+00,-4.40958528E-14,+8.19393303E-01,+8.19393303E-01,+1.57079633E+00,-3.00338165E-15,+9.66493937E-01,+9.66493937E-01,+1.57079633E+00
+3.90000000E-01,+0.00000000E+00,+7.51150233E-14,+8.17115540E-01,+8.17115540E-01,+1.57079633E+00,+1.22916695E-14,+9.65070536E-01,+9.65070536E-01,+1.57079633E+00
+4.00000000E-01,+0.00000000E+00,+1.82387015E-13,+8.14785427E-01,+8.14785427E-01,+1.57079633E+00,+4.57056388E-14,+9.63614961E-01,+9.63614961E-01,+1.57079633E+00
+4.10000000E-01,+0.00000000E+00,-7.41792603E-14,+8.12403455E-01,+8.12403455E-01,+1.57079633E+00,-2.45889886E-14,+9.62127554E-01,+9.62127554E-01,+1.57079633E+00
+4.20000000E-01,+0.00000000E+00,-2.91795469E-15,+8.09970123E-01,+8.09970123E-01,+1.57079633E+00,-4.43427322E-15,+9.60608666E-01,+9.60608666E-01,+1.57079633E+00
+4.30000000E-01,+0.00000000E+00,+8.44680124E-14,+8.07485938E-01,+8.07485938E-01,+1.57079633E+00,+7.35114179E-14,+9.59058650E-01,+9.59058650E-01,+1.57079633E+00
+4.40000000E-01,+0.00000000E+00,-7.07219076E-15,+8.04951414E-01,+8.04951414E-01,+1.57079633E+00,-6.21206549E-15,+9.57477869E-01,+9.57477869E-01,+1.57079633E+00
+4.50000000E-01,+0.00000000E+00,+3.21806210E-14,+8.02367076E-01,+8.02367076E-01,+1.57079633E+00,+5.45394968E-14,+9.55866686E-01,+9.55866686E-01,+1.57079633E+00
+4.60000000E-01,+0.00000000E+00,-4.22064806E-16,+7.99733453E-01,+7.99733453E-01,+1.57079633E+00,-6.08605539E-15,+9.54225472E-01,+9.54225472E-01,+1.57079633E+00
+4.70000000E-01,+0.00000000E+00,+3.84263603E-14,+7.97051081E-01,+7.97051081E-01,+1.57079633E+00,+1.15936444E-13,+9.52554603E-01,+9.52554603E-01,+1.57079633E+00
+4.80000000E-01,+0.00000000E+00,+1.06376927E-14,+7.94320506E-01,+7.94320506E-01,+1.57079633E+00,+5.22669264E-14,+9.50854457E-01,+9.50854457E-01,+1.57079633E+00
+4.90000000E-01,+0.00000000E+00,-3.72147564E-15,+7.91542277E-01,+7.91542277E-01,+1.57079633E+00,-2.42289505E-14,+9.49125419E-01,+9.49125419E-01,+1.57079633E+00
+5.00000000E-01,+0.00000000E+00,+4.94217465E-15,+7.88716951E-01,+7.88716951E-01,+1.57079633E+00,+1.29257283E-13,+9.47367875E-01,+9.47367875E-01,+1.57079633E+00
+5.10000000E-01,+0.00000000E+00,-1.55505354E-16,+7.85845092E-01,+7.85845092E-01,+1.57079633E+00,+1.16490854E-14,+9.45582219E-01,+9.45582219E-01,+1.57079633E+00
+5.20000000E-01,+0.00000000E+00,-4.28709901E-15,+7.82927267E-01,+7.82927267E-01,+1.57079633E+00,+2.04719770E-14,+9.43768846E-01,+9.43768846E-01,+1.57079633E+00
+5.30000000E-01,+0.00000000E+00,-1.21423459E-15,+7.79964050E-01,+7.79964050E-01,+1.57079633E+00,+7.36434158E-14,+9.41928154E-01,+9.41928154E-01,+1.57079633E+00
+5.40000000E-01,+0.00000000E+00,+8.04714992E-16,+7.76956021E-01,+7.76956021E-01,+1.57079633E+00,+1.37314872E-13,+9.40060546E-01,+9.40060546E-01,+1.57079633E+00
+5.50000000E-01,+0.00000000E+00,+1.34359370E-14,+7.73903763E-01,+7.73903763E-01,+1.57079633E+00,-3.24077278E-14,+9.38166427E-01,+9.38166427E-01,+1.57079633E+00
+5.60000000E-01,+0.00000000E+00,-2.93573878E-14,+7.70807866E-01,+7.70807866E-01,+1.57079633E+00,+8.73151091E-14,+9.36246206E-01,+9.36246206E-01,+1.57079633E+00
+5.70000000E-01,+0.00000000E+00,+1.73979279E-14,+7.67668922E-01,+7.67668922E-01,+1.57079633E+00,+1.75540295E-13,+9.34300293E-01,+9.34300293E-01,+1.57079633E+00
+5.80000000E-01,+0.00000000E+00,+3.11147381E-14,+7.64487527E-01,+7.64487527E-01,+1.57079633E+00,+1.77477338E-13,+9.32329103E-01,+9.32329103E-01,+1.57079633E+00
+5.90000000E-01,+0.00000000E+00,+6.04465369E-15,+7.61264284E-01,+7.61264284E-01,+1.57079633E+00,+3.27519364E-14,+9.30333050E-01,+9.30333050E-01,+1.57079633E+00
+6.00000000E-01,+0.00000000E+00,+4.52075912E-15,+7.57999796E-01,+7.57999796E-01,+1.57079633E+00,+2.34919395E-14,+9.28312553E-01,+9.28312553E-01,+1.57079633E+00
+6.10000000E-01,+0.00000000E+00,+3.88069981E-14,+7.54694671E-01,+7.54694671E-01,+1.57079633E+00,+8.66145939E-14,+9.26268031E-01,+9.26268031E-01,+1.57079633E+00
+6.20000000E-01,+0.00000000E+00,-2.34915093E-14,+7.51349520E-01,+7.51349520E-01,+1.57079633E+00,-3.02129173E-14,+9.24199906E-01,+9.24199906E-01,+1.57079633E+00
+6.30000000E-01,+0.00000000E+00,+5.92934421E-14,+7.47964956E-01,+7.47964956E-01,+1.57079633E+00,+4.92909735E-14,+9.22108601E-01,+9.22108601E-01,+1.57079633E+00
+6.40000000E-01,+0.00000000E+00,-3.07286118E-14,+7.44541594E-01,+7.44541594E-01,+1.57079633E+00,-2.52283199E-14,+9.19994541E-01,+9.19994541E-01,+1.57079633E+00
+6.50000000E-01,+0.00000000E+00,-2.54846609E-14,+7.41080054E-01,+7.41080054E-01,+1.57079633E+00,-7.89607539E-15,+9.17858151E-01,+9.17858151E-01,+1.57079633E+00
+6.60000000E-01,+0.00000000E+00,-1.03885192E-14,+7.37580954E-01,+7.37580954E-01,+1.57079633E+00,-1.18807184E-15,+9.15699858E-01,+9.15699858E-01,+1.57079633E+00
+6.70000000E-01,+0.00000000E+00,+2.42396917E-14,+7.34044918E-01,+7.34044918E-01,+1.57079633E+00,+5.37686252E-15,+9.13520088E-01,+9.13520088E-01,+1.57079633E+00
+6.80000000E-01,+0.00000000E+00,-1.21221318E-14,+7.30472567E-01,+7.30472567E-01,+1.57079633E+00,-4.78442992E-16,+9.11319271E-01,+9.11319271E-01,+1.57079633E+00
+6.90000000E-01,+0.00000000E+00,+2.51595993E-14,+7.26864527E-01,+7.26864527E-01,+1.57079633E+00,+1.05991911E-15,+9.09097833E-01,+9.09097833E-01,+1.57079633E+00
+7.00000000E-01,+0.00000000E+00,+3.95513592E-14,+7.23221423E-01,+7.23221423E-01,+1.57079633E+00,+4.03936124E-16,+9.06856205E-01,+9.06856205E-01,+1.57079633E+00
+7.10000000E-01,+0.00000000E+00,+4.21110628E-14,+7.19543880E-01,+7.19543880E-01,+1.57079633E+00,+5.04998971E-17,+9.04594814E-01,+9.04594814E-01,+1.57079633E+00
+7.20000000E-01,+0.00000000E+00,+6.19531735E-14,+7.15832526E-01,+7.15832526E-01,+1.57079633E+00,+2.12045023E-15,+9.02314089E-01,+9.02314089E-01,+1.57079633E+00
+7.30000000E-01,+0.00000000E+00,+1.48016260E-13,+7.12087988E-01,+7.12087988E-01,+1.57079633E+00,+9.15535574E-15,+9.00014459E-01,+9.00014459E-01,+1.57079633E+00
+7.40000000E-01,+0.00000000E+00,+5.23453823E-14,+7.08310891E-01,+7.08310891E-01,+1.57079633E+00,+7.43939118E-15,+8.97696352E-01,+8.97696352E-01,+1.57079633E+00
+7.50000000E-01,+0.00000000E+00,+1.39327180E-14,+7.04501864E-01,+7.04501864E-01,+1.57079633E+00,+1.77374460E-15,+8.95360194E-01,+8.95360194E-01,+1.57079633E+00
+7.60000000E-01,+0.00000000E+00,+8.39096042E-14,+7.00661531E-01,+7.00661531E-01,+1.57079633E+00,+2.37812144E-14,+8.93006413E-01,+8.93006413E-01,+1.57079633E+00
+7.70000000E-01,+0.00000000E+00,+9.68198074E-14,+6.96790519E-01,+6.96790519E-01,+1.57079633E+00,+3.84309817E-14,+8.90635435E-01,+8.90635435E-01,+1.57079633E+00
+7.80000000E-01,+0.00000000E+00,+7.70835437E-14,+6.92889452E-01,+6.92889452E-01,+1.57079633E+00,+5.10924937E-14,+8.88247684E-01,+8.88247684E-01,+1.57079633E+00
+7.90000000E-01,+0.00000000E+00,+2.06828953E-14,+6.88958953E-01,+6.88958953E-01,+1.57079633E+00,+1.70648559E-14,+8.85843583E-01,+8.85843583E-01,+1.57079633E+00
+8.00000000E-01,+0.00000000E+00,+1.24036410E-14,+6.84999645E-01,+6.84999645E-01,+1.57079633E+00,+8.20809564E-15,+8.83423555E-01,+8.83423555E-01,+1.57079633E+00
+8.10000000E-01,+0.00000000E+00,+3.85788777E-14,+6.81012149E-01,+6.81012149E-01,+1.57079633E+00,+6.27976820E-14,+8.80988021E-01,+8.80988021E-01,+1.57079633E+00
