s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+0.00000000E+00,+0.00000000E+00,-7.42618315E-01,+6.69714894E-01,+1.00000000E+00,+2.40776785E+00,-7.42618315E-01,+6.69714894E-01,+1.00000000E+00,+2.40776785E+00
+1.00000000E-03,+0.00000000E+00,-7.42618567E-01,+6.69714614E-01,+1.00000000E+00,+2.40776823E+00,-7.42618679E-01,+6.69714490E-01,+1.00000000E+00,+2.40776840E+00
+2.00000000E-03,+0.00000000E+00,-7.42619324E-01,+6.69713774E-01,+1.00000000E+00,+2.40776936E+00,-7.42619772E-01,+6.69713277E-01,+1.00000000E+00,+2.40777003E+00
+3.00000000E-03,+0.00000000E+00,-7.42620586E-01,+6.69712375E-01,+1.00000000E+00,+2.40777124E+00,-7.42621595E-01,+6.69711256E-01,+1.00000000E+00,+2.40777275E+00
+4.00000000E-03,+0.00000000E+00,-7.42622352E-01,+6.69710417E-01,+1.00000000E+00,+2.40777388E+00,-7.42624146E-01,+6.69708427E-01,+1.00000000E+00,+2.40777656E+00
+5.00000000E-03,+0.00000000E+00,-7.42624623E-01,+6.69707898E-01,+1.00000000E+00,+2.40777727E+00,-7.42627426E-01,+6.69704790E-01,+1.00000000E+00,+2.40778146E+00
+6.00000000E-03,+0.00000000E+00,-7.42627399E-01,+6.69704820E-01,+1.00000000E+00,+2.40778142E+00,-7.42631435E-01,+6.69700344E-01,+1.00000000E+00,+2.40778744E+00
+7.00000000E-03,+0.00000000E+00,-7.42630680E-01,+6.69701182E-01,+1.00000000E+00,+2.40778632E+00,-7.42636173E-01,+6.69695090E-01,+1.00000000E+00,+2.40779452E+00
+8.00000000E-03,+0.00000000E+00,-7.42634465E-01,+6.69696985E-01,+1.00000000E+00,+2.40779197E+00,-7.42641640E-01,+6.69689028E-01,+1.00000000E+00,+2.40780268E+00
+9.00000000E-03,+0.00000000E+00,-7.42638755E-01,+6.69692227E-01,+1.00000000E+00,+2.40779837E+00,-7.42647836E-01,+6.69682157E-01,+1.00000000E+00,+2.40781194E+00
+1.00000000E-02,+0.00000000E+00,-7.42643550E-01,+6.69686910E-01,+1.00000000E+00,+2.40780553E+00,-7.42654761E-01,+6.69674477E-01,+1.00000000E+00,+2.40782228E+00
+1.10000000E-02,+0.00000000E+00,-7.42648850E-01,+6.69681033E-01,+1.00000000E+00,+2.40781345E+00,-7.42662415E-01,+6.69665989E-01,+1.00000000E+00,+2.40783370E+00
+1.20000000E-02,+0.00000000E+00,-7.42654654E-01,+6.69674596E-01,+1.00000000E+00,+2.40782212E+00,-7.42670798E-01,+6.69656693E-01,+1.00000000E+00,+2.40784622E+00
+1.30000000E-02,+0.00000000E+00,-7.42660963E-01,+6.69667599E-01,+1.00000000E+00,+2.40783154E+00,-7.42679909E-01,+6.69646588E-01,+1.00000000E+00,+2.40785983E+00
+1.40000000E-02,+0.00000000E+00,-7.42667778E-01,+6.69660042E-01,+1.00000000E+00,+2.40784171E+00,-7.42689750E-01,+6.69635674E-01,+1.00000000E+00,+2.40787452E+00
+1.50000000E-02,+0.00000000E+00,-7.42675097E-01,+6.69651925E-01,+1.00000000E+00,+2.40785264E+00,-7.42700319E-01,+6.69623951E-01,+1.00000000E+00,+2.40789031E+00
+1.60000000E-02,+0.00000000E+00,-7.42682921E-01,+6.69643247E-01,+1.00000000E+00,+2.40786433E+00,-7.42711618E-01,+6.69611419E-01,+1.00000000E+00,+2.40790718E+00
+1.70000000E-02,+0.00000000E+00,-7.42691250E-01,+6.69634010E-01,+1.00000000E+00,+2.40787677E+00,-7.42723645E-01,+6.69598079E-01,+1.00000000E+00,+2.40792514E+00
+1.80000000E-02,+0.00000000E+00,-7.42700084E-01,+6.69624211E-01,+1.00000000E+00,+2.40788996E+00,-7.42736402E-01,+6.69583929E-01,+1.00000000E+00,+2.40794419E+00
+1.90000000E-02,+0.00000000E+00,-7.42709424E-01,+6.69613853E-01,+1.00000000E+00,+2.40790391E+00,-7.42749887E-01,+6.69568970E-01,+1.00000000E+00,+2.40796433E+00
+2.00000000E-02,+0.00000000E+00,-7.42719268E-01,+6.69602934E-01,+1.00000000E+00,+2.40791861E+00,-7.42764101E-01,+6.69553202E-01,+1.00000000E+00,+2.40798556E+00
+2.10000000E-02,+0.00000000E+00,-7.42729618E-01,+6.69591454E-01,+1.00000000E+00,+2.40793406E+00,-7.42779044E-01,+6.69536624E-01,+1.00000000E+00,+2.40800788E+00
+2.20000000E-02,+0.00000000E+00,-7.42740473E-01,+6.69579413E-01,+1.00000000E+00,+2.40795027E+00,-7.42794716E-01,+6.69519237E-01,+1.00000000E+00,+2.40803129E+00
