s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-7.44981110E-01,+6.67085561E-01,+1.00000000E+00,+2.41130285E+00,-7.44981110E-01,+6.67085561E-01,+1.00000000E+00,+2.41130285E+00
+1.00000000E-03,+0.00000000E+00,-7.44981342E-01,+6.67085301E-01,+1.00000000E+00,+2.41130320E+00,-7.44981468E-01,+6.67085161E-01,+1.00000000E+00,+2.41130339E+00
+2.00000000E-03,+0.00000000E+00,-7.44982041E-01,+6.67084522E-01,+1.00000000E+00,+2.41130425E+00,-7.44982543E-01,+6.67083961E-01,+1.00000000E+00,+2.41130500E+00
+3.00000000E-03,+0.00000000E+00,-7.44983204E-01,+6.67083223E-01,+1.00000000E+00,+2.41130599E+00,-7.44984334E-01,+6.67081960E-01,+1.00000000E+00,+2.41130768E+00
+4.00000000E-03,+0.00000000E+00,-7.44984833E-01,+6.67081403E-01,+1.00000000E+00,+2.41130843E+00,-7.44986842E-01,+6.67079160E-01,+1.00000000E+00,+2.41131144E+00
+5.00000000E-03,+0.00000000E+00,-7.44986927E-01,+6.67079065E-01,+1.00000000E+00,+2.41131157E+00,-7.44990066E-01,+6.67075559E-01,+1.00000000E+00,+2.41131628E+00
+6.00000000E-03,+0.00000000E+00,-7.44989487E-01,+6.67076206E-01,+1.00000000E+00,+2.41131541E+00,-7.44994007E-01,+6.67071157E-01,+1.00000000E+00,+2.41132218E+00
+7.00000000E-03,+0.00000000E+00,-7.44992512E-01,+6.67072827E-01,+1.00000000E+00,+2.41131994E+00,-7.44998665E-01,+6.67065956E-01,+1.00000000E+00,+2.41132917E+00
+8.00000000E-03,+0.00000000E+00,-7.44996003E-01,+6.67068929E-01,+1.00000000E+00,+2.41132518E+00,-7.45004039E-01,+6.67059954E-01,+1.00000000E+00,+2.41133722E+00
+9.00000000E-03,+0.00000000E+00,-7.44999959E-01,+6.67064511E-01,+1.00000000E+00,+2.41133111E+00,-7.45010130E-01,+6.67053151E-01,+1.00000000E+00,+2.41134635E+00
