s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-9.03171805E-01,+4.29279269E-01,+1.00000000E+00,+2.69789803E+00,-9.03171805E-01,+4.29279269E-01,+1.00000000E+00,+2.69789803E+00
+1.00000000E-03,+0.00000000E+00,-9.03171455E-01,+4.29280005E-01,+1.00000000E+00,+2.69789721E+00,-9.03171471E-01,+4.29279971E-01,+1.00000000E+00,+2.69789725E+00
+2.00000000E-03,+0.00000000E+00,-9.03170405E-01,+4.29282214E-01,+1.00000000E+00,+2.69789477E+00,-9.03170470E-01,+4.29282077E-01,+1.00000000E+00,+2.69789492E+00
+3.00000000E-03,+0.00000000E+00,-9.03168655E-01,+4.29285896E-01,+1.00000000E+00,+2.69789069E+00,-9.03168802E-01,+4.29285588E-01,+1.00000000E+00,+2.69789103E+00
+4.00000000E-03,+0.00000000E+00,-9.03166205E-01,+4.29291051E-01,+1.00000000E+00,+2.69788498E+00,-9.03166465E-01,+4.29290503E-01,+1.00000000E+00,+2.69788559E+00
+5.00000000E-03,+0.00000000E+00,-9.03163054E-01,+4.29297679E-01,+1.00000000E+00,+2.69787764E+00,-9.03163462E-01,+4.29296822E-01,+1.00000000E+00,+2.69787859E+00
+6.00000000E-03,+0.00000000E+00,-9.03159204E-01,+4.29305779E-01,+1.00000000E+00,+2.69786868E+00,-9.03159791E-01,+4.29304545E-01,+1.00000000E+00,+2.69787004E+00
+7.00000000E-03,+0.00000000E+00,-9.03154653E-01,+4.29315353E-01,+1.00000000E+00,+2.69785808E+00,-9.03155452E-01,+4.29313673E-01,+1.00000000E+00,+2.69785993E+00
+8.00000000E-03,+0.00000000E+00,-9.03149402E-01,+4.29326400E-01,+1.00000000E+00,+2.69784584E+00,-9.03150445E-01,+4.29324206E-01,+1.00000000E+00,+2.69784827E+00
+9.00000000E-03,+0.00000000E+00,-9.03143451E-01,+4.29338919E-01,+1.00000000E+00,+2.69783198E+00,-9.03144770E-01,+4.29336143E-01,+1.00000000E+00,+2.69783506E+00
+1.00000000E-02,+0.00000000E+00,-9.03136799E-01,+4.29352912E-01,+1.00000000E+00,+2.69781649E+00,-9.03138428E-01,+4.29349484E-01,+1.00000000E+00,+2.69782028E+00
+1.10000000E-02,+0.00000000E+00,-9.03129446E-01,+4.29368378E-01,+1.00000000E+00,+2.69779936E+00,-9.03131418E-01,+4.29364231E-01,+1.00000000E+00,+2.69780396E+00
+1.20000000E-02,+0.00000000E+00,-9.03121393E-01,+4.29385317E-01,+1.00000000E+00,+2.69778061E+00,-9.03123739E-01,+4.29380382E-01,+1.00000000E+00,+2.69778607E+00
+1.30000000E-02,+0.00000000E+00,-9.03112638E-01,+4.29403729E-01,+1.00000000E+00,+2.69776022E+00,-9.03115392E-01,+4.29397938E-01,+1.00000000E+00,+2.69776663E+00
+1.40000000E-02,+0.00000000E+00,-9.03103183E-01,+4.29423615E-01,+1.00000000E+00,+2.69773820E+00,-9.03106376E-01,+4.29416899E-01,+1.00000000E+00,+2.69774564E+00
+1.50000000E-02,+0.00000000E+00,-9.03093027E-01,+4.29444974E-01,+1.00000000E+00,+2.69771455E+00,-9.03096692E-01,+4.29437265E-01,+1.00000000E+00,+2.69772309E+00
+1.60000000E-02,+0.00000000E+00,-9.03082169E-01,+4.29467806E-01,+1.00000000E+00,+2.69768927E+00,-9.03086340E-01,+4.29459036E-01,+1.00000000E+00,+2.69769898E+00
+1.70000000E-02,+0.00000000E+00,-9.03070609E-01,+4.29492113E-01,+1.00000000E+00,+2.69766235E+00,-9.03075318E-01,+4.29482212E-01,+1.00000000E+00,+2.69767332E+00
+1.80000000E-02,+0.00000000E+00,-9.03058348E-01,+4.29517893E-01,+1.00000000E+00,+2.69763380E+00,-9.03063627E-01,+4.29506794E-01,+1.00000000E+00,+2.69764609E+00
+1.90000000E-02,+0.00000000E+00,-9.03045385E-01,+4.29545147E-01,+1.00000000E+00,+2.69760362E+00,-9.03051266E-01,+4.29532782E-01,+1.00000000E+00,+2.69761732E+00
+2.00000000E-02,+0.00000000E+00,-9.03031719E-01,+4.29573875E-01,+1.00000000E+00,+2.69757181E+00,-9.03038236E-01,+4.29560176E-01,+1.00000000E+00,+2.69758698E+00
+2.10000000E-02,+0.00000000E+00,-9.03017351E-01,+4.29604078E-01,+1.00000000E+00,+2.69753837E+00,-9.03024536E-01,+4.29588975E-01,+1.00000000E+00,+2.69755509E+00
+2.20000000E-02,+0.00000000E+00,-9.03002281E-01,+4.29635754E-01,+1.00000000E+00,+2.69750329E+00,-9.03010166E-01,+4.29619181E-01,+1.00000000E+00,+2.69752164E+00
+2.30000000E-02,+0.00000000E+00,-9.02986507E-01,+4.29668905E-01,+1.00000000E+00,+2.69746658E+00,-9.02995125E-01,+4.29650793E-01,+1.00000000E+00,+2.69748663E+00
+2.40000000E-02,+0.00000000E+00,-9.02970030E-01,+4.29703531E-01,+1.00000000E+00,+2.69742823E+00,-9.02979414E-01,+4.29683811E-01,+1.00000000E+00,+2.69745007E+00
+2.50000000E-02,+0.00000000E+00,-9.02952850E-01,+4.29739631E-01,+1.00000000E+00,+2.69738825E+00,-9.02963032E-01,+4.29718236E-01,+1.00000000E+00,+2.69741194E+00
+2.60000000E-02,+0.00000000E+00,-9.02934966E-01,+4.29777207E-01,+1.00000000E+00,+2.69734663E+00,-9.02945979E-01,+4.29754069E-01,+1.00000000E+00,+2.69737226E+00
+2.70000000E-02,+0.00000000E+00,-9.02916378E-01,+4.29816257E-01,+1.00000000E+00,+2.69730339E+00,-9.02928254E-01,+4.29791308E-01,+1.00000000E+00,+2.69733102E+00
+2.80000000E-02,+0.00000000E+00,-9.02897085E-01,+4.29856783E-01,+1.00000000E+00,+2.69725850E+00,-9.02909857E-01,+4.29829955E-01,+1.00000000E+00,+2.69728822E+00
+2.90000000E-02,+0.00000000E+00,-9.02877088E-01,+4.29898784E-01,+1.00000000E+00,+2.69721198E+00,-9.02890788E-01,+4.29870009E-01,+1.00000000E+00,+2.69724385E+00
+3.00000000E-02,+0.00000000E+00,-9.02856385E-01,+4.29942261E-01,+1.00000000E+00,+2.69716383E+00,-9.02871047E-01,+4.29911472E-01,+1.00000000E+00,+2.69719793E+00
+3.10000000E-02,+0.00000000E+00,-9.02834977E-01,+4.29987214E-01,+1.00000000E+00,+2.69711404E+00,-9.02850632E-01,+4.29954342E-01,+1.00000000E+00,+2.69715045E+00
+3.20000000E-02,+0.00000000E+00,-9.02812864E-01,+4.30033642E-01,+1.00000000E+00,+2.69706261E+00,-9.02829544E-01,+4.29998621E-01,+1.00000000E+00,+2.69710140E+00
+3.30000000E-02,+0.00000000E+00,-9.02790043E-01,+4.30081547E-01,+1.00000000E+00,+2.69700955E+00,-9.02807783E-01,+4.30044308E-01,+1.00000000E+00,+2.69705080E+00
+3.40000000E-02,+0.00000000E+00,-9.02766517E-01,+4.30130929E-01,+1.00000000E+00,+2.69695485E+00,-9.02785347E-01,+4.30091405E-01,+1.00000000E+00,+2.69699863E+00
+3.50000000E-02,+0.00000000E+00,-9.02742283E-01,+4.30181787E-01,+1.00000000E+00,+2.69689851E+00,-9.02762237E-01,+4.30139911E-01,+1.00000000E+00,+2.69694490E+00
+3.60000000E-02,+0.00000000E+00,-9.02717342E-01,+4.30234122E-01,+1.00000000E+00,+2.69684054E+00,-9.02738452E-01,+4.30189826E-01,+1.00000000E+00,+2.69688961E+00
+3.70000000E-02,+0.00000000E+00,-9.02691693E-01,+4.30287935E-01,+1.00000000E+00,+2.69678093E+00,-9.02713992E-01,+4.30241151E-01,+1.00000000E+00,+2.69683275E+00
+3.80000000E-02,+0.00000000E+00,-9.02665336E-01,+4.30343225E-01,+1.00000000E+00,+2.69671968E+00,-9.02688856E-01,+4.30293887E-01,+1.00000000E+00,+2.69677433E+00
+3.90000000E-02,+0.00000000E+00,-9.02638270E-01,+4.30399992E-01,+1.00000000E+00,+2.69665679E+00,-9.02663044E-01,+4.30348032E-01,+1.00000000E+00,+2.69671435E+00
+4.00000000E-02,+0.00000000E+00,-9.02610495E-01,+4.30458238E-01,+1.00000000E+00,+2.69659226E+00,-9.02636555E-01,+4.30403589E-01,+1.00000000E+00,+2.69665280E+00
+4.10000000E-02,+0.00000000E+00,-9.02582010E-01,+4.30517962E-01,+1.00000000E+00,+2.69652609E+00,-9.02609389E-01,+4.30460557E-01,+1.00000000E+00,+2.69658969E+00
+4.20000000E-02,+0.00000000E+00,-9.02552815E-01,+4.30579164E-01,+1.00000000E+00,+2.69645828E+00,-9.02581545E-01,+4.30518936E-01,+1.00000000E+00,+2.69652501E+00
+4.30000000E-02,+0.00000000E+00,-9.02522909E-01,+4.30641845E-01,+1.00000000E+00,+2.69638883E+00,-9.02553023E-01,+4.30578728E-01,+1.00000000E+00,+2.69645876E+00
+4.40000000E-02,+0.00000000E+00,-9.02492292E-01,+4.30706005E-01,+1.00000000E+00,+2.69631774E+00,-9.02523822E-01,+4.30639931E-01,+1.00000000E+00,+2.69639095E+00
+4.50000000E-02,+0.00000000E+00,-9.02460963E-01,+4.30771645E-01,+1.00000000E+00,+2.69624501E+00,-9.02493942E-01,+4.30702547E-01,+1.00000000E+00,+2.69632157E+00
+4.60000000E-02,+0.00000000E+00,-9.02428922E-01,+4.30838764E-01,+1.00000000E+00,+2.69617063E+00,-9.02463382E-01,+4.30766576E-01,+1.00000000E+00,+2.69625062E+00
+4.70000000E-02,+0.00000000E+00,-9.02396168E-01,+4.30907363E-01,+1.00000000E+00,+2.69609461E+00,-9.02432142E-01,+4.30832019E-01,+1.00000000E+00,+2.69617811E+00
+4.80000000E-02,+0.00000000E+00,-9.02362701E-01,+4.30977443E-01,+1.00000000E+00,+2.69601695E+00,-9.02400221E-01,+4.30898875E-01,+1.00000000E+00,+2.69610402E+00
+4.90000000E-02,+0.00000000E+00,-9.02328519E-01,+4.31049003E-01,+1.00000000E+00,+2.69593765E+00,-9.02367619E-01,+4.30967146E-01,+1.00000000E+00,+2.69602836E+00
+5.00000000E-02,+0.00000000E+00,-9.02293623E-01,+4.31122044E-01,+1.00000000E+00,+2.69585670E+00,-9.02334334E-01,+4.31036831E-01,+1.00000000E+00,+2.69595114E+00
+5.10000000E-02,+0.00000000E+00,-9.02258012E-01,+4.31196567E-01,+1.00000000E+00,+2.69577411E+00,-9.02300366E-01,+4.31107932E-01,+1.00000000E+00,+2.69587234E+00
+5.20000000E-02,+0.00000000E+00,-9.02221686E-01,+4.31272571E-01,+1.00000000E+00,+2.69568987E+00,-9.02265716E-01,+4.31180447E-01,+1.00000000E+00,+2.69579197E+00
+5.30000000E-02,+0.00000000E+00,-9.02184642E-01,+4.31350057E-01,+1.00000000E+00,+2.69560398E+00,-9.02230381E-01,+4.31254379E-01,+1.00000000E+00,+2.69571003E+00
+5.40000000E-02,+0.00000000E+00,-9.02146882E-01,+4.31429025E-01,+1.00000000E+00,+2.69551645E+00,-9.02194362E-01,+4.31329728E-01,+1.00000000E+00,+2.69562651E+00
+5.50000000E-02,+0.00000000E+00,-9.02108404E-01,+4.31509476E-01,+1.00000000E+00,+2.69542727E+00,-9.02157657E-01,+4.31406493E-01,+1.00000000E+00,+2.69554142E+00
+5.60000000E-02,+0.00000000E+00,-9.02069207E-01,+4.31591410E-01,+1.00000000E+00,+2.69533644E+00,-9.02120266E-01,+4.31484675E-01,+1.00000000E+00,+2.69545476E+00
+5.70000000E-02,+0.00000000E+00,-9.02029292E-01,+4.31674828E-01,+1.00000000E+00,+2.69524397E+00,-9.02082189E-01,+4.31564275E-01,+1.00000000E+00,+2.69536652E+00
+5.80000000E-02,+0.00000000E+00,-9.01988656E-01,+4.31759729E-01,+1.00000000E+00,+2.69514984E+00,-9.02043425E-01,+4.31645294E-01,+1.00000000E+00,+2.69527671E+00
+5.90000000E-02,+0.00000000E+00,-9.01947301E-01,+4.31846115E-01,+1.00000000E+00,+2.69505407E+00,-9.02003972E-01,+4.31727732E-01,+1.00000000E+00,+2.69518532E+00
+6.00000000E-02,+0.00000000E+00,-9.01905224E-01,+4.31933985E-01,+1.00000000E+00,+2.69495664E+00,-9.01963831E-01,+4.31811588E-01,+1.00000000E+00,+2.69509235E+00
+6.10000000E-02,+0.00000000E+00,-9.01862425E-01,+4.32023340E-01,+1.00000000E+00,+2.69485757E+00,-9.01923000E-01,+4.31896865E-01,+1.00000000E+00,+2.69499780E+00
+6.20000000E-02,+0.00000000E+00,-9.01818904E-01,+4.32114181E-01,+1.00000000E+00,+2.69475684E+00,-9.01881479E-01,+4.31983562E-01,+1.00000000E+00,+2.69490167E+00
+6.30000000E-02,+0.00000000E+00,-9.01774659E-01,+4.32206507E-01,+1.00000000E+00,+2.69465446E+00,-9.01839267E-01,+4.32071680E-01,+1.00000000E+00,+2.69480397E+00
+6.40000000E-02,+0.00000000E+00,-9.01729690E-01,+4.32300320E-01,+1.00000000E+00,+2.69455042E+00,-9.01796363E-01,+4.32161219E-01,+1.00000000E+00,+2.69470468E+00
+6.50000000E-02,+0.00000000E+00,-9.01683996E-01,+4.32395619E-01,+1.00000000E+00,+2.69444474E+00,-9.01752767E-01,+4.32252181E-01,+1.00000000E+00,+2.69460381E+00
+6.60000000E-02,+0.00000000E+00,-9.01637576E-01,+4.32492406E-01,+1.00000000E+00,+2.69433739E+00,-9.01708477E-01,+4.32344564E-01,+1.00000000E+00,+2.69450136E+00
+6.70000000E-02,+0.00000000E+00,-9.01590430E-01,+4.32590680E-01,+1.00000000E+00,+2.69422840E+00,-9.01663493E-01,+4.32438372E-01,+1.00000000E+00,+2.69439732E+00
+6.80000000E-02,+0.00000000E+00,-9.01542556E-01,+4.32690442E-01,+1.00000000E+00,+2.69411774E+00,-9.01617814E-01,+4.32533602E-01,+1.00000000E+00,+2.69429170E+00
+6.90000000E-02,+0.00000000E+00,-9.01493955E-01,+4.32791693E-01,+1.00000000E+00,+2.69400543E+00,-9.01571439E-01,+4.32630257E-01,+1.00000000E+00,+2.69418450E+00
