s1,s2,Re(r_ibc3_reduced.tm),Im(r_ibc3_reduced.tm),Abs(r_ibc3_reduced.tm),Arg(r_ibc3_reduced.tm),Re(r_ibc3_reduced.te),Im(r_ibc3_reduced.te),Abs(r_ibc3_reduced.te),Arg(r_ibc3_reduced.te)
+0.00000000E+00,+0.00000000E+00,-5.57552395E-01,+8.30141751E-01,+1.00000000E+00,+2.16223078E+00,-5.57552395E-01,+8.30141751E-01,+1.00000000E+00,+2.16223078E+00
+1.00000000E-03,+0.00000000E+00,-5.57553048E-01,+8.30141312E-01,+1.00000000E+00,+2.16223157E+00,-5.57553304E-01,+8.30141141E-01,+1.00000000E+00,+2.16223187E+00
+2.00000000E-03,+0.00000000E+00,-5.57555007E-01,+8.30139997E-01,+1.00000000E+00,+2.16223393E+00,-5.57556029E-01,+8.30139310E-01,+1.00000000E+00,+2.16223516E+00
+3.00000000E-03,+0.00000000E+00,-5.57558271E-01,+8.30137805E-01,+1.00000000E+00,+2.16223786E+00,-5.57560571E-01,+8.30136259E-01,+1.00000000E+00,+2.16224063E+00
+4.00000000E-03,+0.00000000E+00,-5.57562840E-01,+8.30134735E-01,+1.00000000E+00,+2.16224336E+00,-5.57566930E-01,+8.30131988E-01,+1.00000000E+00,+2.16224829E+00
+5.00000000E-03,+0.00000000E+00,-5.57568716E-01,+8.30130789E-01,+1.00000000E+00,+2.16225044E+00,-5.57575106E-01,+8.30126497E-01,+1.00000000E+00,+2.16225814E+00
+6.00000000E-03,+0.00000000E+00,-5.57575897E-01,+8.30125966E-01,+1.00000000E+00,+2.16225909E+00,-5.57585098E-01,+8.30119785E-01,+1.00000000E+00,+2.16227017E+00
+7.00000000E-03,+0.00000000E+00,-5.57584383E-01,+8.30120266E-01,+1.00000000E+00,+2.16226931E+00,-5.57596908E-01,+8.30111853E-01,+1.00000000E+00,+2.16228440E+00
+8.00000000E-03,+0.00000000E+00,-5.57594175E-01,+8.30113688E-01,+1.00000000E+00,+2.16228111E+00,-5.57610533E-01,+8.30102700E-01,+1.00000000E+00,+2.16230082E+00
+9.00000000E-03,+0.00000000E+00,-5.57605273E-01,+8.30106234E-01,+1.00000000E+00,+2.16229448E+00,-5.57625976E-01,+8.30092327E-01,+1.00000000E+00,+2.16231942E+00
