s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.60203010E+00,+2.60203010E+00,-1.57079633E+00,+0.00000000E+00,-2.60203010E+00,+2.60203010E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60230663E+00,+2.60230663E+00,-1.57079633E+00,+0.00000000E+00,-2.60237169E+00,+2.60237169E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60313660E+00,+2.60313660E+00,-1.57079633E+00,+0.00000000E+00,-2.60339694E+00,+2.60339694E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60452123E+00,+2.60452123E+00,-1.57079633E+00,+0.00000000E+00,-2.60510737E+00,+2.60510737E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60646250E+00,+2.60646250E+00,-1.57079633E+00,+0.00000000E+00,-2.60750550E+00,+2.60750550E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.60896324E+00,+2.60896324E+00,-1.57079633E+00,+0.00000000E+00,-2.61059487E+00,+2.61059487E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61202709E+00,+2.61202709E+00,-1.57079633E+00,+0.00000000E+00,-2.61438004E+00,+2.61438004E+00,-1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61565853E+00,+2.61565853E+00,-1.57079633E+00,+0.00000000E+00,-2.61886664E+00,+2.61886664E+00,-1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61986287E+00,+2.61986287E+00,-1.57079633E+00,+0.00000000E+00,-2.62406136E+00,+2.62406136E+00,-1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62464631E+00,+2.62464631E+00,-1.57079633E+00,+0.00000000E+00,-2.62997201E+00,+2.62997201E+00,-1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+0.00000000E+00,-2.63001597E+00,+2.63001597E+00,-1.57079633E+00,+0.00000000E+00,-2.63660748E+00,+2.63660748E+00,-1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+0.00000000E+00,-2.63597984E+00,+2.63597984E+00,-1.57079633E+00,+0.00000000E+00,-2.64397787E+00,+2.64397787E+00,-1.57079633E+00
+1.20000000E-01,+0.00000000E+00,+0.00000000E+00,-2.64254691E+00,+2.64254691E+00,-1.57079633E+00,+0.00000000E+00,-2.65209445E+00,+2.65209445E+00,-1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+0.00000000E+00,-2.64972714E+00,+2.64972714E+00,-1.57079633E+00,+0.00000000E+00,-2.66096974E+00,+2.66096974E+00,-1.57079633E+00
