s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,-2.28403869E-20,-2.61582803E+00,+2.61582803E+00,-1.57079633E+00,-2.28403869E-20,-2.61582803E+00,+2.61582803E+00,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,-2.28387413E-20,-2.61583071E+00,+2.61583071E+00,-1.57079633E+00,-2.28419737E-20,-2.61583144E+00,+2.61583144E+00,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,-2.28338047E-20,-2.61583873E+00,+2.61583873E+00,-1.57079633E+00,-2.28467343E-20,-2.61584169E+00,+2.61584169E+00,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,-2.28255768E-20,-2.61585211E+00,+2.61585211E+00,-1.57079633E+00,-2.28546686E-20,-2.61585876E+00,+2.61585876E+00,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,-2.28140575E-20,-2.61587084E+00,+2.61587084E+00,-1.57079633E+00,-2.28657770E-20,-2.61588265E+00,+2.61588265E+00,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,-2.27992465E-20,-2.61589492E+00,+2.61589492E+00,-1.57079633E+00,-2.28800596E-20,-2.61591338E+00,+2.61591338E+00,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,-2.27811435E-20,-2.61592436E+00,+2.61592436E+00,-1.57079633E+00,-2.28975168E-20,-2.61595094E+00,+2.61595094E+00,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,-2.27597480E-20,-2.61595915E+00,+2.61595915E+00,-1.57079633E+00,-2.29181491E-20,-2.61599532E+00,+2.61599532E+00,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,-2.27350596E-20,-2.61599929E+00,+2.61599929E+00,-1.57079633E+00,-2.29419567E-20,-2.61604654E+00,+2.61604654E+00,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,-2.27070777E-20,-2.61604478E+00,+2.61604478E+00,-1.57079633E+00,-2.29689404E-20,-2.61610458E+00,+2.61610458E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,-2.26758016E-20,-2.61609563E+00,+2.61609563E+00,-1.57079633E+00,-2.29991007E-20,-2.61616946E+00,+2.61616946E+00,-1.57079633E+00
+1.10000000E-02,+0.00000000E+00,-2.26412306E-20,-2.61615184E+00,+2.61615184E+00,-1.57079633E+00,-2.30324384E-20,-2.61624117E+00,+2.61624117E+00,-1.57079633E+00
+1.20000000E-02,+0.00000000E+00,-2.26033640E-20,-2.61621340E+00,+2.61621340E+00,-1.57079633E+00,-2.30689541E-20,-2.61631972E+00,+2.61631972E+00,-1.57079633E+00
+1.30000000E-02,+0.00000000E+00,-2.25622007E-20,-2.61628032E+00,+2.61628032E+00,-1.57079633E+00,-2.31086488E-20,-2.61640510E+00,+2.61640510E+00,-1.57079633E+00
+1.40000000E-02,+0.00000000E+00,-2.25177400E-20,-2.61635259E+00,+2.61635259E+00,-1.57079633E+00,-2.31515234E-20,-2.61649731E+00,+2.61649731E+00,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,-2.24699807E-20,-2.61643023E+00,+2.61643023E+00,-1.57079633E+00,-2.31975787E-20,-2.61659637E+00,+2.61659637E+00,-1.57079633E+00
+1.60000000E-02,+0.00000000E+00,-2.24189217E-20,-2.61651322E+00,+2.61651322E+00,-1.57079633E+00,-2.32468160E-20,-2.61670226E+00,+2.61670226E+00,-1.57079633E+00
+1.70000000E-02,+0.00000000E+00,-2.23645619E-20,-2.61660158E+00,+2.61660158E+00,-1.57079633E+00,-2.32992364E-20,-2.61681500E+00,+2.61681500E+00,-1.57079633E+00
+1.80000000E-02,+0.00000000E+00,-2.23068999E-20,-2.61669530E+00,+2.61669530E+00,-1.57079633E+00,-2.33548409E-20,-2.61693457E+00,+2.61693457E+00,-1.57079633E+00
+1.90000000E-02,+0.00000000E+00,-2.22459346E-20,-2.61679438E+00,+2.61679438E+00,-1.57079633E+00,-2.34136310E-20,-2.61706099E+00,+2.61706099E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,-2.21816643E-20,-2.61689883E+00,+2.61689883E+00,-1.57079633E+00,-2.34756080E-20,-2.61719426E+00,+2.61719426E+00,-1.57079633E+00
+2.10000000E-02,+0.00000000E+00,-2.21140878E-20,-2.61700865E+00,+2.61700865E+00,-1.57079633E+00,-2.35407733E-20,-2.61733437E+00,+2.61733437E+00,-1.57079633E+00
+2.20000000E-02,+0.00000000E+00,-2.20432033E-20,-2.61712384E+00,+2.61712384E+00,-1.57079633E+00,-2.36091285E-20,-2.61748134E+00,+2.61748134E+00,-1.57079633E+00
+2.30000000E-02,+0.00000000E+00,-2.19690092E-20,-2.61724439E+00,+2.61724439E+00,-1.57079633E+00,-2.36806750E-20,-2.61763515E+00,+2.61763515E+00,-1.57079633E+00
+2.40000000E-02,+0.00000000E+00,-2.18915038E-20,-2.61737032E+00,+2.61737032E+00,-1.57079633E+00,-2.37554146E-20,-2.61779582E+00,+2.61779582E+00,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,-2.18106854E-20,-2.61750162E+00,+2.61750162E+00,-1.57079633E+00,-2.38333489E-20,-2.61796335E+00,+2.61796335E+00,-1.57079633E+00
+2.60000000E-02,+0.00000000E+00,-2.17265520E-20,-2.61763830E+00,+2.61763830E+00,-1.57079633E+00,-2.39144799E-20,-2.61813774E+00,+2.61813774E+00,-1.57079633E+00
+2.70000000E-02,+0.00000000E+00,-2.16391017E-20,-2.61778036E+00,+2.61778036E+00,-1.57079633E+00,-2.39988092E-20,-2.61831898E+00,+2.61831898E+00,-1.57079633E+00
+2.80000000E-02,+0.00000000E+00,-2.15483324E-20,-2.61792779E+00,+2.61792779E+00,-1.57079633E+00,-2.40863390E-20,-2.61850710E+00,+2.61850710E+00,-1.57079633E+00
+2.90000000E-02,+0.00000000E+00,-2.14542421E-20,-2.61808061E+00,+2.61808061E+00,-1.57079633E+00,-2.41770712E-20,-2.61870208E+00,+2.61870208E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,-2.13568285E-20,-2.61823882E+00,+2.61823882E+00,-1.57079633E+00,-2.42710079E-20,-2.61890393E+00,+2.61890393E+00,-1.57079633E+00
+3.10000000E-02,+0.00000000E+00,-2.12560894E-20,-2.61840241E+00,+2.61840241E+00,-1.57079633E+00,-2.43681513E-20,-2.61911265E+00,+2.61911265E+00,-1.57079633E+00
+3.20000000E-02,+0.00000000E+00,-2.11520225E-20,-2.61857139E+00,+2.61857139E+00,-1.57079633E+00,-2.44685037E-20,-2.61932825E+00,+2.61932825E+00,-1.57079633E+00
+3.30000000E-02,+0.00000000E+00,-2.10446252E-20,-2.61874576E+00,+2.61874576E+00,-1.57079633E+00,-2.45720673E-20,-2.61955073E+00,+2.61955073E+00,-1.57079633E+00
+3.40000000E-02,+0.00000000E+00,-2.09338952E-20,-2.61892552E+00,+2.61892552E+00,-1.57079633E+00,-2.46788445E-20,-2.61978009E+00,+2.61978009E+00,-1.57079633E+00
+3.50000000E-02,+0.00000000E+00,-2.08198298E-20,-2.61911069E+00,+2.61911069E+00,-1.57079633E+00,-2.47888379E-20,-2.62001634E+00,+2.62001634E+00,-1.57079633E+00
+3.60000000E-02,+0.00000000E+00,-2.07024265E-20,-2.61930125E+00,+2.61930125E+00,-1.57079633E+00,-2.49020500E-20,-2.62025948E+00,+2.62025948E+00,-1.57079633E+00
+3.70000000E-02,+0.00000000E+00,-2.05816823E-20,-2.61949721E+00,+2.61949721E+00,-1.57079633E+00,-2.50184833E-20,-2.62050951E+00,+2.62050951E+00,-1.57079633E+00
+3.80000000E-02,+0.00000000E+00,-2.04575946E-20,-2.61969858E+00,+2.61969858E+00,-1.57079633E+00,-2.51381406E-20,-2.62076643E+00,+2.62076643E+00,-1.57079633E+00
+3.90000000E-02,+0.00000000E+00,-2.03301605E-20,-2.61990536E+00,+2.61990536E+00,-1.57079633E+00,-2.52610247E-20,-2.62103026E+00,+2.62103026E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,-2.01993769E-20,-2.62011755E+00,+2.62011755E+00,-1.57079633E+00,-2.53871385E-20,-2.62130099E+00,+2.62130099E+00,-1.57079633E+00
+4.10000000E-02,+0.00000000E+00,-2.00652408E-20,-2.62033516E+00,+2.62033516E+00,-1.57079633E+00,-2.55164847E-20,-2.62157863E+00,+2.62157863E+00,-1.57079633E+00
+4.20000000E-02,+0.00000000E+00,-1.99277492E-20,-2.62055818E+00,+2.62055818E+00,-1.57079633E+00,-2.56490665E-20,-2.62186319E+00,+2.62186319E+00,-1.57079633E+00
+4.30000000E-02,+0.00000000E+00,-1.97868987E-20,-2.62078663E+00,+2.62078663E+00,-1.57079633E+00,-2.57848870E-20,-2.62215466E+00,+2.62215466E+00,-1.57079633E+00
+4.40000000E-02,+0.00000000E+00,-1.96426861E-20,-2.62102050E+00,+2.62102050E+00,-1.57079633E+00,-2.59239491E-20,-2.62245305E+00,+2.62245305E+00,-1.57079633E+00
+4.50000000E-02,+0.00000000E+00,-1.94951080E-20,-2.62125979E+00,+2.62125979E+00,-1.57079633E+00,-2.60662563E-20,-2.62275836E+00,+2.62275836E+00,-1.57079633E+00
+4.60000000E-02,+0.00000000E+00,-1.93441610E-20,-2.62150452E+00,+2.62150452E+00,-1.57079633E+00,-2.62118118E-20,-2.62307061E+00,+2.62307061E+00,-1.57079633E+00
+4.70000000E-02,+0.00000000E+00,-1.91898415E-20,-2.62175469E+00,+2.62175469E+00,-1.57079633E+00,-2.63606190E-20,-2.62338979E+00,+2.62338979E+00,-1.57079633E+00
+4.80000000E-02,+0.00000000E+00,-1.90321460E-20,-2.62201029E+00,+2.62201029E+00,-1.57079633E+00,-2.65126814E-20,-2.62371591E+00,+2.62371591E+00,-1.57079633E+00
+4.90000000E-02,+0.00000000E+00,-1.88710707E-20,-2.62227133E+00,+2.62227133E+00,-1.57079633E+00,-2.66680024E-20,-2.62404898E+00,+2.62404898E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,-1.87066119E-20,-2.62253783E+00,+2.62253783E+00,-1.57079633E+00,-2.68265858E-20,-2.62438899E+00,+2.62438899E+00,-1.57079633E+00
+5.10000000E-02,+0.00000000E+00,-1.85387656E-20,-2.62280977E+00,+2.62280977E+00,-1.57079633E+00,-2.69884351E-20,-2.62473596E+00,+2.62473596E+00,-1.57079633E+00
+5.20000000E-02,+0.00000000E+00,-1.83675281E-20,-2.62308717E+00,+2.62308717E+00,-1.57079633E+00,-2.71535543E-20,-2.62508989E+00,+2.62508989E+00,-1.57079633E+00
+5.30000000E-02,+0.00000000E+00,-1.81928953E-20,-2.62337002E+00,+2.62337002E+00,-1.57079633E+00,-2.73219470E-20,-2.62545078E+00,+2.62545078E+00,-1.57079633E+00
+5.40000000E-02,+0.00000000E+00,-1.80148630E-20,-2.62365834E+00,+2.62365834E+00,-1.57079633E+00,-2.74936173E-20,-2.62581864E+00,+2.62581864E+00,-1.57079633E+00
+5.50000000E-02,+0.00000000E+00,-1.78334271E-20,-2.62395213E+00,+2.62395213E+00,-1.57079633E+00,-2.76685691E-20,-2.62619348E+00,+2.62619348E+00,-1.57079633E+00
+5.60000000E-02,+0.00000000E+00,-1.76485833E-20,-2.62425138E+00,+2.62425138E+00,-1.57079633E+00,-2.78468066E-20,-2.62657530E+00,+2.62657530E+00,-1.57079633E+00
+5.70000000E-02,+0.00000000E+00,-1.74603274E-20,-2.62455612E+00,+2.62455612E+00,-1.57079633E+00,-2.80283339E-20,-2.62696411E+00,+2.62696411E+00,-1.57079633E+00
+5.80000000E-02,+0.00000000E+00,-1.72686548E-20,-2.62486633E+00,+2.62486633E+00,-1.57079633E+00,-2.82131552E-20,-2.62735991E+00,+2.62735991E+00,-1.57079633E+00
+5.90000000E-02,+0.00000000E+00,-1.70735611E-20,-2.62518203E+00,+2.62518203E+00,-1.57079633E+00,-2.84012748E-20,-2.62776270E+00,+2.62776270E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,-1.68750416E-20,-2.62550322E+00,+2.62550322E+00,-1.57079633E+00,-2.85926972E-20,-2.62817251E+00,+2.62817251E+00,-1.57079633E+00
+6.10000000E-02,+0.00000000E+00,-1.66730918E-20,-2.62582990E+00,+2.62582990E+00,-1.57079633E+00,-2.87874269E-20,-2.62858932E+00,+2.62858932E+00,-1.57079633E+00
+6.20000000E-02,+0.00000000E+00,-1.64677068E-20,-2.62616208E+00,+2.62616208E+00,-1.57079633E+00,-2.89854684E-20,-2.62901315E+00,+2.62901315E+00,-1.57079633E+00
+6.30000000E-02,+0.00000000E+00,-1.62588818E-20,-2.62649977E+00,+2.62649977E+00,-1.57079633E+00,-2.91868262E-20,-2.62944400E+00,+2.62944400E+00,-1.57079633E+00
+6.40000000E-02,+0.00000000E+00,-1.60466119E-20,-2.62684297E+00,+2.62684297E+00,-1.57079633E+00,-2.93915053E-20,-2.62988188E+00,+2.62988188E+00,-1.57079633E+00
+6.50000000E-02,+0.00000000E+00,-1.58308920E-20,-2.62719168E+00,+2.62719168E+00,-1.57079633E+00,-2.95995103E-20,-2.63032680E+00,+2.63032680E+00,-1.57079633E+00
+6.60000000E-02,+0.00000000E+00,-1.56117171E-20,-2.62754591E+00,+2.62754591E+00,-1.57079633E+00,-2.98108461E-20,-2.63077876E+00,+2.63077876E+00,-1.57079633E+00
+6.70000000E-02,+0.00000000E+00,-1.53890821E-20,-2.62790567E+00,+2.62790567E+00,-1.57079633E+00,-3.00255178E-20,-2.63123777E+00,+2.63123777E+00,-1.57079633E+00
+6.80000000E-02,+0.00000000E+00,-1.51629816E-20,-2.62827095E+00,+2.62827095E+00,-1.57079633E+00,-3.02435303E-20,-2.63170383E+00,+2.63170383E+00,-1.57079633E+00
+6.90000000E-02,+0.00000000E+00,-1.49334102E-20,-2.62864178E+00,+2.62864178E+00,-1.57079633E+00,-3.04648887E-20,-2.63217696E+00,+2.63217696E+00,-1.57079633E+00
+7.00000000E-02,+0.00000000E+00,-1.47003627E-20,-2.62901814E+00,+2.62901814E+00,-1.57079633E+00,-3.06895984E-20,-2.63265716E+00,+2.63265716E+00,-1.57079633E+00
+7.10000000E-02,+0.00000000E+00,-1.44638334E-20,-2.62940005E+00,+2.62940005E+00,-1.57079633E+00,-3.09176644E-20,-2.63314444E+00,+2.63314444E+00,-1.57079633E+00
+7.20000000E-02,+0.00000000E+00,-1.42238167E-20,-2.62978752E+00,+2.62978752E+00,-1.57079633E+00,-3.11490924E-20,-2.63363880E+00,+2.63363880E+00,-1.57079633E+00
+7.30000000E-02,+0.00000000E+00,-1.39803070E-20,-2.63018054E+00,+2.63018054E+00,-1.57079633E+00,-3.13838876E-20,-2.63414025E+00,+2.63414025E+00,-1.57079633E+00
+7.40000000E-02,+0.00000000E+00,-1.37332985E-20,-2.63057913E+00,+2.63057913E+00,-1.57079633E+00,-3.16220556E-20,-2.63464880E+00,+2.63464880E+00,-1.57079633E+00
+7.50000000E-02,+0.00000000E+00,-1.34827853E-20,-2.63098328E+00,+2.63098328E+00,-1.57079633E+00,-3.18636021E-20,-2.63516447E+00,+2.63516447E+00,-1.57079633E+00
+7.60000000E-02,+0.00000000E+00,-1.32287614E-20,-2.63139302E+00,+2.63139302E+00,-1.57079633E+00,-3.21085328E-20,-2.63568724E+00,+2.63568724E+00,-1.57079633E+00
+7.70000000E-02,+0.00000000E+00,-1.29712209E-20,-2.63180833E+00,+2.63180833E+00,-1.57079633E+00,-3.23568534E-20,-2.63621714E+00,+2.63621714E+00,-1.57079633E+00
+7.80000000E-02,+0.00000000E+00,-1.27101576E-20,-2.63222924E+00,+2.63222924E+00,-1.57079633E+00,-3.26085698E-20,-2.63675417E+00,+2.63675417E+00,-1.57079633E+00
+7.90000000E-02,+0.00000000E+00,-1.24455652E-20,-2.63265574E+00,+2.63265574E+00,-1.57079633E+00,-3.28636879E-20,-2.63729834E+00,+2.63729834E+00,-1.57079633E+00
+8.00000000E-02,+0.00000000E+00,-1.21774376E-20,-2.63308784E+00,+2.63308784E+00,-1.57079633E+00,-3.31222139E-20,-2.63784965E+00,+2.63784965E+00,-1.57079633E+00
+8.10000000E-02,+0.00000000E+00,-1.19057682E-20,-2.63352556E+00,+2.63352556E+00,-1.57079633E+00,-3.33841538E-20,-2.63840813E+00,+2.63840813E+00,-1.57079633E+00
+8.20000000E-02,+0.00000000E+00,-1.16305507E-20,-2.63396888E+00,+2.63396888E+00,-1.57079633E+00,-3.36495138E-20,-2.63897376E+00,+2.63897376E+00,-1.57079633E+00
+8.30000000E-02,+0.00000000E+00,-1.13517784E-20,-2.63441783E+00,+2.63441783E+00,-1.57079633E+00,-3.39183003E-20,-2.63954657E+00,+2.63954657E+00,-1.57079633E+00
+8.40000000E-02,+0.00000000E+00,-1.10694447E-20,-2.63487240E+00,+2.63487240E+00,-1.57079633E+00,-3.41905196E-20,-2.64012656E+00,+2.64012656E+00,-1.57079633E+00
+8.50000000E-02,+0.00000000E+00,-1.07835429E-20,-2.63533262E+00,+2.63533262E+00,-1.57079633E+00,-3.44661782E-20,-2.64071373E+00,+2.64071373E+00,-1.57079633E+00
+8.60000000E-02,+0.00000000E+00,-1.04940660E-20,-2.63579847E+00,+2.63579847E+00,-1.57079633E+00,-3.47452827E-20,-2.64130811E+00,+2.64130811E+00,-1.57079633E+00
+8.70000000E-02,+0.00000000E+00,-1.02010072E-20,-2.63626997E+00,+2.63626997E+00,-1.57079633E+00,-3.50278396E-20,-2.64190970E+00,+2.64190970E+00,-1.57079633E+00
+8.80000000E-02,+0.00000000E+00,-9.90435946E-21,-2.63674713E+00,+2.63674713E+00,-1.57079633E+00,-3.53138558E-20,-2.64251850E+00,+2.64251850E+00,-1.57079633E+00
+8.90000000E-02,+0.00000000E+00,-9.60411565E-21,-2.63722995E+00,+2.63722995E+00,-1.57079633E+00,-3.56033380E-20,-2.64313452E+00,+2.64313452E+00,-1.57079633E+00
+9.00000000E-02,+0.00000000E+00,-9.30026857E-21,-2.63771844E+00,+2.63771844E+00,-1.57079633E+00,-3.58962931E-20,-2.64375779E+00,+2.64375779E+00,-1.57079633E+00
+9.10000000E-02,+0.00000000E+00,-8.99281092E-21,-2.63821261E+00,+2.63821261E+00,-1.57079633E+00,-3.61927282E-20,-2.64438829E+00,+2.64438829E+00,-1.57079633E+00
+9.20000000E-02,+0.00000000E+00,-8.68173531E-21,-2.63871247E+00,+2.63871247E+00,-1.57079633E+00,-3.64926503E-20,-2.64502606E+00,+2.64502606E+00,-1.57079633E+00
+9.30000000E-02,+0.00000000E+00,-8.36703427E-21,-2.63921802E+00,+2.63921802E+00,-1.57079633E+00,-3.67960666E-20,-2.64567108E+00,+2.64567108E+00,-1.57079633E+00
