s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-4.43341187E+00,+4.43341187E+00,-1.57079633E+00,+0.00000000E+00,-4.43341187E+00,+4.43341187E+00,-1.57079633E+00
+1.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43340567E+00,+4.43340567E+00,-1.57079633E+00,+0.00000000E+00,-4.43340606E+00,+4.43340606E+00,-1.57079633E+00
+2.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43338706E+00,+4.43338706E+00,-1.57079633E+00,+0.00000000E+00,-4.43338862E+00,+4.43338862E+00,-1.57079633E+00
+3.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43335604E+00,+4.43335604E+00,-1.57079633E+00,+0.00000000E+00,-4.43335956E+00,+4.43335956E+00,-1.57079633E+00
+4.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43331261E+00,+4.43331261E+00,-1.57079633E+00,+0.00000000E+00,-4.43331888E+00,+4.43331888E+00,-1.57079633E+00
+5.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43325678E+00,+4.43325678E+00,-1.57079633E+00,+0.00000000E+00,-4.43326658E+00,+4.43326658E+00,-1.57079633E+00
+6.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43318854E+00,+4.43318854E+00,-1.57079633E+00,+0.00000000E+00,-4.43320265E+00,+4.43320265E+00,-1.57079633E+00
+7.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43310789E+00,+4.43310789E+00,-1.57079633E+00,+0.00000000E+00,-4.43312710E+00,+4.43312710E+00,-1.57079633E+00
+8.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43301485E+00,+4.43301485E+00,-1.57079633E+00,+0.00000000E+00,-4.43303993E+00,+4.43303993E+00,-1.57079633E+00
+9.00000000E-03,+0.00000000E+00,+0.00000000E+00,-4.43290940E+00,+4.43290940E+00,-1.57079633E+00,+0.00000000E+00,-4.43294114E+00,+4.43294114E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43279155E+00,+4.43279155E+00,-1.57079633E+00,+0.00000000E+00,-4.43283074E+00,+4.43283074E+00,-1.57079633E+00
+1.10000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43266130E+00,+4.43266130E+00,-1.57079633E+00,+0.00000000E+00,-4.43270872E+00,+4.43270872E+00,-1.57079633E+00
+1.20000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43251866E+00,+4.43251866E+00,-1.57079633E+00,+0.00000000E+00,-4.43257508E+00,+4.43257508E+00,-1.57079633E+00
+1.30000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43236362E+00,+4.43236362E+00,-1.57079633E+00,+0.00000000E+00,-4.43242982E+00,+4.43242982E+00,-1.57079633E+00
+1.40000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43219619E+00,+4.43219619E+00,-1.57079633E+00,+0.00000000E+00,-4.43227296E+00,+4.43227296E+00,-1.57079633E+00
+1.50000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43201637E+00,+4.43201637E+00,-1.57079633E+00,+0.00000000E+00,-4.43210449E+00,+4.43210449E+00,-1.57079633E+00
+1.60000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43182416E+00,+4.43182416E+00,-1.57079633E+00,+0.00000000E+00,-4.43192441E+00,+4.43192441E+00,-1.57079633E+00
+1.70000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43161957E+00,+4.43161957E+00,-1.57079633E+00,+0.00000000E+00,-4.43173272E+00,+4.43173272E+00,-1.57079633E+00
+1.80000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43140260E+00,+4.43140260E+00,-1.57079633E+00,+0.00000000E+00,-4.43152943E+00,+4.43152943E+00,-1.57079633E+00
+1.90000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43117325E+00,+4.43117325E+00,-1.57079633E+00,+0.00000000E+00,-4.43131453E+00,+4.43131453E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43093153E+00,+4.43093153E+00,-1.57079633E+00,+0.00000000E+00,-4.43108804E+00,+4.43108804E+00,-1.57079633E+00
+2.10000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43067743E+00,+4.43067743E+00,-1.57079633E+00,+0.00000000E+00,-4.43084996E+00,+4.43084996E+00,-1.57079633E+00
+2.20000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43041097E+00,+4.43041097E+00,-1.57079633E+00,+0.00000000E+00,-4.43060028E+00,+4.43060028E+00,-1.57079633E+00
+2.30000000E-02,+0.00000000E+00,+0.00000000E+00,-4.43013215E+00,+4.43013215E+00,-1.57079633E+00,+0.00000000E+00,-4.43033901E+00,+4.43033901E+00,-1.57079633E+00
+2.40000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42984097E+00,+4.42984097E+00,-1.57079633E+00,+0.00000000E+00,-4.43006616E+00,+4.43006616E+00,-1.57079633E+00
+2.50000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42953743E+00,+4.42953743E+00,-1.57079633E+00,+0.00000000E+00,-4.42978172E+00,+4.42978172E+00,-1.57079633E+00
+2.60000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42922155E+00,+4.42922155E+00,-1.57079633E+00,+0.00000000E+00,-4.42948570E+00,+4.42948570E+00,-1.57079633E+00
+2.70000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42889332E+00,+4.42889332E+00,-1.57079633E+00,+0.00000000E+00,-4.42917810E+00,+4.42917810E+00,-1.57079633E+00
+2.80000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42855275E+00,+4.42855275E+00,-1.57079633E+00,+0.00000000E+00,-4.42885894E+00,+4.42885894E+00,-1.57079633E+00
+2.90000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42819984E+00,+4.42819984E+00,-1.57079633E+00,+0.00000000E+00,-4.42852820E+00,+4.42852820E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42783461E+00,+4.42783461E+00,-1.57079633E+00,+0.00000000E+00,-4.42818590E+00,+4.42818590E+00,-1.57079633E+00
+3.10000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42745705E+00,+4.42745705E+00,-1.57079633E+00,+0.00000000E+00,-4.42783204E+00,+4.42783204E+00,-1.57079633E+00
+3.20000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42706717E+00,+4.42706717E+00,-1.57079633E+00,+0.00000000E+00,-4.42746662E+00,+4.42746662E+00,-1.57079633E+00
+3.30000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42666499E+00,+4.42666499E+00,-1.57079633E+00,+0.00000000E+00,-4.42708965E+00,+4.42708965E+00,-1.57079633E+00
+3.40000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42625049E+00,+4.42625049E+00,-1.57079633E+00,+0.00000000E+00,-4.42670114E+00,+4.42670114E+00,-1.57079633E+00
+3.50000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42582370E+00,+4.42582370E+00,-1.57079633E+00,+0.00000000E+00,-4.42630108E+00,+4.42630108E+00,-1.57079633E+00
+3.60000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42538461E+00,+4.42538461E+00,-1.57079633E+00,+0.00000000E+00,-4.42588948E+00,+4.42588948E+00,-1.57079633E+00
+3.70000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42493323E+00,+4.42493323E+00,-1.57079633E+00,+0.00000000E+00,-4.42546635E+00,+4.42546635E+00,-1.57079633E+00
+3.80000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42446958E+00,+4.42446958E+00,-1.57079633E+00,+0.00000000E+00,-4.42503170E+00,+4.42503170E+00,-1.57079633E+00
+3.90000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42399365E+00,+4.42399365E+00,-1.57079633E+00,+0.00000000E+00,-4.42458552E+00,+4.42458552E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,-4.42350546E+00,+4.42350546E+00,-1.57079633E+00,+0.00000000E+00,-4.42412782E+00,+4.42412782E+00,-1.57079633E+00
