s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-2.61924444E+00,+2.61924444E+00,-1.57079633E+00,+0.00000000E+00,-2.61924444E+00,+2.61924444E+00,-1.57079633E+00
+1.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.61951597E+00,+2.61951597E+00,-1.57079633E+00,+0.00000000E+00,-2.61958559E+00,+2.61958559E+00,-1.57079633E+00
+2.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62033095E+00,+2.62033095E+00,-1.57079633E+00,+0.00000000E+00,-2.62060954E+00,+2.62060954E+00,-1.57079633E+00
+3.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62169060E+00,+2.62169060E+00,-1.57079633E+00,+0.00000000E+00,-2.62231781E+00,+2.62231781E+00,-1.57079633E+00
+4.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62359691E+00,+2.62359691E+00,-1.57079633E+00,+0.00000000E+00,-2.62471291E+00,+2.62471291E+00,-1.57079633E+00
+5.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62605270E+00,+2.62605270E+00,-1.57079633E+00,+0.00000000E+00,-2.62779838E+00,+2.62779838E+00,-1.57079633E+00
+6.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.62906161E+00,+2.62906161E+00,-1.57079633E+00,+0.00000000E+00,-2.63157879E+00,+2.63157879E+00,-1.57079633E+00
+7.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63262811E+00,+2.63262811E+00,-1.57079633E+00,+0.00000000E+00,-2.63605977E+00,+2.63605977E+00,-1.57079633E+00
+8.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.63675754E+00,+2.63675754E+00,-1.57079633E+00,+0.00000000E+00,-2.64124800E+00,+2.64124800E+00,-1.57079633E+00
+9.00000000E-02,+0.00000000E+00,+0.00000000E+00,-2.64145609E+00,+2.64145609E+00,-1.57079633E+00,+0.00000000E+00,-2.64715129E+00,+2.64715129E+00,-1.57079633E+00
+1.00000000E-01,+0.00000000E+00,+0.00000000E+00,-2.64673086E+00,+2.64673086E+00,-1.57079633E+00,+0.00000000E+00,-2.65377855E+00,+2.65377855E+00,-1.57079633E+00
+1.10000000E-01,+0.00000000E+00,+0.00000000E+00,-2.65258988E+00,+2.65258988E+00,-1.57079633E+00,+0.00000000E+00,-2.66113986E+00,+2.66113986E+00,-1.57079633E+00
+1.20000000E-01,+0.00000000E+00,+0.00000000E+00,-2.65904212E+00,+2.65904212E+00,-1.57079633E+00,+0.00000000E+00,-2.66924649E+00,+2.66924649E+00,-1.57079633E+00
+1.30000000E-01,+0.00000000E+00,+0.00000000E+00,-2.66609754E+00,+2.66609754E+00,-1.57079633E+00,+0.00000000E+00,-2.67811097E+00,+2.67811097E+00,-1.57079633E+00
+1.40000000E-01,+0.00000000E+00,+0.00000000E+00,-2.67376715E+00,+2.67376715E+00,-1.57079633E+00,+0.00000000E+00,-2.68774711E+00,+2.68774711E+00,-1.57079633E+00
+1.50000000E-01,+0.00000000E+00,+0.00000000E+00,-2.68206300E+00,+2.68206300E+00,-1.57079633E+00,+0.00000000E+00,-2.69817007E+00,+2.69817007E+00,-1.57079633E+00
+1.60000000E-01,+0.00000000E+00,+0.00000000E+00,-2.69099829E+00,+2.69099829E+00,-1.57079633E+00,+0.00000000E+00,-2.70939642E+00,+2.70939642E+00,-1.57079633E+00
+1.70000000E-01,+0.00000000E+00,+0.00000000E+00,-2.70058738E+00,+2.70058738E+00,-1.57079633E+00,+0.00000000E+00,-2.72144421E+00,+2.72144421E+00,-1.57079633E+00
+1.80000000E-01,+0.00000000E+00,+0.00000000E+00,-2.71084587E+00,+2.71084587E+00,-1.57079633E+00,+0.00000000E+00,-2.73433305E+00,+2.73433305E+00,-1.57079633E+00
+1.90000000E-01,+0.00000000E+00,+0.00000000E+00,-2.72179066E+00,+2.72179066E+00,-1.57079633E+00,+0.00000000E+00,-2.74808415E+00,+2.74808415E+00,-1.57079633E+00
+2.00000000E-01,+0.00000000E+00,+0.00000000E+00,-2.73344004E+00,+2.73344004E+00,-1.57079633E+00,+0.00000000E+00,-2.76272050E+00,+2.76272050E+00,-1.57079633E+00
+2.10000000E-01,+0.00000000E+00,+0.00000000E+00,-2.74581373E+00,+2.74581373E+00,-1.57079633E+00,+0.00000000E+00,-2.77826688E+00,+2.77826688E+00,-1.57079633E+00
+2.20000000E-01,+0.00000000E+00,+0.00000000E+00,-2.75893300E+00,+2.75893300E+00,-1.57079633E+00,+0.00000000E+00,-2.79475002E+00,+2.79475002E+00,-1.57079633E+00
+2.30000000E-01,+0.00000000E+00,+0.00000000E+00,-2.77282078E+00,+2.77282078E+00,-1.57079633E+00,+0.00000000E+00,-2.81219871E+00,+2.81219871E+00,-1.57079633E+00
+2.40000000E-01,+0.00000000E+00,+0.00000000E+00,-2.78750173E+00,+2.78750173E+00,-1.57079633E+00,+0.00000000E+00,-2.83064394E+00,+2.83064394E+00,-1.57079633E+00
+2.50000000E-01,+0.00000000E+00,+0.00000000E+00,-2.80300237E+00,+2.80300237E+00,-1.57079633E+00,+0.00000000E+00,-2.85011905E+00,+2.85011905E+00,-1.57079633E+00
+2.60000000E-01,+0.00000000E+00,+0.00000000E+00,-2.81935124E+00,+2.81935124E+00,-1.57079633E+00,+0.00000000E+00,-2.87065986E+00,+2.87065986E+00,-1.57079633E+00
+2.70000000E-01,+0.00000000E+00,+0.00000000E+00,-2.83657898E+00,+2.83657898E+00,-1.57079633E+00,+0.00000000E+00,-2.89230491E+00,+2.89230491E+00,-1.57079633E+00
+2.80000000E-01,+0.00000000E+00,+0.00000000E+00,-2.85471856E+00,+2.85471856E+00,-1.57079633E+00,+0.00000000E+00,-2.91509559E+00,+2.91509559E+00,-1.57079633E+00
+2.90000000E-01,+0.00000000E+00,+0.00000000E+00,-2.87380540E+00,+2.87380540E+00,-1.57079633E+00,+0.00000000E+00,-2.93907641E+00,+2.93907641E+00,-1.57079633E+00
+3.00000000E-01,+0.00000000E+00,+0.00000000E+00,-2.89387757E+00,+2.89387757E+00,-1.57079633E+00,+0.00000000E+00,-2.96429521E+00,+2.96429521E+00,-1.57079633E+00
+3.10000000E-01,+0.00000000E+00,+0.00000000E+00,-2.91497603E+00,+2.91497603E+00,-1.57079633E+00,+0.00000000E+00,-2.99080344E+00,+2.99080344E+00,-1.57079633E+00
+3.20000000E-01,+0.00000000E+00,+0.00000000E+00,-2.93714482E+00,+2.93714482E+00,-1.57079633E+00,+0.00000000E+00,-3.01865646E+00,+3.01865646E+00,-1.57079633E+00
+3.30000000E-01,+0.00000000E+00,+0.00000000E+00,-2.96043137E+00,+2.96043137E+00,-1.57079633E+00,+0.00000000E+00,-3.04791382E+00,+3.04791382E+00,-1.57079633E+00
+3.40000000E-01,+0.00000000E+00,+0.00000000E+00,-2.98488673E+00,+2.98488673E+00,-1.57079633E+00,+0.00000000E+00,-3.07863969E+00,+3.07863969E+00,-1.57079633E+00
+3.50000000E-01,+0.00000000E+00,+0.00000000E+00,-3.01056593E+00,+3.01056593E+00,-1.57079633E+00,+0.00000000E+00,-3.11090319E+00,+3.11090319E+00,-1.57079633E+00
+3.60000000E-01,+0.00000000E+00,+0.00000000E+00,-3.03752831E+00,+3.03752831E+00,-1.57079633E+00,+0.00000000E+00,-3.14477889E+00,+3.14477889E+00,-1.57079633E+00
+3.70000000E-01,+0.00000000E+00,+0.00000000E+00,-3.06583793E+00,+3.06583793E+00,-1.57079633E+00,+0.00000000E+00,-3.18034728E+00,+3.18034728E+00,-1.57079633E+00
