s1,s2,Re(z_ibc3.tm),Im(z_ibc3.tm),Abs(z_ibc3.tm),Arg(z_ibc3.tm),Re(z_ibc3.te),Im(z_ibc3.te),Abs(z_ibc3.te),Arg(z_ibc3.te)
+0.00000000E+00,+0.00000000E+00,+3.17923461E-03,+2.12667343E-01,+2.12691105E-01,+1.55584811E+00,+3.17923461E-03,+2.12667343E-01,+2.12691105E-01,+1.55584811E+00
+1.00000000E-02,+0.00000000E+00,+3.18969744E-03,+2.12656233E-01,+2.12680153E-01,+1.55579814E+00,+3.17922321E-03,+2.12667025E-01,+2.12690788E-01,+1.55584814E+00
+2.00000000E-02,+0.00000000E+00,+3.22108577E-03,+2.12622904E-01,+2.12647301E-01,+1.55564820E+00,+3.17918901E-03,+2.12666072E-01,+2.12689834E-01,+1.55584823E+00
+3.00000000E-02,+0.00000000E+00,+3.27339903E-03,+2.12567356E-01,+2.12592558E-01,+1.55539819E+00,+3.17913201E-03,+2.12664484E-01,+2.12688245E-01,+1.55584839E+00
+4.00000000E-02,+0.00000000E+00,+3.34663633E-03,+2.12489590E-01,+2.12515942E-01,+1.55504798E+00,+3.17905223E-03,+2.12662260E-01,+2.12686020E-01,+1.55584861E+00
+5.00000000E-02,+0.00000000E+00,+3.44079637E-03,+2.12389608E-01,+2.12417477E-01,+1.55459734E+00,+3.17894964E-03,+2.12659401E-01,+2.12683160E-01,+1.55584889E+00
+6.00000000E-02,+0.00000000E+00,+3.55587751E-03,+2.12267411E-01,+2.12297192E-01,+1.55404602E+00,+3.17882427E-03,+2.12655907E-01,+2.12679665E-01,+1.55584923E+00
+7.00000000E-02,+0.00000000E+00,+3.69187776E-03,+2.12123001E-01,+2.12155127E-01,+1.55339366E+00,+3.17867612E-03,+2.12651778E-01,+2.12675533E-01,+1.55584964E+00
+8.00000000E-02,+0.00000000E+00,+3.84879472E-03,+2.11956383E-01,+2.11991324E-01,+1.55263989E+00,+3.17850518E-03,+2.12647013E-01,+2.12670767E-01,+1.55585011E+00
+9.00000000E-02,+0.00000000E+00,+4.02662566E-03,+2.11767557E-01,+2.11805836E-01,+1.55178425E+00,+3.17831148E-03,+2.12641614E-01,+2.12665365E-01,+1.55585064E+00
+1.00000000E-01,+0.00000000E+00,+4.22536748E-03,+2.11556528E-01,+2.11598720E-01,+1.55082622E+00,+3.17809500E-03,+2.12635580E-01,+2.12659329E-01,+1.55585123E+00
+1.10000000E-01,+0.00000000E+00,+4.44501671E-03,+2.11323300E-01,+2.11370044E-01,+1.54976523E+00,+3.17785577E-03,+2.12628911E-01,+2.12652657E-01,+1.55585189E+00
