               s1;              s2;   Re(z_ibc6.tm);   Im(z_ibc6.tm);  Abs(z_ibc6.tm);  Arg(z_ibc6.tm);   Re(z_ibc6.te);   Im(z_ibc6.te);  Abs(z_ibc6.te);  Arg(z_ibc6.te); 
  +0.00000000E+00; +0.00000000E+00; +1.93106748E-16; -5.88503124E-01; +5.88503124E-01; -1.57079633E+00; -1.55288499E-16; -1.74210324E+00; +1.74210324E+00; -1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; +1.93078975E-16; -5.88474467E-01; +5.88474467E-01; -1.57079633E+00; -1.55091373E-16; -1.74202541E+00; +1.74202541E+00; -1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; +1.92995671E-16; -5.88388504E-01; +5.88388504E-01; -1.57079633E+00; -1.54500255E-16; -1.74179198E+00; +1.74179198E+00; -1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; +1.92856886E-16; -5.88245258E-01; +5.88245258E-01; -1.57079633E+00; -1.53515923E-16; -1.74140308E+00; +1.74140308E+00; -1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; +1.92662703E-16; -5.88044763E-01; +5.88044763E-01; -1.57079633E+00; -1.52139672E-16; -1.74085893E+00; +1.74085893E+00; -1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; +1.92413236E-16; -5.87787071E-01; +5.87787071E-01; -1.57079633E+00; -1.50373309E-16; -1.74015983E+00; +1.74015983E+00; -1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; +1.92108634E-16; -5.87472248E-01; +5.87472248E-01; -1.57079633E+00; -1.48219154E-16; -1.73930620E+00; +1.73930620E+00; -1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; +1.91749076E-16; -5.87100374E-01; +5.87100374E-01; -1.57079633E+00; -1.45680028E-16; -1.73829851E+00; +1.73829851E+00; -1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; +1.91334776E-16; -5.86671543E-01; +5.86671543E-01; -1.57079633E+00; -1.42759255E-16; -1.73713733E+00; +1.73713733E+00; -1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; +1.90865978E-16; -5.86185863E-01; +5.86185863E-01; -1.57079633E+00; -1.39460645E-16; -1.73582333E+00; +1.73582333E+00; -1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; +1.90342960E-16; -5.85643459E-01; +5.85643459E-01; -1.57079633E+00; -1.35788493E-16; -1.73435725E+00; +1.73435725E+00; -1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; +1.89766030E-16; -5.85044466E-01; +5.85044466E-01; -1.57079633E+00; -1.31747568E-16; -1.73273990E+00; +1.73273990E+00; -1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; +1.89135528E-16; -5.84389036E-01; +5.84389036E-01; -1.57079633E+00; -1.27343101E-16; -1.73097221E+00; +1.73097221E+00; -1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; +1.88451824E-16; -5.83677335E-01; +5.83677335E-01; -1.57079633E+00; -1.22580773E-16; -1.72905516E+00; +1.72905516E+00; -1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; +1.87715320E-16; -5.82909543E-01; +5.82909543E-01; -1.57079633E+00; -1.17466706E-16; -1.72698982E+00; +1.72698982E+00; -1.57079633E+00; 
  +1.50000000E-01; +0.00000000E+00; +1.86926448E-16; -5.82085851E-01; +5.82085851E-01; -1.57079633E+00; -1.12007446E-16; -1.72477734E+00; +1.72477734E+00; -1.57079633E+00; 
  +1.60000000E-01; +0.00000000E+00; +1.86085669E-16; -5.81206467E-01; +5.81206467E-01; -1.57079633E+00; -1.06209952E-16; -1.72241896E+00; +1.72241896E+00; -1.57079633E+00; 
