               s1;              s2;     Re(z_ex.tm);     Im(z_ex.tm);    Abs(z_ex.tm);    Arg(z_ex.tm);     Re(z_ex.te);     Im(z_ex.te);    Abs(z_ex.te);    Arg(z_ex.te); 
  +0.00000000E+00; +0.00000000E+00; -1.11022302E-16; -5.91777733E-01; +5.91777733E-01; -1.57079633E+00; -2.77555756E-15; -1.74264638E+00; +1.74264638E+00; -1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; -2.22044605E-16; -5.91747460E-01; +5.91747460E-01; -1.57079633E+00; -2.10942375E-15; -1.74256821E+00; +1.74256821E+00; -1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; -1.22124533E-15; -5.91656649E-01; +5.91656649E-01; -1.57079633E+00; -5.55111512E-16; -1.74233375E+00; +1.74233375E+00; -1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; +2.10942375E-15; -5.91505329E-01; +5.91505329E-01; -1.57079633E+00; -5.66213743E-15; -1.74194313E+00; +1.74194313E+00; -1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; +9.43689571E-16; -5.91293545E-01; +5.91293545E-01; -1.57079633E+00; -1.55431223E-15; -1.74139657E+00; +1.74139657E+00; -1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; -7.77156117E-16; -5.91021362E-01; +5.91021362E-01; -1.57079633E+00; -5.21804822E-15; -1.74069440E+00; +1.74069440E+00; -1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; +9.99200722E-16; -5.90688862E-01; +5.90688862E-01; -1.57079633E+00; -7.21644966E-15; -1.73983702E+00; +1.73983702E+00; -1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; +7.21644966E-16; -5.90296145E-01; +5.90296145E-01; -1.57079633E+00; +1.55431223E-15; -1.73882491E+00; +1.73882491E+00; -1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; -9.99200722E-16; -5.89843331E-01; +5.89843331E-01; -1.57079633E+00; +3.33066907E-16; -1.73765865E+00; +1.73765865E+00; -1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; +1.11022302E-16; -5.89330555E-01; +5.89330555E-01; -1.57079633E+00; -1.39888101E-14; -1.73633892E+00; +1.73633892E+00; -1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; +6.10622664E-16; -5.88757974E-01; +5.88757974E-01; -1.57079633E+00; +1.60982339E-14; -1.73486647E+00; +1.73486647E+00; -1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; +2.22044605E-16; -5.88125759E-01; +5.88125759E-01; -1.57079633E+00; +8.65973959E-15; -1.73324212E+00; +1.73324212E+00; -1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; +6.10622664E-16; -5.87434101E-01; +5.87434101E-01; -1.57079633E+00; -1.77635684E-15; -1.73146681E+00; +1.73146681E+00; -1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; -3.88578059E-16; -5.86683207E-01; +5.86683207E-01; -1.57079633E+00; -1.17683641E-14; -1.72954154E+00; +1.72954154E+00; -1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; -5.55111512E-16; -5.85873302E-01; +5.85873302E-01; -1.57079633E+00; -2.22044605E-16; -1.72746739E+00; +1.72746739E+00; -1.57079633E+00; 
  +1.50000000E-01; +0.00000000E+00; +3.88578059E-16; -5.85004629E-01; +5.85004629E-01; -1.57079633E+00; +5.44009282E-15; -1.72524553E+00; +1.72524553E+00; -1.57079633E+00; 
  +1.60000000E-01; +0.00000000E+00; -5.55111512E-16; -5.84077446E-01; +5.84077446E-01; -1.57079633E+00; -1.12132525E-14; -1.72287719E+00; +1.72287719E+00; -1.57079633E+00; 
