              s1;              s2;   Re(z_ibc0.tm);   Im(z_ibc0.tm);  Abs(z_ibc0.tm);  Arg(z_ibc0.tm);   Re(z_ibc0.te);   Im(z_ibc0.te);  Abs(z_ibc0.te);  Arg(z_ibc0.te); 
  +0.00000000E+00; +0.00000000E+00; -0.00000000E+00; -7.24869857E-02; +7.24869857E-02; -1.57079633E+00; -0.00000000E+00; -7.24869857E-02; +7.24869857E-02; -1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.24764316E-02; +7.24764316E-02; -1.57079633E+00; -0.00000000E+00; -7.24855225E-02; +7.24855225E-02; -1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.24447696E-02; +7.24447696E-02; -1.57079633E+00; -0.00000000E+00; -7.24811330E-02; +7.24811330E-02; -1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.23920015E-02; +7.23920015E-02; -1.57079633E+00; -0.00000000E+00; -7.24738173E-02; +7.24738173E-02; -1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.23181297E-02; +7.23181297E-02; -1.57079633E+00; -0.00000000E+00; -7.24635760E-02; +7.24635760E-02; -1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.22231579E-02; +7.22231579E-02; -1.57079633E+00; -0.00000000E+00; -7.24504096E-02; +7.24504096E-02; -1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.21070909E-02; +7.21070909E-02; -1.57079633E+00; -0.00000000E+00; -7.24343188E-02; +7.24343188E-02; -1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.19699344E-02; +7.19699344E-02; -1.57079633E+00; -0.00000000E+00; -7.24153046E-02; +7.24153046E-02; -1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.18116951E-02; +7.18116951E-02; -1.57079633E+00; -0.00000000E+00; -7.23933680E-02; +7.23933680E-02; -1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; -0.00000000E+00; -7.16323808E-02; +7.16323808E-02; -1.57079633E+00; -0.00000000E+00; -7.23685103E-02; +7.23685103E-02; -1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; -0.00000000E+00; -7.14320005E-02; +7.14320005E-02; -1.57079633E+00; -0.00000000E+00; -7.23407328E-02; +7.23407328E-02; -1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; -0.00000000E+00; -7.12105640E-02; +7.12105640E-02; -1.57079633E+00; -0.00000000E+00; -7.23100373E-02; +7.23100373E-02; -1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; -0.00000000E+00; -7.09680823E-02; +7.09680823E-02; -1.57079633E+00; -0.00000000E+00; -7.22764253E-02; +7.22764253E-02; -1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; -0.00000000E+00; -7.07045673E-02; +7.07045673E-02; -1.57079633E+00; -0.00000000E+00; -7.22398989E-02; +7.22398989E-02; -1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; -0.00000000E+00; -7.04200319E-02; +7.04200319E-02; -1.57079633E+00; -0.00000000E+00; -7.22004600E-02; +7.22004600E-02; -1.57079633E+00; 
  +1.50000000E-01; +0.00000000E+00; -0.00000000E+00; -7.01144904E-02; +7.01144904E-02; -1.57079633E+00; -0.00000000E+00; -7.21581108E-02; +7.21581108E-02; -1.57079633E+00; 
  +1.60000000E-01; +0.00000000E+00; -0.00000000E+00; -6.97879576E-02; +6.97879576E-02; -1.57079633E+00; -0.00000000E+00; -7.21128539E-02; +7.21128539E-02; -1.57079633E+00; 
  +1.70000000E-01; +0.00000000E+00; -0.00000000E+00; -6.94404497E-02; +6.94404497E-02; -1.57079633E+00; -0.00000000E+00; -7.20646918E-02; +7.20646918E-02; -1.57079633E+00; 
  +1.80000000E-01; +0.00000000E+00; -0.00000000E+00; -6.90719839E-02; +6.90719839E-02; -1.57079633E+00; -0.00000000E+00; -7.20136271E-02; +7.20136271E-02; -1.57079633E+00; 
