              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +0.00000000E+00; +0.00000000E+00; -0.00000000E+00; +5.68549576E-04; +5.68549576E-04; +1.57079633E+00; -0.00000000E+00; +5.68549576E-04; +5.68549576E-04; +1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.68489166E-04; +5.68489166E-04; +1.57079633E+00; -0.00000000E+00; +5.68264677E-04; +5.68264677E-04; +1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.68307947E-04; +5.68307947E-04; +1.57079633E+00; -0.00000000E+00; +5.67410151E-04; +5.67410151E-04; +1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.68005948E-04; +5.68005948E-04; +1.57079633E+00; -0.00000000E+00; +5.65986503E-04; +5.65986503E-04; +1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.67583219E-04; +5.67583219E-04; +1.57079633E+00; -0.00000000E+00; +5.63994580E-04; +5.63994580E-04; +1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.67039830E-04; +5.67039830E-04; +1.57079633E+00; -0.00000000E+00; +5.61435564E-04; +5.61435564E-04; +1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.66375870E-04; +5.66375870E-04; +1.57079633E+00; -0.00000000E+00; +5.58310974E-04; +5.58310974E-04; +1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.65591449E-04; +5.65591449E-04; +1.57079633E+00; -0.00000000E+00; +5.54622666E-04; +5.54622666E-04; +1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.64686695E-04; +5.64686695E-04; +1.57079633E+00; -0.00000000E+00; +5.50372831E-04; +5.50372831E-04; +1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; -0.00000000E+00; +5.63661761E-04; +5.63661761E-04; +1.57079633E+00; -0.00000000E+00; +5.45563994E-04; +5.45563994E-04; +1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; -0.00000000E+00; +5.62516814E-04; +5.62516814E-04; +1.57079633E+00; -0.00000000E+00; +5.40199014E-04; +5.40199014E-04; +1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; -0.00000000E+00; +5.61252046E-04; +5.61252046E-04; +1.57079633E+00; -0.00000000E+00; +5.34281081E-04; +5.34281081E-04; +1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; -0.00000000E+00; +5.59867669E-04; +5.59867669E-04; +1.57079633E+00; -0.00000000E+00; +5.27813715E-04; +5.27813715E-04; +1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; -0.00000000E+00; +5.58363914E-04; +5.58363914E-04; +1.57079633E+00; -0.00000000E+00; +5.20800767E-04; +5.20800767E-04; +1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; -0.00000000E+00; +5.56741034E-04; +5.56741034E-04; +1.57079633E+00; -0.00000000E+00; +5.13246411E-04; +5.13246411E-04; +1.57079633E+00; 
  +1.50000000E-01; +0.00000000E+00; -0.00000000E+00; +5.54999303E-04; +5.54999303E-04; +1.57079633E+00; -0.00000000E+00; +5.05155150E-04; +5.05155150E-04; +1.57079633E+00; 
  +1.60000000E-01; +0.00000000E+00; -0.00000000E+00; +5.53139017E-04; +5.53139017E-04; +1.57079633E+00; -0.00000000E+00; +4.96531808E-04; +4.96531808E-04; +1.57079633E+00; 
  +1.70000000E-01; +0.00000000E+00; -0.00000000E+00; +5.51160492E-04; +5.51160492E-04; +1.57079633E+00; -0.00000000E+00; +4.87381528E-04; +4.87381528E-04; +1.57079633E+00; 
