              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +0.00000000E+00; +0.00000000E+00; +3.35582202E-19; -1.59225059E-05; +1.59225059E-05; -1.57079633E+00; +3.35582202E-19; -1.59225059E-05; +1.59225059E-05; -1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; +3.35461915E-19; -1.59067681E-05; +1.59067681E-05; -1.57079633E+00; +3.35522492E-19; -1.59202664E-05; +1.59202664E-05; -1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; +3.35101111E-19; -1.58595719E-05; +1.58595719E-05; -1.57079633E+00; +3.35343390E-19; -1.59135486E-05; +1.59135486E-05; -1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; +3.34499957E-19; -1.57809697E-05; +1.57809697E-05; -1.57079633E+00; +3.35044967E-19; -1.59023556E-05; +1.59023556E-05; -1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; +3.33658728E-19; -1.56710482E-05; +1.56710482E-05; -1.57079633E+00; +3.34627348E-19; -1.58866920E-05; +1.58866920E-05; -1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; +3.32577815E-19; -1.55299292E-05; +1.55299292E-05; -1.57079633E+00; +3.34090705E-19; -1.58665646E-05; +1.58665646E-05; -1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; +3.31257714E-19; -1.53577688E-05; +1.53577688E-05; -1.57079633E+00; +3.33435260E-19; -1.58419819E-05; +1.58419819E-05; -1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; +3.29699036E-19; -1.51547578E-05; +1.51547578E-05; -1.57079633E+00; +3.32661282E-19; -1.58129545E-05; +1.58129545E-05; -1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; +3.27902502E-19; -1.49211210E-05; +1.49211210E-05; -1.57079633E+00; +3.31769092E-19; -1.57794948E-05; +1.57794948E-05; -1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; +3.25868940E-19; -1.46571175E-05; +1.46571175E-05; -1.57079633E+00; +3.30759058E-19; -1.57416169E-05; +1.57416169E-05; -1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; +3.23599293E-19; -1.43630404E-05; +1.43630404E-05; -1.57079633E+00; +3.29631599E-19; -1.56993373E-05; +1.56993373E-05; -1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; +3.21094609E-19; -1.40392165E-05; +1.40392165E-05; -1.57079633E+00; +3.28387179E-19; -1.56526738E-05; +1.56526738E-05; -1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; +3.18356049E-19; -1.36860058E-05; +1.36860058E-05; -1.57079633E+00; +3.27026314E-19; -1.56016464E-05; +1.56016464E-05; -1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; +3.15384884E-19; -1.33038017E-05; +1.33038017E-05; -1.57079633E+00; +3.25549568E-19; -1.55462770E-05; +1.55462770E-05; -1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; +3.12182490E-19; -1.28930303E-05; +1.28930303E-05; -1.57079633E+00; +3.23957553E-19; -1.54865892E-05; +1.54865892E-05; -1.57079633E+00; 
