              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +0.00000000E+00; +0.00000000E+00; +1.16798970E-17; +2.61258894E+00; +2.61258894E+00; +1.57079633E+00; +1.16798970E-17; +2.61258894E+00; +2.61258894E+00; +1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; +1.16753135E-17; +2.61285743E+00; +2.61285743E+00; +1.57079633E+00; +1.16817286E-17; +2.61293020E+00; +2.61293020E+00; +1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; +1.16615514E-17; +2.61366331E+00; +2.61366331E+00; +1.57079633E+00; +1.16872274E-17; +2.61395447E+00; +2.61395447E+00; +1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; +1.16385772E-17; +2.61500776E+00; +2.61500776E+00; +1.57079633E+00; +1.16964052E-17; +2.61566326E+00; +2.61566326E+00; +1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; +1.16063340E-17; +2.61689276E+00; +2.61689276E+00; +1.57079633E+00; +1.17092817E-17; +2.61805910E+00; +2.61805910E+00; +1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; +1.15647423E-17; +2.61932110E+00; +2.61932110E+00; +1.57079633E+00; +1.17258848E-17; +2.62114552E+00; +2.62114552E+00; +1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; +1.15136989E-17; +2.62229638E+00; +2.62229638E+00; +1.57079633E+00; +1.17462505E-17; +2.62492710E+00; +2.62492710E+00; +1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; +1.14530768E-17; +2.62582302E+00; +2.62582302E+00; +1.57079633E+00; +1.17704230E-17; +2.62940946E+00; +2.62940946E+00; +1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; +1.13827240E-17; +2.62990629E+00; +2.62990629E+00; +1.57079633E+00; +1.17984553E-17; +2.63459930E+00; +2.63459930E+00; +1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; +1.13024633E-17; +2.63455232E+00; +2.63455232E+00; +1.57079633E+00; +1.18304092E-17; +2.64050441E+00; +2.64050441E+00; +1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; +1.12120910E-17; +2.63976814E+00; +2.63976814E+00; +1.57079633E+00; +1.18663554E-17; +2.64713371E+00; +2.64713371E+00; +1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; +1.11113759E-17; +2.64556168E+00; +2.64556168E+00; +1.57079633E+00; +1.19063745E-17; +2.65449729E+00; +2.65449729E+00; +1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; +1.10000580E-17; +2.65194180E+00; +2.65194180E+00; +1.57079633E+00; +1.19505568E-17; +2.66260642E+00; +2.66260642E+00; +1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; +1.08778471E-17; +2.65891838E+00; +2.65891838E+00; +1.57079633E+00; +1.19990028E-17; +2.67147363E+00; +2.67147363E+00; +1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; +1.07444211E-17; +2.66650227E+00; +2.66650227E+00; +1.57079633E+00; +1.20518242E-17; +2.68111274E+00; +2.68111274E+00; +1.57079633E+00; 
  +1.50000000E-01; +0.00000000E+00; +1.05994242E-17; +2.67470541E+00; +2.67470541E+00; +1.57079633E+00; +1.21091441E-17; +2.69153892E+00; +2.69153892E+00; +1.57079633E+00; 
  +1.60000000E-01; +0.00000000E+00; +1.04424652E-17; +2.68354085E+00; +2.68354085E+00; +1.57079633E+00; +1.21710977E-17; +2.70276873E+00; +2.70276873E+00; +1.57079633E+00; 
  +1.70000000E-01; +0.00000000E+00; +1.02731146E-17; +2.69302278E+00; +2.69302278E+00; +1.57079633E+00; +1.22378332E-17; +2.71482023E+00; +2.71482023E+00; +1.57079633E+00; 
  +1.80000000E-01; +0.00000000E+00; +1.00909024E-17; +2.70316664E+00; +2.70316664E+00; +1.57079633E+00; +1.23095125E-17; +2.72771303E+00; +2.72771303E+00; +1.57079633E+00; 
  +1.90000000E-01; +0.00000000E+00; +9.89531534E-18; +2.71398914E+00; +2.71398914E+00; +1.57079633E+00; +1.23863121E-17; +2.74146838E+00; +2.74146838E+00; +1.57079633E+00; 
  +2.00000000E-01; +0.00000000E+00; +9.68579353E-18; +2.72550835E+00; +2.72550835E+00; +1.57079633E+00; +1.24684243E-17; +2.75610923E+00; +2.75610923E+00; +1.57079633E+00; 
  +2.10000000E-01; +0.00000000E+00; +9.46172701E-18; +2.73774378E+00; +2.73774378E+00; +1.57079633E+00; +1.25560581E-17; +2.77166039E+00; +2.77166039E+00; +1.57079633E+00; 
  +2.20000000E-01; +0.00000000E+00; +9.22245178E-18; +2.75071649E+00; +2.75071649E+00; +1.57079633E+00; +1.26494407E-17; +2.78814861E+00; +2.78814861E+00; +1.57079633E+00; 
  +2.30000000E-01; +0.00000000E+00; +8.96724551E-18; +2.76444911E+00; +2.76444911E+00; +1.57079633E+00; +1.27488185E-17; +2.80560267E+00; +2.80560267E+00; +1.57079633E+00; 
  +2.40000000E-01; +0.00000000E+00; +8.69532262E-18; +2.77896605E+00; +2.77896605E+00; +1.57079633E+00; +1.28544594E-17; +2.82405357E+00; +2.82405357E+00; +1.57079633E+00; 
  +2.50000000E-01; +0.00000000E+00; +8.40582888E-18; +2.79429354E+00; +2.79429354E+00; +1.57079633E+00; +1.29666536E-17; +2.84353467E+00; +2.84353467E+00; +1.57079633E+00; 
  +2.60000000E-01; +0.00000000E+00; +8.09783537E-18; +2.81045979E+00; +2.81045979E+00; +1.57079633E+00; +1.30857163E-17; +2.86408179E+00; +2.86408179E+00; +1.57079633E+00; 
  +2.70000000E-01; +0.00000000E+00; +7.77033177E-18; +2.82749510E+00; +2.82749510E+00; +1.57079633E+00; +1.32119895E-17; +2.88573349E+00; +2.88573349E+00; +1.57079633E+00; 
  +2.80000000E-01; +0.00000000E+00; +7.42221884E-18; +2.84543209E+00; +2.84543209E+00; +1.57079633E+00; +1.33458443E-17; +2.90853116E+00; +2.90853116E+00; +1.57079633E+00; 
  +2.90000000E-01; +0.00000000E+00; +7.05229996E-18; +2.86430576E+00; +2.86430576E+00; +1.57079633E+00; +1.34876839E-17; +2.93251934E+00; +2.93251934E+00; +1.57079633E+00; 
  +3.00000000E-01; +0.00000000E+00; +6.65927181E-18; +2.88415378E+00; +2.88415378E+00; +1.57079633E+00; +1.36379464E-17; +2.95774589E+00; +2.95774589E+00; +1.57079633E+00; 
  +3.10000000E-01; +0.00000000E+00; +6.24171374E-18; +2.90501664E+00; +2.90501664E+00; +1.57079633E+00; +1.37971079E-17; +2.98426225E+00; +2.98426225E+00; +1.57079633E+00; 
  +3.20000000E-01; +0.00000000E+00; +5.79807596E-18; +2.92693791E+00; +2.92693791E+00; +1.57079633E+00; +1.39656868E-17; +3.01212380E+00; +3.01212380E+00; +1.57079633E+00; 
  +3.30000000E-01; +0.00000000E+00; +5.32666619E-18; +2.94996447E+00; +2.94996447E+00; +1.57079633E+00; +1.41442474E-17; +3.04139013E+00; +3.04139013E+00; +1.57079633E+00; 
  +3.40000000E-01; +0.00000000E+00; +4.82563470E-18; +2.97414682E+00; +2.97414682E+00; +1.57079633E+00; +1.43334052E-17; +3.07212541E+00; +3.07212541E+00; +1.57079633E+00; 
  +3.50000000E-01; +0.00000000E+00; +4.29295727E-18; +2.99953937E+00; +2.99953937E+00; +1.57079633E+00; +1.45338316E-17; +3.10439878E+00; +3.10439878E+00; +1.57079633E+00; 
  +3.60000000E-01; +0.00000000E+00; +3.72641613E-18; +3.02620080E+00; +3.02620080E+00; +1.57079633E+00; +1.47462606E-17; +3.13828485E+00; +3.13828485E+00; +1.57079633E+00; 
  +3.70000000E-01; +0.00000000E+00; +3.12357813E-18; +3.05419447E+00; +3.05419447E+00; +1.57079633E+00; +1.49714949E-17; +3.17386411E+00; +3.17386411E+00; +1.57079633E+00; 
  +3.80000000E-01; +0.00000000E+00; +2.48177017E-18; +3.08358882E+00; +3.08358882E+00; +1.57079633E+00; +1.52104141E-17; +3.21122354E+00; +3.21122354E+00; +1.57079633E+00; 
  +3.90000000E-01; +0.00000000E+00; +1.79805104E-18; +3.11445788E+00; +3.11445788E+00; +1.57079633E+00; +1.54639832E-17; +3.25045724E+00; +3.25045724E+00; +1.57079633E+00; 
  +4.00000000E-01; +0.00000000E+00; +1.06917942E-18; +3.14688180E+00; +3.14688180E+00; +1.57079633E+00; +1.57332627E-17; +3.29166706E+00; +3.29166706E+00; +1.57079633E+00; 
  +4.10000000E-01; +0.00000000E+00; +2.91577219E-19; +3.18094747E+00; +3.18094747E+00; +1.57079633E+00; +1.60194198E-17; +3.33496343E+00; +3.33496343E+00; +1.57079633E+00; 
  +4.20000000E-01; +0.00000000E+00; -5.38712428E-19; +3.21674923E+00; +3.21674923E+00; +1.57079633E+00; +1.63237414E-17; +3.38046622E+00; +3.38046622E+00; +1.57079633E+00; 
  +4.30000000E-01; +0.00000000E+00; -1.42607348E-18; +3.25438958E+00; +3.25438958E+00; +1.57079633E+00; +1.66476493E-17; +3.42830573E+00; +3.42830573E+00; +1.57079633E+00; 
  +4.40000000E-01; +0.00000000E+00; -2.37537270E-18; +3.29398014E+00; +3.29398014E+00; +1.57079633E+00; +1.69927168E-17; +3.47862378E+00; +3.47862378E+00; +1.57079633E+00; 
  +4.50000000E-01; +0.00000000E+00; -3.39202405E-18; +3.33564256E+00; +3.33564256E+00; +1.57079633E+00; +1.73606892E-17; +3.53157500E+00; +3.53157500E+00; +1.57079633E+00; 
  +4.60000000E-01; +0.00000000E+00; -4.48206336E-18; +3.37950974E+00; +3.37950974E+00; +1.57079633E+00; +1.77535059E-17; +3.58732825E+00; +3.58732825E+00; +1.57079633E+00; 
  +4.70000000E-01; +0.00000000E+00; -5.65223531E-18; +3.42572701E+00; +3.42572701E+00; +1.57079633E+00; +1.81733277E-17; +3.64606824E+00; +3.64606824E+00; +1.57079633E+00; 
  +4.80000000E-01; +0.00000000E+00; -6.91009485E-18; +3.47445369E+00; +3.47445369E+00; +1.57079633E+00; +1.86225673E-17; +3.70799743E+00; +3.70799743E+00; +1.57079633E+00; 
  +4.90000000E-01; +0.00000000E+00; -8.26412605E-18; +3.52586469E+00; +3.52586469E+00; +1.57079633E+00; +1.91039257E-17; +3.77333811E+00; +3.77333811E+00; +1.57079633E+00; 
  +5.00000000E-01; +0.00000000E+00; -9.72388189E-18; +3.58015251E+00; +3.58015251E+00; +1.57079633E+00; +1.96204346E-17; +3.84233489E+00; +3.84233489E+00; +1.57079633E+00; 
  +5.10000000E-01; +0.00000000E+00; -1.13001492E-17; +3.63752941E+00; +3.63752941E+00; +1.57079633E+00; +2.01755062E-17; +3.91525754E+00; +3.91525754E+00; +1.57079633E+00; 
  +5.20000000E-01; +0.00000000E+00; -1.30051441E-17; +3.69823001E+00; +3.69823001E+00; +1.57079633E+00; +2.07729926E-17; +3.99240420E+00; +3.99240420E+00; +1.57079633E+00; 
  +5.30000000E-01; +0.00000000E+00; -1.48527446E-17; +3.76251429E+00; +3.76251429E+00; +1.57079633E+00; +2.14172560E-17; +4.07410523E+00; +4.07410523E+00; +1.57079633E+00; 
  +5.40000000E-01; +0.00000000E+00; -1.68587688E-17; +3.83067100E+00; +3.83067100E+00; +1.57079633E+00; +2.21132519E-17; +4.16072760E+00; +4.16072760E+00; +1.57079633E+00; 
  +5.50000000E-01; +0.00000000E+00; -1.90413085E-17; +3.90302183E+00; +3.90302183E+00; +1.57079633E+00; +2.28666301E-17; +4.25268009E+00; +4.25268009E+00; +1.57079633E+00; 
  +5.60000000E-01; +0.00000000E+00; -2.14211323E-17; +3.97992611E+00; +3.97992611E+00; +1.57079633E+00; +2.36838546E-17; +4.35041934E+00; +4.35041934E+00; +1.57079633E+00; 
  +5.70000000E-01; +0.00000000E+00; -2.40221745E-17; +4.06178650E+00; +4.06178650E+00; +1.57079633E+00; +2.45723504E-17; +4.45445701E+00; +4.45445701E+00; +1.57079633E+00; 
  +5.80000000E-01; +0.00000000E+00; -2.68721313E-17; +4.14905567E+00; +4.14905567E+00; +1.57079633E+00; +2.55406810E-17; +4.56536834E+00; +4.56536834E+00; +1.57079633E+00; 
  +5.90000000E-01; +0.00000000E+00; -3.00031923E-17; +4.24224425E+00; +4.24224425E+00; +1.57079633E+00; +2.65987660E-17; +4.68380221E+00; +4.68380221E+00; +1.57079633E+00; 
  +6.00000000E-01; +0.00000000E+00; -3.34529437E-17; +4.34193042E+00; +4.34193042E+00; +1.57079633E+00; +2.77581493E-17; +4.81049331E+00; +4.81049331E+00; +1.57079633E+00; 
  +6.10000000E-01; +0.00000000E+00; -3.72654906E-17; +4.44877136E+00; +4.44877136E+00; +1.57079633E+00; +2.90323312E-17; +4.94627675E+00; +4.94627675E+00; +1.57079633E+00; 
  +6.20000000E-01; +0.00000000E+00; -4.14928608E-17; +4.56351725E+00; +4.56351725E+00; +1.57079633E+00; +3.04371834E-17; +5.09210576E+00; +5.09210576E+00; +1.57079633E+00; 
  +6.30000000E-01; +0.00000000E+00; -4.61967759E-17; +4.68702821E+00; +4.68702821E+00; +1.57079633E+00; +3.19914709E-17; +5.24907330E+00; +5.24907330E+00; +1.57079633E+00; 
  +6.40000000E-01; +0.00000000E+00; -5.14509001E-17; +4.82029521E+00; +4.82029521E+00; +1.57079633E+00; +3.37175130E-17; +5.41843855E+00; +5.41843855E+00; +1.57079633E+00; 
  +6.50000000E-01; +0.00000000E+00; -5.73437237E-17; +4.96446586E+00; +4.96446586E+00; +1.57079633E+00; +3.56420290E-17; +5.60165974E+00; +5.60165974E+00; +1.57079633E+00; 
  +6.60000000E-01; +0.00000000E+00; -6.39822919E-17; +5.12087661E+00; +5.12087661E+00; +1.57079633E+00; +3.77972299E-17; +5.80043499E+00; +5.80043499E+00; +1.57079633E+00; 
  +6.70000000E-01; +0.00000000E+00; -7.14970760E-17; +5.29109315E+00; +5.29109315E+00; +1.57079633E+00; +4.02222395E-17; +6.01675372E+00; +6.01675372E+00; +1.57079633E+00; 
  +6.80000000E-01; +0.00000000E+00; -8.00484035E-17; +5.47696181E+00; +5.47696181E+00; +1.57079633E+00; +4.29649678E-17; +6.25296185E+00; +6.25296185E+00; +1.57079633E+00; 
  +6.90000000E-01; +0.00000000E+00; -8.98350470E-17; +5.68067522E+00; +5.68067522E+00; +1.57079633E+00; +4.60846056E-17; +6.51184530E+00; +6.51184530E+00; +1.57079633E+00; 
  +7.00000000E-01; +0.00000000E+00; -1.01105839E-16; +5.90485750E+00; +5.90485750E+00; +1.57079633E+00; +4.96549906E-17; +6.79673814E+00; +6.79673814E+00; +1.57079633E+00; 
