              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +5.41880473E+00; +5.41880473E+00; +1.57079633E+00; +0.00000000E+00; +5.41880473E+00; +5.41880473E+00; +1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.41854434E+00; +5.41854434E+00; +1.57079633E+00; +0.00000000E+00; +5.41853114E+00; +5.41853114E+00; +1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.41776309E+00; +5.41776309E+00; +1.57079633E+00; +0.00000000E+00; +5.41771030E+00; +5.41771030E+00; +1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.41646074E+00; +5.41646074E+00; +1.57079633E+00; +0.00000000E+00; +5.41634192E+00; +5.41634192E+00; +1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.41463691E+00; +5.41463691E+00; +1.57079633E+00; +0.00000000E+00; +5.41442555E+00; +5.41442555E+00; +1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.41229103E+00; +5.41229103E+00; +1.57079633E+00; +0.00000000E+00; +5.41196052E+00; +5.41196052E+00; +1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.40942239E+00; +5.40942239E+00; +1.57079633E+00; +0.00000000E+00; +5.40894602E+00; +5.40894602E+00; +1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.40603012E+00; +5.40603012E+00; +1.57079633E+00; +0.00000000E+00; +5.40538102E+00; +5.40538102E+00; +1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.40211320E+00; +5.40211320E+00; +1.57079633E+00; +0.00000000E+00; +5.40126432E+00; +5.40126432E+00; +1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; +0.00000000E+00; +5.39767042E+00; +5.39767042E+00; +1.57079633E+00; +0.00000000E+00; +5.39659451E+00; +5.39659451E+00; +1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; +0.00000000E+00; +5.39270043E+00; +5.39270043E+00; +1.57079633E+00; +0.00000000E+00; +5.39137001E+00; +5.39137001E+00; +1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; +0.00000000E+00; +5.38720172E+00; +5.38720172E+00; +1.57079633E+00; +0.00000000E+00; +5.38558905E+00; +5.38558905E+00; +1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; +0.00000000E+00; +5.38117261E+00; +5.38117261E+00; +1.57079633E+00; +0.00000000E+00; +5.37924966E+00; +5.37924966E+00; +1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; +0.00000000E+00; +5.37461124E+00; +5.37461124E+00; +1.57079633E+00; +0.00000000E+00; +5.37234968E+00; +5.37234968E+00; +1.57079633E+00; 
