              s1;              s2;   Re(z_ibc0.tm);   Im(z_ibc0.tm);  Abs(z_ibc0.tm);  Arg(z_ibc0.tm);   Re(z_ibc0.te);   Im(z_ibc0.te);  Abs(z_ibc0.te);  Arg(z_ibc0.te); 
  +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; +0.00000000E+00; 
  +1.00000000E-02; +0.00000000E+00; +0.00000000E+00; +2.76524870E-04; +2.76524870E-04; +1.57079633E+00; +0.00000000E+00; +3.41584162E-04; +3.41584162E-04; +1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; +0.00000000E+00; +1.10649881E-03; +1.10649881E-03; +1.57079633E+00; +0.00000000E+00; +1.36683851E-03; +1.36683851E-03; +1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; +0.00000000E+00; +2.49112130E-03; +2.49112130E-03; +1.57079633E+00; +0.00000000E+00; +3.07727046E-03; +3.07727046E-03; +1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; +0.00000000E+00; +4.43239635E-03; +4.43239635E-03; +1.57079633E+00; +0.00000000E+00; +5.47539855E-03; +5.47539855E-03; +1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; +0.00000000E+00; +6.93313996E-03; +6.93313996E-03; +1.57079633E+00; +0.00000000E+00; +8.56476175E-03; +8.56476175E-03; +1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; +0.00000000E+00; +9.99699049E-03; +9.99699049E-03; +1.57079633E+00; +0.00000000E+00; +1.23499325E-02; +1.23499325E-02; +1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; +0.00000000E+00; +1.36284223E-02; +1.36284223E-02; +1.57079633E+00; +0.00000000E+00; +1.68365339E-02; +1.68365339E-02; +1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; +0.00000000E+00; +1.78327622E-02; +1.78327622E-02; +1.57079633E+00; +0.00000000E+00; +2.20312604E-02; +2.20312604E-02; +1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; +0.00000000E+00; +2.26162101E-02; +2.26162101E-02; +1.57079633E+00; +0.00000000E+00; +2.79419034E-02; +2.79419034E-02; +1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; +0.00000000E+00; +2.79858618E-02; +2.79858618E-02; +1.57079633E+00; +0.00000000E+00; +3.45773805E-02; +3.45773805E-02; +1.57079633E+00; 
