              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +0.00000000E+00; +0.00000000E+00; -0.00000000E+00; -2.81677462E+00; +2.81677462E+00; -1.57079633E+00; -0.00000000E+00; -2.81677462E+00; +2.81677462E+00; -1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.81623771E+00; +2.81623771E+00; -1.57079633E+00; -0.00000000E+00; -2.81615946E+00; +2.81615946E+00; -1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.81462649E+00; +2.81462649E+00; -1.57079633E+00; -0.00000000E+00; -2.81431336E+00; +2.81431336E+00; -1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.81193952E+00; +2.81193952E+00; -1.57079633E+00; -0.00000000E+00; -2.81123455E+00; +2.81123455E+00; -1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.80817441E+00; +2.80817441E+00; -1.57079633E+00; -0.00000000E+00; -2.80692004E+00; +2.80692004E+00; -1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.80332778E+00; +2.80332778E+00; -1.57079633E+00; -0.00000000E+00; -2.80136566E+00; +2.80136566E+00; -1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.79739530E+00; +2.79739530E+00; -1.57079633E+00; -0.00000000E+00; -2.79456598E+00; +2.79456598E+00; -1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.79037160E+00; +2.79037160E+00; -1.57079633E+00; -0.00000000E+00; -2.78651438E+00; +2.78651438E+00; -1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.78225033E+00; +2.78225033E+00; -1.57079633E+00; -0.00000000E+00; -2.77720295E+00; +2.77720295E+00; -1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; -0.00000000E+00; -2.77302411E+00; +2.77302411E+00; -1.57079633E+00; -0.00000000E+00; -2.76662250E+00; +2.76662250E+00; -1.57079633E+00; 
