              s1;              s2; Re(z_ibc3_reduc; Im(z_ibc3_reduc; Abs(z_ibc3_redu; Arg(z_ibc3_redu; Re(z_ibc3_reduc; Im(z_ibc3_reduc; Abs(z_ibc3_redu; Arg(z_ibc3_redu; 
  +0.00000000E+00; +0.00000000E+00; -0.00000000E+00; -1.72143326E-02; +1.72143326E-02; -1.57079633E+00; -0.00000000E+00; -1.72143326E-02; +1.72143326E-02; -1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.72093373E-02; +1.72093373E-02; -1.57079633E+00; -0.00000000E+00; -1.72138998E-02; +1.72138998E-02; -1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.71943514E-02; +1.71943514E-02; -1.57079633E+00; -0.00000000E+00; -1.72126015E-02; +1.72126015E-02; -1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.71693752E-02; +1.71693752E-02; -1.57079633E+00; -0.00000000E+00; -1.72104377E-02; +1.72104377E-02; -1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.71344095E-02; +1.71344095E-02; -1.57079633E+00; -0.00000000E+00; -1.72074085E-02; +1.72074085E-02; -1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.70894550E-02; +1.70894550E-02; -1.57079633E+00; -0.00000000E+00; -1.72035140E-02; +1.72035140E-02; -1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.70345128E-02; +1.70345128E-02; -1.57079633E+00; -0.00000000E+00; -1.71987543E-02; +1.71987543E-02; -1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.69695842E-02; +1.69695842E-02; -1.57079633E+00; -0.00000000E+00; -1.71931297E-02; +1.71931297E-02; -1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.68946707E-02; +1.68946707E-02; -1.57079633E+00; -0.00000000E+00; -1.71866402E-02; +1.71866402E-02; -1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; -0.00000000E+00; -1.68097741E-02; +1.68097741E-02; -1.57079633E+00; -0.00000000E+00; -1.71792862E-02; +1.71792862E-02; -1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; -0.00000000E+00; -1.67148965E-02; +1.67148965E-02; -1.57079633E+00; -0.00000000E+00; -1.71710679E-02; +1.71710679E-02; -1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; -0.00000000E+00; -1.66100399E-02; +1.66100399E-02; -1.57079633E+00; -0.00000000E+00; -1.71619857E-02; +1.71619857E-02; -1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; -0.00000000E+00; -1.64952069E-02; +1.64952069E-02; -1.57079633E+00; -0.00000000E+00; -1.71520397E-02; +1.71520397E-02; -1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; -0.00000000E+00; -1.63704002E-02; +1.63704002E-02; -1.57079633E+00; -0.00000000E+00; -1.71412304E-02; +1.71412304E-02; -1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; -0.00000000E+00; -1.62356226E-02; +1.62356226E-02; -1.57079633E+00; -0.00000000E+00; -1.71295582E-02; +1.71295582E-02; -1.57079633E+00; 
  +1.50000000E-01; +0.00000000E+00; -0.00000000E+00; -1.60908772E-02; +1.60908772E-02; -1.57079633E+00; -0.00000000E+00; -1.71170235E-02; +1.71170235E-02; -1.57079633E+00; 
  +1.60000000E-01; +0.00000000E+00; -0.00000000E+00; -1.59361674E-02; +1.59361674E-02; -1.57079633E+00; -0.00000000E+00; -1.71036267E-02; +1.71036267E-02; -1.57079633E+00; 
  +1.70000000E-01; +0.00000000E+00; -0.00000000E+00; -1.57714968E-02; +1.57714968E-02; -1.57079633E+00; -0.00000000E+00; -1.70893683E-02; +1.70893683E-02; -1.57079633E+00; 
  +1.80000000E-01; +0.00000000E+00; -0.00000000E+00; -1.55968689E-02; +1.55968689E-02; -1.57079633E+00; -0.00000000E+00; -1.70742487E-02; +1.70742487E-02; -1.57079633E+00; 
  +1.90000000E-01; +0.00000000E+00; -0.00000000E+00; -1.54122878E-02; +1.54122878E-02; -1.57079633E+00; -0.00000000E+00; -1.70582686E-02; +1.70582686E-02; -1.57079633E+00; 
  +2.00000000E-01; +0.00000000E+00; -0.00000000E+00; -1.52177576E-02; +1.52177576E-02; -1.57079633E+00; -0.00000000E+00; -1.70414284E-02; +1.70414284E-02; -1.57079633E+00; 
  +2.10000000E-01; +0.00000000E+00; -0.00000000E+00; -1.50132826E-02; +1.50132826E-02; -1.57079633E+00; -0.00000000E+00; -1.70237287E-02; +1.70237287E-02; -1.57079633E+00; 
  +2.20000000E-01; +0.00000000E+00; -0.00000000E+00; -1.47988672E-02; +1.47988672E-02; -1.57079633E+00; -0.00000000E+00; -1.70051701E-02; +1.70051701E-02; -1.57079633E+00; 
  +2.30000000E-01; +0.00000000E+00; -0.00000000E+00; -1.45745161E-02; +1.45745161E-02; -1.57079633E+00; -0.00000000E+00; -1.69857532E-02; +1.69857532E-02; -1.57079633E+00; 
  +2.40000000E-01; +0.00000000E+00; -0.00000000E+00; -1.43402341E-02; +1.43402341E-02; -1.57079633E+00; -0.00000000E+00; -1.69654788E-02; +1.69654788E-02; -1.57079633E+00; 
  +2.50000000E-01; +0.00000000E+00; -0.00000000E+00; -1.40960262E-02; +1.40960262E-02; -1.57079633E+00; -0.00000000E+00; -1.69443474E-02; +1.69443474E-02; -1.57079633E+00; 
  +2.60000000E-01; +0.00000000E+00; -0.00000000E+00; -1.38418975E-02; +1.38418975E-02; -1.57079633E+00; -0.00000000E+00; -1.69223597E-02; +1.69223597E-02; -1.57079633E+00; 
  +2.70000000E-01; +0.00000000E+00; -0.00000000E+00; -1.35778532E-02; +1.35778532E-02; -1.57079633E+00; -0.00000000E+00; -1.68995164E-02; +1.68995164E-02; -1.57079633E+00; 
  +2.80000000E-01; +0.00000000E+00; -0.00000000E+00; -1.33038987E-02; +1.33038987E-02; -1.57079633E+00; -0.00000000E+00; -1.68758183E-02; +1.68758183E-02; -1.57079633E+00; 
  +2.90000000E-01; +0.00000000E+00; -0.00000000E+00; -1.30200394E-02; +1.30200394E-02; -1.57079633E+00; -0.00000000E+00; -1.68512661E-02; +1.68512661E-02; -1.57079633E+00; 
  +3.00000000E-01; +0.00000000E+00; -0.00000000E+00; -1.27262809E-02; +1.27262809E-02; -1.57079633E+00; -0.00000000E+00; -1.68258605E-02; +1.68258605E-02; -1.57079633E+00; 
  +3.10000000E-01; +0.00000000E+00; -0.00000000E+00; -1.24226288E-02; +1.24226288E-02; -1.57079633E+00; -0.00000000E+00; -1.67996024E-02; +1.67996024E-02; -1.57079633E+00; 
  +3.20000000E-01; +0.00000000E+00; -0.00000000E+00; -1.21090887E-02; +1.21090887E-02; -1.57079633E+00; -0.00000000E+00; -1.67724924E-02; +1.67724924E-02; -1.57079633E+00; 
  +3.30000000E-01; +0.00000000E+00; -0.00000000E+00; -1.17856665E-02; +1.17856665E-02; -1.57079633E+00; -0.00000000E+00; -1.67445314E-02; +1.67445314E-02; -1.57079633E+00; 
  +3.40000000E-01; +0.00000000E+00; -0.00000000E+00; -1.14523678E-02; +1.14523678E-02; -1.57079633E+00; -0.00000000E+00; -1.67157202E-02; +1.67157202E-02; -1.57079633E+00; 
  +3.50000000E-01; +0.00000000E+00; -0.00000000E+00; -1.11091984E-02; +1.11091984E-02; -1.57079633E+00; -0.00000000E+00; -1.66860595E-02; +1.66860595E-02; -1.57079633E+00; 
  +3.60000000E-01; +0.00000000E+00; -0.00000000E+00; -1.07561639E-02; +1.07561639E-02; -1.57079633E+00; -0.00000000E+00; -1.66555502E-02; +1.66555502E-02; -1.57079633E+00; 
  +3.70000000E-01; +0.00000000E+00; -0.00000000E+00; -1.03932700E-02; +1.03932700E-02; -1.57079633E+00; -0.00000000E+00; -1.66241930E-02; +1.66241930E-02; -1.57079633E+00; 
  +3.80000000E-01; +0.00000000E+00; -0.00000000E+00; -1.00205222E-02; +1.00205222E-02; -1.57079633E+00; -0.00000000E+00; -1.65919887E-02; +1.65919887E-02; -1.57079633E+00; 
  +3.90000000E-01; +0.00000000E+00; -0.00000000E+00; -9.63792586E-03; +9.63792586E-03; -1.57079633E+00; -0.00000000E+00; -1.65589381E-02; +1.65589381E-02; -1.57079633E+00; 
  +4.00000000E-01; +0.00000000E+00; -0.00000000E+00; -9.24548619E-03; +9.24548619E-03; -1.57079633E+00; -0.00000000E+00; -1.65250420E-02; +1.65250420E-02; -1.57079633E+00; 
  +4.10000000E-01; +0.00000000E+00; -0.00000000E+00; -8.84320818E-03; +8.84320818E-03; -1.57079633E+00; -0.00000000E+00; -1.64903011E-02; +1.64903011E-02; -1.57079633E+00; 
  +4.20000000E-01; +0.00000000E+00; -0.00000000E+00; -8.43109656E-03; +8.43109656E-03; -1.57079633E+00; -0.00000000E+00; -1.64547160E-02; +1.64547160E-02; -1.57079633E+00; 
  +4.30000000E-01; +0.00000000E+00; -0.00000000E+00; -8.00915568E-03; +8.00915568E-03; -1.57079633E+00; -0.00000000E+00; -1.64182876E-02; +1.64182876E-02; -1.57079633E+00; 
  +4.40000000E-01; +0.00000000E+00; -0.00000000E+00; -7.57738955E-03; +7.57738955E-03; -1.57079633E+00; -0.00000000E+00; -1.63810164E-02; +1.63810164E-02; -1.57079633E+00; 
  +4.50000000E-01; +0.00000000E+00; -0.00000000E+00; -7.13580166E-03; +7.13580166E-03; -1.57079633E+00; -0.00000000E+00; -1.63429029E-02; +1.63429029E-02; -1.57079633E+00; 
  +4.60000000E-01; +0.00000000E+00; -0.00000000E+00; -6.68439495E-03; +6.68439495E-03; -1.57079633E+00; -0.00000000E+00; -1.63039478E-02; +1.63039478E-02; -1.57079633E+00; 
  +4.70000000E-01; +0.00000000E+00; -0.00000000E+00; -6.22317174E-03; +6.22317174E-03; -1.57079633E+00; -0.00000000E+00; -1.62641515E-02; +1.62641515E-02; -1.57079633E+00; 
  +4.80000000E-01; +0.00000000E+00; -0.00000000E+00; -5.75213355E-03; +5.75213355E-03; -1.57079633E+00; -0.00000000E+00; -1.62235144E-02; +1.62235144E-02; -1.57079633E+00; 
  +4.90000000E-01; +0.00000000E+00; -0.00000000E+00; -5.27128104E-03; +5.27128104E-03; -1.57079633E+00; -0.00000000E+00; -1.61820368E-02; +1.61820368E-02; -1.57079633E+00; 
  +5.00000000E-01; +0.00000000E+00; -0.00000000E+00; -4.78061382E-03; +4.78061382E-03; -1.57079633E+00; -0.00000000E+00; -1.61397187E-02; +1.61397187E-02; -1.57079633E+00; 
  +5.10000000E-01; +0.00000000E+00; -0.00000000E+00; -4.28013032E-03; +4.28013032E-03; -1.57079633E+00; -0.00000000E+00; -1.60965604E-02; +1.60965604E-02; -1.57079633E+00; 
  +5.20000000E-01; +0.00000000E+00; -0.00000000E+00; -3.76982758E-03; +3.76982758E-03; -1.57079633E+00; -0.00000000E+00; -1.60525616E-02; +1.60525616E-02; -1.57079633E+00; 
  +5.30000000E-01; +0.00000000E+00; -0.00000000E+00; -3.24970103E-03; +3.24970103E-03; -1.57079633E+00; -0.00000000E+00; -1.60077221E-02; +1.60077221E-02; -1.57079633E+00; 
  +5.40000000E-01; +0.00000000E+00; -0.00000000E+00; -2.71974426E-03; +2.71974426E-03; -1.57079633E+00; -0.00000000E+00; -1.59620414E-02; +1.59620414E-02; -1.57079633E+00; 
  +5.50000000E-01; +0.00000000E+00; -0.00000000E+00; -2.17994866E-03; +2.17994866E-03; -1.57079633E+00; -0.00000000E+00; -1.59155188E-02; +1.59155188E-02; -1.57079633E+00; 
  +5.60000000E-01; +0.00000000E+00; -0.00000000E+00; -1.63030314E-03; +1.63030314E-03; -1.57079633E+00; -0.00000000E+00; -1.58681532E-02; +1.58681532E-02; -1.57079633E+00; 
  +5.70000000E-01; +0.00000000E+00; -0.00000000E+00; -1.07079365E-03; +1.07079365E-03; -1.57079633E+00; -0.00000000E+00; -1.58199435E-02; +1.58199435E-02; -1.57079633E+00; 
  +5.80000000E-01; +0.00000000E+00; -0.00000000E+00; -5.01402734E-04; +5.01402734E-04; -1.57079633E+00; -0.00000000E+00; -1.57708877E-02; +1.57708877E-02; -1.57079633E+00; 
  +5.90000000E-01; +0.00000000E+00; -0.00000000E+00; +7.78910795E-05; +7.78910795E-05; +1.57079633E+00; -0.00000000E+00; -1.57209838E-02; +1.57209838E-02; -1.57079633E+00; 
  +6.00000000E-01; +0.00000000E+00; -0.00000000E+00; +6.67113981E-04; +6.67113981E-04; +1.57079633E+00; -0.00000000E+00; -1.56702292E-02; +1.56702292E-02; -1.57079633E+00; 
  +6.10000000E-01; +0.00000000E+00; -0.00000000E+00; +1.26629772E-03; +1.26629772E-03; +1.57079633E+00; -0.00000000E+00; -1.56186205E-02; +1.56186205E-02; -1.57079633E+00; 
  +6.20000000E-01; +0.00000000E+00; -0.00000000E+00; +1.87548063E-03; +1.87548063E-03; +1.57079633E+00; -0.00000000E+00; -1.55661537E-02; +1.55661537E-02; -1.57079633E+00; 
  +6.30000000E-01; +0.00000000E+00; -0.00000000E+00; +2.49470888E-03; +2.49470888E-03; +1.57079633E+00; -0.00000000E+00; -1.55128239E-02; +1.55128239E-02; -1.57079633E+00; 
  +6.40000000E-01; +0.00000000E+00; -0.00000000E+00; +3.12403801E-03; +3.12403801E-03; +1.57079633E+00; -0.00000000E+00; -1.54586252E-02; +1.54586252E-02; -1.57079633E+00; 
  +6.50000000E-01; +0.00000000E+00; -0.00000000E+00; +3.76353483E-03; +3.76353483E-03; +1.57079633E+00; -0.00000000E+00; -1.54035504E-02; +1.54035504E-02; -1.57079633E+00; 
  +6.60000000E-01; +0.00000000E+00; -0.00000000E+00; +4.41327978E-03; +4.41327978E-03; +1.57079633E+00; -0.00000000E+00; -1.53475908E-02; +1.53475908E-02; -1.57079633E+00; 
  +6.70000000E-01; +0.00000000E+00; -0.00000000E+00; +5.07336989E-03; +5.07336989E-03; +1.57079633E+00; -0.00000000E+00; -1.52907357E-02; +1.52907357E-02; -1.57079633E+00; 
  +6.80000000E-01; +0.00000000E+00; -0.00000000E+00; +5.74392259E-03; +5.74392259E-03; +1.57079633E+00; -0.00000000E+00; -1.52329724E-02; +1.52329724E-02; -1.57079633E+00; 
  +6.90000000E-01; +0.00000000E+00; -0.00000000E+00; +6.42508048E-03; +6.42508048E-03; +1.57079633E+00; -0.00000000E+00; -1.51742853E-02; +1.51742853E-02; -1.57079633E+00; 
  +7.00000000E-01; +0.00000000E+00; -0.00000000E+00; +7.11701764E-03; +7.11701764E-03; +1.57079633E+00; -0.00000000E+00; -1.51146551E-02; +1.51146551E-02; -1.57079633E+00; 
  +7.10000000E-01; +0.00000000E+00; -0.00000000E+00; +7.81994778E-03; +7.81994778E-03; +1.57079633E+00; -0.00000000E+00; -1.50540583E-02; +1.50540583E-02; -1.57079633E+00; 
  +7.20000000E-01; +0.00000000E+00; -0.00000000E+00; +8.53413514E-03; +8.53413514E-03; +1.57079633E+00; -0.00000000E+00; -1.49924656E-02; +1.49924656E-02; -1.57079633E+00; 
  +7.30000000E-01; +0.00000000E+00; -0.00000000E+00; +9.25990910E-03; +9.25990910E-03; +1.57079633E+00; -0.00000000E+00; -1.49298407E-02; +1.49298407E-02; -1.57079633E+00; 
  +7.40000000E-01; +0.00000000E+00; -0.00000000E+00; +9.99768421E-03; +9.99768421E-03; +1.57079633E+00; -0.00000000E+00; -1.48661373E-02; +1.48661373E-02; -1.57079633E+00; 
  +7.50000000E-01; +0.00000000E+00; -0.00000000E+00; +1.07479880E-02; +1.07479880E-02; +1.57079633E+00; -0.00000000E+00; -1.48012970E-02; +1.48012970E-02; -1.57079633E+00; 
  +7.60000000E-01; +0.00000000E+00; -0.00000000E+00; +1.15115005E-02; +1.15115005E-02; +1.57079633E+00; -0.00000000E+00; -1.47352440E-02; +1.47352440E-02; -1.57079633E+00; 
  +7.70000000E-01; +0.00000000E+00; -0.00000000E+00; +1.22891114E-02; +1.22891114E-02; +1.57079633E+00; -0.00000000E+00; -1.46678793E-02; +1.46678793E-02; -1.57079633E+00; 
  +7.80000000E-01; +0.00000000E+00; -0.00000000E+00; +1.30820053E-02; +1.30820053E-02; +1.57079633E+00; -0.00000000E+00; -1.45990709E-02; +1.45990709E-02; -1.57079633E+00; 
  +7.90000000E-01; +0.00000000E+00; -0.00000000E+00; +1.38917914E-02; +1.38917914E-02; +1.57079633E+00; -0.00000000E+00; -1.45286393E-02; +1.45286393E-02; -1.57079633E+00; 
  +8.00000000E-01; +0.00000000E+00; -0.00000000E+00; +1.47207095E-02; +1.47207095E-02; +1.57079633E+00; -0.00000000E+00; -1.44563346E-02; +1.44563346E-02; -1.57079633E+00; 
  +8.10000000E-01; +0.00000000E+00; -0.00000000E+00; +1.55719676E-02; +1.55719676E-02; +1.57079633E+00; -0.00000000E+00; -1.43817989E-02; +1.43817989E-02; -1.57079633E+00; 
  +8.20000000E-01; +0.00000000E+00; -0.00000000E+00; +1.64503222E-02; +1.64503222E-02; +1.57079633E+00; -0.00000000E+00; -1.43045011E-02; +1.43045011E-02; -1.57079633E+00; 
  +8.30000000E-01; +0.00000000E+00; -0.00000000E+00; +1.73631338E-02; +1.73631338E-02; +1.57079633E+00; -0.00000000E+00; -1.42236193E-02; +1.42236193E-02; -1.57079633E+00; 
  +8.40000000E-01; +0.00000000E+00; -0.00000000E+00; +1.83224214E-02; +1.83224214E-02; +1.57079633E+00; -0.00000000E+00; -1.41378113E-02; +1.41378113E-02; -1.57079633E+00; 
  +8.50000000E-01; +0.00000000E+00; -0.00000000E+00; +1.93492252E-02; +1.93492252E-02; +1.57079633E+00; -0.00000000E+00; -1.40447272E-02; +1.40447272E-02; -1.57079633E+00; 
  +8.60000000E-01; +0.00000000E+00; -0.00000000E+00; +2.04840037E-02; +2.04840037E-02; +1.57079633E+00; -0.00000000E+00; -1.39398479E-02; +1.39398479E-02; -1.57079633E+00; 
  +8.70000000E-01; +0.00000000E+00; -0.00000000E+00; +2.18157155E-02; +2.18157155E-02; +1.57079633E+00; -0.00000000E+00; -1.38132368E-02; +1.38132368E-02; -1.57079633E+00; 
  +8.80000000E-01; +0.00000000E+00; -0.00000000E+00; +2.35855168E-02; +2.35855168E-02; +1.57079633E+00; -0.00000000E+00; -1.36379563E-02; +1.36379563E-02; -1.57079633E+00; 
  +8.90000000E-01; +0.00000000E+00; -0.00000000E+00; +2.67552723E-02; +2.67552723E-02; +1.57079633E+00; -0.00000000E+00; -1.33065629E-02; +1.33065629E-02; -1.57079633E+00; 
  +9.00000000E-01; +0.00000000E+00; -0.00000000E+00; +4.36511848E-02; +4.36511848E-02; +1.57079633E+00; -0.00000000E+00; -1.14421773E-02; +1.14421773E-02; -1.57079633E+00; 
  +9.10000000E-01; +0.00000000E+00; -0.00000000E+00; +1.20573132E-02; +1.20573132E-02; +1.57079633E+00; -0.00000000E+00; -1.49945373E-02; +1.49945373E-02; -1.57079633E+00; 
  +9.20000000E-01; +0.00000000E+00; -0.00000000E+00; +1.95459612E-02; +1.95459612E-02; +1.57079633E+00; -0.00000000E+00; -1.41815115E-02; +1.41815115E-02; -1.57079633E+00; 
  +9.30000000E-01; +0.00000000E+00; -0.00000000E+00; +2.20728057E-02; +2.20728057E-02; +1.57079633E+00; -0.00000000E+00; -1.39230049E-02; +1.39230049E-02; -1.57079633E+00; 
  +9.40000000E-01; +0.00000000E+00; -0.00000000E+00; +2.37104837E-02; +2.37104837E-02; +1.57079633E+00; -0.00000000E+00; -1.37640899E-02; +1.37640899E-02; -1.57079633E+00; 
  +9.50000000E-01; +0.00000000E+00; -0.00000000E+00; +2.50368633E-02; +2.50368633E-02; +1.57079633E+00; -0.00000000E+00; -1.36402171E-02; +1.36402171E-02; -1.57079633E+00; 
  +9.60000000E-01; +0.00000000E+00; -0.00000000E+00; +2.62215121E-02; +2.62215121E-02; +1.57079633E+00; -0.00000000E+00; -1.35324455E-02; +1.35324455E-02; -1.57079633E+00; 
  +9.70000000E-01; +0.00000000E+00; -0.00000000E+00; +2.73321629E-02; +2.73321629E-02; +1.57079633E+00; -0.00000000E+00; -1.34332095E-02; +1.34332095E-02; -1.57079633E+00; 
  +9.80000000E-01; +0.00000000E+00; -0.00000000E+00; +2.84011727E-02; +2.84011727E-02; +1.57079633E+00; -0.00000000E+00; -1.33388950E-02; +1.33388950E-02; -1.57079633E+00; 
  +9.90000000E-01; +0.00000000E+00; -0.00000000E+00; +2.94459441E-02; +2.94459441E-02; +1.57079633E+00; -0.00000000E+00; -1.32475584E-02; +1.32475584E-02; -1.57079633E+00; 
  +1.00000000E+00; +0.00000000E+00; -0.00000000E+00; +3.04766646E-02; +3.04766646E-02; +1.57079633E+00; -0.00000000E+00; -1.31580621E-02; +1.31580621E-02; -1.57079633E+00; 
  +1.01000000E+00; +0.00000000E+00; -0.00000000E+00; +3.14996901E-02; +3.14996901E-02; +1.57079633E+00; -0.00000000E+00; -1.30696966E-02; +1.30696966E-02; -1.57079633E+00; 
