              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +0.00000000E+00; +0.00000000E+00; -1.16798970E-17; -1.05588359E-02; +1.05588359E-02; -1.57079633E+00; -1.16798970E-17; -1.05588359E-02; +1.05588359E-02; -1.57079633E+00; 
  +1.00000000E-02; +0.00000000E+00; -1.16753135E-17; -1.05508054E-02; +1.05508054E-02; -1.57079633E+00; -1.16817286E-17; -1.05585084E-02; +1.05585084E-02; -1.57079633E+00; 
  +2.00000000E-02; +0.00000000E+00; -1.16615514E-17; -1.05267098E-02; +1.05267098E-02; -1.57079633E+00; -1.16872274E-17; -1.05575261E-02; +1.05575261E-02; -1.57079633E+00; 
  +3.00000000E-02; +0.00000000E+00; -1.16385772E-17; -1.04865360E-02; +1.04865360E-02; -1.57079633E+00; -1.16964052E-17; -1.05558896E-02; +1.05558896E-02; -1.57079633E+00; 
  +4.00000000E-02; +0.00000000E+00; -1.16063340E-17; -1.04302622E-02; +1.04302622E-02; -1.57079633E+00; -1.17092817E-17; -1.05535995E-02; +1.05535995E-02; -1.57079633E+00; 
  +5.00000000E-02; +0.00000000E+00; -1.15647423E-17; -1.03578580E-02; +1.03578580E-02; -1.57079633E+00; -1.17258848E-17; -1.05506572E-02; +1.05506572E-02; -1.57079633E+00; 
  +6.00000000E-02; +0.00000000E+00; -1.15136989E-17; -1.02692839E-02; +1.02692839E-02; -1.57079633E+00; -1.17462505E-17; -1.05470642E-02; +1.05470642E-02; -1.57079633E+00; 
  +7.00000000E-02; +0.00000000E+00; -1.14530768E-17; -1.01644913E-02; +1.01644913E-02; -1.57079633E+00; -1.17704230E-17; -1.05428222E-02; +1.05428222E-02; -1.57079633E+00; 
  +8.00000000E-02; +0.00000000E+00; -1.13827240E-17; -1.00434225E-02; +1.00434225E-02; -1.57079633E+00; -1.17984553E-17; -1.05379335E-02; +1.05379335E-02; -1.57079633E+00; 
  +9.00000000E-02; +0.00000000E+00; -1.13024633E-17; -9.90601030E-03; +9.90601030E-03; -1.57079633E+00; -1.18304092E-17; -1.05324008E-02; +1.05324008E-02; -1.57079633E+00; 
  +1.00000000E-01; +0.00000000E+00; -1.12120910E-17; -9.75217757E-03; +9.75217757E-03; -1.57079633E+00; -1.18663554E-17; -1.05262269E-02; +1.05262269E-02; -1.57079633E+00; 
  +1.10000000E-01; +0.00000000E+00; -1.11113759E-17; -9.58183727E-03; +9.58183727E-03; -1.57079633E+00; -1.19063745E-17; -1.05194151E-02; +1.05194151E-02; -1.57079633E+00; 
  +1.20000000E-01; +0.00000000E+00; -1.10000580E-17; -9.39489196E-03; +9.39489196E-03; -1.57079633E+00; -1.19505568E-17; -1.05119692E-02; +1.05119692E-02; -1.57079633E+00; 
  +1.30000000E-01; +0.00000000E+00; -1.08778471E-17; -9.19123338E-03; +9.19123338E-03; -1.57079633E+00; -1.19990028E-17; -1.05038933E-02; +1.05038933E-02; -1.57079633E+00; 
  +1.40000000E-01; +0.00000000E+00; -1.07444211E-17; -8.97074207E-03; +8.97074207E-03; -1.57079633E+00; -1.20518242E-17; -1.04951919E-02; +1.04951919E-02; -1.57079633E+00; 
  +1.50000000E-01; +0.00000000E+00; -1.05994242E-17; -8.73328685E-03; +8.73328685E-03; -1.57079633E+00; -1.21091441E-17; -1.04858700E-02; +1.04858700E-02; -1.57079633E+00; 
  +1.60000000E-01; +0.00000000E+00; -1.04424652E-17; -8.47872426E-03; +8.47872426E-03; -1.57079633E+00; -1.21710977E-17; -1.04759330E-02; +1.04759330E-02; -1.57079633E+00; 
  +1.70000000E-01; +0.00000000E+00; -1.02731146E-17; -8.20689800E-03; +8.20689800E-03; -1.57079633E+00; -1.22378332E-17; -1.04653868E-02; +1.04653868E-02; -1.57079633E+00; 
  +1.80000000E-01; +0.00000000E+00; -1.00909024E-17; -7.91763821E-03; +7.91763821E-03; -1.57079633E+00; -1.23095125E-17; -1.04542377E-02; +1.04542377E-02; -1.57079633E+00; 
  +1.90000000E-01; +0.00000000E+00; -9.89531534E-18; -7.61076080E-03; +7.61076080E-03; -1.57079633E+00; -1.23863121E-17; -1.04424926E-02; +1.04424926E-02; -1.57079633E+00; 
  +2.00000000E-01; +0.00000000E+00; -9.68579353E-18; -7.28606654E-03; +7.28606654E-03; -1.57079633E+00; -1.24684243E-17; -1.04301590E-02; +1.04301590E-02; -1.57079633E+00; 
