s1,s2,Re(z_ibc1.tm),Im(z_ibc1.tm),Abs(z_ibc1.tm),Arg(z_ibc1.tm),Re(z_ibc1.te),Im(z_ibc1.te),Abs(z_ibc1.te),Arg(z_ibc1.te)
+0.00000000E+00,+0.00000000E+00,-1.46954715E-02,-2.00525202E-01,+2.01062959E-01,-1.64395046E+00,-4.82715538E-04,-2.15168055E-01,+2.15168596E-01,-1.57303976E+00
+1.00000000E-02,+0.00000000E+00,-1.46973977E-02,-2.00523140E-01,+2.01061043E-01,-1.64396077E+00,-4.83252324E-04,-2.15167424E-01,+2.15167967E-01,-1.57304226E+00
+2.00000000E-02,+0.00000000E+00,-1.47031788E-02,-2.00516951E-01,+2.01055294E-01,-1.64399169E+00,-4.84863311E-04,-2.15165532E-01,+2.15166078E-01,-1.57304977E+00
+3.00000000E-02,+0.00000000E+00,-1.47128215E-02,-2.00506629E-01,+2.01045705E-01,-1.64404328E+00,-4.87550391E-04,-2.15162375E-01,+2.15162927E-01,-1.57306229E+00
+4.00000000E-02,+0.00000000E+00,-1.47263371E-02,-2.00492162E-01,+2.01032266E-01,-1.64411560E+00,-4.91316723E-04,-2.15157950E-01,+2.15158511E-01,-1.57307984E+00
+5.00000000E-02,+0.00000000E+00,-1.47437415E-02,-2.00473531E-01,+2.01014961E-01,-1.64420874E+00,-4.96166742E-04,-2.15152252E-01,+2.15152824E-01,-1.57310244E+00
+6.00000000E-02,+0.00000000E+00,-1.47650553E-02,-2.00450716E-01,+2.00993772E-01,-1.64432282E+00,-5.02106174E-04,-2.15145274E-01,+2.15145860E-01,-1.57313012E+00
+7.00000000E-02,+0.00000000E+00,-1.47903037E-02,-2.00423688E-01,+2.00968674E-01,-1.64445799E+00,-5.09142050E-04,-2.15137009E-01,+2.15137611E-01,-1.57316292E+00
+8.00000000E-02,+0.00000000E+00,-1.48195168E-02,-2.00392417E-01,+2.00939640E-01,-1.64461444E+00,-5.17282728E-04,-2.15127445E-01,+2.15128067E-01,-1.57320086E+00
+9.00000000E-02,+0.00000000E+00,-1.48527293E-02,-2.00356865E-01,+2.00906637E-01,-1.64479235E+00,-5.26537922E-04,-2.15116571E-01,+2.15117216E-01,-1.57324401E+00
+1.00000000E-01,+0.00000000E+00,-1.48899811E-02,-2.00316989E-01,+2.00869628E-01,-1.64499197E+00,-5.36918724E-04,-2.15104376E-01,+2.15105046E-01,-1.57329241E+00
+1.10000000E-01,+0.00000000E+00,-1.49313170E-02,-2.00272741E-01,+2.00828571E-01,-1.64521356E+00,-5.48437642E-04,-2.15090843E-01,+2.15091542E-01,-1.57334612E+00
+1.20000000E-01,+0.00000000E+00,-1.49767873E-02,-2.00224067E-01,+2.00783419E-01,-1.64545742E+00,-5.61108638E-04,-2.15075957E-01,+2.15076689E-01,-1.57340521E+00
+1.30000000E-01,+0.00000000E+00,-1.50264472E-02,-2.00170909E-01,+2.00734120E-01,-1.64572388E+00,-5.74947171E-04,-2.15059699E-01,+2.15060468E-01,-1.57346975E+00
+1.40000000E-01,+0.00000000E+00,-1.50803579E-02,-2.00113200E-01,+2.00680617E-01,-1.64601329E+00,-5.89970243E-04,-2.15042050E-01,+2.15042859E-01,-1.57353983E+00
+1.50000000E-01,+0.00000000E+00,-1.51385861E-02,-2.00050870E-01,+2.00622849E-01,-1.64632606E+00,-6.06196453E-04,-2.15022987E-01,+2.15023842E-01,-1.57361554E+00
+1.60000000E-01,+0.00000000E+00,-1.52012045E-02,-1.99983840E-01,+2.00560747E-01,-1.64666260E+00,-6.23646059E-04,-2.15002487E-01,+2.15003392E-01,-1.57369696E+00
+1.70000000E-01,+0.00000000E+00,-1.52682919E-02,-1.99912027E-01,+2.00494238E-01,-1.64702340E+00,-6.42341036E-04,-2.14980524E-01,+2.14981484E-01,-1.57378422E+00
+1.80000000E-01,+0.00000000E+00,-1.53399337E-02,-1.99835339E-01,+2.00423242E-01,-1.64740895E+00,-6.62305157E-04,-2.14957070E-01,+2.14958090E-01,-1.57387742E+00
+1.90000000E-01,+0.00000000E+00,-1.54162218E-02,-1.99753677E-01,+2.00347676E-01,-1.64781981E+00,-6.83564062E-04,-2.14932095E-01,+2.14933182E-01,-1.57397669E+00
+2.00000000E-01,+0.00000000E+00,-1.54972553E-02,-1.99666935E-01,+2.00267446E-01,-1.64825656E+00,-7.06145349E-04,-2.14905566E-01,+2.14906726E-01,-1.57408216E+00
+2.10000000E-01,+0.00000000E+00,-1.55831407E-02,-1.99575000E-01,+2.00182454E-01,-1.64871985E+00,-7.30078664E-04,-2.14877449E-01,+2.14878689E-01,-1.57419397E+00
+2.20000000E-01,+0.00000000E+00,-1.56739919E-02,-1.99477749E-01,+2.00092594E-01,-1.64921035E+00,-7.55395806E-04,-2.14847706E-01,+2.14849034E-01,-1.57431227E+00
+2.30000000E-01,+0.00000000E+00,-1.57699312E-02,-1.99375052E-01,+1.99997755E-01,-1.64972880E+00,-7.82130836E-04,-2.14816298E-01,+2.14817722E-01,-1.57443724E+00
+2.40000000E-01,+0.00000000E+00,-1.58710894E-02,-1.99266768E-01,+1.99897815E-01,-1.65027599E+00,-8.10320199E-04,-2.14783181E-01,+2.14784709E-01,-1.57456904E+00
+2.50000000E-01,+0.00000000E+00,-1.59776064E-02,-1.99152749E-01,+1.99792646E-01,-1.65085276E+00,-8.40002855E-04,-2.14748309E-01,+2.14749952E-01,-1.57470788E+00
+2.60000000E-01,+0.00000000E+00,-1.60896314E-02,-1.99032834E-01,+1.99682110E-01,-1.65146000E+00,-8.71220421E-04,-2.14711635E-01,+2.14713402E-01,-1.57485393E+00
