s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
8.000000e-01; 0.000000e+00; 1.068619e+01; 1.068619e+01; 1.570796e+00; 0.000000e+00; 1.272166e+01; 1.272166e+01; 1.570796e+00; 
8.010000e-01; 0.000000e+00; 1.078048e+01; 1.078048e+01; 1.570796e+00; 0.000000e+00; 1.284002e+01; 1.284002e+01; 1.570796e+00; 
8.020000e-01; 0.000000e+00; 1.087663e+01; 1.087663e+01; 1.570796e+00; 0.000000e+00; 1.296073e+01; 1.296073e+01; 1.570796e+00; 
8.030000e-01; 0.000000e+00; 1.097471e+01; 1.097471e+01; 1.570796e+00; 0.000000e+00; 1.308386e+01; 1.308386e+01; 1.570796e+00; 
8.040000e-01; 0.000000e+00; 1.107476e+01; 1.107476e+01; 1.570796e+00; 0.000000e+00; 1.320946e+01; 1.320946e+01; 1.570796e+00; 
8.050000e-01; 0.000000e+00; 1.117686e+01; 1.117686e+01; 1.570796e+00; 0.000000e+00; 1.333764e+01; 1.333764e+01; 1.570796e+00; 
8.060000e-01; 0.000000e+00; 1.128105e+01; 1.128105e+01; 1.570796e+00; 0.000000e+00; 1.346845e+01; 1.346845e+01; 1.570796e+00; 
8.070000e-01; 0.000000e+00; 1.138742e+01; 1.138742e+01; 1.570796e+00; 0.000000e+00; 1.360199e+01; 1.360199e+01; 1.570796e+00; 
8.080000e-01; 0.000000e+00; 1.149602e+01; 1.149602e+01; 1.570796e+00; 0.000000e+00; 1.373833e+01; 1.373833e+01; 1.570796e+00; 
8.090000e-01; 0.000000e+00; 1.160693e+01; 1.160693e+01; 1.570796e+00; 0.000000e+00; 1.387758e+01; 1.387758e+01; 1.570796e+00; 
8.100000e-01; 0.000000e+00; 1.172022e+01; 1.172022e+01; 1.570796e+00; 0.000000e+00; 1.401982e+01; 1.401982e+01; 1.570796e+00; 
8.110000e-01; 0.000000e+00; 1.183596e+01; 1.183596e+01; 1.570796e+00; 0.000000e+00; 1.416514e+01; 1.416514e+01; 1.570796e+00; 
8.120000e-01; 0.000000e+00; 1.195425e+01; 1.195425e+01; 1.570796e+00; 0.000000e+00; 1.431366e+01; 1.431366e+01; 1.570796e+00; 
8.130000e-01; 0.000000e+00; 1.207516e+01; 1.207516e+01; 1.570796e+00; 0.000000e+00; 1.446547e+01; 1.446547e+01; 1.570796e+00; 
8.140000e-01; 0.000000e+00; 1.219879e+01; 1.219879e+01; 1.570796e+00; 0.000000e+00; 1.462069e+01; 1.462069e+01; 1.570796e+00; 
8.150000e-01; 0.000000e+00; 1.232521e+01; 1.232521e+01; 1.570796e+00; 0.000000e+00; 1.477943e+01; 1.477943e+01; 1.570796e+00; 
8.160000e-01; 0.000000e+00; 1.245454e+01; 1.245454e+01; 1.570796e+00; 0.000000e+00; 1.494181e+01; 1.494181e+01; 1.570796e+00; 
8.170000e-01; 0.000000e+00; 1.258687e+01; 1.258687e+01; 1.570796e+00; 0.000000e+00; 1.510797e+01; 1.510797e+01; 1.570796e+00; 
8.180000e-01; 0.000000e+00; 1.272230e+01; 1.272230e+01; 1.570796e+00; 0.000000e+00; 1.527802e+01; 1.527802e+01; 1.570796e+00; 
8.190000e-01; 0.000000e+00; 1.286095e+01; 1.286095e+01; 1.570796e+00; 0.000000e+00; 1.545212e+01; 1.545212e+01; 1.570796e+00; 
8.200000e-01; 0.000000e+00; 1.300293e+01; 1.300293e+01; 1.570796e+00; 0.000000e+00; 1.563041e+01; 1.563041e+01; 1.570796e+00; 
8.210000e-01; 0.000000e+00; 1.314837e+01; 1.314837e+01; 1.570796e+00; 0.000000e+00; 1.581303e+01; 1.581303e+01; 1.570796e+00; 
8.220000e-01; 0.000000e+00; 1.329739e+01; 1.329739e+01; 1.570796e+00; 0.000000e+00; 1.600015e+01; 1.600015e+01; 1.570796e+00; 
8.230000e-01; 0.000000e+00; 1.345012e+01; 1.345012e+01; 1.570796e+00; 0.000000e+00; 1.619193e+01; 1.619193e+01; 1.570796e+00; 
8.240000e-01; 0.000000e+00; 1.360670e+01; 1.360670e+01; 1.570796e+00; 0.000000e+00; 1.638856e+01; 1.638856e+01; 1.570796e+00; 
8.250000e-01; 0.000000e+00; 1.376729e+01; 1.376729e+01; 1.570796e+00; 0.000000e+00; 1.659022e+01; 1.659022e+01; 1.570796e+00; 
8.260000e-01; 0.000000e+00; 1.393204e+01; 1.393204e+01; 1.570796e+00; 0.000000e+00; 1.679710e+01; 1.679710e+01; 1.570796e+00; 
8.270000e-01; 0.000000e+00; 1.410110e+01; 1.410110e+01; 1.570796e+00; 0.000000e+00; 1.700941e+01; 1.700941e+01; 1.570796e+00; 
8.280000e-01; 0.000000e+00; 1.427466e+01; 1.427466e+01; 1.570796e+00; 0.000000e+00; 1.722736e+01; 1.722736e+01; 1.570796e+00; 
8.290000e-01; 0.000000e+00; 1.445289e+01; 1.445289e+01; 1.570796e+00; 0.000000e+00; 1.745119e+01; 1.745119e+01; 1.570796e+00; 
8.300000e-01; 0.000000e+00; 1.463599e+01; 1.463599e+01; 1.570796e+00; 0.000000e+00; 1.768112e+01; 1.768112e+01; 1.570796e+00; 
8.310000e-01; 0.000000e+00; 1.482416e+01; 1.482416e+01; 1.570796e+00; 0.000000e+00; 1.791742e+01; 1.791742e+01; 1.570796e+00; 
8.320000e-01; 0.000000e+00; 1.501760e+01; 1.501760e+01; 1.570796e+00; 0.000000e+00; 1.816036e+01; 1.816036e+01; 1.570796e+00; 
8.330000e-01; 0.000000e+00; 1.521655e+01; 1.521655e+01; 1.570796e+00; 0.000000e+00; 1.841021e+01; 1.841021e+01; 1.570796e+00; 
8.340000e-01; 0.000000e+00; 1.542124e+01; 1.542124e+01; 1.570796e+00; 0.000000e+00; 1.866727e+01; 1.866727e+01; 1.570796e+00; 
8.350000e-01; 0.000000e+00; 1.563192e+01; 1.563192e+01; 1.570796e+00; 0.000000e+00; 1.893186e+01; 1.893186e+01; 1.570796e+00; 
8.360000e-01; 0.000000e+00; 1.584886e+01; 1.584886e+01; 1.570796e+00; 0.000000e+00; 1.920432e+01; 1.920432e+01; 1.570796e+00; 
8.370000e-01; 0.000000e+00; 1.607235e+01; 1.607235e+01; 1.570796e+00; 0.000000e+00; 1.948500e+01; 1.948500e+01; 1.570796e+00; 
8.380000e-01; 0.000000e+00; 1.630269e+01; 1.630269e+01; 1.570796e+00; 0.000000e+00; 1.977428e+01; 1.977428e+01; 1.570796e+00; 
8.390000e-01; 0.000000e+00; 1.654018e+01; 1.654018e+01; 1.570796e+00; 0.000000e+00; 2.007255e+01; 2.007255e+01; 1.570796e+00; 
8.400000e-01; 0.000000e+00; 1.678518e+01; 1.678518e+01; 1.570796e+00; 0.000000e+00; 2.038026e+01; 2.038026e+01; 1.570796e+00; 
8.410000e-01; 0.000000e+00; 1.703804e+01; 1.703804e+01; 1.570796e+00; 0.000000e+00; 2.069784e+01; 2.069784e+01; 1.570796e+00; 
8.420000e-01; 0.000000e+00; 1.729915e+01; 1.729915e+01; 1.570796e+00; 0.000000e+00; 2.102578e+01; 2.102578e+01; 1.570796e+00; 
8.430000e-01; 0.000000e+00; 1.756891e+01; 1.756891e+01; 1.570796e+00; 0.000000e+00; 2.136459e+01; 2.136459e+01; 1.570796e+00; 
8.440000e-01; 0.000000e+00; 1.784777e+01; 1.784777e+01; 1.570796e+00; 0.000000e+00; 2.171483e+01; 2.171483e+01; 1.570796e+00; 
8.450000e-01; 0.000000e+00; 1.813619e+01; 1.813619e+01; 1.570796e+00; 0.000000e+00; 2.207709e+01; 2.207709e+01; 1.570796e+00; 
8.460000e-01; 0.000000e+00; 1.843467e+01; 1.843467e+01; 1.570796e+00; 0.000000e+00; 2.245198e+01; 2.245198e+01; 1.570796e+00; 
8.470000e-01; 0.000000e+00; 1.874375e+01; 1.874375e+01; 1.570796e+00; 0.000000e+00; 2.284018e+01; 2.284018e+01; 1.570796e+00; 
8.480000e-01; 0.000000e+00; 1.906399e+01; 1.906399e+01; 1.570796e+00; 0.000000e+00; 2.324242e+01; 2.324242e+01; 1.570796e+00; 
8.490000e-01; 0.000000e+00; 1.939602e+01; 1.939602e+01; 1.570796e+00; 0.000000e+00; 2.365947e+01; 2.365947e+01; 1.570796e+00; 
8.500000e-01; 0.000000e+00; 1.974051e+01; 1.974051e+01; 1.570796e+00; 0.000000e+00; 2.409215e+01; 2.409215e+01; 1.570796e+00; 
8.510000e-01; 0.000000e+00; 2.009815e+01; 2.009815e+01; 1.570796e+00; 0.000000e+00; 2.454137e+01; 2.454137e+01; 1.570796e+00; 
8.520000e-01; 0.000000e+00; 2.046972e+01; 2.046972e+01; 1.570796e+00; 0.000000e+00; 2.500809e+01; 2.500809e+01; 1.570796e+00; 
8.530000e-01; 0.000000e+00; 2.085605e+01; 2.085605e+01; 1.570796e+00; 0.000000e+00; 2.549335e+01; 2.549335e+01; 1.570796e+00; 
8.540000e-01; 0.000000e+00; 2.125804e+01; 2.125804e+01; 1.570796e+00; 0.000000e+00; 2.599828e+01; 2.599828e+01; 1.570796e+00; 
8.550000e-01; 0.000000e+00; 2.167666e+01; 2.167666e+01; 1.570796e+00; 0.000000e+00; 2.652410e+01; 2.652410e+01; 1.570796e+00; 
8.560000e-01; 0.000000e+00; 2.211295e+01; 2.211295e+01; 1.570796e+00; 0.000000e+00; 2.707213e+01; 2.707213e+01; 1.570796e+00; 
8.570000e-01; 0.000000e+00; 2.256807e+01; 2.256807e+01; 1.570796e+00; 0.000000e+00; 2.764381e+01; 2.764381e+01; 1.570796e+00; 
8.580000e-01; 0.000000e+00; 2.304325e+01; 2.304325e+01; 1.570796e+00; 0.000000e+00; 2.824069e+01; 2.824069e+01; 1.570796e+00; 
8.590000e-01; 0.000000e+00; 2.353985e+01; 2.353985e+01; 1.570796e+00; 0.000000e+00; 2.886449e+01; 2.886449e+01; 1.570796e+00; 
