s; real(z.tm); imag(z.tm); abs(z.tm); angle(z.tm); real(z.te); imag(z.te); abs(z.te); angle(z.te); 
0.000000e+00; 2.220446e-16; -9.235171e-01; 9.235171e-01; -1.570796e+00; 9.992007e-16; -9.221623e-01; 9.221623e-01; -1.570796e+00; 
1.000000e-02; -1.700029e-16; -9.235008e-01; 9.235008e-01; -1.570796e+00; 5.620504e-16; -9.221306e-01; 9.221306e-01; -1.570796e+00; 
2.000000e-02; -3.885781e-16; -9.234518e-01; 9.234518e-01; -1.570796e+00; 2.775558e-16; -9.220356e-01; 9.220356e-01; -1.570796e+00; 
3.000000e-02; 7.771561e-16; -9.233701e-01; 9.233701e-01; -1.570796e+00; 7.771561e-16; -9.218773e-01; 9.218773e-01; -1.570796e+00; 
4.000000e-02; 2.609024e-15; -9.232559e-01; 9.232559e-01; -1.570796e+00; 4.996004e-16; -9.216556e-01; 9.216556e-01; -1.570796e+00; 
5.000000e-02; 5.551115e-16; -9.231090e-01; 9.231090e-01; -1.570796e+00; 1.110223e-16; -9.213707e-01; 9.213707e-01; -1.570796e+00; 
6.000000e-02; 1.831868e-15; -9.229295e-01; 9.229295e-01; -1.570796e+00; 8.326673e-17; -9.210227e-01; 9.210227e-01; -1.570796e+00; 
7.000000e-02; 2.220446e-16; -9.227175e-01; 9.227175e-01; -1.570796e+00; -1.665335e-16; -9.206115e-01; 9.206115e-01; -1.570796e+00; 
8.000000e-02; 2.109424e-15; -9.224731e-01; 9.224731e-01; -1.570796e+00; -3.330669e-16; -9.201374e-01; 9.201374e-01; -1.570796e+00; 
9.000000e-02; 6.269429e-13; -9.221962e-01; 9.221962e-01; -1.570796e+00; -2.425282e-13; -9.196003e-01; 9.196003e-01; -1.570796e+00; 
1.000000e-01; -1.063816e-12; -9.218870e-01; 9.218870e-01; -1.570796e+00; 1.254830e-12; -9.190004e-01; 9.190004e-01; -1.570796e+00; 
1.100000e-01; 5.323242e-13; -9.215454e-01; 9.215454e-01; -1.570796e+00; -2.998712e-13; -9.183379e-01; 9.183379e-01; -1.570796e+00; 
1.200000e-01; -5.991700e-13; -9.211717e-01; 9.211717e-01; -1.570796e+00; 2.463342e-13; -9.176129e-01; 9.176129e-01; -1.570796e+00; 
1.300000e-01; -1.252692e-12; -9.207658e-01; 9.207658e-01; -1.570796e+00; 8.797407e-13; -9.168256e-01; 9.168256e-01; -1.570796e+00; 
1.400000e-01; -4.428125e-13; -9.203280e-01; 9.203280e-01; -1.570796e+00; 3.141654e-13; -9.159761e-01; 9.159761e-01; -1.570796e+00; 
1.500000e-01; -1.118106e-12; -9.198582e-01; 9.198582e-01; -1.570796e+00; 7.441270e-13; -9.150646e-01; 9.150646e-01; -1.570796e+00; 
1.600000e-01; 9.107715e-13; -9.193565e-01; 9.193565e-01; -1.570796e+00; -4.716783e-13; -9.140913e-01; 9.140913e-01; -1.570796e+00; 
1.700000e-01; -6.758483e-13; -9.188232e-01; 9.188232e-01; -1.570796e+00; 3.952949e-13; -9.130565e-01; 9.130565e-01; -1.570796e+00; 
1.800000e-01; -4.455325e-13; -9.182583e-01; 9.182583e-01; -1.570796e+00; 4.036216e-13; -9.119603e-01; 9.119603e-01; -1.570796e+00; 
1.900000e-01; -5.079270e-14; -9.176620e-01; 9.176620e-01; -1.570796e+00; 4.151679e-13; -9.108030e-01; 9.108030e-01; -1.570796e+00; 
2.000000e-01; 5.412337e-13; -9.170344e-01; 9.170344e-01; -1.570796e+00; -5.110357e-13; -9.095849e-01; 9.095849e-01; -1.570796e+00; 
2.100000e-01; -9.897638e-14; -9.163755e-01; 9.163755e-01; -1.570796e+00; -3.314016e-14; -9.083062e-01; 9.083062e-01; -1.570796e+00; 
2.200000e-01; -6.988438e-13; -9.156857e-01; 9.156857e-01; -1.570796e+00; 1.119382e-13; -9.069672e-01; 9.069672e-01; -1.570796e+00; 
2.300000e-01; -1.332354e-14; -9.149650e-01; 9.149650e-01; -1.570796e+00; -1.258863e-13; -9.055683e-01; 9.055683e-01; -1.570796e+00; 
2.400000e-01; -5.688783e-13; -9.142137e-01; 9.142137e-01; -1.570796e+00; 7.586987e-13; -9.041095e-01; 9.041095e-01; -1.570796e+00; 
